"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26-179,,"January 08, 2026",,"Isla Rae Magnetic Wireless Chargers Recalled Due to Fire and Burn Hazards; Sold by TJX at T.J. Maxx and Marshalls Stores","Isla Rae Magnetic Wireless Chargers","This recall involves magnetic wireless chargers sold under the Isla Rae brand. The chargers are compatible with magnetic charging systems and attach magnetically to the back of a phone to charge the device. The chargers were sold in the following colors: white, pink, and purple. The model number “RM5PBM” can be found on the side of the magnetic wireless charger, below the markings “5000 mAh 3.7V.”&nbsp;Note:&nbsp;Do not throw this recalled lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.","The chargers can explode while in use, posing a fire and burn hazard.",,,Refund,"About 13,200 (In addition, about 7,000 units were sold in Canada)","None reported","Consumers should immediately stop using the recalled magnetic wireless chargers and go to&nbsp;https://www.recallrtr.com/powerbank to register for the recall and for instructions on how to receive a full refund. After registering, consumers should dispose of the power bank in accordance with local and state regulations and not discard it in the household trash.","Sold At","Marshalls and T.J. Maxx stores nationwide between June 2024 and November 2025 for $15.","Hello to Green dba Press Play Products of Bell, California",,,China,Retailer:,"The TJX Companies Inc., of Framingham, Massachusetts"
26-135,,"December 05, 2025",,"INIU Recalls Power Banks Due to Fire and Burn Hazards; Sold on Amazon","INIU BI-B41 Power Banks","This recall involves INIU 10,000mAh portable power banks, model BI-B41. The recalled power banks have a black or blue case and the INIU logo and a paw-print LED light are on the front. The model and serial number are printed on the back of the power bank at the bottom. Only portable power banks with serial numbers 000G21, 000H21, 000I21 and 000L21 are included in this recall.Note: Do not throw this recalled lithium-ion battery or device in the trash, in the general recycling stream (e.g., street-level or curbside recycling bins), or in used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.","The lithium-ion battery in the recalled power banks can overheat and ignite, posing fire and burn hazards to consumers.",,,Refund,"About 210,000","INIU has received 15 reports of power banks overheating, including 11 reports of fires that resulted in three minor burn injuries and property damage totaling over $380,000.","Consumers should stop using the recalled power banks immediately and visit INIU’s recall page at&nbsp;https://iniushop.com/pages/recall-b41# to verify the product serial number and register for a full refund.","Sold Online At","Amazon.com from August 2021 and April 2022 for about $18.",,"Shenzhen Topstar Industry Co., Ltd., of China",,China,Retailer:,"INIU, of Seattle, Washington"
26-090,,"November 13, 2025",,"Belkin Recalls Portable Power Banks and Wireless Charging Stands Due to Fire and Burn Hazards","Portable Power Banks and Wireless Charging Stands","This recall involves charging stands with model number MMA008 and power banks with model numbers BPB002 and PB0003. Model number “MMA008” is printed on the bottom of the charging stand. Serial numbers (14 digits) starting with “57X” are included in this recall and are also printed on the bottom of the charging stand. Model number “BPB002” is printed on the back top of the power bank. Serial numbers (14 digits) starting with “35S” are included in this recall and are also printed on the back of the power bank. Model number “PB0003” is printed on the back of the power bank. All serial numbers are included in this recall. Both the charging stands and BPB002 power banks were sold in black. The PB0003 power banks were sold in black or white.","The lithium-ion battery in the power banks and charging stands can overheat, posing fire and burn hazards to consumers.",,,Refund,"About 83,500 (In addition, about 2,385 were sold in Canada)","The firm has received one report of a fire incident in the U.S. (and 15 reports internationally). Two minor burn injuries and property damage totaling $37,765 have been reported outside of the U.S.","Consumers should immediately stop using the recalled power banks and charging stands and contact Belkin to receive a full refund or store credit. Consumers should submit photos showing the front and back of the product with their recall submission form. Consumers can receive a full refund for the amount on the purchase receipt, if provided. If no receipt is provided, consumers can receive the average sales price for the model. Alternatively, consumers can choose to receive a Belkin store credit worth 20 percent more than the average sales price of the model.&nbsp;Note: Do not throw this recalled lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.","Sold At","Best Buy, Target, Walmart and other stores nationwide and online at Belkin.com, Amazon.com and on Tiktok from August 2020 through August 2025 for between $29 and $180.",,"Belkin International Inc., of El Segundo, California",,"Vietnam (MMA008) and China (BPB002 and PB0003)",,
26-011,,"October 09, 2025",,"ESR HaloLock Wireless Power Banks Recall Expanded to Include Additional Model Due to Fire and Burn Hazards; Distributed by Waymeet","ESR HaloLock Wireless Power Banks","This recall expansion includes ESR HaloLock wireless power banks with model number 2G505, in addition to models 2G520, 2G505B and 2G512B, which were&nbsp;previously recalled. “ESR"" is printed on the back and the model numbers are printed on the right side of the pocket-size power banks. Model 2G505 was sold in black and white. Models 2G520, 2G505B and 2G512B were sold in dark blue, light blue, gray, white and black. All recalled models have five circular LED display lights on one side.","The lithium-ion battery in the recalled power banks can overheat and ignite, posing fire and burn hazards to consumers.",,,Refund,"About 19,500 (In addition, about 2,015 were sold in Canada). Waymeet previously recalled 24,000 power banks on August 14, 2025 (In addition, 9,900 were sold in Canada that were covered in the August recall).","The firm has received 20 reports of the lithium-ion battery catching fire and exploding, resulting in property damage of about $30,000. No injuries have been reported.","Consumers should immediately stop using the recalled power banks and contact Waymeet for a full refund. Consumers will be asked to send to support@esrtech.com their order number (not required) and a photo of the recalled power bank showing the model number with the word “Recalled” written on it in permanent marker. Consumers should dispose of the power banks in accordance with local and state hazardous waste disposal regulations.Note: Do not throw this recalled lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.&nbsp;","Sold At","Amazon.com (all models), Esrtech.com (all models) and Homedepot.com (models 2G520, 2G505B and 2G512B only), from September 2022 through July 2025 for between $32 and $50.",,,"Waymeet Limited, of Hong Kong",China,,
26-002,,"October 02, 2025",,"Zyntony Recalls Kogalla Power Banks Due to Fire and Burn Hazards; Sold on Kogalla.com","BP125, BatPak 2F and BatPak 3F Power Banks","This recall involves Kogalla-branded power banks, models BP125, BatPak 2F and BatPak 3F. The recalled rechargeable USB power banks have 6,700mAh, 13,400mAh or 20,100mAh lithium-ion batteries and were sold separately and included with Kogalla trail lights. The Kogalla logo is printed on the front of the power banks. The model number appears on the back of the power banks. Power banks model BP125 have a black USB-A jack and models BatPak 2F and 3F have orange USB-A jacks.&nbsp;Note:&nbsp;Do not throw this recalled lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact them ahead of time and ask whether it accepts recalled lithium-ion batteries. If they don’t, contact your municipality for further guidance.","The recalled power banks’ lithium-ion batteries can overheat and ignite, even when not in use, posing fire and burn hazards.",,,Replace,"About 2,400","Zyntony has received two reports of lithium-ion battery overheating and catching fire, even when not in use, resulting in one minor burn injury and property damage, totaling about $3,300.","Consumers should immediately stop using the recalled power banks and contact Kogalla for instructions on how to receive a free replacement power bank, including shipping. Consumers will be asked to fill out the online form at https://rtn.kogalla.com/products/request-batpak-replacement. Consumers should immediately dispose of the recalled power banks, in accordance with local and state regulations.","Sold At","Kogalla.com from June 2024 to January 2025 for the BP125 and BatPak2F power banks and trail lights sold with those power bank models and from August 2024 to January 2025 for the BatPak3F power banks and trail lights sold with that model. The power banks sold for between $45 and $90 and the trail lights with power banks sold for between $180 and $230.","Zyntony Inc. of Draper, Utah",,,China,,
25-449,,"August 28, 2025",,"CT-ENERGY Lithium Coin Battery Chargers Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violations of Standard for Coin Battery Products and Statute for Battery Packaging; Imported by CT New Energy Technology","CT-ENERGY Lithium Coin Battery Chargers with Rechargeable 2032 Batteries","This recall involves CT-ENERGY Lithium Coin Battery Chargers with model number “nc-02”. The product includes the charger, four rechargeable 2032 lithium-ion batteries, and a USB cable. The brand name “CT-ENERGY” is on the front of the product and the model number “nc-02” is printed on the back.","The recalled battery charger violates the mandatory standard for consumer products containing button cell or coin batteries because the charger has lithium coin batteries that can be accessed easily by children. In addition, the coin batteries provided with the battery charger are not in child-resistant packaging, and the packaging does not have the warnings as required by Reese’s Law. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns and death.",,,"Refund, Replace, Repair","About 1,100","None reported","Consumers should immediately stop using the charger and remove the batteries and place them in an area that children cannot access. Contact CT New Energy Technology for a full refund, Child-Resistant Safety Case, or replacement kit. The complimentary repair kits and replacement kits will be available after August 30, 2025. Consumers will be asked to submit photos of the batteries’ destruction completely submerged in tap water to info@ct-energy.cn. Soaking the batteries in water for 24 hours discharges the battery.Note: Button cell and coin batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.","Sold At","Amazon.com and Walmart.com from March 2024 through May 2025 for about $17",,,,China,Retailer:,"CT (Foshan) New Energy Technology Co., Ltd. (dba CT-Energy), of China"
25-437,,"August 14, 2025",,"ESR HaloLock Wireless Power Banks Recalled Due to Fire and Burn Hazards; Distributed by Waymeet","ESR HaloLock Wireless Power Banks","This recall involves ESR HaloLock wireless power banks with model numbers 2G520, 2G505B and 2G512B. “ESR"" is printed on the back and the model number is printed on the right side of the pocket-size power banks. They were sold in dark blue, light blue, gray, white and black. All recalled models have five circular LED display lights on one side.","The lithium-ion battery in the recalled power banks can overheat and ignite, posing fire and burn hazards to consumers.",,,Refund,"About 24,000 (In addition, about 9,900 were sold in Canada)","The firm has received nine reports of the lithium-ion battery catching fire and exploding, resulting in property damage of about $20,000. No injuries have been reported.","Consumers should immediately stop using the recalled power banks and contact Waymeet for a full refund. Consumers will be asked to send to support@esrtech.com their order number (not required) and a photo of the recalled power bank showing the model number with the word “Recalled” written on it in permanent marker. Consumers should dispose of the power banks in accordance with local and state hazardous waste disposal regulations.Note: Do not throw this recalled lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.","Sold At","Amazon.com, Homedepot.com and Esrtech.com from September 2023 through July 2025 for between $32 and $40.",,,"Waymeet Limited, of Hong Kong",China,,
25-390,,"July 17, 2025",,"iStore Magnetic Wireless Power Banks Recalled Due to Fire and Burn Hazards; Imported by Tomauri","iStore Magnetic Wireless Power Banks (IST-09991/W05 model only)","This recall involves the iStore Magnetic Wireless Power Bank, 5000 mAh portable charger. Only model number IST-09991/W05 power banks are included in the recall. The iStore logo is engraved on the front side of the power bank, and the model number is printed on the back, as shown in the photos above. Some units may also have the word “iStore” printed above the model number. The power banks are compatible with various mobile devices, and measure 3 inches by 2 inches by 0.25 inches and weigh around 3.2 ounces. The product was sold with a USB-C to USB-C cable that measures about 12 inches long.Note: Do not throw this recalled lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.","The lithium-ion battery in the recalled power banks can overheat and ignite while charging, posing fire and burn hazards to consumers.",,,Refund,"About 8,520 (An additional 6,400 were sold in Canada)","The firm has received three reports of the wireless power banks overheating and exploding while they were charging, including one incident that resulted in a minor burn to the victim’s arm. The firm received reports of property damage of about $15,000.","Consumers should immediately stop using the recalled wireless portable power bank and go to the firm’s website to participate in the recall. Consumers will be asked to submit two photographs via email to recall@istore.co. The first photograph should be the front of the power bank with the word “Recalled” and the date written on it with permanent marker. The second photograph should include the model number, which is located on the back of the power bank.&nbsp;A purchase receipt will be requested but will not be required to participate in the recall. Consumers should immediately dispose of the power banks in accordance with local and state hazardous waste disposal regulations.","Sold At","Vending machines and stores located in various airport locations nationwide and online at iStore.co from February 2023 through May 2025 for between $46 and $65.&nbsp;","Tomauri Inc., of Ontario, Canada",,,China,,
25-338,,"June 12, 2025",,"More than One Million Anker Power Banks Recalled Due to Fire and Burn Hazards; Manufactured by Anker Innovations","Anker PowerCore 10000 power banks (model A1263 only)","This recall involves Anker PowerCore 10000 power banks with model number A1263.&nbsp;The brand name “Anker” is engraved on the front of the product. The model number “A1263” and serial number “SN” are printed on the bottom. Only model number A1263 power banks sold in the U.S. with qualifying serial numbers are included in the recall. Consumers should check their serial number at&nbsp;https://www.anker.com/product-recalls to determine whether their power bank is included in the recall.Note: Do not throw this recalled lithium-ion battery or device in the trash, in the general recycling stream (e.g., street-level or curbside recycling bins), or in used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact it ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.","The lithium-ion battery in the power bank can overheat, posing fire and burn hazards to consumers.",,,Replace,"About 1,158,000","Anker has received 19 reports of fires and explosions. This includes two reports of minor burn injuries not requiring medical attention and 11 reports of property damage totaling over $60,700.","Consumers should immediately stop using the recalled power banks and contact Anker Innovations for instructions on receiving a free replacement power bank. Visit&nbsp;https://www.anker.com/product-recalls to register for the recall. To receive a replacement, consumers will be required to submit a photo of their recalled power bank showing the model number, serial number, their name, the date of the photograph, and the word “recalled” written on the power bank in permanent marker. A purchase receipt will be requested but will not be required to participate in the recall. Consumers will also be required to confirm disposal of the power bank in accordance with applicable laws and regulations before receiving a replacement.","Sold At","Online at Anker, Amazon, Newegg and Ebay from June 2016 through December 2022 for about $27.",,"Anker Innovations Limited, of China",,China,,
25-304,,"May 29, 2025",,"iWALK Magnetic Wireless Power Banks Recalled Due to Fire and Burn Hazards; Manufactured by U2O Global","iWALK Magnetic Wireless Power Banks","This recall involves iWALK Magnetic Wireless Power Banks. “iWALK” is printed on the front of each power bank, and the model numbers and serial numbers are printed on the back. The pocket-sized power banks are compatible with various devices and were sold in a variety of colors.&nbsp; All recalled models include a circular LED display screen on the front to reflect the remaining power of the power bank.&nbsp; Models DBL6000M and DBL6000P include a circular phone holder ring above the LED display screen.&nbsp; The following model numbers and serial numbers are included in this recall.Model NumberSerial NumbersMXB008GK2309880, GK2309899, GK2310154, GK2310155, GK2310157, GK2310160, GK2310346, GK2311108, GK2311109, GK2311110, GK2311315, GK2311396DBL6000M / DBL6000PGK2309901, GK2309902, GK2309903, GK2310005, GK2310006, GK2310163, GK2310165, GK2311388, GK2312035, GK2312036, GK2312282, GK2312461, GK2312462, GK2312737, GK2312770, GK2401164, GK2401564, GK2403407, GK23081458, GK23081460, GK23081462Note: Do not throw this recalled lithium-ion battery or device in the trash, in the general recycling stream (e.g., street-level or curbside recycling bins), or in used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether they accept recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.","The lithium-ion batteries in the recalled power banks can overheat and ignite, posing a risk of serious injury or death from fire and burn hazards to consumers.",,,Refund,"About 27,500","The firm has received 15 reports of the lithium-ion battery catching fire, resulting in 10 burn injuries.","Consumers should immediately stop using the recalled power banks and contact U2O Global for a full refund. To receive a refund, consumers should send a photo of the recalled power bank, showing the model number and the serial number, with “Recalled” written on the power bank in permanent marker to U2O Global by email at&nbsp;service@iwalk.net. Consumers should dispose of the recalled power banks in accordance with local hazardous waste disposal procedures.","Sold At","Online at iWalkMall.com, Amazon.com and other e-commerce websites from July 2021 through March 2024 for between $20 and $57.",,"U2O Global Co. Ltd., of China",,China,,
