"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26-335,,"March 19, 2026",,"Aisstxoer Adult Bicycle Helmets Recalled Due to Risk of Serious Injury or Death from Head Injury; Violates Mandatory Standard for Bicycle Helmets; Sold on Amazon by YXTDZ Store","Aisstxoer Adult Bike Helmets","This recall involves Aisstxoer bike helmets. The recalled helmets were sold in size large, fitting a head circumference of about 22.8 to 24.4 inches, and in the color pink. The recalled helmets have black padding, black straps, a black buckle and a black plastic knob at the back for adjusting the fit. “Aisstxoer” and the size are printed on a white label on the packaging and the model “GH018L” is printed on a label located inside of the helmet.&nbsp;","The recalled helmets violate the mandatory safety standard for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">bicycle helmets because the helmets do not comply with the impact attenuation, positional stability, and certification requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,"About 200","None reported ","Consumers should stop using the recalled adult helmets immediately and contact YXTDZ Store for a full refund. Consumers will be asked to destroy the recalled helmet by cutting the straps and email a photo of the destroyed helmet to yxtdzamz@126.com.&nbsp;&nbsp;&nbsp;","Sold Online At","Amazon.com from October 2025 through November 2025 for about $25.&nbsp;",,,,China,Retailer:,"Shenzhenshiyongxintaidianziyouxiangongsi (Shenzhen Yongxintai Electronics Co., Ltd.), dba, Yxtdz Store, of China&nbsp;"
26-320,,"March 12, 2026",,"ProRider Recalls Bicycle Helmets Due to Risk of Serious Injury or Death from Head Injury; Violates Mandatory Standard for Bicycle Helmets","ProRider Bicycle Helmets","This recall involves ProRider Economy, Bike Helmets with turn ring, Bike Helmets Black Foam, BMX Helmet and Toddler Bike Helmets. The helmets were sold in the following colors: blue, green, red, black, and purple. The model number, date of manufacture in MM/YYYY format, and serial number can be found on a label inside the helmet.Model NumberModel NameSize(s)Manufacture DateSerial Number(s)BG-W/10BICYCLEEconomy Bicycle HelmetS/M (Small/Medium)12/202200158202 and 00158287L/XL (Large/Xtra-Large)04/202200094738 and 00094811BG-14BICYCLEBike Helmet with turn ringS/M (Small/Medium)12/202200141944 and 00140406L/XL (Large/Xtra-Large)10/202200134699 and 00134652BG-14BICYCLEBike Helmet Black FoamL/XL (Large/Xtra-Large)12/202200145398SPORT HELMETBMX HelmetXS (Xtra-Small)09/202200127689BM-5TODDLERToddler Bike HelmetXXS (Xtra-Xtra-Small)09/2022None","The recalled helmets violate the mandatory safety standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… helmets&nbsp;because the helmets do not comply with the impact attenuation, positional stability, labeling and certification requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,"About 9,546","None reported","Consumers should immediately stop using the recalled helmets and contact ProRider for a full refund. Consumers should destroy the helmet by cutting the straps and sending a photo of the destroyed helmet to&nbsp;org@prorider.com to obtain a refund.","Sold At","Distributed by Wisconsin Bike Federation, Kiwanis Club, Foster Love nationwide, and sold online at ProRider.com from June 2022 through May 2023 for between $5 and $18.","ProRider, Inc., of Kent, Washington",,,China,,
26-304,,"February 26, 2026",,"Todson Recalls Concord Bicycle Helmets Due to Risk of Serious Injury or Death from Head Injury; Violates Mandatory Standard for Bicycle Helmets","Concord 360 Degree Rechargeable Light-Up Bike Helmets","This recall involves Concord-branded 360 Degree Rechargeable Light-Up bike helmets. The helmets were sold in size large (L), fitting a head circumference of about 22.8 to 24 inches. The helmets have a black exterior with a built-in LED lighting system, black straps, black buckle, and have a black plastic knob at the back of the helmet for adjusting the fit. “Concord” is printed on the back of the helmet.&nbsp;","The recalled helmets violate the mandatory safety standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… helmets because the helmets do not comply with the retention system and positional stability requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,"About 40,245  ","None reported","Consumers should immediately stop using the recalled Concord Helmets and contact Todson for a full refund. Consumers should destroy the recalled helmets by cutting the straps off the helmets. Consumers can send photos of the helmet with the straps cut off to&nbsp;360concordhelmet@todson.com to obtain a refund.&nbsp;Note:&nbsp;Do not throw this recalled helmet with a lithium-ion battery in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts lithium-ion batteries. If it does not, contact your municipality for further guidance. You can also visit&nbsp;Todson.com/360-concord-recall for more information on potential disposal locations.","Sold At","Walmart stores nationwide and online at Walmart.com from January 2025 through September 2025 for about $30.","Todson, Inc., of Foxboro, Massachusetts",,,China,,
26-277,,"February 19, 2026",,"SAMIT Youth Multi-Purpose Helmets Recalled Due to Risk of Serious Injury or Death from Head Injury; Violates Mandatory Standard for Bicycle Helmets; Sold on Amazon by SAMIT Outdoor","SAMIT Youth Multi-Purpose Helmets","This recall involves SAMIT multi-purpose helmets for children. The recalled helmets were sold in one size and fit a head circumference of about 21 to 23 inches. The helmets are sold in “crack” blue, “crack” red, and “crack” black with a cracked paint design.&nbsp; They were also sold in pure black.&nbsp; The helmets have gray padding, black straps, a black and red buckle with a black chin strap, and a black plastic knob at the back of the helmet for adjusting the fitting.","The recalled helmets violate the mandatory safety standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… helmets because the helmets do not comply with the positional stability and certification requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,"About 3,295","None reported","Consumers should immediately stop using the recalled helmets and contact Samit Outdoor for a full refund. Consumers should destroy the recalled helmet by cutting the straps off. Consumers can upload photos of the helmet with the straps cut off to usjialebei@foxmail.com to obtain a refund. &nbsp;","Sold Online At","Amazon.com from March 2025 through November 2025 for between $28 and $33.",,,,China,Retailer:,"Shenzhenshilonghuaqujialebeibaihuoshanghang (Jialebei Department Store, Longhua District, Shenzhen) dba Samit Outdoor, of China"
26-239,,"February 05, 2026",,"Semfri Children’s Helmets Recalled Due to Risk of Serious Injury or Death from Head Injury; Violates Mandatory Standard for Bicycle Helmets","Semfri Children’s Helmets","This recall involves Semfri-branded children’s multi-purpose helmets. The recalled helmets were sold in size medium (M), fitting a head circumference of about 20.5 to 22.8 inches; and in the following colors: orange, black, blue, navy blue, pink, red and white. All helmets have black padding, black straps and a black buckle. The helmets have a black plastic knob at the back of the helmet for adjusting the fitting. The size is printed on a black circular label located inside of the helmet.","The recalled helmets violate the mandatory safety standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… helmets because the helmets do not comply with the impact attenuation, positional stability, labeling and certification requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,"About 300","None reported","Consumers should immediately stop using the recalled helmets and contact Semfri for a full refund. Consumers should destroy the helmet by cutting the straps and sending a photo of the destroyed helmet to Semfri_recall@163.com.","Sold Online At","Walmart.com from June 2025 through November 2025 for between $19 and $28.",,,,China,Retailer:,"Jinjiangshi XunMai Network Technology Co., Ltd., dba Semfri, of China"
26-188,,"January 15, 2026",,"R.X.Y Bicycle Helmets Recalled Due to Risk of Serious Injury or Death from Head Injury; Violates Mandatory Standard for Bicycle Helmets","R.X.Y Bicycle Helmets","This recall involves R.X.Y-branded adult bike helmets. The recalled helmets were sold in one size fitting a head circumference of about 22.44 to 24.41 inches. The helmets are blue with black and have gray padding, black straps with a silver reflective pattern in the center and a black and red buckle with a gray chin strap. The helmets have a black plastic knob at the back of the helmet for adjusting the fitting. Item number “Kx012” is printed on the helmet’s instruction manual.","The recalled helmets violate the mandatory safety standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… helmets because the helmets do not comply with the impact attenuation, positional stability, labeling and certification requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,About 170,"None reported","Consumers should immediately stop using the recalled helmets and contact R.X.Y for a full refund. Consumers should destroy the helmet by cutting the straps and uploading photos of the helmet with the straps cut off to&nbsp;RXY-recall@outlook.com.","Sold Online At","Amazon.com from September 2025 through November 2025 for about $23.",,,,China,Retailer:,"Tanghexianjinyuanliyueshangmao Co., Ltd. (Tanghe County Jinyuan Liyue Commerce and Trade Co., Ltd.) dba R.X.Y, of China"
25-472,,"September 18, 2025",,"YooxArmor Multi-Purpose Kids’ Helmets Recalled Due to Risk of Serious Injury or Death from Head Injury; Violates Mandatory Standard for Bicycle Helmets; Sold on Amazon by YooxArmor","YooxArmor Multi-Purpose Kids’ Helmets","This recall involves YooxArmor multi-purpose kids’ helmets. The recalled helmets were sold in size small (S). The helmets were sold in pink with a unicorn, rainbow and star print with black padding, black straps, and a black and red buckle with a black chin pad.&nbsp;The helmets have a black and red plastic knob at the back of the helmet for adjusting the fitting. “YooxArmor” is printed on the back of the helmet.","The recalled kids’ helmets violate the mandatory safety standard for bicycle helmets because the helmets do not comply with the impact attenuation, positional stability, labeling and certification requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,"About 1,780","None reported","Consumers should immediately stop using the recalled kids’ helmets and contact YooxArmor for a full refund. Consumers should destroy the recalled helmet by cutting the straps off the helmet. Consumers can upload photos of the helmet with the straps cut off to&nbsp;service@yooxarmor.com to obtain a refund.","Sold At","Amazon from October 2024 through July 2025 for about $30.",,,,China,Retailer:,"Yiwu Shi Yuxing Keji Youxiangongsi,&nbsp;dba YooxArmor, of China"
25-374,,"July 03, 2025",,"509 Recalls Helmets Due to Risk of Head Injury","509 helmets and 509 for Polaris helmets","This recall involves 509 Tactical 3.0 (Youth, Mountain, and Trail) helmets and 509 for Polaris Tactical 3.0 (Youth and Mountain) helmets. This recall also involves small and medium size 509 Tactical 2.0 helmets, 509 Tactical 2.0 helmets with Fidlock®, and 509 for Polaris Tactical 2.0 helmets, which were all manufactured in 2023. This recall also involves 509 and 509 for Polaris helmets with Fidlock®, including Tactical 2.0, Altitude 2.0, Delta R3L, Delta R4, Delta V, Mach III, Mach IV and Mach V (manufactured from 2020 to present with a stainless-steel glide bar). The 509 logo and “FIVE O NINE” are printed on the 509 helmets. The 509 logo and “Polaris” are printed on the 509 for Polaris helmets.Brand/ModelSizesColorsYear(s) of ManufactureRemedy509 Tactical 3.0 Helmets (Youth, Mountain, and Trail)Youth small (YSM) to large (YLG)Adult XS to 4XLVarious&nbsp;All&nbsp;Replacement, refund or credit509 for Polaris Tactical 3.0 Helmets (Youth and Mountain)Youth small (YSM) to large (YLG)Adult XS to 4XLVarious&nbsp;All&nbsp;Replacement, refund or credit509 Tactical 2.0 HelmetsSmall/MediumVarious&nbsp;2023Replacement, refund or credit509 for Polaris Tactical 2.0 HelmetsSmall/MediumVarious2023Replacement, refund or credit509 Tactical 2.0 Helmets with Fidlock®Adult XS to 4XLVarious&nbsp;2020 to presentRepair509 for Polaris Tactical 2.0 Helmets with Fidlock®Adult XS to 4XLVarious&nbsp;2020 to presentRepair509 Altitude 2.0 Helmets with Fidlock®Adult XS to 4XLVarious&nbsp;2020 to presentRepair509 for Polaris Altitude 2.0 Helmets with Fidlock®Adult XS to 4XLVarious2020 to presentRepair509 Delta R3L Helmets with Fidlock®Adult XS to 2XLVarious2020 to presentRepair509 for Polaris Delta R3L Helmets with Fidlock®Adult XS to 4XLVarious2020 to presentRepair509 Delta R4 Helmets with Fidlock®Adult XS to 2XLVarious&nbsp;2020 to presentRepair509 for Polaris Delta R4 with Fidlock®Adult XS to 2XLVarious2020 to presentRepair509 Delta V Helmets with Fidlock®Adult S to 4XLVarious&nbsp;2020 to presentRepair509 for Polaris Delta V Helmets with Fidlock®Adult XS to 4XLVarious&nbsp;2020 to presentRepair509 Mach III Helmets with Fidlock®Adult XS to 2XLVarious&nbsp;2020 to presentRepair509 Mach IV Helmets with Fidlock®Adult XS to 2XLVarious&nbsp;2020 to presentRepair509 Mach V Helmets with Fidlock®Adult S to 3XLVarious2020 to presentRepair","The recalled helmets fail to provide sufficient protection in the event of a crash, posing a risk of head injury.",,,"Refund, Replace, Repair","About 201,200 (In addition, about 26, 800 in Canada) ","The firm received one incident where the rider’s helmet became detached during a crash, resulting in a concussion.","Consumers should immediately stop using the recalled helmets.&nbsp;Consumers with a recalled “509” branded Tactical 3.0 or Tactical 2.0 (small/medium manufactured in 2023) helmet should contact 509 for instructions on how to participate in the recall and to receive a choice of a refund (if purchased online), or a credit to be used on 509’s website or a replacement helmet.&nbsp;Consumers with a recalled “509 for Polaris” branded Tactical 3.0 or Tactical 2.0 (small/medium manufactured in 2023) helmet should contact Polaris for a choice of a refund, a credit to use at a Polaris dealership or on the Polaris website, or a replacement helmet. Proof of purchase is not required. All helmets should be discarded in the local household trash after consumers have confirmed their helmet is being recalled by 509 or Polaris and follow the destruction instructions located on the website.Polaris is also providing their customers who have the recalled 509 and 509 for Polaris helmets with Fidlock®, with instructions on how to inspect the webbing on the chin strap to make sure it is repaired, by routing it correctly. 509 and Polaris are contacting all known purchasers directly.","Sold At","Online at www.ride509.com and www.polaris.com and at 509 and Polaris dealers nationwide from January 2020 through May 2025 for between $140 and $900.","Teton Outfitters LLC, dba 509, a Polaris subsidiary, of Rigby, Idaho",,,China,,
25-359,,"June 26, 2025",,"Bell Sports Recalls Bicycle Helmets Due to Risk of Head Injury; Violation of Federal Standard for Bicycle Helmets","Bell Sports Bicycle Helmets","This recall involves Bell Sports’ Axle, Cadence, Rev and Frenzy children’s bicycle helmets with model numbers B0605Y, B0605C or B0494Y, and Cadence and Passage adult helmets with model number B0605Y. The helmets were sold in the following colors or color combinations: blue, green, purple, red, pink, black/blue, green/black, pink/green, pink/purple, pink/white, purple/white, red/black, pink/mint or multi-color; and have various designs, including checkers, lines, polka dots, rainbows and swirls.&nbsp;The model name, the model number, and the manufacture date in MM/YY or M/YY format can be found on a sticker inside the helmet.&nbsp;Model NumberModel NameColor(s)Manufacture DateB0494YAxlePink/Purple and Pixels Green9/24B0605CCadenceRainbow Road10/24Red9/24Pink/White Checkers9/24 and 10/24Black/Blue10/24Blue/Black and Purple/White8/24, 9/24 and 10/24&nbsp;RevRed/Black Swirl8/24 and 9/24B0605YCadenceBlack/Red&nbsp;9/24Pink/MintBlack/Blue&nbsp;PurplePink PolkaGreen/BlackFrenzyBlue/Black and Pink ScubaPassageBlue Comet&nbsp;","The recalled helmets do not comply with the impact requirements of the Consumer Product Safety Commission’s (CPSC) mandatory federal safety standard for bicycle helmets. The helmets can fail to protect the user in the event of a crash, posing a risk of head injury.",,,Refund,"About 31,200 (In addition, about 480 were sold in Canada)","None reported","Consumers should stop using the recalled helmets immediately and contact Bell Sports for a full refund. Consumers should destroy the recalled helmet by cutting the straps off the helmet. Consumers can upload photos of the helmet with the straps cut off to&nbsp;consumersupport-bell@bellhelmets.com to obtain a refund. Bell Sports is contacting all known purchasers directly.&nbsp;","Sold At","Walmart, Target, Academy Sports+ Outdoors and other stores nationwide and online on www.Amazon.com, FredMeyer.com, Academy.com and Target.com from September 2024 through May 2025 for about $20.",,"Bell Sports Inc., of Irvine, California",,"United States",,
25-103,,"January 23, 2025",,"NQDTPBOR Helmets Recalled Due to Risk of Head Injury; Violation of Federal Regulations for Bicycle Helmets; Sold Exclusively on Amazon.com by TPBOR","NQDTPBOR Multi-Purpose Helmets","This recall involves NQDTPBOR-branded multi-purpose helmets for teens. The recalled helmets were sold in sizes small (S), fitting a head circumference of about 18 to 20.5 inches, and medium (M), fitting a head circumference of about 20.5 to 22 inches. The helmets are sold in colors blue, pink, purple, green, and black, with black padding, black straps, and a black and red buckle. “NQDTPBOR” is printed on the side of the helmet.","The helmets do not comply with the positional stability, impact, labeling and certification requirements of the mandatory federal safety regulation for bicycle helmets. The helmets can fail to protect the wearer in the event of a crash, posing a risk of head injury.",,,Refund,"About 684","None reported","Consumers should stop using the recalled helmets immediately and contact TPBOR for a full refund. To receive a refund, consumers should destroy the helmet by cutting the straps, then take a photo, and send the photo to the recalling firm by email at&nbsp;nqdtpbor@outlook.com. After submitting proof of destruction, consumers should dispose of the recalled helmet. TPBOR and Amazon are contacting all known purchasers directly.","Sold Online At","Exclusively at Amazon.com from May 2024 through August 2024 for about $23.","CLSYS International Inc., of New York",,,China,Retailer:,"Yiwu Baqianliu Trading Co. Ltd., dba TPBOR, of China"
