"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26-350,,"March 26, 2026",,"MPINOI Adult Portable Bed Rails Recalled Due to Risk of Serious Injury or Death from Entrapment and Asphyxiation; Violate Mandatory Standard for Adult Portable Bed Rails; Sold on Amazon by Bioenrrty","MPINOI Adult Portable Bed Rails","This recall involves MPINOI-branded adult portable bed rails. The white metal bed rails measure about 15 inches wide by 26 inches tall and have an extendable handle with gray padding and a black storage mesh pocket. “MPINOI” is printed on the mesh pocket.&nbsp;","The recalled bed rails violate the mandatory standard for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN"">adult portable bed rails because users can become entrapped within the bed rail, or between the bed rail and the side of the mattress, posing a serious entrapment hazard and risk of death by asphyxiation. In addition, the bed rails do not bear the required hazard warning labels.",,,Refund,"About 200","None reported","Consumers should stop using the recalled adult portable bed rails immediately and contact Bioenrrty for a full refund. Consumers will be asked to destroy the bed rails by cutting the black safety strap in half and writing “RECALLED” on the upper and lower rails with permanent marker, take a photo of the destroyed rails and email the photo to MPINOIproductrecall@outlook.com.&nbsp;","Sold Online At","Amazon.com from December 2025 through February 2026 for about $30.","Guangzhou Aoran Trading Co., Ltd., dba Bioenrrty, of China",,,China,,
26-344,,"March 26, 2026",,"Sunnyyes LED Mini Lights Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates Mandatory Standard for Consumer Products with Coin Batteries","Sunnyyes LED Mini Lights","This recall involves Sunnyyes branded LED mini lights. The recalled color changing lights have 13 colors. Each of the 10 multicolored lights includes two CR2032 lithium coin batteries. The lights include two remote controls that contain one CR2025 coin lithium battery each. The LED lights measure 1.18 inches in diameter.","The recalled LED lights violate the mandatory standard for consumer products containing button cell or coin batteries because the lights contain lithium coin batteries that can be accessed easily by children, posing an ingestion hazard. Additionally, the screw used on the remote controls to secure the battery compartments that contain a lithium coin battery does not remain attached. Also, the packaging does not have the warnings as required by&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines…’s Law. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns and death.",,,Refund,"About 26,000","None reported","Consumers should stop using the recalled LED lights immediately and place them in an area where children cannot access them. Consumers will be asked to disassemble and submerge all components in water. To receive a full refund, consumers will be asked to email a photo of the submerged product to&nbsp;usa@sunnyyes.com.Note:&nbsp;Button cell and coin batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.","Sold Online At","Amazon.com from March 2024 through March 2026 for about $20.",,,,China,Retailer:,"Huizhoushi Chuanglianxin Technology Co., Ltd, dba Sunnyyes, of China"
26-341,,"March 26, 2026",,"Vive Health Recalls Adult Portable Bed Rails Due to Risk of Serious Injury or Death from Entrapment and Asphyxiation; Two Deaths Reported","Vive Health Bed Rails","Washington, D.C. -- The U.S. Consumer Product Safety Commission (CPSC) and Vive Health LLC, of Naples, Florida, are announcing the recall of three models of Vive Health adult bed rails. The recalled bed rails pose a risk of entrapment and asphyxia because users can become entrapped within the rail or between the rail and mattress.Vive Health has received two reports of entrapment deaths associated with one model of the recalled bed rails. The deaths occurred in September 2024 and involved a 97-year-old man at an assisted living facility in Texas and a 93-year-old man at his home in Florida.Consumers should stop using the recalled bed rails immediately and contact Vive Health for a full refund.This recall involves the Vive Health Compact Bed Rail (model LVA2009SLV) and Bed Rail Collection V (model LVA2097SLV), as well as units of the Vive Health Bed Rail model LVA1024 purchased on or before August 21, 2023. Vive Health previously recalled units of model LVA1024 purchased after August 21, 2023, on&nbsp;February 19, 2026. The recalled bed rails are made of silver or white metal tubing with a black foam rubber grip handle. The recalled bed rails may not contain model numbers or brand-specific labels.Vive Health sold about 122,000 units of the recalled bed rails at medical supply stores nationwide and online at&nbsp;www.vivehealth.com, Amazon and online medical supply stores. The bed rails were sold from September 2019 through December 2025 for between $45 and $90. They were manufactured in China.&nbsp;Consumers should stop using the recalled bed rails immediately and contact Vive Health for a full refund.CPSC urges consumers to report any related incidents to the agency at&nbsp;www.SaferProducts.gov.","When the recalled bed rails are attached to a bed, users can become entrapped within the bed rail or between the bed rail and the side of the mattress. This poses a serious entrapment hazard and risk of death by asphyxiation.",,,Refund,"About 122,000","Vive Health has received two reports of entrapment deaths associated with one model of the recalled bed rails. The deaths occurred in September 2024 and involved a 97-year-old man at an assisted living facility in Texas and a 93-year-old man at his home in Florida.","Consumers should stop using the recalled Vive Health Bed Rails immediately and contact Vive Health for a full refund. Consumers should write “RECALLED” on the upper and lower portions of the bed rails with permanent marker and take a photo of the marked bed rail with the buyer’s name on a piece of paper and email to&nbsp;recalls@vivehealth.com. Consumers should then dispose of the recalled product in accordance with the state and local waste disposal procedure.","Sold At","Vive Health sold about 122,000 units of the recalled bed rails at medical supply stores nationwide and online at www.vivehealth.com, Amazon and online medical supply stores. The bed rails were sold from September 2019 through December 2025 for between $45 and $90.",,,,China,,
26-340,,"March 26, 2026",,"4our Kiddies Tip Restraint Kits Recalled Due to Tip-Over Hazard; Risk of Serious Injury and Death","4our Kiddies Plastic Tip Restraint Kits","This recall involves defective plastic tip restraint kits (also referred to as furniture straps) manufactured by 4our Kiddies. The recalled tip restraint kits contain two white plastic brackets/mounts (one for connection to furniture and the other for connection to the wall), a white plastic cable zip tie, two different pairs of screws (one longer than the other) and two drywall anchors.The plastic in the brackets/mounts and the cable zip tie can break or degrade over time, which could lead to furniture tipping over if a consumer interacts with furniture that was secured by the recalled product. CPSC testing revealed that the recalled plastic tip restraints failed to meet the requirements of the industry standard for tip restraints.CPSC’s Anchor It! website,&nbsp;www.anchorit.gov/, has educational materials available to the public, including important instructions for properly anchoring furniture to prevent tip-overs.","The recalled plastic tip restraint kits (also referred to as furniture straps) can break or degrade, posing tip-over and entrapment hazards that can result in serious injuries or death to children or elderly consumers interacting with furniture that is secured to the wall with the defective plastic tip restraints. This is a hidden defect because consumers who purchase and install this product may be under a false sense of security that their furniture is safe from a tip-over incident.",,,Replace,"About 253,500","CPSC is aware of at least 150 incidents where consumers reported that the defective plastic tip restraint kits broke, including three reported tip-over incidents.","Consumers should stop using 4our Kiddies plastic tip restraints immediately and contact 4our Kiddies for a free replacement tip restraint kit made of stainless steel. Consumers should keep children away from the unit while waiting for a replacement tip restraint kit and should dispose of the recalled tip restraint in their household trash once they have installed the replacement tip restraint.","Sold Online At","Amazon.com from June 2019 through January 2026 for between $6 and $21.","Shenzhen City Donglin E-Commerce Co., Ltd d/b/a 4our Kiddies, of China",,,China,,
26-329,,"March 19, 2026",,"Tainoki Fine Furniture Recalls Office Chairs Due to Risk of Serious Injury and Fall Hazard","Swivel Office Chairs","This recall involves height-adjustable, swivel office chairs designed for desk use. The chairs feature an upholstered padded seat, backrest headrest, and two padded armrests supported by chrome-finished metal bars. The following model names, model numbers, and colors are included in this recall: Noah Office Chair, model number M7016O in Cream, Jiffy, French Roast, and Black; the Owen Office Chair, model number M7004O in Cream, Black, Merlin, Jiffy and Wade; the Warren Office Chair, model number M7074O in Taupe and Justin's. The model numbers can be found on the label on the underside of the chair seat. The chairs sit on a five-star chrome metal base with five black rolling casters.","The recalled chairs’ base can bend, posing a fall hazard.",,,Refund,"About 2,200","None reported","Consumers should stop using the recalled chairs immediately and visit&nbsp;https://www.tainoki.com/recall for instructions on how to participate in the recall. Consumers will be asked to submit photos of the recalled chairs, the model number and proof of destruction for a full refund.","Sold At","HomeGoods stores nationwide from August 2025 through December 2025 for between $180 and $200.","Tainoki Fine Furniture, of Brea, California",,,China,,
26-323,,"March 12, 2026",,"17 Stories Furniture 14-Drawer Dressers Recalled Due to Risk of Serious Injury or Death from Tip-Over and Entrapment Hazards; Violates Mandatory Standard for Clothing Storage Units; Imported by Hong Kong Baojia International","17 Stories Furniture 14-Drawer Dressers","This recall involves 17 Stories Furniture 14-Drawer Dressers. The recalled dressers were sold in the following colors: black, white, and brown. They have 14 fabric drawers and are 11.8 inches long by 37.4 inches wide by 52.2 inches tall. They have a metal frame, wooden top and 14 collapsable fabric drawers. Model numbers 55SCDR14KDBRDL, 55SCDR14KDCHDL, 55SCDR14KDPDL, 55SCDR14KDWPVCDL, and 55SCDR14KDGDL can be found on the product’s packaging, or on the order information in your Wayfair account.","The recalled dressers are unstable if they are not anchored to the wall, posing tip-over and entrapment hazards that can result in risks of serious injuries or death to children. The dressers violate the mandatory standard as required by the&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… Act.",,,Refund,"About 3,000","None reported","Consumers should immediately stop using the recalled dressers if they are not anchored to the wall and place them in an area that children cannot access. Contact Hong Kong Baojia International for instructions on how to identify affected units and dispose of the dressers to receive a full refund. Consumers will be asked to submit a photo to&nbsp;Baojia_recall@outlook.com demonstrating disposal of the product.","Sold Online At","Wayfair.com from September 2023 through January 2026 for about $135.","Hong Kong Baojia International Limited, of China",,,China,,
26-321,,"March 12, 2026",,"LIVEHOM 11-Drawer Dressers Recalled Due to Risk of Serious Injury or Death from Tip-Over and Entrapment Hazards; Violates Mandatory Standard for Clothing Storage Units; Sold on Amazon by Simplehome","LIVEHOM 11-Drawer Dressers","This recall involves LIVEHOM-branded 11-Drawer Dressers. The recalled dressers are made of fabric and were sold in black, white, pink, rustic brown and charcoal black. They measure about 11.8 inches long, 39 inches wide and 46 inches tall and have 11 fabric drawers.&nbsp; The brand name can be found on the product sale receipt.","The recalled dressers are unstable if they are not anchored to the wall, posing tip-over and entrapment hazards that can result in risks of serious injuries or death to children. The dressers violate the mandatory safety standard as required by the&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… Act.",,,Refund,"About 370","None reported","Consumers should immediately stop using the recalled dressers if they are not anchored to the wall and place them in an area that children cannot access. Contact Simplehome for a full refund. Consumers will be asked to write “RECALL” with permanent marker on the dressers and send a photo of the marked dressers to livehomerecall@163.com. Consumers should then dispose of the recalled product.","Sold Online At","Amazon.com from December 2025 through January 2026 for about $110.",,,,China,Retailer:,"Shenzhen Lvmukeji Co., Ltd., dba Simplehome, of China"
26-305,,"February 26, 2026",,"SumDirect LED Mini Lights Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates Mandatory Standard for Consumer Products with Button Cell Batteries","SumDirect LED Mini Lights","This recall involves SumDirect-branded LED mini lights. The recalled blinking lights rotate and have a built-in loop for hanging. Each of the 24 multicolored lights includes three preinstalled LR41 button cell batteries.","The recalled LED lights violate the mandatory standard for consumer products containing button cell or coin batteries because they contain button cell batteries that can be accessed easily by children, posing an ingestion hazard. Additionally, the LED lights do not have the warnings as required by https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">Reese’s Law. When button cell and coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns and death.",,,Refund,"About 1,600","None reported","Consumers should immediately stop using the recalled LED lights, place them in an area that children cannot access and properly dispose of the batteries. Contact SumDirect for a full refund. Consumers will be asked to send a photo of the product in the trash to recall@dgfuxin.cn.Note: Button cell and coin batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.&nbsp;","Sold Online At","Amazon.com from January 2016 through November 2025 for about $23.",,,,China,Retailer:,"Dongguan Fuxin E-Commerce Co., Ltd., dba SumDirect, of China"
26-278,,"February 26, 2026",,"PQL Recalls High Bay Linear LED Light Fixtures Due to Fire Hazard","High Bay Linear LED light fixtures","This recall involves&nbsp;High Bay Linear LED light fixtures. The fixtures are rectangular, white, metal, and are available in either 2-foot or 4-foot-wide configurations.&nbsp;2-foot-wide models:55202, 55203, 55208, 55209, 55209-WC, 55213, 55214, 55222, 55223, 55225, 55226, 55227, 55228, 55360, 55361, 55362, 55363, 55477, 55478, 55480, 55481, 55482, 55483, 55484, 55485, 55504, 55505, 55506, 55507, 55508, 55511, 55512, 55514, 55515, 55518, 55534, 55535, 55536, 55537, 55538, 55539, 55710, 55711, 55712, 55713, 55714, 55715.4-foot-wide models:55213, 55214, 55215, 55230, 55231, 55232, 55364, 55365, 55366, 55367, 55487, 55491, 55492, 55510, 55521, 55716, 55717, 55720, 55722.The model numbers can be found on the back of the fixture.&nbsp;","The retaining pins used to secure the LED board inside some units can degrade, allowing the LED board to come loose inside the fixture, posing a fire hazard.",,,Repair,"About 186,520","The firm has received one report of a LED light fixture catching fire. No injuries have been reported.","Consumers should immediately stop using the High Bay Linear LED light fixtures and contact PQL for free replacement retaining pins. Consumers should register their product at&nbsp;https://pqlighting.com/product-recall-notice.","Sold At","Stores Nationwide including LED Indy, Universal Lighting of America, Inc, and Independent Lighting, and online from January 2016 through June 2025 for between $50 to $350.","PQL, Inc., of Simi Valley, California","Jiangsu Ever-Tie Lighting Co., Ltd, of China",,"Hong Kong",,
26-276,,"February 19, 2026",,"Prismatic 3D Prints Recalls Book Nooks Due to Risk of Serious Injury or Death from Battery Ingestion; Violates Mandatory Standard for Consumer Products with Coin Batteries and Statute for Battery Packaging","Prismatic 3D Prints Book Nooks with Lights","This recall involves Prismatic 3D Prints Book Nooks with Lights. The book nooks are bookshelf decorations meant to be placed in between books. The book nooks come in three designs: Fantasy Window, Gothic Cathedral Window, and Gothic Cathedral Window that are a set of three.&nbsp;The book nooks were sold in a variety of different colors for the frame and window. Frame colors include antique gold, pewter, black granite, white marble, and black. Window colors include purple, red, yellow, green, and blue. The base of the book nooks has a circular recess behind the window for holding spare CR2032 coin cell batteries. The words “extra battery” is embedded in the plastic in the recess.","The recalled book nooks violate the mandatory standard for consumer products containing button cell or coin batteries because the nooks include a spare lithium coin battery that can be easily accessed by children. In addition, the spare coin battery is not in child resistant packaging, and the packaging does not have the warnings as required by&nbsp;https://www.cpsc.gov/Newsroom/News-Releases/2023/Making-Families-Safer-…’s Law. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns and death.",,,Repair,"About 1,770","None reported","Consumers should stop using the book nooks immediately, remove the batteries and place them in an area that children cannot access. Consumers should contact Prismatic 3D Prints for instructions on receiving a free repair kit. The repair kit will include a part to permanently cover the spare battery holder and installation instructions.Note: Button cell batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.","Sold Online At","Etsy.com from March 2025 through October 2025 for between $25 and $72.",,,,"United States",Retailer:,"Prismatic 3D Prints LLC of Loveland, Colorado"
