"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26-276,,"February 19, 2026",,"Prismatic 3D Prints Recalls Book Nooks Due to Risk of Serious Injury or Death from Battery Ingestion; Violates Mandatory Standard for Consumer Products with Coin Batteries and Statute for Battery Packaging","Prismatic 3D Prints Book Nooks with Lights","This recall involves Prismatic 3D Prints Book Nooks with Lights. The book nooks are bookshelf decorations meant to be placed in between books. The book nooks come in three designs: Fantasy Window, Gothic Cathedral Window, and Gothic Cathedral Window that are a set of three.&nbsp;The book nooks were sold in a variety of different colors for the frame and window. Frame colors include antique gold, pewter, black granite, white marble, and black. Window colors include purple, red, yellow, green, and blue. The base of the book nooks has a circular recess behind the window for holding spare CR2032 coin cell batteries. The words “extra battery” is embedded in the plastic in the recess.","The recalled book nooks violate the mandatory standard for consumer products containing button cell or coin batteries because the nooks include a spare lithium coin battery that can be easily accessed by children. In addition, the spare coin battery is not in child resistant packaging, and the packaging does not have the warnings as required by&nbsp;https://www.cpsc.gov/Newsroom/News-Releases/2023/Making-Families-Safer-…’s Law. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns and death.",,,Repair,"About 1,770","None reported","Consumers should stop using the book nooks immediately, remove the batteries and place them in an area that children cannot access. Consumers should contact Prismatic 3D Prints for instructions on receiving a free repair kit. The repair kit will include a part to permanently cover the spare battery holder and installation instructions.Note: Button cell batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.","Sold Online At","Etsy.com from March 2025 through October 2025 for between $25 and $72.",,,,"United States",Retailer:,"Prismatic 3D Prints LLC of Loveland, Colorado"
26-177,,"January 08, 2026",,"RH Recalls Natural Antler Chandeliers Due to Impact Hazard","48” and 60” Natural Antler Chandeliers","This recall involves RH 48” and 60” diameter Natural Antler Chandeliers manufactured between September 2021 and October 2024 per customer special order and hung at an angle on a vaulted ceiling or sloped beam. The chandeliers are made from naturally shed elk antlers and were sold in three finishes: natural, sun-bleached and black. The 48” diameter chandelier measures about 48” tall and weighs about 40 pounds and was sold with SKU numbers 10036671NAT, 10036671SUNB and 10036671BLK. The 60” diameter chandelier measures about 36” tall and weighs about 45 pounds and was sold with SKU numbers 10035099NAT, 10035099SUNB and 10035099BLK. The SKU number is located on the order confirmation and printed on the receipt.","If the chandelier is hung at an angle on a vaulted ceiling or a sloped beam, the chandelier canopy hardware can break, causing the chandelier to detach and fall from the ceiling, posing an impact hazard.",,,Repair,"About 320","The firm has received four reports of canopy hardware components breaking and chandeliers detaching, including one report in which the chandelier fell to the floor. No injuries have been reported.","Consumers should keep clear of the area directly beneath the chandelier hung on a vaulted ceiling or sloped beam and contact RH to schedule a free in-home repair.&nbsp;A technician will replace the canopy hardware of 48” and 60” chandeliers installed on a vaulted ceiling or sloped beam.","Sold At","RH galleries and online at https://rh.com/us/en/ from September 2021 through October 2024 and RH Outlets nationwide from September 2021 through September 2025 for between $1,700 and $7,700.&nbsp;",,,,"United States",Retailer:,"RH US, LLC, of Corte Madera, California&nbsp;&nbsp;"
25-479,,"September 25, 2025",,"Persilux Brand Zebra Blinds Recalled Due to Strangulation and Entanglement Hazards and Risk of Serious Injury or Death; Violates Federal Rule for Window Coverings; Sold on Amazon","Persilux Zebra Blinds","This recall involves Persilux-branded zebra blinds. The recalled stock blinds were sold in beige, black, dark gray, light gray and white, with sizes ranging from 22 to 73 inches wide and&nbsp;64 to 72 inches high. “Persilux and “Zebra Blinds” is printed on the product packaging. “X003FFPT63” is printed on the barcode label.&nbsp;","The recalled blinds have long operating cords that can cause death or serious injury to children, due to strangulation and entanglement hazards. The blinds violate the federal rule for window coverings and present a substantial product hazard. In addition, the blinds also violate labeling requirements for window coverings.",,,Repair,"About 133,000","None reported","Consumers should immediately stop using the recalled blinds and contact Persilux for a free repair kit, including shipping. The repair kit consists of a replacement operating cord wand and installation instructions. Consumers should remove the blind, cut and remove the operating cord and send a photograph of the blinds, with the operating cord removed, to&nbsp;recall@persiluxhome.com.&nbsp;","Sold At","Amazon from June 2023 through June 2025 for between $40 and $124.","Zhejiang Xidamen New Material Co. Ltd., of China, doing business as Amazon seller Persilux",,,China,,
25-478,,"September 25, 2025",,"Autoez Brand Bamboo Shades Recalled Due to Strangulation and Entanglement Hazards and Risk of Serious Injury or Death; Violates Federal Rule for Window Coverings; Sold on Walmart.com","Autoez Bamboo Shades","This recall involves Autoez-branded bamboo shades. The recalled bamboo shades were sold in brown, with sizes ranging from 24 to 72 inches wide and&nbsp;64 to 72 inches high. “Autoez” is printed on the sticker label on the top rail of the shades.","The recalled shades have long operating cords and accessible inner cords that can cause death or serious injury to children, due to strangulation and entanglement hazards. The shades violate the federal rule for window coverings and present a substantial product hazard. In addition, the shades also violate labeling requirements for window coverings.",,,Refund,"About 550","None reported","Consumers should immediately stop using the recalled shades and contact Autoez for a full refund. Consumers should remove the shades, cut the operating cord, write the word “Recalled” on the shades and dispose of the product in the garbage. Consumers should send a photograph of the destroyed window shades in the garbage to&nbsp;Autoez_recall@163.com.","Sold At","Walmart.com from September 2023 through May 2025 for between $21 and $50.","Sichuan Yunduan Renjia Trading Co. Ltd., of China, doing business as Walmart seller Autoez.",,,China,,
25-280,,"May 15, 2025",,"Leon Rading Recalls Digital Wall Clocks Due to Risk of Serious Injury or Death from Ingestion Hazard; Violations of Federal Regulations for Consumer Products with Coin Batteries; Sold Exclusively on Amazon.com","Digital Wall Clocks","This recall involves digital wall clocks with model number PH-05. The digital wall clocks are rectangular and black in color. A yellow label on the rear of the clock states “Contact for warranty! support@te-rich.com.” The clocks come with a black nine-button remote control. “MODEL: PH-05” is printed on the white product packaging. &nbsp;","The recalled digital wall clocks violate the mandatory federal regulations for consumer products containing button cell or coin batteries. The remote control for the clock has a lithium coin battery that can be easily accessed by children, posing an ingestion hazard.&nbsp;In addition, the recalled products do not have the warnings required under&nbsp;https://www.cpsc.gov/Newsroom/News-Releases/2023/Making-Families-Safer-…’s Law. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns and death.",,,Refund,"About 2,016","None reported","Consumers should immediately stop using the recalled digital wall clock’s remote control, remove the lithium coin battery from the remote and dispose of or recycle it in accordance with local hazardous waste procedures. Consumers should write “RECALLED” in permanent marker on the remote and then email a photo of the remote being disposed of in the trash to&nbsp;recall@lianaocoltd.com to receive a full refund for the recalled digital clock. Leon Rading&nbsp;and Amazon are contacting all known purchasers directly.Note:&nbsp;Button cell batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.&nbsp;","Sold At","Exclusively at www.Amazon.com from November 2024 through January 2025 for about $23.","Leon Rading Co. Ltd., of Owatonna, Minnesota",,,China,,
25-233,,"April 24, 2025",,"Window Roll Up Shades Recalled Due to Strangulation and Entanglement Hazards and Risk of Serious Injury or Death; Violation of Federal Regulations for Window Coverings; Sold Exclusively on SHEIN.com by LuckupShein","LuckupShein Window Roll Up Shades","This recall involves&nbsp;LuckupShein window roll up&nbsp;shades. The&nbsp;shades were sold in white,&nbsp;gray and black, and in sizes ranging between 20 and 44 inches wide and&nbsp;72 inches high.&nbsp;“Desheng” is printed on the label on the&nbsp;top&nbsp;of valance cover.","The recalled window shades have long operating cords that can cause death or serious injury to children, due to strangulation and entanglement hazards. The window shades are in violation of the federal regulations for window coverings and present a substantial product hazard. The window shades also violate federal regulations for labeling of window coverings.&nbsp;",,,Repair,"About 545","None reported","Consumers should immediately stop using the recalled window shades, cut the operating cord and contact LuckupShein to receive a free repair, consisting of a replacement operating cord device. Consumers will be asked to send a photo of the recalled product with the operating cord cut&nbsp;to&nbsp;luckupshein@163.com.&nbsp;Once the firm receives the picture of the product with the original cord cut, consumers will be sent a replacement operating cord wand device with installation instructions.&nbsp;","Sold Exclusively Online","us.SHEIN.com from May 2023 through December 2024 for between $34 and $52.",,,,China,Retailer:,"LuckUpShein, of China"
25-234,,"April 24, 2025",,"Roll Up Window Blinds Recalled Due to Risk of Serious Injury or Death from Strangulation and Entanglement Hazards; Violation of Federal Regulations for Window Coverings; Sold Exclusively on Amazon.com by BTAMREE","Roll Up Window Blinds","This recall involves corded BTAMREE roll up window blinds. The bamboo blinds were sold in brown and natural (tan) and in sizes ranging between&nbsp;24 and&nbsp;72 inches wide and&nbsp;72 inches high. “BTAMREE” is printed on the label sticker.","The recalled window blinds have long operating cords that can cause death or serious injury to children, due to strangulation and entanglement hazards.&nbsp;The window blinds are in violation of the federal regulations for window coverings and present a substantial product hazard.",,,Refund,"About 20,380","None reported","Consumers should immediately stop using the recalled window blinds and contact BTAMREE for a full refund. Consumers should remove the window blind, mark it with the word “Recalled” and dispose of the product in the garbage. Consumers should take a photograph of the window blinds destroyed in the garbage and upload the photo to&nbsp;sales@cy-bamboo.com to register their product and to receive a refund.&nbsp;BTAMREE is contacting all known purchasers directly.","Sold At","Amazon.com from May 2021 through December 2024 for between $30 and $100.","AnJi ChenYiZhuMuZhiPin YouXianGongSi, cy.curtain bright, d/b/a BTMAREE, of China",,,China,,
25-230,,"April 17, 2025",,"Joydeco Roller Window Shades Recalled Due to Strangulation and Entanglement Hazards and Risk of Serious Injury or Death; Violation of Federal Regulations for Window Coverings; Sold on Amazon.com by Shanghai Chushuo Electronic Commerce Co.","Joydeco Roller Window Shades","This recall involves Joydeco Roller Window Shades sold exclusively on Amazon.com. The roller shades were sold in multiple colors, including beige, light gray and white&nbsp;with sizes ranging from a width of&nbsp;20-70 inches and&nbsp;height of&nbsp;75 inches. Joydeco is printed on the label sticker on the headrail.","The recalled roller shades have long operating cords that can cause death or serious injury to children, due to strangulation and entanglement hazards. The window coverings are in violation of the federal regulations for window coverings and present a substantial product hazard. The shades also violate labeling requirements for window coverings.",,,"Refund, Repair","About 73,000","None reported","Consumers should immediately put the window shade’s cords up and away from children and contact Shanghai Chushuo Electronic Commerce Co.&nbsp;Ltd to receive a full refund or free replacement operating cord wand. Consumers must send a photo of the recalled product with the operating cord cut to&nbsp;amazonservice@joydeco.com. Once the firm receives the photo, consumers will receive a repair kit with installation instructions through&nbsp;Shunfeng Express or UPS. The firm is contacting all known purchasers directly.","Sold Exclusively At","Amazon.com from September 2021 through September 2024 for between $26 and $80.","Shanghai Chushuo Electronic Commerce Co. Ltd., of China",,,China,,
25-198,,"March 27, 2025",,"LINKCOO Blackout Roller Window Shades Recalled Due to Strangulation and Entanglement Hazards and Risk of Serious Injury or Death; Violation of Federal Regulations for Window Coverings; Sold Exclusively on Amazon.com by LINKCOO","LINKCOO Blackout Roller Window Shades","This recall involves LINKCOO corded window shades. The roller shades were sold in white, gray and black, and in sizes ranging between&nbsp;10 and&nbsp;75 inches wide and&nbsp;79 inches high. “LINKCOO” is printed on the label sticker on the shades’ lower pole.&nbsp;","The recalled window shades have long operating cords that can cause death or serious injury to children, due to strangulation and entanglement hazards. The window shades are in violation of the federal regulations for window coverings and present a substantial product hazard. The window shades also violate federal regulations for labeling of window coverings.",,,Repair,"About 16,300","None reported","Consumers should immediately stop using the recalled window coverings, cut their cord and contact LINKCOO to receive a free repair, consisting of a replacement operating cord device. Consumers will be asked to send a photo of the recalled product with the operating cord cut to&nbsp;recalllinkcoo@163.com. Once the firm receives the photo, consumers will be sent a replacement short operating cord with installation instructions. Amazon is contacting all known purchasers directly.","Sold Exclusively Online","Amazon.com from December 2022 through September 2024 for between $20 and $88.",,,,China,Retailer:,"Wenzhou Lingtuo Shangmao Youxiangongsi, dba LINKCOO, of China"
25-163,,"February 27, 2025",,"Allesin Blackout Roller Window Shades Recalled Due to Strangulation and Entanglement Hazards and Risk of Serious Injury or Death; Violation of Federal Regulations for Window Coverings; Sold Exclusively on Amazon.com by Allesin","Allesin Blackout Roller Window Shades","This recall involves Allesin corded window shades. The roller shades were sold in white, gray and dark gray, and in sizes ranging between&nbsp;20 and&nbsp;58 inches wide and&nbsp;72 inches high. “Allesin” is printed on the label sticker on the shades’ headrail.","The recalled window shades have long operating cords that can cause death or serious injury to children due to strangulation and entanglement hazards. The window shades are in violation of the federal regulations for window coverings and present a substantial product hazard.&nbsp;The window shades also violate federal regulations for labeling of window coverings.",,,Refund,"About 3,800","None reported","Consumers should immediately stop using the recalled window coverings, cut their cord and contact Allesin to receive a full refund. Consumers will be asked to upload a photo of the recalled product with the operating cord cut to&nbsp;chinahert_fighting@outlook.com. Once the firm receives the photo, consumers will receive a refund through the original form of purchase payment. Amazon is contacting all known purchasers directly.","Sold Exclusively Online","Amazon.com from September 2023 through September 2024 for between $29 and $58.",,"Allesin US Store Ltd., of China",,China,,
