"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26-260,,"February 12, 2026",,"LShome Photoelectric Smoke Detector Fire Alarms Recalled Due Failure to Warn During Fire Posing Serious Injury or Death Hazard; Sold Exclusively on Amazon.com by TIANJINSHIHAOWEIXINSHENGJIDIANANZHUANGGONGCHENG","3-Pack Smoke Detector Fire Alarms","This recall involves 3-Pack Smoke Detector Fire Alarms. The alarms are 9V battery operated and have a light sound warning and test button. The alarms are white and circular in shape. Model number “XG-7D04-KZ9Z"" and SKU number “CX-50YP-A5VN"" are printed on the bottom side of the alarm.&nbsp;","If the sensing threshold of security warnings is set too high, the alarm might not sound in a timely manner, posing a fire hazard.&nbsp;",,,Refund,"About 4,800","None reported.","Consumers should immediately stop using the smoke detector fire alarms and contact&nbsp;lmm15957491237@163.com for instructions on how to receive a full refund through Amazon.com. Smoke alarms can be discarded in the household trash.&nbsp;","Sold Online At","Amazon.com from February 2024 through December 2025 for about $30.",,,,China,Retailer:,"TIANJINSHIHAOWEIXINSHENGJIDIANANZHUANGGONGCHENG, of China"
25-322,,"June 05, 2025",,"Apollo America Recalls Combination Smoke and Carbon Monoxide (CO) Detectors Due to Failure to Alert Consumers to a Fire or Carbon Monoxide Leak; Risk of Serious Injury or Death; Sold Exclusively by Vivint","Apollo America 51000-600 Combination Smoke and Carbon Monoxide Detectors","This recall involves Apollo America Combination Smoke and Carbon Monoxide Detectors with model number 51000-600. The recalled detector was sold in a white color. The front of the recalled detector has the text “Replace by” followed by a date ranging from 2034/June to 2034/October. “Apollo” and the model number 51000-600 are on the back of the detector.Note:&nbsp;If you choose to dispose of the detector’s primary/non-rechargeable lithium battery, do not throw the battery in the trash, or in the general recycling stream (e.g., street-level or curbside recycling bins). Lithium batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center or battery recycling boxes found at various retail and home improvement stores may accept this lithium battery for disposal. Before taking your battery to a HHW collection center, contact that office ahead of time and ask whether it accepts lithium batteries. If it does not, contact your municipality for further guidance.","The recalled detectors can malfunction and fail to alert consumers of a fire or carbon monoxide (CO) leak, posing a risk of smoke inhalation, carbon monoxide poisoning or death.",,,Replace,"About 50,000","None reported","Vivint is sending a free replacement detector to all known purchasers. Consumers should continue using the recalled detectors until they install the replacement detector. Consumers should install the replacement detector immediately upon receipt. Detailed instructions on how to remove the recalled detector and install the replacement can be found here:&nbsp;Replacement Guide. Consumers should contact Vivint with questions about whether their detector is included in this recall or the status of their replacement detector. Once the replacement detector is installed, consumers should write “recalled” on the original product, remove the batteries, dispose of the detector in their household garbage, and dispose of the batteries in accordance with local and state regulations.&nbsp;Consumers can review&nbsp;Protect Your Family from Carbon Monoxide Poisoning | CPSC.gov&nbsp;for more information about preventing carbon monoxide poisoning.","Sold Exclusively At","Online at www.Vivint.com and via door-to-door and telephone sales by Vivint from June 2024 through October 2024 for between $50 and $100.",,"Apollo America Inc., of Auburn Hills, Michigan",,"United States",Retailer:,"Vivint, of Lehi, Utah"
25-095,,"January 16, 2025",,"Three61 Recalls Samurai Mini Smoke Alarms Due to Failure to Alert Consumers to a Fire; Sold Exclusively by HSN","Samurai Mini Smoke Alarms","This recall involves Samurai-branded mini smoke alarms, model number SM1. The white and silver plastic smoke alarms measure about 2.5 by 2.5 by 2.5 inches. They were sold in packs of two or three alarms and came with lithium-ion batteries, adhesive stickers, screws, mounting plates and an instruction manual. “Smoke” appears on the front of the alarm below a button and “installed on” on the back. The model number is located on the product packaging.","The smoke alarms can malfunction and fail to alert consumers of a fire, posing a risk of smoke inhalation or death. Smoke sensitivity tests performed on the alarms by CPSC found that one of the detectors that was tested failed to alert when exposed to pre-determined concentrations of smoke.",,,Replace,"About 328,000","Three61 has received eight reports of the alarms failing to activate in the presence of smoke. No injuries have been reported.","Consumers should immediately contact Three61 for a free replacement alarm, including shipping. To register, consumers must write “Recalled” with a permanent marker on the smoke alarm and submit a photo of the marked product to the recall website at&nbsp;www.samuraibrands.com/recall. Once registered, the firm will immediately ship the replacement alarm. Consumers should keep the recalled smoke alarms installed until receiving the replacement alarm. Consumers should install the replacement alarms immediately upon receiving them. Three61 is contacting all known purchasers directly.Note: Recalled lithium-ion batteries should be disposed of in accordance with any local and state ordinances, following the procedures established by your municipal recycling center for damaged/defective/recalled lithium batteries, because these potentially hazardous batteries must be handled differently than other batteries. Do not throw this recalled battery in the trash. Do not deposit this recalled battery in used battery recycling boxes found at various retail and home improvement stores.","Sold At","Through HSN nationwide and online at HSN.com from July 2020 through November 2024 for between $40 and $50, depending on the amount purchased.","Three61 LLC, of Palm Harbor, Florida",,,China,,
25-060,,"December 05, 2024",,"Academy Sports + Outdoors Recalls Redfield 12- and 18-Gun Fireproof Safes Due to Serious Injury Hazard and Risk of Death","Redfield 12- and 18-Gun Fireproof Safes","This recall involves Academy Sports + Outdoors Redfield 12-Gun and 18-Gun Fireproof Safes. The 12-Gun Fireproof Safe has the model number 179498 and the 18-Gun Fireproof Safe has the model number 179499. “Redfield” is printed on the front door above the number pad. The model name and serial number are located on a red label at the bottom right corner of the safe door. The dark gray steel safes are used to store firearms and valuables. The 12-gun safe measures 53 inches high by 15 inches wide by 16 inches deep, and the 18-gun safe measures 55 inches high by 18 inches wide by 18 inches deep.ModelAffected Serial NumbersRedfield 12-Gun Fireproof SafeG02BXXXXXXXXXXG03BXXXXXXXXXXRedfield 18-Gun Fireproof SafeG10AXXXXXXXXXXG11AXXXXXXXXXXG12AXXXXXXXXXXG01BXXXXXXXXXXG02BXXXXXXXXXXG03BXXXXXXXXXX &nbsp;&nbsp;","The mechanical internal locking plates can fail to align and allow unauthorized users to open the gun safes, posing a serious injury hazard and risk of death.",,,"Refund, Replace","About 6,100","None reported","Consumers should immediately stop using the Redfield 12- and 18-Gun Fireproof Safes and return them to any Academy Sports + Outdoors store for a free replacement or a refund. Consumers can also contact Academy’s Customer Care to arrange for a replacement or refund.","Sold At","Academy stores and online at academy.com from February 2024 through August 2024 for between $350 and $600.","Academy Ltd., d/b/a Academy Sports + Outdoors, of Katy, Texas",,,Vietnam,,
25-045,,"November 14, 2024",,"New Cosmos USA Recalls Combination Natural Gas and Carbon Monoxide Alarms Due to Failure to Alert Consumers to the Presence of Natural Gas and to the Risk of Carbon Monoxide Poisoning","DeNova Detect Brand Combination Natural Gas and Carbon Monoxide Alarms","This recall involves the DeNova Detect brand combination natural gas and carbon monoxide alarms with model number DD622NCV. DeNova Detect, Natural Gas + Carbon Monoxide are printed on the front of the alarm. The model number is on the top side of the alarm. The serial number is on the right side of the alarm.","After alerting consumers to the presence of natural gas or carbon monoxide, the recalled alarm can go into sleep mode when the alert lasts less than four minutes. During this time, the alarms can fail to detect and alert consumers to a new incidence of natural gas or carbon monoxide, posing a risk of carbon monoxide poisoning.",,,Replace,"About 26,360","None reported","Consumers should immediately register online at&nbsp;www.denovadetect.com/safetynotice-dd622 to receive a prepaid shipping package and replacement alarm.&nbsp;Consumers should continue using the recalled alarms until they install the replacement alarms. Once they receive the replacement alarm, consumers should ship the recalled alarm back in the provided prepaid shipping package.Consumers can review&nbsp;Protect Your Family from Carbon Monoxide Poisoning | CPSC.gov&nbsp;for more information about preventing carbon monoxide poisoning.","Sold At","Lowe’s stores nationwide and online at Amazon.com, Lowes.com and Denovadetect.com from December 2023 through July 2024 for between $90 and $102.",,,"New Cosmos USA Inc., of Lisle, Illinois",Japan,,
24-255,,"June 06, 2024",,"SA Consumer Products Recalls Sanctuary Quick Access and Sports Afield Biometric Gun Safes Due to Serious Injury Hazard and Risk of Death","Sanctuary and Sports Afield Biometric Firearm Safes","This recall involves the Sanctuary Quick Access Biometric Home Safe and the Sports Afield Home Defense 4-Gun Biometric Safe. The black steel safes are used to store firearms and valuables. The Sanctuary Quick Access Biometric Home Safe measures 10 inches high by 14 inches wide by 10 inches deep, and the Sports Afield Home Defense 4-Gun Biometric Safe measures 55 inches high by 12 inches wide by 11 inches deep. The Sanctuary-branded safe has one shelf and can store approximately two firearms, while the Sports Afield-branded safe can store four firearms. The Sports Afield safe has the Sports Afield logo on the front of the safe.","The biometric lock on the gun safes can be opened by unauthorized users, posing a serious injury hazard and risk of death.",,,Repair,"About 133,370","The firm is aware of 77 reports of the safe being opened by unauthorized users. No injuries have been reported.","Consumers should immediately stop using the biometric feature of the recalled safe, remove the batteries from the safe, and only use the key when storing firearms. Contact SA Consumer Products to receive a free repair kit.","Sold At","The Sanctuary Quick Access Biometric Home Safes were sold at Costco and other stores nationwide, and online at Costco.com, for between $75 and $100. The Sports Afield Home Defense 4-Gun Biometric Safes were sold at firearm and sporting goods stores nationwide and online for between $500 and $600. The safes were sold from July 2020 through November 2023.","SA Consumer Products Inc., of Rolling Meadows, Illinois",,,China,,
24-236,,"May 16, 2024",,"CHZHVAN Combination Smoke and Carbon Monoxide Detectors Recalled Due to Failure to Alert to Fire; Sold Exclusively on Amazon.com by Haikouhuidishangmaoyouxiangongsi","CHZHVAN Combination Smoke and Carbon Monoxide Detectors","This recall involves CHZHVAN brand combination smoke and carbon monoxide detectors with the model number JKD-512. The combination detectors are made of white plastic and measure about four inches in diameter. The front of the detectors contains a black plastic circle with a digital display placed in the center. “CHZHVAN” is printed above the digital display. The back of the detectors contains three slots for AAA batteries as well as a printed label which includes the model number, battery specifications of the product, and instructions.","The detectors can fail to activate, posing a risk that consumers will not be alerted to a fire.",,,Dispose,"About 6,800","There are five reports of the detectors failing to alarm in the presence of smoke. No injuries have been reported.","The firm has not responded to the CPSC or consumers and has been uncooperative in the implementation of the recall. Consumers are urged to dispose of the product.","Sold At","Online at Amazon.com from August 2023 through January 2024 for between $18 and $59.","Haikouhuidishangmaoyouxiangongsi, of China",,,China,,
24-158,,"March 14, 2024",,"Honeywell Recalls System Sensor L-Series Low Frequency Fire Alarm Sounders and Strobes Due to Risk of Failure to Alert Consumers to a Fire","System Sensor L-series low frequency Sounders and Strobes for residential apartments and commercial buildings","This recall involves all Honeywell System Sounder L-series Low Frequency Sounders, Sounder Strobes, and Compact Sounders. The sounder and strobes are square, with white and red plastic housings, listed for wall mounting and measure about 5.6 by 4.7 inches for the sounders and strobes and about 5.3 by 3.5 inches for the compact sounder. The model number, date codes and “System Sensor” are printed on the product label and carton. Date codes 3034 and 3035 and the following models are included in this recall:&nbsp; HWL-LF, HWL-LF-BP10, HRL-LF, HRL-LF-BP10, HGWL-LF-BP10, P2WL-LF.","The sounders and strobes can malfunction and cause the fire alarm system to fail to alert consumers of a fire.",,,Replace,"About 29,000","Honeywell has received two reports of low or no sound output during installation. No injuries have been reported.","Consumers should contact the firm to arrange for a free inspection and free repair.&nbsp;","Sold At","Honeywell authorized System Sensor installers and fire equipment distributors nationwide from March 2023 through April 2023 for about $107.",,"Honeywell International Inc., of Charlotte, North Carolina and System Sensor, of St. Charles, Illinois",,Mexico,,
24-130,,"February 22, 2024",,"Bulldog Cases Recalls Biometric Gun Safes Due to Serious Injury Hazard and Risk of Death","Bulldog Biometric Firearm Safes","This recall involves Bulldog Magnum Biometric Pistol Vaults, Magnum Biometric Pistol Vaults with Shelf, and Magnum Biometric Top Load Pistol Vaults. The black steel safes are used to store firearms and valuables. The pistol vault (BD4030B) measures 11.5 inches by 8 inches by 5.5 inches, and the pistol vault with shelf (BD4040B) measures 11.5 inches by 10 inches by 8 inches. The top load pistol vault (BD4055B) measures 11.5 inches by 9.8 inches by 2.5 inches. The pistol vault with shelf has one shelf and can store approximately two firearms. The model number can be found on a label on a silver sticker on the back right corner of the safe, and the brand name “Bulldog” appears on the front of the safe.NameModel NumberMagnum Biometric Pistol VaultBD4030BMagnum Biometric Pistol Vault with ShelfBD4040BMagnum Biometric Top Load Pistol VaultBD4055B","The biometric lock on the gun safes can be opened by unauthorized users, posing a serious injury hazard and risk of death.",,,"Replace, Repair","About 33,500","The firm received four reports of the safe being opened by an unauthorized user. No injuries have been reported.","Consumers should immediately stop using the biometric feature of the recalled safe, remove the batteries from the safe, and only use the key when storing firearms. Contact Bulldog to receive a repair kit or free replacement safe for consumers with the Magnum Biometric Pistol Vaults, or a free replacement safe for consumers with the Magnum Biometric Top Load Pistol Vaults.","Sold At","Bass Pro Shops, Walmart and firearm stores nationwide and online at www.Amazon.com from July 2016 through January 2024 for between $194 and $216.","Bulldog Cases, of Danville, Virginia",,,China,,
24-129,,"February 22, 2024",,"Machir Recalls Biometric Personal Safes Due to Serious Injury Hazard and Risk of Death","Machir Biometric Personal Safes","This recall involves certain Machir biometric personal safes used to store personal items. They measure about 10 inches by 14 inches by 10 inches. The serial numbers are located on the lower righthand corner of the front door of the safe. The following serial number ranges are included in this recall:Serial Number RangesSW190035551 – SW190038050SW190070151 – SW190072650SW190175401 – SW190175857&nbsp;SW190262061 – SW190264301SVA2001200005001 – SVA2001200007000SVA2001200014632 – SVA2001200014995SVA2001200015001 – SVA2001200017577SVA2001200086685 – SVA2001200089624SVA2001200164001 – SVA2001200165000SVA2001200115471 – SVA2001200119880&nbsp;SVA2001200122399 – SVA2001200124758SVA2001200172611 – SVA2001200174080","The biometric lock on the safes can fail and be opened by unauthorized users, posing a serious injury hazard and risk of death if the safe is used to store firearms.",,,Replace,"About 24,820","The firm has received 15 reports of the recalled safes being opened by unauthorized users when the biometric lock failed to secure the safe. No injuries have been reported.","Consumers should immediately stop using the biometric lock feature, remove the batteries, and only use the key for the recalled safes to store their items until they get the free replacement. Contact Machir to receive instructions on disabling the biometric lock feature and on how to receive a free replacement safe. Consumers will be asked to disable the biometric reader and email a photo of the disabled biometric reader to&nbsp;Info@machir.com in order to receive a replacement safe. The instructions on how to safely destroy the biometric reader are also located at&nbsp;http://machir.com/biorecall/.","Sold At","Walmart stores nationwide and online at Walmart.com and Machir.com from July 2019 through at least September 2021 for about $98.","Machir LLC, of Springfield, Missouri",,,China,,
