"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26-347,,"March 26, 2026",,"Petzl America Recalls Nomic and Ergonomic Ice Climbing Axes Due to Fall Hazard; Risk of Serious Injury or Death","Nomic and Ergonomic Ice Climbing Axes","This recall involves the Petzl Nomic ice climbing axes (model U021AA00, serial numbers 17L 0000000 000 to 20F 9999999 999) and Ergonomic ice climbing axes (model U022AA00, serial numbers 18F 0000000 000 to 21L 9999999 999). The axes are made from an aluminum shaft, steel pick and reinforced plastic grip. Nomic axes are black and Ergonomic axes are orange.&nbsp;The serial number for both models is printed on a label on the upper portion of the shaft.","The ice axe shaft can break at the handle during use, posing a fall hazard, which can result in serious injury or death.",,,Repair,"About 4,200 (In addition, about 1,160 were sold in Canada)","The firm has received 26 reports of the ice axe shafts breaking at the handle. No injuries have been reported.","Consumers should immediately stop using the recalled ice axes and contact Petzl America for a free repair kit. Consumers should register at https://www.petzl.com/US/en/Sport/Contact?request=product-recall to request a pre-paid shipping label to return the shaft. Petzl America will send a repair kit with a new shaft, hardware for the grip rest and assembly instructions.&nbsp;","Sold At","REI, Moosejaw Mountaineering and other specialty stores nationwide and online at petzl.com, REI.com and Backcountry.com from December 2017 through March 2022 for between $380 and $440.","Petzl America, Inc., of Salt Lake City, Utah",,,France,,
26-335,,"March 19, 2026",,"Aisstxoer Adult Bicycle Helmets Recalled Due to Risk of Serious Injury or Death from Head Injury; Violates Mandatory Standard for Bicycle Helmets; Sold on Amazon by YXTDZ Store","Aisstxoer Adult Bike Helmets","This recall involves Aisstxoer bike helmets. The recalled helmets were sold in size large, fitting a head circumference of about 22.8 to 24.4 inches, and in the color pink. The recalled helmets have black padding, black straps, a black buckle and a black plastic knob at the back for adjusting the fit. “Aisstxoer” and the size are printed on a white label on the packaging and the model “GH018L” is printed on a label located inside of the helmet.&nbsp;","The recalled helmets violate the mandatory safety standard for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">bicycle helmets because the helmets do not comply with the impact attenuation, positional stability, and certification requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,"About 200","None reported ","Consumers should stop using the recalled adult helmets immediately and contact YXTDZ Store for a full refund. Consumers will be asked to destroy the recalled helmet by cutting the straps and email a photo of the destroyed helmet to yxtdzamz@126.com.&nbsp;&nbsp;&nbsp;","Sold Online At","Amazon.com from October 2025 through November 2025 for about $25.&nbsp;",,,,China,Retailer:,"Shenzhenshiyongxintaidianziyouxiangongsi (Shenzhen Yongxintai Electronics Co., Ltd.), dba, Yxtdz Store, of China&nbsp;"
26-334,,"March 19, 2026",,"Amazon Recalls Amazon Basics Camping Folding Pocket Knives Due to Laceration Hazard","Amazon Basics Camping Folding Pocket Knives","This recall involves the Amazon Basics Camping Folding Pocket Knife with a 3.5” blade. It is made from black high carbon stainless steel and has a pocket clip. The model number is B0DM5BJK3H. Manufacturing lot codes (MLC) C25021766FJO, C25090466FJO or C25090566FJO are printed on the side of the white packaging box.","The folding mechanism on the blade can fail to remain properly secured in the closed position, posing a laceration hazard.",,,Refund,"About 2,840","Amazon received one report of the blade not remaining properly secured in the closed position. No injuries have been reported.","Consumers should immediately stop using the recalled knife and register for the recall at https://amazonfoldingkniferecall.expertinquiry.com/. Consumers will be provided with a prepaid return kit and instructions to safely return the recalled knife to Amazon. Upon receipt, consumers will be issued a full refund to the original payment method or in the form of an Amazon gift card.&nbsp;&nbsp;","Sold Online At","Amazon.com from August 2025 through February 2026 for about $30.&nbsp;","Amazon.com Services LLC, of Seattle, Washington",,,China,,
26-330,,"March 19, 2026",,"Specialized Bicycle Components Recalls Specialized Turbo Como SL Electric Bicycles Due to Risk of Serious Injury or Death from Fall Hazard","Specialized Turbo Como SL 4.0 & 5.0 Bicycle Forks","This recall involves bicycle forks on all Specialized Como SL electric bicycles, regardless of model. “Como SL” is printed on the bicycle’s seat tube or top tube, and the bikes were sold in a variety of colors, including Cast Umber, Dove Grey and Raspberry (Como SL 4.0), and Smoke, Brassy Yellow and Brushed Silver (Como SL 5.0).You can also determine which model you have by connecting your bicycle to the Specialized app. Only SL versions in the Como family of bicycles are part of this recall.","The bike’s fork steerer tube can develop a small fatigue crack that can lead to a progressive failure of the fork, posing a fall hazard.",,,Repair,"About 5,720","The firm has received one report of an incident involving a steerer tube failing and breaking. No injuries have been reported.","Consumers should stop using their Specialized Turbo Como SL bicycles immediately and contact their Authorized Specialized Retailer to schedule an appointment to bring their bike in for a free replacement of the fork at an authorized dealer location. Replacement parts are expected to be available in Spring 2026.","Sold At","Online at www.specialized.com and through Authorized Specialized Retailers between March 2021 through January 2026 for between $3,250 and $4,800.","Specialized Bicycle Components Inc., of Morgan Hill, California",,,"Taiwan or Vietnam",,
26-320,,"March 12, 2026",,"ProRider Recalls Bicycle Helmets Due to Risk of Serious Injury or Death from Head Injury; Violates Mandatory Standard for Bicycle Helmets","ProRider Bicycle Helmets","This recall involves ProRider Economy, Bike Helmets with turn ring, Bike Helmets Black Foam, BMX Helmet and Toddler Bike Helmets. The helmets were sold in the following colors: blue, green, red, black, and purple. The model number, date of manufacture in MM/YYYY format, and serial number can be found on a label inside the helmet.Model NumberModel NameSize(s)Manufacture DateSerial Number(s)BG-W/10BICYCLEEconomy Bicycle HelmetS/M (Small/Medium)12/202200158202 and 00158287L/XL (Large/Xtra-Large)04/202200094738 and 00094811BG-14BICYCLEBike Helmet with turn ringS/M (Small/Medium)12/202200141944 and 00140406L/XL (Large/Xtra-Large)10/202200134699 and 00134652BG-14BICYCLEBike Helmet Black FoamL/XL (Large/Xtra-Large)12/202200145398SPORT HELMETBMX HelmetXS (Xtra-Small)09/202200127689BM-5TODDLERToddler Bike HelmetXXS (Xtra-Xtra-Small)09/2022None","The recalled helmets violate the mandatory safety standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… helmets&nbsp;because the helmets do not comply with the impact attenuation, positional stability, labeling and certification requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,"About 9,546","None reported","Consumers should immediately stop using the recalled helmets and contact ProRider for a full refund. Consumers should destroy the helmet by cutting the straps and sending a photo of the destroyed helmet to&nbsp;org@prorider.com to obtain a refund.","Sold At","Distributed by Wisconsin Bike Federation, Kiwanis Club, Foster Love nationwide, and sold online at ProRider.com from June 2022 through May 2023 for between $5 and $18.","ProRider, Inc., of Kent, Washington",,,China,,
26-308,,"February 26, 2026",,"Evajoy Above-Ground Pools 48 Inches and Taller Recalled Due to Drowning Hazard; Manufactured by Shenzhen Danya Tech","Evajoy 48-inch and taller above-ground pools","This recall involves all Evajoy above-ground pools 48 inches and taller. Models EJ-HF032, EJ-HF044, and EJ-HF045 are included in this recall. Model EJ-HF032 measures 16 feet in diameter by 48 inches in height. Model EJ-HF044 measures 18 feet in diameter by 52 inches in height. Model EJ-HF045 measures 24 feet in diameter by 52 inches in height. Model information and the Evajoy logo are printed on the liner on the outside of the pool.The recalled above-ground pools contain a compression strap (also referred to as a reinforcing belt) that wraps around the pool on the outside of the vertical support poles, and may create a foothold, allowing a child to access the pool and drown.Children can still gain access to the pools using these footholds even if the ladder is removed.CPSC’s website&nbsp;www.PoolSafely.gov has free, downloadable educational materials available to the public on pool safety including information on barriers, covers, alarms and other safety information.","The compression strap that surrounds the outside of the pool legs may create a foothold, allowing a child access to the pool, posing a drowning risk.",,,Repair,"About 4,000","None reported","Consumers should contact Evajoy to request a free repair kit that removes the compression strap from the pool, while maintaining the structural integrity of the pool. In the interim, consumers should ensure that children cannot access the pool unattended or, alternatively, drain the pool until the repair can be installed.","Sold Online At","Amazon.com from March 2023 through June 2024 for between $550 and $1,050 depending on the size and model of the pool and accessories purchased.",,"Shenzhen Danya Tech Co., Ltd. d/b/a Evajoy, of China",,China,,
26-304,,"February 26, 2026",,"Todson Recalls Concord Bicycle Helmets Due to Risk of Serious Injury or Death from Head Injury; Violates Mandatory Standard for Bicycle Helmets","Concord 360 Degree Rechargeable Light-Up Bike Helmets","This recall involves Concord-branded 360 Degree Rechargeable Light-Up bike helmets. The helmets were sold in size large (L), fitting a head circumference of about 22.8 to 24 inches. The helmets have a black exterior with a built-in LED lighting system, black straps, black buckle, and have a black plastic knob at the back of the helmet for adjusting the fit. “Concord” is printed on the back of the helmet.&nbsp;","The recalled helmets violate the mandatory safety standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… helmets because the helmets do not comply with the retention system and positional stability requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,"About 40,245  ","None reported","Consumers should immediately stop using the recalled Concord Helmets and contact Todson for a full refund. Consumers should destroy the recalled helmets by cutting the straps off the helmets. Consumers can send photos of the helmet with the straps cut off to&nbsp;360concordhelmet@todson.com to obtain a refund.&nbsp;Note:&nbsp;Do not throw this recalled helmet with a lithium-ion battery in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts lithium-ion batteries. If it does not, contact your municipality for further guidance. You can also visit&nbsp;Todson.com/360-concord-recall for more information on potential disposal locations.","Sold At","Walmart stores nationwide and online at Walmart.com from January 2025 through September 2025 for about $30.","Todson, Inc., of Foxboro, Massachusetts",,,China,,
26-277,,"February 19, 2026",,"SAMIT Youth Multi-Purpose Helmets Recalled Due to Risk of Serious Injury or Death from Head Injury; Violates Mandatory Standard for Bicycle Helmets; Sold on Amazon by SAMIT Outdoor","SAMIT Youth Multi-Purpose Helmets","This recall involves SAMIT multi-purpose helmets for children. The recalled helmets were sold in one size and fit a head circumference of about 21 to 23 inches. The helmets are sold in “crack” blue, “crack” red, and “crack” black with a cracked paint design.&nbsp; They were also sold in pure black.&nbsp; The helmets have gray padding, black straps, a black and red buckle with a black chin strap, and a black plastic knob at the back of the helmet for adjusting the fitting.","The recalled helmets violate the mandatory safety standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… helmets because the helmets do not comply with the positional stability and certification requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,"About 3,295","None reported","Consumers should immediately stop using the recalled helmets and contact Samit Outdoor for a full refund. Consumers should destroy the recalled helmet by cutting the straps off. Consumers can upload photos of the helmet with the straps cut off to usjialebei@foxmail.com to obtain a refund. &nbsp;","Sold Online At","Amazon.com from March 2025 through November 2025 for between $28 and $33.",,,,China,Retailer:,"Shenzhenshilonghuaqujialebeibaihuoshanghang (Jialebei Department Store, Longhua District, Shenzhen) dba Samit Outdoor, of China"
26-268,,"February 12, 2026",,"Watkins Manufacturing Recalls Hydromassage Rotary Jets in Highlife Collection Spas Due to Entanglement and Drowning Hazards","Hydromassage Rotary Jet (6 fin) in Highlife Collection spas","This recall involves Hydromassage rotary jets (6 fin) in Highlife Collection spas and also sold as replacement parts.&nbsp;There are eight models included in this collection: Grandee, Envoy, Vanguard, Aria, Prodigy, Sovereign, Jetsetter and Jetsetter LX. The recalled jets are found in model year 2023, 2024 and 2025 Highlife Collection spas.","The hydromassage rotary jets can create a suction force that allows the user’s hair to be entangled, submerging their head underwater, posing entanglement and drowning hazards to the user.",,,Repair,"About 32,900 units (In addition, about 853 were sold in Canada)","The firm has received one report of a consumer whose hair was entangled in the jets. No injuries have been reported.","Consumers should immediately stop using the recalled jets and go to the firm’s website&nbsp;http://www.hotspring.com/recalls to determine if their spa has them. If it is determined that the spa has the recalled parts, contact the firm to obtain instructions and a video that demonstrates how to turn the recalled jets off and how to install free replacement jet inserts in your spa. Consumers will need the serial number located on the front of the spa to make the determination.","Sold At","Independent pool and spa dealers nationwide from October 2022 through September 2025 for between $16,000 and $24,000 (spas) and between $18 and $35 (replacement parts).","Jet Importer: Watkins Manufacturing Corporation, of Vista, California",,,China,,
26-256,,"February 05, 2026",,"DriBiz Recalls Ammo Tabs Desiccant Tiles Due to Injury Hazard","Ammo Tabs Fiber Desiccant Tiles used for Firearms and Ammunition","This recall involves Ammo Tabs, rectangular, off-white fiber desiccant tiles measuring about 2 inches by 4 inches with a thickness of 2.5mm. The tiles are used within ammunition cans and pistol cases to absorb and lock in humidity. Model number AMT-010 is printed on the packaging.","The Ammo Tab can fail to protect the firearms and ammunition from humidity, allowing excess moisture to cause corrosion or rust that can increase the risk of malfunction and pose an injury hazard.",,,Refund,"About 760","None reported","Consumers should immediately stop using the recalled Ammo tab and go to the firm’s website at&nbsp;https://www.norustzone.com to receive instructions on how to receive a full refund and to dispose of the tab.&nbsp;","Sold At","Amazon.com from July 2025 through December 2025 for between $10 and $13.","DriBiz LLC, Fairview Heights, Illinois",,,China,,
