"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26-339,,"March 26, 2026",,"Nexgrill Recalls Over 10.2 Million Metal Wire Bristle Grill Brushes Due to Ingestion Hazard; Sold at Home Depot","Metal Wire Bristle Grill Brushes","This recall involves Nexgrill metal wire bristle grill brushes with black plastic or wood handles measuring between 18 and 21 inches long. The following model numbers are included in this recall and can be found on the product packaging: 530-0024, 530-0024G, 530-0034, 530-0039, 530-0041, 530-0042. Only the model numbers listed below are part of this recall. The word “Nexgrill” is included on each model.Model No.Brush DescriptionBrush PictureDistribution Dates530-002419-Inch Grill Brush2015-2026530-0024GGrill Cleaning Brush with Scraper&nbsp;2022-2026530-0034Long Handle Grill Brush&nbsp;2015-2026530-0039Grill Brush and Scraper&nbsp;2015-2026530-0041Grill Brush with Scrub Pad&nbsp;2015-2026530-0042Wood Handle Grill Brush&nbsp;2015-2021","Small metal wire bristles can detach from the brushes and stick to the grill or food, posing an ingestion hazard and risk of serious internal injuries that could require surgery.",,,Refund,"About 10.2 million","Nexgrill is aware of at least 68 reports and reviews where small wire bristles detached from the grill brushes, including five reports of consumers who swallowed metal bristles and sought medical treatment to remove the bristles from their digestive tract or throat.","Consumers should immediately stop using the recalled grill brushes and contact Nexgrill for a full refund to be issued as a gift card. Consumers will be provided with a registration code as part of the recall process and will be directed to upload a photograph of their grill brush with that code and their initials to the recall website to register for the recall. After receiving a confirmation email that their registration has been successfully processed, consumers will then receive directions on how to discard of the recalled grill brush.","Sold At","The recalled grill brushes were sold in stores at Home Depot and online at homedepot.com from 2015 through 2026 for between about $5 and $15.","Nexgrill Industries, Inc. of Chino, California",,,China,,
26-282,,"February 26, 2026",,"Weber Recalls Over 3.2 Million Metal Wire Bristle Grill Brushes Due to Ingestion Hazard","Metal Wire Bristle Grill Brushes","This recall involves the metal wire bristle grill brushes with plastic or wood handles measuring between 12 and 21 inches long, as described below. The following model numbers are included in this recall and can be found on the product packaging: 6277, 6278, 6463, 6464, 6493, and 6494. Only the model numbers listed below are part of this recall.Model No.Brush DescriptionBrush PhotographsDistribution Dates627712” black plastic handle with red ring stamped with Weber grill logo&nbsp;&nbsp;2021-2026627818” black plastic handle with red ring stamped with Weber grill logo&nbsp;&nbsp;2021-2026646312” bamboo handle with silver metal scraper on the back branded with Weber logo name2011-2021646418” bamboo handle with silver metal scraper on the back branded with Weber logo name2011-2021649321” black plastic handle with black ring stamped with Weber grill logo and metal binder with Weber grill logo2013-2021649412” black plastic handle with black ring stamped with Weber grill logo2013-2021","Small metal wire bristles can detach from the brushes, stick to the grill or food, posing an ingestion hazard and risk of serious internal injuries that could require surgery.",,,Replace,"About 3.2 million","Weber is aware of at least 38 reports and reviews where small wire bristles detached from the grill brushes, including four reports of consumers who swallowed metal bristles and sought medical treatment to remove the bristles from their digestive tract or throat.","Consumers should immediately stop using the recalled grill brushes and contact Weber for a cold cleaning nylon bristle grill brush replacement. Consumers will be asked to discard the recalled grill brushes.","Sold At","The recalled grill brushes were sold online and in stores at Lowe's, Home Depot, Ace Hardware, and Target, and online at Amazon and Weber.com from 2011 through 2026 for between $10 and $17. The products have also been found on resale sites, such as eBay.com.","Weber-Stephen Products LLC, of Palatine, Illinois",,,"China and Cambodia",,
26-192,,"January 15, 2026",,"Adams Manufacturing Recalls Adirondack Patio Chairs Due to Injury and Fall Hazards","Adams RealComfort and StyleWell Adirondack Patio Chairs","This recall involves Adirondack-style patio chairs sold under two different brands: Adams RealComfort and StyleWell. The resin chairs with slat backs and seats were sold in blue, dark gray, navy blue, taupe, light blue, lime green and teal. “ML837-15” and the manufacture date of August 2025 are molded on the underside of the recalled chairs.&nbsp;The manufacture date is indicated by a dot on a grid, located at the intersection of column ""A"" and row ""25"".","The recalled chairs can crack and collapse, posing injury and fall hazards.",,,Refund,"About 6,100","None reported","Consumers should immediately stop using the recalled chairs and return them to any Lowe’s or Home Depot store for a full refund.","Sold At","Lowe’s and The Home Depot stores nationwide from August 2025 through October 2025 for about $25.",,"Adams Manufacturing Corp., of Portersville, Pennsylvania",,"United States",,
26-166,,"January 08, 2026",,"DR Power Equipment Reannounces and Expands Recall of Leaf Vacuums Due to Laceration Hazard; New Remedy Available","Walk-Behind Leaf Vacuums and Tow-Behind Leaf Vacuums","This recall involves DR Power Equipment walk-behind leaf vacuums and tow-behind leaf vacuums with the following model numbers:&nbsp;Unit TypeModel Numbers&nbsp;Walk Behind Leaf Vacuum&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;WL33006DMNWL35008DENSD&nbsp;&nbsp;&nbsp;WL33006DMNRWL35008DMN&nbsp;&nbsp;&nbsp;WL35008DENWL35008DMNR&nbsp;&nbsp;&nbsp;WL35008DENRWL35008DMNSD&nbsp;&nbsp;&nbsp;WL33106DMNWL35108DEN&nbsp;&nbsp;&nbsp;WL33106DMNRWL35108DENR&nbsp;&nbsp;&nbsp;&nbsp;WL35108DENSD&nbsp;&nbsp;Tow Behind LL3&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;LL31027DMNLL33032DENLL33032DENR&nbsp;&nbsp;LL33032DENSDLL33032DMNLL35045DEN&nbsp;&nbsp;LL35045DMNLL35045DMNRLL37045DEN&nbsp;&nbsp;LL37045DMNLL37045DMNRLL37045DMNSD&nbsp;&nbsp;LL37060DENLL37060DENRLL37145DEN&nbsp;&nbsp;LL31127DMNLL33132DMNLL37160DEN&nbsp;&nbsp;LL31127DMNRLL33132DMNR&nbsp;&nbsp;&nbsp;LL33132DENLL35145DEN&nbsp;&nbsp;&nbsp;LL33132DENSDLL35145DMN&nbsp;&nbsp;Tow Behind LL2&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;LL21009DMNLL21009DMNRLL21009DMNSD&nbsp;&nbsp;LL23009DENLL23009DENRLL23009DENSD&nbsp;&nbsp;LL23009DMNLL23009DMNRLL23009DMNT&nbsp;&nbsp;LL25013DENLL25013DENRLL25013DENSD&nbsp;&nbsp;LL25013DMNLL25013DMNRLL25013DMNSD&nbsp;&nbsp;LL27016DENLL27016DENRLL27016DENSD&nbsp;&nbsp;LL27016DMNLL27016DMNRLL27016DMNSD&nbsp;Additional LL2 Models&nbsp;*Note:&nbsp; These model numbers may or may not have spaces as printed on the data tags.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;LLVX13EDTDV3BF1LLVX13EDTDVBBF1LLVX13ENTDV3BF3&nbsp;&nbsp;LLVX13ENTDVBBF3LLVX13MDTDV3BF0LLVX13MDTDV3BF1&nbsp;&nbsp;LLVX13MDTDVBBF1LLVX13MNTDV3BF3LLVX13MNTDVBBF3&nbsp;&nbsp;LLVX16ELLVX16EDTDV3BF1LLVX16EDTDVBBF1&nbsp;&nbsp;LLVX16ENTDV2BF3LLVX16ENTDV3BF3LLVX16ENTDVBBF3&nbsp;&nbsp;LLVX16MDTDV2BF1LLVX16MDTDV3BF1LLVX16MDTDVBBF1&nbsp;&nbsp;LLVX16MNTDV2BF3LLVX16MNTDV3BF3LLVX16MNTDVBBF3&nbsp;&nbsp;LLVX9AMDTDVBBF3LLVX9AMNTDVBBF3LLVX9GMNTDVBBF3&nbsp;&nbsp;LLVXX9EDTDV3BF1LLVXX9EDTDVBBF1LLVXX9ENTDV3BF3&nbsp;&nbsp;LLVXX9ENTDVBBF3LLVXX9MDTDV3BF1LLVXX9MDTDVBBF1&nbsp;&nbsp;LLVXX9MNTDV3BF3LLVXX9MNTDVBBF3LLVXX9MNTDVBTF3&nbsp;&nbsp;&nbsp;“DR” is printed on the motor housing. The model number on the walk-behind leaf vacuum is located on the front right side of the unit behind the wheel. The model number on the tow-behind leaf vacuum is on the impeller housing beside the engine.&nbsp;","Pieces from the recalled leaf vacuums can come loose inside the unit, or debris can pierce the chute, resulting in material ejecting and posing a laceration hazard to users and bystanders.",,,Repair,"About 60,250 (In addition, about 1,023 were sold in Canada) DR Power Equipment previously recalled 57,200 leaf blowers and vacuums in May 2024.  New models of leaf vacuums have been added to this recall.","The firm has received 46 reports of loose pieces being ejected from the units. No injuries have been reported.","Consumers should immediately stop using the recalled leaf vacuums and contact DR Power for a free repair kit that includes a metal outer shield to be bolted onto the existing chute of the recalled leaf vacuums and installation instructions.&nbsp; Consumers can contact DR Power for information and assistance on making the repair.&nbsp; Consumers who responded to the original recall should nevertheless contact DR Power for the new remedy.","Sold At","Independent power equipment stores nationwide and online at drpower.com from September 2014 through June 2025 for between $1,300 and $4,000.",,"Generac Power Systems Inc., of Waukesha, Wisconsin","DR Power Equipment, of South Burlington, Vermont","United States",,
26-103,,"November 20, 2025",,"Spartan Mowers and UTVs Recalls Riding Mowers Due to Crash Hazard","Model Year 2025 Spartan SRT-XD and KGZ-XD riding lawn mowers","This recall involves certain Model Year 2025 Spartan SRT-XD and KGZ-XD zero radius turn (“ZRT”) riding lawn mowers (model numbers RSKXD161994VO, RSKXD172994VO, RSSXD161994VO, RSSXD161999KE, RSSXD172994VO and RSSXD172999KE) within a limited serial range. The mower is gray, black and orange, and has “Spartan” printed on the front of it. The model number and serial number are located on a metal serial&nbsp;plate affixed to the frame of the mower immediately in front of, and at the feet of, the seated operator.","The riding mower’s steering arm dampers can be installed incorrectly, which can result in an unexpected bouncing motion and loss of operator control, posing a crash hazard.",,,Repair,"About 650","The firm has received 15 reports of the mower bouncing unexpectedly while in use, including one report of a minor injury involving scrapes and bruises.","Consumers should immediately stop using the recalled Spartan riding mowers and contact an authorized Spartan dealer to schedule a free inspection and repair of the steering arm dampers at the dealer’s location. To verify whether your Spartan mower is affected by the recall, you will need your Spartan mower’s model and serial number. To confirm whether your mower is within the affected serial range, visit&nbsp;https://joinspartannation.com/recall-information/. To find a Spartan authorized service dealer near you, visit Spartan’s website at:&nbsp;https://joinspartannation.com/dealer-locator.&nbsp;","Sold At","Spartan dealers nationwide from February 2025 through October 2025 for about $16,400 to $19,700.&nbsp;",,"Intimidator LLC d/b/a/&nbsp;Spartan Mowers and UTVs, Batesville, Arkansas",,"United States",,
26-072,,"November 06, 2025",,"STIHL Recalls BR 800 Backpack Blowers Due to Laceration Hazard","STIHL BR 800 Backpack Blower","This recall involves the fan wheel of the STIHL BR 800 Magnum, models X and C-E, a backpack blower powered by a combustion engine. The backpack blower is gray and orange.&nbsp;""STIHL,"" ""BR 800,"" and “X” or “C-E” are printed on the rear of the blower. The recalled blower's serial number is located on a label on the blower tube. Only backpack blowers with serial numbers ranging from 546515117 to 547916107 are included in the recall.","The fan wheel inside the backpack blower can break apart, posing a laceration hazard.",,,Repair,"About 47,800","None reported","Consumers should immediately stop using the recalled STIHL BR 800 backpack blower and bring it to an authorized STIHL servicing dealer for a free inspection and replacement of the fan wheel.&nbsp;","Sold At","Authorized STIHL independent dealers nationwide from May 2025 through September 2025 for about $600 for the STIHL BR 800 X Magnum model and about $700 for the STIHL BR 800 C-E Magnum model.",,"STIHL Incorporated, of Virginia Beach, Virginia",,"United States",,
25-396,,"July 24, 2025",,"iMirror Inc. Recalls Electric Bug Zapper Racket, Fly Swatter, and Mosquito Swatter Due to Shock Hazard","Rechargeable Electric Bug Zapper Racket, Fly Swatter, and Mosquito Swatter for Indoor and Outdoor use","This recall involves the Electric Bug Zapper Racket, Fly Swatter and Mosquito Swatter for indoor and outdoor use. There is a rectangular silver sticker displaying model number BZ-001 on the back of the electric mosquito swatter handle.","The rechargeable battery in the Electric Bug Zapper Racket, Fly Swatter, and Mosquito Swatter can catch fire when used for extended periods of time.",,,Refund,"About 29,000","The firm has received three reports of the swatter catching on fire. No injuries have been reported.","Consumers should immediately stop using the Electric Bug Zapper Racket, Fly Swatter or Mosquito Swatter and contact iMirror for a full refund. iMirror will provide pre-paid shipping labels for the return of the product. Once the product is received, the refund will be processed immediately to the customer’s original payment method. Customers will be notified directly through the Amazon platform and/or receive an email about the refund process and how to return the product. &nbsp;","Sold At","Amazon from May 2022 through June 2025 for between $20 and $40.","iMirror Inc., of Rancho Cucamonga, California",,,China,,
25-394,,"July 24, 2025",,"Winston Products Recalls 5/8-Inch HydroTech Expandable Burst-Proof Hoses Due to Risk of Impact Hazard and Temporarily Impaired Hearing","HydroTech 5/8-inch Expandable Burst-Proof Hoses","This recall involves HydroTech 5/8-inch Expandable Burst-Proof Hoses either manufactured on or before August 31, 2024, or identified with a specific UPC code. The hoses were sold in lengths of 25, 50, 60, 75, 100 and 200 feet in various colors. Date code markings are located on the end of the hose that attaches to the spigot, visible when the black rubber washer is removed. Hoses with no markings or a marking ending in -211, -212, -213, -214, -221, -222, -223, -224, -231, -232, -233, -234, -241, -242 or -243 are included in this recall. The UPC code can be found on the back side of the product packaging below the barcode or on a receipt or other purchase documentation.The recalled hoses are listed below:Hose DescriptionHose ColorHoses Included in Recall5/8-inch x 25-footBlueUPC 8492780898875/8-inch x 50-footGreenUPC 8492780898945/8-inch x 100-footYellowUPC 8492780899175/8-inch x 60-foot, included in “Auto Care” kit with tire glidesGrayAll hoses manufactured on or before August 31, 20245/8-inch x 75-footOrange5/8-inch x 200-footRed","The recalled hoses can burst, posing an impact hazard and a risk of temporarily impaired hearing.",,,Refund,"About 3.2 million","The firm has received at least 222 reports of the hoses bursting, resulting in at least 29 injuries, including one bone bruise, two sprains and five reports of temporarily impaired hearing from the sound of the hose bursting.","Consumers should immediately stop using the recalled hoses. Consumers that purchased products from Ace Hardware, Do It Best, Home Depot or Walmart should bring their hoses to those stores to return them for a full refund.Consumers who purchased products from other retailers should cut off the regulator-end of their hose and contact Winston Products for a full refund. To receive the refund, consumers should submit photos of the cut hose, showing the date code location with the consumer’s initials and the date written in permanent marker on the regulator, to Winston Product’s online form at&nbsp;https://hydrotechproducts.com/recall.&nbsp;","Sold At","Ace Hardware, Amazon, Do It Best, Home Depot, Target, Walmart and other stores nationwide and online from January 2021 through April 2025 for between $20 and $136.","Winston Products, of Glenwillow, Ohio",,,"Cambodia, China and Vietnam",,
25-371,,"July 03, 2025",,"Positec Recalls Electric Corded Chainsaws and Pole Saws Due to Laceration Hazard","Hyper Tough, Worx and Portland Chainsaws and Pole Saws","This recall involves Hyper Tough 9 Amp Electric Corded 14” Chainsaws, Worx 8 Amp 14” Electric Chainsaws, Worx 8 Amp Electric Pole Saws, and Portland 9 Amp 14” Chainsaws.The Hyper Tough 9 Amp Electric Corded 14” Chainsaw is a black saw with red trim, marked Hyper Tough on the saw body and on the bar.&nbsp;The Worx 8 Amp 14"" Electric Chainsaw is an orange and black saw marked WORX on the saw body and on the bar.The Worx 8 Amp Electric Pole Saw is an orange and black saw marked WORX on the saw body and on the bar and is shipped with an 8-foot pole extension.&nbsp;The Portland 9 Amp 14"" Chainsaw is a green saw with a black bar, marked Portland on the bar.The following item numbers, SKUs, UPCs and serial number or manufacturing date ranges are included in the recall:Product NameItem/SKU/UPCSold AtSerial No. Range/Manufacture Date RangeHyper Tough 9 Amp Electric Corded 14” ChainsawsHT21-401-002-01Walmart storesWalmart.com10/10/2024 -12/01/2024Worx 8 Amp 14"" Electric ChainsawsWG305Worx.comAmazon.comSerial No. Starts With [First Six Digits]:Between 202408 and 202501Worx 8 Amp Electric Pole SawsWG309Worx.comAmazon.comSerial No. Starts With [First Six Digits]:Between 202408 and 202501Portland 9 Amp 14"" ChainsawsSKU 58949UPC 193175451774Harbor Freight storesHarborFreight.comBetween 37567 2442 and 37567 2451","The main switch on the recalled chainsaws and pole saws can fail, allowing the saws to continue to run even after the switch is released, posing a laceration hazard.",,,Replace,"About 49,000 (In addition, about 3,000 were sold in Canada)","None reported","Consumers should immediately stop using the recalled products and contact Positec for a pre-paid shipping label, and a new box as needed, to return the units free of charge. Positec will provide a free replacement chainsaw or pole saw upon receipt of the recalled product.&nbsp;","Sold At","Walmart (Hyper Tough brand only) and Harbor Freight (Portland brand only) stores nationwide and online at Worx.com, Amazon.com and HarborFreight.com from September 2024 through March 2025 for between $50 and $120.","Positec Tool Corporation, of Charlotte, North Carolina",,,China,,
25-355,,"June 26, 2025",,"DR Power Recalls Lithium-Ion Battery Packs Due to Fire and Burn Hazards","DR Power LiPRO rechargeable lithium-ion battery packs (5.0 Ah)","This recall involves&nbsp;62-volt 5.0 Ah LiPRO rechargeable lithium-ion battery packs for use with DR Power brand battery-powered products, such as lawnmowers, trimmers and snow throwers. The products include stand-alone battery packs with model number 414240, and removeable battery packs included with DR Power outdoor yard equipment items with model numbers 524340, SB11022XEN, T4X3026XEN, T4X3062XENR, CE75021XEN0 and CE77021XEN0. Information containing the model number for the battery pack (“41424”) is located on the battery pack’s label. The LiPRO and DR Power logo are on the front and side panels of the battery pack.Note:&nbsp;Do not throw this recalled lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.","The recalled battery packs can short-circuit and ignite, posing fire and burn hazards to consumers.",,,Refund,"About 13,200","The firm has received two reports of incidents of fire and/or overheating. No injuries have been reported.","Consumers should immediately stop using the recalled battery packs and contact DR Power for a pro-rated refund, based on the battery’s age. Consumers will need to show proof of the battery pack’s destruction by uploading two photographs in accordance with the destruction instructions (provided on the firm’s recall website), and filling out the recall form online at&nbsp;https://www.drpower.com/5AHB-recall. If consumers choose to dispose of the recalled battery pack’s lithium-ion battery, it should be done in accordance with local and state regulations.&nbsp;","Sold At","Home improvement and hardware stores nationwide and online at DRPower.com and CountryHomeProducts.com from April 2018 through July 2024 for between $300 and $700 for outdoor equipment that includes battery packs, and for $250 for battery packs sold individually.&nbsp;","Generac Power Systems Inc., of Waukesha, Wisconsin","Ningbo New Team Import &amp; Export Co. Ltd. (“Lera”), of China",,China,,
