"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26333,,"March 19, 2026",,"Electrolux Group Recalls Frigidaire Gas Ranges Due to Burn Hazard","Frigidaire Gas Ranges","This recall involves Frigidaire, Frigidaire Gallery, and Frigidaire Professional Gas Ranges Models FCFG3083AS, FCRG3083AD, FCRG3083AS, GCFG3060BD, GCFG3060BF, GCFG3070BF, GCRG3060BD, GCRG3060BF, PCFG3080AF, FCFG3062AB, FCFG3062AS, FCFG3062AW, FCRG3051BB, FCRG3051BS, FCRG3051BW, FCRG3052BB, FCRG3052BS, FCRG3052BW, FCRG3062AB, FCRG3062AS, FCRG3062AW, FCRG306LAF, and GCFG3059BF, within the serial number range of VF52200000 through VF54399999.The model and serial numbers are printed on a nameplate located in the drawer beneath the oven.","The ovens in the ranges can experience a delayed ignition of the oven's bake burner, posing a risk of burn hazards to users.",,,Repair,"About 174,800 (In addition, about 5,300 were sold in Canada)","Electrolux Group and the CPSC are aware of 62 reports of the oven’s bake burner delayed ignition, including 30 reports of burn injuries.","Consumers should stop using ovens in the recalled ranges immediately and contact Electrolux Group for a free repair. Electrolux Group will provide professional in-home installation of a new bake burner at no cost to consumers. Consumers can continue to use the cooktop burners on the range.","Sold At","Lowe’s, The Home Depot, and other retail stores nationwide and online at Frigidaire.com from June 2025 through January 2026 for between $630 and $2,700.",,"Electrolux Consumer Products, Inc., of Charlotte, North Carolina",,"United States",,
26199,,"January 15, 2026",,"Curtis International Expands Recall of Frigidaire-brand Minifridges Due to Fire and Burn Hazards","Frigidaire-brand Minifridges, model EFMIS121, with limited serial numbers.","This recall expansion involves Curtis International 6-can minifridge model EFMIS121. This is in addition to certain minifridges with model numbers EFMIS129, EFMIS137, EFMIS149 and EFMIS175 that were previously recalled. “Frigidaire” is printed on the front of the units. The model and serial numbers are on a label on the back of the minifridge. This recall includes only the serial numbers identified below. The minifridges were sold in red at Target stores.&nbsp;&nbsp;Model Number&nbsp;&nbsp;Serial Number&nbsp;&nbsp;EFMIS121&nbsp;Between A2001 and A2310&nbsp;","The minifridges’ internal electrical components can short circuit and ignite the surrounding plastic housing, posing fire and burn hazards.&nbsp;",,,Refund,"About 330,000, Curtis International previously recalled 634,000 minifridges in July 2024.","Curtis International has received at least six reports of the model EFMIS121 minifridges catching fire, with property damages.","Consumers should immediately stop using the recalled minifridges and follow the instructions to register for a refund at www.recallrtr.com/minifridge. Consumers should unplug and cut the power cord and write “Recall” using a permanent marker on the front door of the unit. Consumers should dispose of the recalled minifridges in accordance with local and state regulations.&nbsp;&nbsp;&nbsp;","Sold At","Exclusively at Target stores nationwide and online at Target.com from January 2020 through October 2023 for around $30.","Curtis International Ltd., of Canada  ","ShangYu North Electron Manufacture Co. Ltd., of China",,China,,
26147,,"December 11, 2025",,"Sanven Technology Recalls Vevor Ice Crushers Due to Fire Hazard","Vevor Ice Crushers","This recall involves Vevor’s ice crushing machines designed for consumer use. The ice crusher has a handle that consumers press down to feed ice into a shoot; the handle activates a cutter within the feed shoot. The products were advertised as Ice Shavers, Ice Crushers, and Snow Cone Makers. The ice crushing machines were all sold under model number BY-300 and BY-300 FS and came in yellow, red, silver and blue. “Vevor” and the model number are printed on a label on the top of the product.","The ice crusher can experience a thermal event and ignite, posing a fire hazard.",,,Refund,"About 11,650 (In addition, about 1,060 were sold in Canada)","Sanven has received two reports of thermal events, including one fire.","Consumers should immediately stop using the recalled ice crusher and contact Sanven for a full refund. Consumers should email a photograph of the ice crusher with the unplugged power cord cut in half to&nbsp;recalling@vevor.com.","Sold Online At","Vevor.com, Amazon.com, Walmart.com, Wayfair.com, HomeDepot.com and Lowes.com from July 2021 through July 2025 for between $40 and $86",,,"Sanven Technology Ltd., dba Vevor, of Rancho Cucamonga, California",China,,
26007,,"October 09, 2025",,"Tempo USA Recalls Ambiano Electric Pressure Cookers Due to Serious Burn Hazard, Multiple Burn Injuries Reported; Sold at ALDI","Ambiano Electric Pressure Cookers","This recall involves all Ambiano electric pressure cookers with model numbers 93550 (KY-318B), 96775 (KY-318A), and 98527 (6L-PC). The electric pressure cookers and inner cooker pots are either six-quart or eight-quart capacity. The brand name Ambiano appears on the front of each unit and on its permanent on-product label. The model number of the recalled pressure cookers is also printed on the permanent product label on the bottom of the cooker.","The pressure-cooker lid can be opened before sufficient steam pressure has been released, causing hot contents to escape and posing a risk of burn injuries to consumers.",,,Refund,"About 46,660","The firm has received 11 reports of incidents, in which the contents were expelled under pressure, including eight reports of severe burn injuries.","Consumers should immediately stop using the recalled pressure cookers and contact Tempo or ALDI for a refund. Consumers can either return the fully intact pressure cooker to any ALDI retail location for a full refund or submit a photo of the pressure cooker with the unplugged power cord cut and a photo showing the model number and date code via email to Tempo at&nbsp;serviceusa@tempo.org.","Sold At","ALDI retail stores nationwide between January 2016 and December 2019 for about $40.","Tempo International (USA) Inc., of Aventura, Florida ",,,China,,
25469,,"September 18, 2025",,"Wuensche USA Recalls Ambiano Cotton Candy Makers Due to Fire Hazard; Sold at ALDI","Ambiano Cotton Candy Makers","This recall involves all Ambiano Cotton Candy makers with model number 836098. The Cotton Candy makers have a red or teal base with a clear plastic cover. “Ambiano” and the model number are printed on the cotton candy maker’s packaging and the bottom of the unit.","The heating element can cause sugar to ignite, if a consumer uses the product without the included sugar receptacle, posing a fire hazard.",,,Refund,"About 21,690","The firm has received 12 reports of sparking or fire. No injuries have been reported.","Consumers should immediately stop using the recalled cotton candy maker and contact Wuensche or ALDI for a refund. Consumers can either return the fully intact cotton candy maker to any ALDI retail location for a full refund or submit a photo of the cotton candy maker with the unplugged power cord cut and a photo showing the model number 836098 and date code 08/2024 via email to Wuensche at&nbsp;service@801service.net.","Sold At","ALDI retail stores nationwide between August 2024 and September 2024 for $15.","Wuensche USA, Chicago, Illinois",,,China,,
25459,,"September 11, 2025",,"Epoca International Recalls Paris Hilton Mini Beauty Fridges Due to Fire and Burn Hazards","Paris Hilton Mini Beauty Fridges","&nbsp;This recall involves the Paris Hilton Mini Beauty Fridge sold in a 4-liter model in pink, white, aqua and hot pink and in a 10-liter model in pink and white. A label with the model number and serial number is located on the back of the unit for the 4-liter model and on the bottom of the unit for the 10-liter model.&nbsp; Paris Hilton branding is on the door in the right lower corner for most units, and in the top middle for some units. Only units manufactured prior to August 2024 with the serial numbers and ranges shown below are included in this recall.&nbsp; &nbsp;Size&nbsp;Color&nbsp;Model Number&nbsp;Serial Number Begins With&nbsp;10 L&nbsp;&nbsp;Pink&nbsp;PH11887&nbsp;2024&nbsp;White&nbsp;PH11887-1&nbsp;2024&nbsp;4 L&nbsp;Aqua&nbsp;PZB02-E001&nbsp;202206 - 202406&nbsp;Hot Pink&nbsp;PH12540&nbsp;2024&nbsp;Pink&nbsp;PZP01-E001&nbsp;202206 - 20240704020&nbsp;White&nbsp;PZW01-E001&nbsp;202206 - 202406&nbsp;","The recalled mini fridge's electrical switch can short circuit, causing it to overheat, posing a fire and burn hazard.",,,Refund,"About 110,000","The firm is aware of 27 reports of the mini fridge overheating and catching on fire. No injuries have been reported. Property damage has included damage to the unit and surrounding surfaces.","Consumers should immediately stop using the recalled Paris Hilton Mini Beauty Fridge, unplug the unit, and register for the recall at www.epoca.com/minifridgerecall. To receive a refund, consumers will have to fill out the online form and submit three photographs; one should be the refrigerator’s door with the word “RECALL” written on it using a permanent marker, the second photograph should be of the label on the unit showing the model number and serial number and the last photograph should be of the cut, unplugged cord. Consumers should discard the recalled fridge according to local and state regulations.&nbsp;","Sold At","Walmart, Ross and online at Walmart.com and Amazon.com and other e-commerce sites from November 2022 through July 2025. The 4-liter model sold for approximately $30, and the 10-liter model sold for approximately $60.","Epoca International LLC, of Boca Raton, Florida",,,China,,
25395,,"July 24, 2025",,"Curtis International Recalls Frigidaire-brand Minifridges Due to Fire and Burn Hazards; More Than $700,000 Reported in Property Damage","Frigidaire-brand Minifridges, models EFMIS129, EFMIS137, EFMIS149 and EFMIS175, limited to the serial numbers listed below.","This recall involves Curtis International minifridges. “Frigidaire” is printed on the front of the units. The model and serial numbers are on a label on the back of the minifridge. The model numbers of the affected units are: EFMIS129, EFMIS137, EFMIS149 and EFMIS175. The minifridges were sold in 6- and 9-Can sizes. Recalled minifridges include only the serial numbers identified below. The minifridges were sold in a variety of colors, including black, blue, green, white, yellow, red, pink and silver.Model Number&nbsp;Serial Number&nbsp;EFMIS129&nbsp;Between A2001 to A2308 – if model number is “EFMIS129-B” or EFMIS129-C”, it is not included in this recall.EFMIS137Between A2001 to A2312EFMIS149Between A2001 to A2308EFMIS175Between A2001 to A2310","The minifridges’ internal electrical components can short circuit and ignite the surrounding plastic housing, posing fire and burn hazards.",,,Refund,"About 634,000","Curtis International has received at least 26 reports of the minifridges smoking, sparking, burning, melting, overheating and catching fire, with property damages totaling more than $700,000. Two consumers reported smoke inhalation injuries.","Consumers should immediately stop using the recalled minifridges and follow the instructions to receive a refund at&nbsp;www.recallrtr.com/minifridge. Consumers should unplug and cut the power cord and write “Recall” using a permanent marker on the front door of the unit.&nbsp;Consumers should dispose of the recalled minifridges in accordance with local and state regulations.","Sold At","Walmart and other stores nationwide and online at Walmart.com and Amazon.com from January 2020 through December 2023 for between $36 and $40.","Curtis International Ltd., of Canada ","ShangYu North Electron Manufacture Co. Ltd., of China",,China,,
25342,,"June 18, 2025",,"AstroAI Recalls Minifridges Due to Fire and Burn Hazards; Two Fires Resulted in More Than $360,000 in Reported Property Damages","4 Liter/6 Can Minifridges","This recall involves the AstroAI 4-Liter/6-Can minifridges. AstroAI is printed on the front of the units. The model and serial numbers are found on a label on the back of the minifridge. The model number is “LY0204A”. The nine-digit serial number of the affected units starts with “S/N” and begins with the following numbers: 19, 20, 21, 2201, 2202 or 2203. The serial number is located on either the bottom or the middle-right portion of the label. The minifridges measure 9.45 inches in diameter x 6.9 inches wide x 10 inches high. The minifridges were sold in a variety of colors, including black, white, blue and pink.","The recalled minifridges’ electrical switch can short circuit, posing fire and burn hazards.",,,Replace,"About 249,100","CPSC has received at least 70 reports of the minifridges smoking, burning, melting or catching fire. Two fires resulted in extensive property damages, together totaling more than $360,000 in reported damages.","Consumers should immediately stop using the recalled minifridges and contact AstroAI for a free replacement minifridge. To receive a replacement minifridge, consumers should send a photo of the recalled minifridge, showing the model number and serial number, with “Recalled” written on the minifridge in permanent marker to AstroAI by email at&nbsp;recall@astroai.com or through the online portal at&nbsp; https://www.astroai.com/product-recall. Consumers should dispose of the recalled minifridges in accordance with state and local waste disposal procedures.","Sold At","Online at Amazon.com and Astroai.com from June 2019 through June 2022 for about $40.","AstroAI Corp., of Garden Grove, California ","Shaoxing ShangYu North Electron Manufacture Co. Ltd., of China",,China,,
25247,,"May 01, 2025",,"SharkNinja Recalls 1.8 Million Foodi Multi-Function Pressure Cookers Due to Burn Hazard; Serious Burn Injuries Reported","SharkNinja Foodi OP300 Series Multi-Function Pressure Cookers","This recall involves all Ninja Foodi OP300 Series Multi-Function Pressure Cookers. The cookers have functions that include pressure cooking and air frying. They were sold in black and have a 6.5-quart capacity. “Ninja” is printed on the front of each unit and on the product label. Model numbers OP300, OP301, OP301A, OP302, OP302BRN, OP302HCN, OP302HAQ, OP302HW, OP302HB, OP305, OP305CO and OP350CO are included in this recall and are printed on a label on the side of the cooker. An additional code following the model number is not part of that model designation. For example, a unit labeled “OP301 I07” is a model OP301 unit. Any OP300 series replacement pressure cooker lids purchased as an additional part are also included in this recall.","The pressure-cooking lid can be opened during use, causing hot contents to escape, posing a risk of burn injuries to consumers.",,,Repair,"About 1,846,400 (In addition, about 184,240 were sold in Canada)","SharkNinja has received 106 reports of burn injuries, including more than 50 reports of second- or third-degree burns to the face or body, with 26 lawsuits filed.","Consumers should immediately stop using the product’s pressure-cooking function and contact SharkNinja for a free replacement lid. Consumers can continue to use the product’s air frying and other functions.","Sold At","Walmart, Costco, Sam’s Club, Amazon and Target stores nationwide, and online at www.Ninjakitchen.com, www.walmart.com, www.costco.com, www.samsclub.com, www.amazon.com and www.target.com from January 2019 through March 2025 for about $200.","SharkNinja Operating LLC, of Needham, Massachusetts",,,China,,
25214,,"April 03, 2025",,"Sakar Recalls Vivitar Blender Bottles Due to Laceration Hazard; Sold Exclusively at Target","Vivitar Blender Bottles","This recall involves Vivitar Blender Bottles. The bottles are made of clear plastic and have a white plastic base with a white top. ""VIVITAR,"" ""Description: Blender Bottle,"" ""ITEM: ES15-BB-TA"" and ""MID #5220824"" are printed on a sticker located under the white plastic base of the bottle. ""MID #5220824""is also stamped on the underside of the white plastic base.","The blender’s blades can continue to operate when the bottle is not attached to the blender, posing a laceration hazard.",,,Refund,"About 199,000","The firm has received one report where the consumer was able to remove the bottle from the base while the blades were engaged. No injuries have been reported.","Consumers should immediately stop using the recalled blender bottles and contact Sakar for instructions on how to receive a full refund in the form of a $5 Target gift card or a check, and a pre-paid return shipping label. The recalled blender must be returned to Sakar to receive the refund. Proof of purchase (receipt) is not required. Consumers should not return the recalled units to Target stores. Sakar is contacting all known purchasers.","Sold At","Target stores nationwide and online at Target.com from December 2024 through January 2025 for about $5.","Sakar International Inc., of Edison, New Jersey",,,China,,
