"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26-350,,"March 26, 2026",,"MPINOI Adult Portable Bed Rails Recalled Due to Risk of Serious Injury or Death from Entrapment and Asphyxiation; Violate Mandatory Standard for Adult Portable Bed Rails; Sold on Amazon by Bioenrrty","MPINOI Adult Portable Bed Rails","This recall involves MPINOI-branded adult portable bed rails. The white metal bed rails measure about 15 inches wide by 26 inches tall and have an extendable handle with gray padding and a black storage mesh pocket. “MPINOI” is printed on the mesh pocket.&nbsp;","The recalled bed rails violate the mandatory standard for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN"">adult portable bed rails because users can become entrapped within the bed rail, or between the bed rail and the side of the mattress, posing a serious entrapment hazard and risk of death by asphyxiation. In addition, the bed rails do not bear the required hazard warning labels.",,,Refund,"About 200","None reported","Consumers should stop using the recalled adult portable bed rails immediately and contact Bioenrrty for a full refund. Consumers will be asked to destroy the bed rails by cutting the black safety strap in half and writing “RECALLED” on the upper and lower rails with permanent marker, take a photo of the destroyed rails and email the photo to MPINOIproductrecall@outlook.com.&nbsp;","Sold Online At","Amazon.com from December 2025 through February 2026 for about $30.","Guangzhou Aoran Trading Co., Ltd., dba Bioenrrty, of China",,,China,,
26-341,,"March 26, 2026",,"Vive Health Recalls Adult Portable Bed Rails Due to Risk of Serious Injury or Death from Entrapment and Asphyxiation; Two Deaths Reported","Vive Health Bed Rails","Washington, D.C. -- The U.S. Consumer Product Safety Commission (CPSC) and Vive Health LLC, of Naples, Florida, are announcing the recall of three models of Vive Health adult bed rails. The recalled bed rails pose a risk of entrapment and asphyxia because users can become entrapped within the rail or between the rail and mattress.Vive Health has received two reports of entrapment deaths associated with one model of the recalled bed rails. The deaths occurred in September 2024 and involved a 97-year-old man at an assisted living facility in Texas and a 93-year-old man at his home in Florida.Consumers should stop using the recalled bed rails immediately and contact Vive Health for a full refund.This recall involves the Vive Health Compact Bed Rail (model LVA2009SLV) and Bed Rail Collection V (model LVA2097SLV), as well as units of the Vive Health Bed Rail model LVA1024 purchased on or before August 21, 2023. Vive Health previously recalled units of model LVA1024 purchased after August 21, 2023, on&nbsp;February 19, 2026. The recalled bed rails are made of silver or white metal tubing with a black foam rubber grip handle. The recalled bed rails may not contain model numbers or brand-specific labels.Vive Health sold about 122,000 units of the recalled bed rails at medical supply stores nationwide and online at&nbsp;www.vivehealth.com, Amazon and online medical supply stores. The bed rails were sold from September 2019 through December 2025 for between $45 and $90. They were manufactured in China.&nbsp;Consumers should stop using the recalled bed rails immediately and contact Vive Health for a full refund.CPSC urges consumers to report any related incidents to the agency at&nbsp;www.SaferProducts.gov.","When the recalled bed rails are attached to a bed, users can become entrapped within the bed rail or between the bed rail and the side of the mattress. This poses a serious entrapment hazard and risk of death by asphyxiation.",,,Refund,"About 122,000","Vive Health has received two reports of entrapment deaths associated with one model of the recalled bed rails. The deaths occurred in September 2024 and involved a 97-year-old man at an assisted living facility in Texas and a 93-year-old man at his home in Florida.","Consumers should stop using the recalled Vive Health Bed Rails immediately and contact Vive Health for a full refund. Consumers should write “RECALLED” on the upper and lower portions of the bed rails with permanent marker and take a photo of the marked bed rail with the buyer’s name on a piece of paper and email to&nbsp;recalls@vivehealth.com. Consumers should then dispose of the recalled product in accordance with the state and local waste disposal procedure.","Sold At","Vive Health sold about 122,000 units of the recalled bed rails at medical supply stores nationwide and online at www.vivehealth.com, Amazon and online medical supply stores. The bed rails were sold from September 2019 through December 2025 for between $45 and $90.",,,,China,,
26-271,,"February 19, 2026",,"Vive Health Recalls Adult Portable Bed Rails Due to Risk of Serious Injury or Death from Entrapment and Asphyxiation; Violates Mandatory Standard for Adult Portable Bed Rails","Vive Health Bed Rails","This recall involves Vive Health Bed Rails, model LVA1024 and LVA3031BLK. The model LVA1024 bed rail comes in a white frame with a black handle and measures 20 inches wide by 32 inches tall. The model LVA3031BLK bed rail comes in a black frame with a black handle and measures 13 inches wide by 18 inches tall.","The recalled bed rails violate the mandatory standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN"">adult portable bed rails because when the bed rails are attached to a bed, users can become entrapped within the bed rail or between the bed rail and the side of the mattress, posing a serious entrapment hazard and risk of death by asphyxiation. In addition, the bed rails do not bear the required hazard warning labels.",,,Refund,"About 12,355","None reported","Consumers should stop using Vive Health Bed Rails immediately and contact Vive Health for a full refund. Consumers should write “RECALLED” on the upper and lower bedrails with a permanent marker and take a photo of the marked bed rail with the buyer’s name on a piece of paper, and email to&nbsp;recalls@vivehealth.com. Consumers should then dispose of the recalled product in accordance with the state and local waste disposal procedure. Only bed rails purchased after August 21, 2023, are included in this recall.","Sold Online At","Amazon.com and ViveHealth.com from August 2023 through December 2025 for between $45 and $80.","Vive Health LLC, of Naples Florida","Ningbo Shenyu Medical Equipment Co., Ltd., of China",,China,,
26-267,,"February 12, 2026",,"Beloems Adult Portable Bed Rails Recalled Due to Risk of Serious Injury or Death from Entrapment and Asphyxiation; Violate Mandatory Standard for Adult Portable Bed Rails","Beloems Adult Portable Bed Rails","This recall involves Beloems-branded adult portable bed rails, model BL-BR201. The recalled foldable bed rails have white metal tubing with either rounded black or gray foam rubber handle grips, support legs and a fabric pouch. The “Beloems” logo is printed on the bed rail’s fabric cover and the model number on the owner’s manual.","The recalled bed rails violate the mandatory standard for&nbsp;https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.c… portable bed rails because users can become entrapped within the bed rail or between the bed rail and the side of the mattress, posing a serious entrapment hazard and risk of death by asphyxiation. The bed rails do not meet structural stability or retention strap requirements, posing a fall hazard. The bed rails’ push pins and push pin holes are incorrectly sized, posing a laceration hazard.",,,Refund,"About 800","None reported","Consumers should immediately stop using the recalled adult portable bed rails and contact Beloems for a full refund. Consumers should destroy the bed rails by cutting the handrails’ foam padding and writing “RECALLED” on the upper and lower rails with permanent marker, take a photo of the destroyed rails and send it to&nbsp;leioujiapin@163.com.","Sold Online At","Amazon.com from June 2025 through October 2025 for about $90.",,"Leioujiapin Technology Co., Ltd. dba Beloems, of China",,China,,
26-263,,"February 12, 2026",,"Fortemotus Direct Adult Portable Bed Rails Recalled Due to Risk of Serious Injury or Death from Entrapment and Asphyxiation; Violate Mandatory Standard for Adult Portable Bed Rails","Fortemotus Adult Portable Bed Rails","This recall involves Fortemotus-branded adult portable bed rails, model USFTMTJAS008. The recalled bed rails have black tubing with black foam rubber handle grips, support legs and a fabric pouch, and measure about 30 inches wide by 30 inches high.&nbsp;The Foremotus logo is printed on the bed rail’s fabric cover and the model number on the owner’s manual.","The recalled bed rails violate the mandatory standard for&nbsp;https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.c… portable bed rails because users can become entrapped within the bed rail or between the bed rail and the side of the mattress, posing a serious entrapment hazard and risk of death by asphyxiation. The bed rails do not meet structural stability or retention strap requirements, posing a fall hazard. The bed rails’ push pins and push pin holes are incorrectly sized, posing a laceration hazard.",,,Refund,"About 550 ","None reported.","Consumers should immediately stop using the recalled adult portable bed rails and contact Fortemotus Direct US for a&nbsp;full refund. Consumers should destroy the bed rails by cutting the handrails’ foam padding, take a photo of the destroyed rails and send it to&nbsp;fortemotusofficial@outlook.com.&nbsp;","Sold Online At","Amazon.com from August 2025 through October 2025 for about $100.",,"Guangzhou Kezhinuo Maoyi Youxian Gongsi, dba Fortemotus Direct US, of China",,China,,
26-175,,"January 08, 2026",,"YOLAAH Adult Portable Bed Rails Recalled Due to Risk of Serious Injury or Death from Entrapment and Asphyxiation Hazards; Violate Mandatory Standard for Adult Portable Bed Rails","YOLAAH Portable Bed Rails","This recall involves YOLAAH Bed Rails, model BR-01. The bed rail has a black rubber hand grip, storage pocket, and white metal base. The bed rails measure 15.8 inches tall by 26.8 inches wide. The bed rail has “YOLAAH” printed on the storage pocket.","The recalled bed rails violate the mandatory standard for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">adult portable bed rails, because when the bed rails are attached to a bed, users can become entrapped within the bed rail or between the bed rail and the side of the mattress, posing a serious entrapment hazard and risk of death by asphyxiation. In addition, the bed rails do not bear the required hazard warning labels.",,,Refund,"About 14,250","None reported ","Consumers should immediately stop using the YOLAAH Bed Rail and contact YOLAAH for a refund. Consumers should use scissors to cut the black fabric mesh bag off the upper rail and cut the black safety strap in half. Then, using a permanent marker, write “RECALLED” on both the upper and lower rails. Finally, take a photo of the marked bed rails and email the photo to yolaahproductrecall@outlook.com. Consumers should then dispose of the recalled product in accordance with state and local waste disposal procedures.&nbsp;","Sold Online At","Amazon.com from September 2025 through October 2025 for about $35.&nbsp;",,,,China,Retailer:,"Guangzhou Aowei Technology Co., Ltd. dba Yolaah, of China"
26-173,,"January 08, 2026",,"Sangohe Adult Portable Bed Rails Recalled Due to Risk of Serious Injury or Death from Entrapment and Asphyxiation; Violate Mandatory Standard for Adult Portable Bed Rails","Sangohe Bed Rails","This recall involves Sangohe-branded adult portable bed rails. The black, trapezoidal-shaped bed rails measure about 22.4 inches wide by 32 inches tall and have an extendable handle with gray padding and a storage mesh pocket. Model number “KDB504A01FT” is printed on a label located on the frame, either on the bottom foot tube or on the horizontal cross tube. “Sangohe” is printed on the product packaging.","The recalled bed rails violate the mandatory standard for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">adult portable bed rails because when the bed rails are attached to a bed, users can become entrapped within the bed rail or between the bed rail and the side of the mattress, posing a serious entrapment hazard and risk of death by asphyxiation. In addition, the bed rails do not bear the required hazard warning labels.",,,Refund,"About 26,200","None reported","Consumers should immediately stop using the recalled bed rails and contact Sangohe for a full refund. Consumers should destroy the bed rails by cutting the handrails’ foam padding and writing “RECALLED” on the upper and lower rails with permanent marker, take a photo of the destroyed rails and email the photo to SGHproductrecall@163.com.&nbsp;&nbsp;","Sold Online At","Amazon.com and Walmart.com from August 2023 through October 2025 for between $50 and $80.",,,"Zhongshan Biankang Medical Equipment Co., Ltd., dba Sangohe, of China",China,,
26-165,,"January 08, 2026",,"Agrish Adult Portable Bed Rails Recalled Due to Risk of Serious Injury or Death from Entrapment and Asphyxiation; Violate Mandatory Standard for Adult Portable Bed Rails; Sold on Amazon by Agrish Direct","Agrish Adult Portable Bed Rails","This recall involves Agrish-branded adult portable bed rails, models&nbsp;2512, 2513, and&nbsp;2516, for use on adult beds.&nbsp;The model numbers are printed in the owner’s manual. The recalled bed rails have white tubing with rounded gray foam rubber handle grips. Some models include a gray fabric pouch, support legs and a motion-sensor light.Recalled Bed Rails:&nbsp;Model NumbersSize2512About 11 inches wide and 39 inches in height2513About 12 inches wide and 42 inches in height2516About&nbsp;37 inches wide and 45 inches in height","The recalled bed rails violate the mandatory standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… portable bed rails because when the bed rails are attached to a bed, users can become entrapped within the bed rail or between the bed rail and the side of the mattress, posing a serious entrapment hazard and risk of death by asphyxiation.",,,Refund,"About 5,000","The firm has received one report of a consumer fall involving an Agrish adult bed rail with model number 2512.","Consumers should immediately stop using the recalled adult portable bed rails and contact Agrish Direct for a full refund. Consumers should go to&nbsp;http://www.agrish.online/recall to register for the recall and receive instructions on how to dispose of the recalled bed rail.","Sold Online At","Amazon.com from April 2025 through October 2025 for between $50 and $80.","Shenzhen Yunshangqinyang E-commerce Ltd. dba Agrish Direct, of China","Zhongshan Lebo Medical Co., Ltd., of China",,China,,
26-160,,"December 18, 2025",,"JOKOSIS Adult Portable Bed Rails Recalled Due to Risk of Serious Injury or Death from Entrapment and Asphyxiation Hazards; Violates Mandatory Standard for Adult Portable Bed Rails; Sold on Amazon by JOKOSIS","JOKOSIS Portable Bed Rails","This recall involves JOKOSIS Bed Rail, model HC0262. The bed rails are black and include a zippered storage pouch. The product measures 31.5 inches tall by 40.6 inches wide. The bed rail has model “HC0262” printed on the packaging.&nbsp;","The recalled bed rails violate the mandatory standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… portable bed rails because when the bed rails are attached to a bed, users can become entrapped within the bed rail or between the bed rail and the side of the mattress, posing a serious entrapment hazard and risk of death by asphyxiation. In addition, the bed rails do not bear the required hazard warning labels.",,,Refund,"About 12,000","None reported","Consumers should immediately stop using the JOKOSIS Bed Rails and contact JOKOSIS for a refund. Consumers should write “RECALLED” on the upper and lower rails with permanent marker, take a photo of the marked bed rails and email the photo to&nbsp;jokosisbedrailrecall@outlook.com. Consumers should then dispose of the recalled product in accordance with state and local waste disposal procedures.","Sold Online At","Amazon.com from August 2025 through November 2025 for between $40 to $50.",,,,China,Retailer:,"Guangshui Xie Lan Zheng Trading Co., Ltd.,&nbsp;dba JOKOSIS, of China"
26-126,,"December 04, 2025",,"Ningbo Tianqi Electronic Recalls FUFU&GAGA Murphy Wall Beds Due to Impact and Laceration Hazards","FUFU&GAGA White Wood Frame Queen Size Murphy Wall Beds","This recall involves FUFU&amp;GAGA white wood frame queen size Murphy wall beds. The beds are designed to be wall-mounted and can fold into a cabinet. The wall beds measure about 86 inches high and 65 inches wide. The model number is&nbsp;KF210284US-01MH-A001 and can be found on the instruction booklet and packaging.","During assembly or disassembly, the 215-pound frame of the wall bed can fall onto consumers, posing deadly impact, crush, and laceration hazards.",,,Refund,"About 250","The firm has received two reports of the wall beds falling during assembly when the wall beds were not anchored to the wall, resulting in two injured consumers. One consumer sustained a laceration, a bruise, and a fractured growth plate in her finger, and another consumer sustained a laceration to his face that required eight stitches.","Consumers should immediately stop using the recalled wall beds and contact Ningbo Tianqi Electronic for a full refund. To obtain a refund, consumers will be provided with a disassembly kit that contains tools, brackets and screws with instructions on how to disassemble and discard the wall beds.","Sold Online At","HomeDepot.com and Lowes.com from January 2025 through April 2025 for about $550.","Ningbo Tianqi Electronic Inc., of Denver, Colorado","Jiangsu Liangjiang Intelligent Furniture Co., Ltd, of China",,China,,
