"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26330,,"March 19, 2026",,"Specialized Bicycle Components Recalls Specialized Turbo Como SL Electric Bicycles Due to Risk of Serious Injury or Death from Fall Hazard","Specialized Turbo Como SL 4.0 & 5.0 Bicycle Forks","This recall involves bicycle forks on all Specialized Como SL electric bicycles, regardless of model. “Como SL” is printed on the bicycle’s seat tube or top tube, and the bikes were sold in a variety of colors, including Cast Umber, Dove Grey and Raspberry (Como SL 4.0), and Smoke, Brassy Yellow and Brushed Silver (Como SL 5.0).You can also determine which model you have by connecting your bicycle to the Specialized app. Only SL versions in the Como family of bicycles are part of this recall.","The bike’s fork steerer tube can develop a small fatigue crack that can lead to a progressive failure of the fork, posing a fall hazard.",,,Repair,"About 5,720","The firm has received one report of an incident involving a steerer tube failing and breaking. No injuries have been reported.","Consumers should stop using their Specialized Turbo Como SL bicycles immediately and contact their Authorized Specialized Retailer to schedule an appointment to bring their bike in for a free replacement of the fork at an authorized dealer location. Replacement parts are expected to be available in Spring 2026.","Sold At","Online at www.specialized.com and through Authorized Specialized Retailers between March 2021 through January 2026 for between $3,250 and $4,800.","Specialized Bicycle Components Inc., of Morgan Hill, California",,,"Taiwan or Vietnam",,
26236,,"January 29, 2026",,"Gazelle USA Recalls Urban Arrow FamilyNext Pro Cargo E-Bikes Due to Injury Hazard","Urban Arrow FamilyNext Pro Cargo E-Bikes","This recall involves Urban Arrow FamilyNext Pro Cargo E-Bikes with Fidlock buckles. The recalled bicycle comes in one size and comes in green and black. The frame of the bicycle is made of aluminum with a reinforced foam (EPP) cargo box. The bicycle is 105"" in length and 28"" wide. “Urban Arrow” is imprinted on the bottom of the cargo box.","The buckle can fail to fully latch when used with children in the cargo area, posing injury hazards to children.",,,Repair,"About 320","The firm has received three reports of buckles not fully latching. No injuries have been reported.","Consumers should immediately stop using the e-bikes and contact Gazelle USA to arrange for a free repair of the bench assembly in the cargo area of the e-bike. The repair will include a replacement buckle and will be done at a dealership location.","Sold At","Individual specialty stores from March 2025 through December 2025 for about $9,000.","Gazelle USA, LLC, of Santa Cruz, California",,,Vietnam,,
26220,,"January 29, 2026",,"Rear Bolts on Trek and Electra Electric Bicycles Recalled Due to Fall Hazard; Manufactured by Hyena","Rear wheel bolts installed on model year 2026 Trek FX+ 1 and Electra Townie Go! electric bicycles","This recall involves the rear wheel bolts on model year 2026 Trek-branded FX+ 1 Midstep, FX+ 1S Midstep, FX+ 1 Stepover, and FX+ 1S Stepover, and Electra-branded Townie Go! Step Thru and Townie Go! S Step Thru electric bicycles sold before October 28, 2025. The bicycles come in various colors and sizes. The Trek bicycles have the word “TREK” printed on the downtube of the frame and “FX+” is printed on the top tube. The Electra bicycles have the word “townie” printed on the downtube, “electra” on the seat stay, and “go!” on the chain guard. The original rear wheel bolts are black and connect the motor to the rear frame of the bicycles.","The rear wheel bolts can break when torqued, causing the wheel to separate from the bicycle, posing a fall hazard.",,,Repair,"About 19,890","The firm has received seven reports of the rear wheel bolts breaking on affected bicycles. No injuries have been reported.","Consumers should immediately stop using the bicycles with recalled bolts and contact an authorized Trek or Electra dealer to schedule a free repair at the dealer’s location. The dealer will replace the original black rear wheel bolts with new silver rear wheel bolts. Consumers can locate their nearest dealer at https://www.trekbikes.com./us/en_US/store-finder/. Trek will provide consumers who participate in the recall with a $10 in-store credit toward any Trek, Electra or Bontrager merchandise. The credit is valid through December 31, 2026.","Sold At","Trek stores and Trek authorized retailers nationwide and online from April 2025 through October 2025 for about $2,100.",,"Hyena, Inc., of Taiwan",,Taiwan,,
26180,,"January 08, 2026",,"PNW Components Recalls Aluminum Alloy Bicycle Pedals Due to Crash Hazard","Loam Pedal Gen 2 aluminum alloy bicycle pedals","This recall involves the PNW Components Loam Pedal Gen 2 aluminum alloy mountain bike pedal. These pedals were sold after market through online retailers and bicycle shops. The pedal is a platform style (non-clip) pedal and can be identified by a “Tectonic” logo laser etched onto the pedal body on the left corner, on the same side as the threaded axle. The pedals are available in black, silver, green, orange and purple.","The pedal axle can crack, causing the pedal to detach from the crank, posing a fall hazard to the rider.",,,Replace,"About 1,200","The firm has received four reports of the pedal axle cracking and detaching from the crank. No injuries have been reported.","Consumers should immediately stop using the Loam Pedal Gen 2 and contact PNW Components to receive free replacement axles once they become available. In the interim PNW Components is providing consumers with the Range Pedal, free of charge. PNW Components will follow up with consumers regarding the replacement axle system, estimated to begin shipping out to customers on January 5, 2026.","Sold At","Independent bicycle dealers and online at PNWComponents.com, REI.com, Backcountry.com and JensonUSA.com from June 2025 through November 2025 for about $160 per pair.","PNW Components, Inc., of Seattle, Washington",,,Taiwan,,
26152,,"December 18, 2025",,"Pedego Electric Bikes Recalls Fat Tire Trikes Due to Fall and Laceration Hazards","Fat Tire Trikes","This recall involves the Fat Tire Trike, an aluminum adult three-wheeled electric tricycle. It has a rectangular label on the downtube near the front of the frame with the word “Pedego” printed on it. The product was sold in matte black.","The trike frame can develop a hairline fracture near a weld, which can cause the tubes to separate, posing fall and laceration hazards.",,,Repair,"About 400","Pedego has received 16 reports of the trike frame breaking, including one report of a laceration to the leg.","Consumers should immediately stop using the recalled Fat Tire Trikes and contact Pedego to schedule a repair involving the replacement of a section of the frame, which will be installed by a Pedego dealer of their choice at no charge to the consumer. Consumers should fill out a registration form at&nbsp;https://pedegoelectricbikes.com/pages/product-recalls.","Sold At","Pedego stores nationwide and online at PedegoElectricBikes.com from March 2024 through March 2025 for between $3,500 and $4,000.","Pedego, LLC, of Fountain View, California",,,China,,
26151,,"December 18, 2025",,"Pacific Cycle Recalls Schwinn Ovation Bicycle Child Carriers Due to Fall Hazard","Schwinn Ovation Bicycle Child Carriers","This recall involves the Schwinn Ovation Bicycle Child Carrier, Model SW80356. The product is black with a gray seat cushion, black harness straps, and red buckles. It attaches to a rear bike rack that was sold with the carrier. The impacted date codes are 712A0329BE and 712A0421BE. The model number and date code are located on the underside of the carrier.","The buckles securing the restraints around the child can release during use, posing a fall hazard.",,,Refund,"About 650","Pacific Cycle is aware of one incident where the buckles released. No injuries have been reported.","Consumers should immediately stop using the recalled carriers and contact Pacific Cycle for a full refund.","Sold At","Amazon.com and schwinnbikes.com from May 2025 through September 2025 for between $190 and $230.","Pacific Cycle Inc., of Madison, Wisconsin",,,China,,
26138,,"December 11, 2025",,"TREK Recalls Electric Bicycles Due to Fall or Crash Hazard","Model Year 2026 Trek-branded Domane+ ALR 5, Domane+ ALR 6 AXS, Checkpoint+ SL 6 and Checkpoint+ SL 7 Electric Bicycles","This recall involves Model Year 2026 Trek-branded Domane+ ALR 5, Domane+ ALR 6 AXS, Checkpoint+ SL 6 and Checkpoint+ SL 7 electric bicycles. The bicycles come in various colors and sizes. The word “TREK” is located on the downtube of the frame on the bicycle, and the model's name is printed on the top tube.","The bolts on the chainring can come loose, causing the chainring to separate from the bike, resulting in a fall or crash hazard to the user.",,,Repair,"About 700","The firm has received three reports of the bicycle chainring coming loose on the recalled bikes. No injuries have been reported.","Consumers should immediately stop using the recalled bicycles and contact an&nbsp;authorized Trek dealer to schedule a free repair at the dealer location. The dealer will tighten the chainring bolts to the correct specification. Trek will provide consumers who participate in the recall with a $20 in-store credit toward Trek, Electra, or Bontrager merchandise. The credit is valid through December 31, 2026.","Sold At","Independent bicycle retailers and Trek authorized retailers nationwide and online from July 2025 through September 2025 for between $5,000 and $8,000.","Trek Bicycle Corporation, of Waterloo, Wisconsin",,,Cambodia,,
26088,,"November 13, 2025",,"Trek Recalls Bicycles with Coaster Brakes and Replacement Rear Wheels Due to Crash Hazard","Trek and Electra-branded Bicycles with Coaster Brakes and Replacement Rear Wheels with Coaster Brakes","This recall involves certain Trek and Electra-branded bicycle models with coaster brakes and replacement rear wheels. The bikes were sold in a variety of colors, including red, flamingo pink, dark aquatic, Mulsanne blue, volt yellow, pink frosting, Miami green, lithium gray, viper red, purple abyss, buttercup, pixie blue and blue. To determine if your bicycle or replacement rear wheel is included in this recall, enter your bicycle's serial number in the look-up tool at https://www.trekbikes.com/us/en_US/coasterbrake-recall-inquiry/.&nbsp; The serial number is printed under the bottom bracket between the pedals and starts with the letters, “WTU.”&nbsp;&nbsp;&nbsp;Recalled Trek and Electra-Branded Bicycles and Replacement Wheels:&nbsp;&nbsp;&nbsp;Brand Name&nbsp;Model Name&nbsp;Model Year&nbsp;Electra&nbsp;&nbsp;Townie Rental 1 Step Thru&nbsp;2026&nbsp;Trek&nbsp;Precaliber 12&nbsp;2026&nbsp;Trek&nbsp;Precaliber 16&nbsp;2024 and 2026&nbsp;Trek&nbsp;Precaliber 20&nbsp;2024 and 2026&nbsp;Electra&nbsp;Sprocket 1 16&nbsp;2026&nbsp;Trek&nbsp;Precaliber 12 CB replacement wheel&nbsp;2026&nbsp;Trek&nbsp;Precaliber 16 CB replacement wheel&nbsp;2026&nbsp;Trek&nbsp;Precaliber 20 CB replacement wheel&nbsp;2026&nbsp;","The coaster brakes can fail to engage, resulting in the rider losing control, posing a crash hazard.",,,Repair,"About 68,000 (In addition, about 6,820 were sold in Canada)","None reported","Consumers should immediately stop using the recalled bicycles with coaster brakes and related replacement rear wheels and contact an authorized Trek or Electra dealer to schedule a free repair at the dealer.&nbsp;","Sold At","Trek and Electra authorized retailers nationwide, in stores and online, as well as at Trek.com from August 2023 to September 2025 for between $300 and $660 for the bikes and between $66 and $77 for the replacement wheels.","Trek Bicycle Corporation, of Waterloo, Wisconsin",,,China,,
26051,,"October 30, 2025",,"Knog Recalls Bicycle Lights Due to Fire and Burn Hazards","Knog Blinder 900 and Blinder 1300 Front Bicycle Lights","This recall involves the Knog Blinder 900 and Blinder 1300 Front Bicycle Lights with the following batch codes: 0124AA, 0423AA, 0723AA, 0923AA, 1023AA, 1123AA and 11A23AA. The batch codes are printed on the underside of the light. They have a black exterior and are marked with the brand “knog”. The word “Blinder” is imprinted on the light’s handle. They were sold individually, and in a set, and came with a mount.Note: Do not throw this recalled lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.","The lithium-ion battery in the bicycle light can overheat and catch fire, posing a risk of fire and burn hazards.",,,Replace,"About 3,790","The firm has received five reports of the battery catching on fire or exploding. No injuries reported.","Consumers should immediately stop using the recalled bicycle light and register at http://www.knog.com/recall for instructions on how to receive a free replacement bicycle light. Consumers should dispose of the lithium-ion batteries in accordance with local and state regulations and not discard it in the household trash. Do not dispose of the light until you receive confirmation from Knog that your unit qualifies for the recall.","Sold At","Independent bicycle retailers nationwide and online at Amazon between January 2023 and August 2025 for between $60 and $100.&nbsp;","Knog Pty Ltd, of Grapevine, Texas",,,China,,
26035,,"October 16, 2025",,"Super Wheels (Formerly Allite) Recalls Vaast A/1 Bicycles and Frames Due to Fall Hazard","Vaast A/1 bicycles and frames","This recall involves Vaast A/1 bicycles and framesets.&nbsp; There are 35 bicycle models and 15 different frameset models.&nbsp; The bikes were sold in Berry Red, Sea Blue, Matte Black, and Black Forest Green paint colors.&nbsp; The frames have the “VAAST” logo on both sides of the upper section of the down tube. Serial numbers can be found underneath the bike frame on the bottom bracket. The phrase “Model A/1” is on the bike frame - left side rear seat. &nbsp;MODEL #DESCRIPTIONMODEL TYPECOLORUPCVA229321Model A/1 700C&nbsp; RIVAL AXS XS (50cm), GLOSS BERRY REDA/1 Rival AXS 700BERRY RED810031-65106-1VA229331Model A/1 700C&nbsp; RIVAL AXS S (52cm), GLOSS BERRY REDA/1 Rival AXS 700BERRY RED810031-65107-8VA229341Model A/1 700C&nbsp; RIVAL AXS M (54cm), GLOSS BERRY REDA/1 Rival AXS 700BERRY RED810031-65108-5VA229361Model A/1 700C&nbsp; RIVAL AXS L (56cm), GLOSS BERRY REDA/1 Rival AXS 700BERRY RED810031-65109-2VA229371Model A/1 700C&nbsp; RIVAL AXS XL (58cm), GLOSS BERRY REDA/1 Rival AXS 700BERRY RED810031-65110-8&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;VA229520Model A/1 650B&nbsp; RIVAL AXS XS (50cm), MATTE SEA BLUEA/1 Rival AXS 650&nbsp;SEA BLUE810031-65111-5VA229530Model A/1 650B&nbsp; RIVAL AXS S (52cm), MATTE SEA BLUEA/1 Rival AXS 650&nbsp;SEA BLUE810031-65112-2VA229540Model A/1 650B&nbsp; RIVAL AXS M (54cm), MATTE SEA BLUEA/1 Rival AXS 650&nbsp;SEA BLUE810031-65113-9VA229560Model A/1 650B&nbsp; RIVAL AXS L (56cm), MATTE SEA BLUEA/1 Rival AXS 650&nbsp;SEA BLUE810031-65114-6VA229570Model A/1 650B&nbsp; RIVAL AXS XL (58cm), MATTE SEA BLUEA/1 Rival AXS 650&nbsp;SEA BLUE810031-65115-3&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;VA209320Model A/1 700C GRX XS (50cm), GLOSS BERRY REDA/1 GRXBERRY RED810031-65000-2VA209330Model A/1 700C GRX S (52cm), GLOSS BERRY REDA/1 GRXBERRY RED810031-65001-9VA209340Model A/1 700C GRX M (54cm), GLOSS BERRY REDA/1 GRXBERRY RED810031-65002-6VA209360Model A/1 700C GRX L (56cm), GLOSS BERRY REDA/1 GRXBERRY RED810031-65003-3VA209370Model A/1 700C GRX XL (58cm), GLOSS BERRY REDA/1 GRXBERRY RED810031-65004-0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;VA209520Model A/1 650B RIVAL XS (50cm), MATTE SEA BLUEA/1 Rival 650SEA BLUE810031-65005-7VA209530Model A/1 650B RIVAL S (52cm), MATTE SEA BLUEA/1 Rival 650SEA BLUE810031-65006-4VA209540Model A/1 650B RIVAL M (54cm), MATTE SEA BLUEA/1 Rival 650SEA BLUE810031-65007-1VA209560Model A/1 650B RIVAL L (56cm), MATTE SEA BLUEA/1 Rival 650SEA BLUE810031-65008-8VA209570Model A/1 650B RIVAL XL (58cm), MATTE SEA BLUEA/1 Rival 650SEA BLUE810031-65009-5&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;VA209321Model A/1 700C RIVAL XS (50cm), GLOSS BERRY REDA/1 Rival 700BERRY RED810031-65044-6VA209331Model A/1 700C RIVAL S (52cm), GLOSS BERRY REDA/1 Rival 700BERRY RED810031-65045-3VA209341Model A/1 700C RIVAL M (54cm), GLOSS BERRY REDA/1 Rival 700BERRY RED810031-65046-0VA209361Model A/1 700C RIVAL L (56cm), GLOSS BERRY REDA/1 Rival 700BERRY RED810031-65047-7VA209371Model A/1 700C RIVAL XL (58cm), GLOSS BERRY REDA/1 Rival 700BERRY RED810031-65048-4&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;VA219321Model A/1 700C APEX1 XS (50cm), MATTE BLACKA/1 Apex 1XMATTE BLACK810031-65067-5VA219331Model A/1 700C APEX1 S (52cm), MATTE BLACKA/1 Apex 1XMATTE BLACK810031-65068-2VA219341Model A/1 700C APEX1 M (54cm), MATTE BLACKA/1 Apex 1XMATTE BLACK810031-65069-9VA219361Model A/1 700C APEX1 L (56cm), MATTE BLACKA/1 Apex 1XMATTE BLACK810031-65070-5VA219371Model A/1 700C APEX1 XL (58cm), MATTE BLACKA/1 Apex 1XMATTE BLACK810031-65071-2&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;VA219322Model A/1 700C GRX 2X XS (50cm), BLACK FORESTA/1 GRX 2XBLACK FOREST810031-65072-9VA219332Model A/1 700C GRX 2X S (52cm), BLACK FORESTA/1 GRX 2XBLACK FOREST810031-65073-6VA219342Model A/1 700C GRX 2X M (54cm), BLACK FORESTA/1 GRX 2XBLACK FOREST810031-65074-3VA219362Model A/1 700C GRX 2X L (56cm), BLACK FORESTA/1 GRX 2XBLACK FOREST810031-65075-0VA219372Model A/1 700C GRX 2X XL (58cm), BLACK FORESTA/1 GRX 2XBLACK FOREST810031-65076-7&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;VA214320Model A/1 FRAMESET 2X XS (50cm), GLOSS BERRY REDA/1 2X FRAMESETBERRY RED810031-65101-6VA214330Model A/1 FRAMESET 2X S (52cm), GLOSS BERRY REDA/1 2X FRAMESETBERRY RED810031-65102-3VA214340Model A/1 FRAMESET 2X M (54cm), GLOSS BERRY REDA/1 2X FRAMESETBERRY RED810031-65103-0VA214360Model A/1 FRAMESET 2X L (56cm), GLOSS BERRY REDA/1 2X FRAMESETBERRY RED810031-65104-7VA214370Model A/1 FRAMESET 2X XL (58cm), GLOSS BERRY REDA/1 2X FRAMESETBERRY RED810031-65105-4&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;VA204320Model A/1 FRAMESET 1X XS (50cm), GLOSS BERRY REDA/1 1X FRAMESETBERRY RED810031-65018-7VA204330Model A/1 FRAMESET 1X S (52cm), GLOSS BERRY REDA/1 1X FRAMESETBERRY RED810031-65019-4VA204340Model A/1 FRAMESET 1X M (54cm), GLOSS BERRY REDA/1 1X FRAMESETBERRY RED810031-65020-0VA204360Model A/1 FRAMESET 1X L (56cm), GLOSS BERRY REDA/1 1X FRAMESETBERRY RED810031-65021-7VA204370Model A/1 FRAMESET 1X XL (58cm), GLOSS BERRY REDA/1 1X FRAMESETBERRY RED810031-65022-4&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;VA204321Model A/1 FRAMESET 1X XS (50cm), MATTE SEA BLUEA/1 1X FRAMESETSEA BLUE810031-65023-1VA204331Model A/1 FRAMESET 1X S (52cm), MATTE SEA BLUEA/1 1X FRAMESETSEA BLUE810031-65024-8VA204341Model A/1 FRAMESET 1X M (54cm), MATTE SEA BLUEA/1 1X FRAMESETSEA BLUE810031-65025-5VA204361Model A/1 FRAMESET 1X L (56cm), MATTE SEA BLUEA/1 1X FRAMESETSEA BLUE810031-65026-2VA204371Model A/1 FRAMESET 1X XL (58cm), MATTE SEA BLUEA/1 1X FRAMESETSEA BLUE810031-65027-9Serial numbers for the affected bicycles or frames:&nbsp;WAWAK0001 through WAWAK0062&nbsp;WAWAL0001 through WAWAL0600&nbsp;WAWAA0001 through WAWAA0474&nbsp;WAWAB0001 through WAWAB0020&nbsp;WAWBH0001 through WAWBH0999&nbsp;WAWBD0001 through WAWBD0170&nbsp;WAWCF0001 through WAWCF0280&nbsp;WAWCK0001 through WAWCK0450&nbsp;WAWCA0001 through WAWCA0999&nbsp;VFA1M0011 through VFA1M0015&nbsp;","The bicycle frame can develop a hairline fracture near a weld, which can cause the tubes to separate, posing a risk of falling.&nbsp;",,,Repair," About 1,860 (in addition, about 4 were sold in Canada)","The firm has had 22 consumers report frame fractures and three consumers report frame tube separation, one of which resulted in a minor injury after falling from the bike.","Consumers should immediately stop using the Vaast A/1 bicycles and frame and contact Super Wheels Inc. for a free replacement. Once consumers register their bike at Contact | VAAST Bikes, (www.vaastbikes.com/contact-us/), Super Wheels Inc. will provide the consumer with a replacement frame and pay (up to $200) for a bike shop technician to rebuild the bike with the replacement frame.&nbsp;&nbsp;&nbsp;","Sold At","Various bike shops nationally from April 2020 through August 2025 for between $1,300 and $3,000.&nbsp;&nbsp;&nbsp;","Super Wheels Inc. f/k/a Allite Inc., of Miamisburg, Ohio  ",,,Taiwan,,
