"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26335,,"March 19, 2026",,"Aisstxoer Adult Bicycle Helmets Recalled Due to Risk of Serious Injury or Death from Head Injury; Violates Mandatory Standard for Bicycle Helmets; Sold on Amazon by YXTDZ Store","Aisstxoer Adult Bike Helmets","This recall involves Aisstxoer bike helmets. The recalled helmets were sold in size large, fitting a head circumference of about 22.8 to 24.4 inches, and in the color pink. The recalled helmets have black padding, black straps, a black buckle and a black plastic knob at the back for adjusting the fit. “Aisstxoer” and the size are printed on a white label on the packaging and the model “GH018L” is printed on a label located inside of the helmet.&nbsp;","The recalled helmets violate the mandatory safety standard for https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">bicycle helmets because the helmets do not comply with the impact attenuation, positional stability, and certification requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,"About 200","None reported ","Consumers should stop using the recalled adult helmets immediately and contact YXTDZ Store for a full refund. Consumers will be asked to destroy the recalled helmet by cutting the straps and email a photo of the destroyed helmet to yxtdzamz@126.com.&nbsp;&nbsp;&nbsp;","Sold Online At","Amazon.com from October 2025 through November 2025 for about $25.&nbsp;",,,,China,Retailer:,"Shenzhenshiyongxintaidianziyouxiangongsi (Shenzhen Yongxintai Electronics Co., Ltd.), dba, Yxtdz Store, of China&nbsp;"
26330,,"March 19, 2026",,"Specialized Bicycle Components Recalls Specialized Turbo Como SL Electric Bicycles Due to Risk of Serious Injury or Death from Fall Hazard","Specialized Turbo Como SL 4.0 & 5.0 Bicycle Forks","This recall involves bicycle forks on all Specialized Como SL electric bicycles, regardless of model. “Como SL” is printed on the bicycle’s seat tube or top tube, and the bikes were sold in a variety of colors, including Cast Umber, Dove Grey and Raspberry (Como SL 4.0), and Smoke, Brassy Yellow and Brushed Silver (Como SL 5.0).You can also determine which model you have by connecting your bicycle to the Specialized app. Only SL versions in the Como family of bicycles are part of this recall.","The bike’s fork steerer tube can develop a small fatigue crack that can lead to a progressive failure of the fork, posing a fall hazard.",,,Repair,"About 5,720","The firm has received one report of an incident involving a steerer tube failing and breaking. No injuries have been reported.","Consumers should stop using their Specialized Turbo Como SL bicycles immediately and contact their Authorized Specialized Retailer to schedule an appointment to bring their bike in for a free replacement of the fork at an authorized dealer location. Replacement parts are expected to be available in Spring 2026.","Sold At","Online at www.specialized.com and through Authorized Specialized Retailers between March 2021 through January 2026 for between $3,250 and $4,800.","Specialized Bicycle Components Inc., of Morgan Hill, California",,,"Taiwan or Vietnam",,
26320,,"March 12, 2026",,"ProRider Recalls Bicycle Helmets Due to Risk of Serious Injury or Death from Head Injury; Violates Mandatory Standard for Bicycle Helmets","ProRider Bicycle Helmets","This recall involves ProRider Economy, Bike Helmets with turn ring, Bike Helmets Black Foam, BMX Helmet and Toddler Bike Helmets. The helmets were sold in the following colors: blue, green, red, black, and purple. The model number, date of manufacture in MM/YYYY format, and serial number can be found on a label inside the helmet.Model NumberModel NameSize(s)Manufacture DateSerial Number(s)BG-W/10BICYCLEEconomy Bicycle HelmetS/M (Small/Medium)12/202200158202 and 00158287L/XL (Large/Xtra-Large)04/202200094738 and 00094811BG-14BICYCLEBike Helmet with turn ringS/M (Small/Medium)12/202200141944 and 00140406L/XL (Large/Xtra-Large)10/202200134699 and 00134652BG-14BICYCLEBike Helmet Black FoamL/XL (Large/Xtra-Large)12/202200145398SPORT HELMETBMX HelmetXS (Xtra-Small)09/202200127689BM-5TODDLERToddler Bike HelmetXXS (Xtra-Xtra-Small)09/2022None","The recalled helmets violate the mandatory safety standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… helmets&nbsp;because the helmets do not comply with the impact attenuation, positional stability, labeling and certification requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,"About 9,546","None reported","Consumers should immediately stop using the recalled helmets and contact ProRider for a full refund. Consumers should destroy the helmet by cutting the straps and sending a photo of the destroyed helmet to&nbsp;org@prorider.com to obtain a refund.","Sold At","Distributed by Wisconsin Bike Federation, Kiwanis Club, Foster Love nationwide, and sold online at ProRider.com from June 2022 through May 2023 for between $5 and $18.","ProRider, Inc., of Kent, Washington",,,China,,
26304,,"February 26, 2026",,"Todson Recalls Concord Bicycle Helmets Due to Risk of Serious Injury or Death from Head Injury; Violates Mandatory Standard for Bicycle Helmets","Concord 360 Degree Rechargeable Light-Up Bike Helmets","This recall involves Concord-branded 360 Degree Rechargeable Light-Up bike helmets. The helmets were sold in size large (L), fitting a head circumference of about 22.8 to 24 inches. The helmets have a black exterior with a built-in LED lighting system, black straps, black buckle, and have a black plastic knob at the back of the helmet for adjusting the fit. “Concord” is printed on the back of the helmet.&nbsp;","The recalled helmets violate the mandatory safety standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… helmets because the helmets do not comply with the retention system and positional stability requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,"About 40,245  ","None reported","Consumers should immediately stop using the recalled Concord Helmets and contact Todson for a full refund. Consumers should destroy the recalled helmets by cutting the straps off the helmets. Consumers can send photos of the helmet with the straps cut off to&nbsp;360concordhelmet@todson.com to obtain a refund.&nbsp;Note:&nbsp;Do not throw this recalled helmet with a lithium-ion battery in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts lithium-ion batteries. If it does not, contact your municipality for further guidance. You can also visit&nbsp;Todson.com/360-concord-recall for more information on potential disposal locations.","Sold At","Walmart stores nationwide and online at Walmart.com from January 2025 through September 2025 for about $30.","Todson, Inc., of Foxboro, Massachusetts",,,China,,
26277,,"February 19, 2026",,"SAMIT Youth Multi-Purpose Helmets Recalled Due to Risk of Serious Injury or Death from Head Injury; Violates Mandatory Standard for Bicycle Helmets; Sold on Amazon by SAMIT Outdoor","SAMIT Youth Multi-Purpose Helmets","This recall involves SAMIT multi-purpose helmets for children. The recalled helmets were sold in one size and fit a head circumference of about 21 to 23 inches. The helmets are sold in “crack” blue, “crack” red, and “crack” black with a cracked paint design.&nbsp; They were also sold in pure black.&nbsp; The helmets have gray padding, black straps, a black and red buckle with a black chin strap, and a black plastic knob at the back of the helmet for adjusting the fitting.","The recalled helmets violate the mandatory safety standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… helmets because the helmets do not comply with the positional stability and certification requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,"About 3,295","None reported","Consumers should immediately stop using the recalled helmets and contact Samit Outdoor for a full refund. Consumers should destroy the recalled helmet by cutting the straps off. Consumers can upload photos of the helmet with the straps cut off to usjialebei@foxmail.com to obtain a refund. &nbsp;","Sold Online At","Amazon.com from March 2025 through November 2025 for between $28 and $33.",,,,China,Retailer:,"Shenzhenshilonghuaqujialebeibaihuoshanghang (Jialebei Department Store, Longhua District, Shenzhen) dba Samit Outdoor, of China"
26239,,"February 05, 2026",,"Semfri Children’s Helmets Recalled Due to Risk of Serious Injury or Death from Head Injury; Violates Mandatory Standard for Bicycle Helmets","Semfri Children’s Helmets","This recall involves Semfri-branded children’s multi-purpose helmets. The recalled helmets were sold in size medium (M), fitting a head circumference of about 20.5 to 22.8 inches; and in the following colors: orange, black, blue, navy blue, pink, red and white. All helmets have black padding, black straps and a black buckle. The helmets have a black plastic knob at the back of the helmet for adjusting the fitting. The size is printed on a black circular label located inside of the helmet.","The recalled helmets violate the mandatory safety standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… helmets because the helmets do not comply with the impact attenuation, positional stability, labeling and certification requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,"About 300","None reported","Consumers should immediately stop using the recalled helmets and contact Semfri for a full refund. Consumers should destroy the helmet by cutting the straps and sending a photo of the destroyed helmet to Semfri_recall@163.com.","Sold Online At","Walmart.com from June 2025 through November 2025 for between $19 and $28.",,,,China,Retailer:,"Jinjiangshi XunMai Network Technology Co., Ltd., dba Semfri, of China"
26236,,"January 29, 2026",,"Gazelle USA Recalls Urban Arrow FamilyNext Pro Cargo E-Bikes Due to Injury Hazard","Urban Arrow FamilyNext Pro Cargo E-Bikes","This recall involves Urban Arrow FamilyNext Pro Cargo E-Bikes with Fidlock buckles. The recalled bicycle comes in one size and comes in green and black. The frame of the bicycle is made of aluminum with a reinforced foam (EPP) cargo box. The bicycle is 105"" in length and 28"" wide. “Urban Arrow” is imprinted on the bottom of the cargo box.","The buckle can fail to fully latch when used with children in the cargo area, posing injury hazards to children.",,,Repair,"About 320","The firm has received three reports of buckles not fully latching. No injuries have been reported.","Consumers should immediately stop using the e-bikes and contact Gazelle USA to arrange for a free repair of the bench assembly in the cargo area of the e-bike. The repair will include a replacement buckle and will be done at a dealership location.","Sold At","Individual specialty stores from March 2025 through December 2025 for about $9,000.","Gazelle USA, LLC, of Santa Cruz, California",,,Vietnam,,
26220,,"January 29, 2026",,"Rear Bolts on Trek and Electra Electric Bicycles Recalled Due to Fall Hazard; Manufactured by Hyena","Rear wheel bolts installed on model year 2026 Trek FX+ 1 and Electra Townie Go! electric bicycles","This recall involves the rear wheel bolts on model year 2026 Trek-branded FX+ 1 Midstep, FX+ 1S Midstep, FX+ 1 Stepover, and FX+ 1S Stepover, and Electra-branded Townie Go! Step Thru and Townie Go! S Step Thru electric bicycles sold before October 28, 2025. The bicycles come in various colors and sizes. The Trek bicycles have the word “TREK” printed on the downtube of the frame and “FX+” is printed on the top tube. The Electra bicycles have the word “townie” printed on the downtube, “electra” on the seat stay, and “go!” on the chain guard. The original rear wheel bolts are black and connect the motor to the rear frame of the bicycles.","The rear wheel bolts can break when torqued, causing the wheel to separate from the bicycle, posing a fall hazard.",,,Repair,"About 19,890","The firm has received seven reports of the rear wheel bolts breaking on affected bicycles. No injuries have been reported.","Consumers should immediately stop using the bicycles with recalled bolts and contact an authorized Trek or Electra dealer to schedule a free repair at the dealer’s location. The dealer will replace the original black rear wheel bolts with new silver rear wheel bolts. Consumers can locate their nearest dealer at https://www.trekbikes.com./us/en_US/store-finder/. Trek will provide consumers who participate in the recall with a $10 in-store credit toward any Trek, Electra or Bontrager merchandise. The credit is valid through December 31, 2026.","Sold At","Trek stores and Trek authorized retailers nationwide and online from April 2025 through October 2025 for about $2,100.",,"Hyena, Inc., of Taiwan",,Taiwan,,
26188,,"January 15, 2026",,"R.X.Y Bicycle Helmets Recalled Due to Risk of Serious Injury or Death from Head Injury; Violates Mandatory Standard for Bicycle Helmets","R.X.Y Bicycle Helmets","This recall involves R.X.Y-branded adult bike helmets. The recalled helmets were sold in one size fitting a head circumference of about 22.44 to 24.41 inches. The helmets are blue with black and have gray padding, black straps with a silver reflective pattern in the center and a black and red buckle with a gray chin strap. The helmets have a black plastic knob at the back of the helmet for adjusting the fitting. Item number “Kx012” is printed on the helmet’s instruction manual.","The recalled helmets violate the mandatory safety standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… helmets because the helmets do not comply with the impact attenuation, positional stability, labeling and certification requirements. The helmets can fail to protect the user in the event of a crash, posing a serious risk of injury or death due to head injury.",,,Refund,About 170,"None reported","Consumers should immediately stop using the recalled helmets and contact R.X.Y for a full refund. Consumers should destroy the helmet by cutting the straps and uploading photos of the helmet with the straps cut off to&nbsp;RXY-recall@outlook.com.","Sold Online At","Amazon.com from September 2025 through November 2025 for about $23.",,,,China,Retailer:,"Tanghexianjinyuanliyueshangmao Co., Ltd. (Tanghe County Jinyuan Liyue Commerce and Trade Co., Ltd.) dba R.X.Y, of China"
26180,,"January 08, 2026",,"PNW Components Recalls Aluminum Alloy Bicycle Pedals Due to Crash Hazard","Loam Pedal Gen 2 aluminum alloy bicycle pedals","This recall involves the PNW Components Loam Pedal Gen 2 aluminum alloy mountain bike pedal. These pedals were sold after market through online retailers and bicycle shops. The pedal is a platform style (non-clip) pedal and can be identified by a “Tectonic” logo laser etched onto the pedal body on the left corner, on the same side as the threaded axle. The pedals are available in black, silver, green, orange and purple.","The pedal axle can crack, causing the pedal to detach from the crank, posing a fall hazard to the rider.",,,Replace,"About 1,200","The firm has received four reports of the pedal axle cracking and detaching from the crank. No injuries have been reported.","Consumers should immediately stop using the Loam Pedal Gen 2 and contact PNW Components to receive free replacement axles once they become available. In the interim PNW Components is providing consumers with the Range Pedal, free of charge. PNW Components will follow up with consumers regarding the replacement axle system, estimated to begin shipping out to customers on January 5, 2026.","Sold At","Independent bicycle dealers and online at PNWComponents.com, REI.com, Backcountry.com and JensonUSA.com from June 2025 through November 2025 for about $160 per pair.","PNW Components, Inc., of Seattle, Washington",,,Taiwan,,
