"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26346,26-313,"March 26, 2026","March 5, 2026","CCCEI Brand Power Strips Recalled Due to Risk of Serious Injury or Death from Fire; Sold by Middle Way Electronics","CCCEI Power Strips","This recall involves CCCEI-branded power strips with 6ft, 10ft, and 15 ft power cords. The power strips have a black metal enclosure with six receptacles made of black plastic and individual on/off switches for each receptacle. The back of the power strip has a white label that says: “Relocatable Power Taps. Caution keep children away. To reduce the risk of electric shock, use only indoors, risk of electrical shock. Do not plug into another relocatable power taps or an extension cord. Use only in dry location. Made in China”","The power strips do not contain supplementary overcurrent protection, which creates a risk of fire if the power strips are overloaded. The resulting fire can cause serious injury or death from smoke inhalation and burns.",,"WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to stop using CCCEI Power Strips with 6ft, 10ft, or 15ft power cords immediately because they pose a risk of serious injury or death.&nbsp;The power strips do not contain supplementary overcurrent protection which creates a risk of fire if the power strips are overloaded. The resulting fire can cause serious injury or death from smoke inhalation and burns.&nbsp;&nbsp;The retailer, Middle Way Electronics, has not agreed to an acceptable recall.&nbsp;The defective power strips come with 6ft, 10ft, or 15ft power cords. The power strips have a black metal enclosure with six receptacles made of black plastic and individual on/off switches for each receptacle. The products were sold on Amazon.com from April 2024 through January 2026 for between $25 and $30.&nbsp;&nbsp;The defective power strips were manufactured in China.&nbsp;",Refund,"About 5,543","Middle Way Electronics has received two reports of the power strips sparking and melting. No fires or injuries have been reported.","Consumers should immediately stop using the CCCEI power strips and contact Middle Way Electronics to receive a full refund.","Sold Online At","Amazon.com from April 2024 to January 2026 for between $23 and $30.",,,,China,Retailer:,"Middle Way Electronics, of China"
26249,,"February 05, 2026",,"Dresbe LED Christmas Headbands Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violate Mandatory Standard for Consumer Products with Button Cell Batteries","Dresbe LED Christmas Headbands","This recall involves Dresbe LED Christmas Headbands. The headbands were sold as a two-pack of novelty headbands, one red headband with candy cane attachments and a green headband with a Christmas tree attachment, each containing three button cell batteries to power LED lights. The headbands have “HB-052” and “DRESBE LED Christmas Headband (2pc)” printed on labels located on the package.&nbsp;&nbsp;","The recalled headbands violate the mandatory standard for consumer products with button cell and coin batteries because the button cell batteries in the headbands can be accessed easily by children, posing an ingestion hazard. Additionally, the packaging and product do not have the warnings required under https://www.cpsc.gov/Newsroom/News-Releases/2023/Making-Families-Safer-… lang=""EN-US"">Reese’s Law. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns, and death.",,,Refund,"About 250 units","None reported","Consumers should stop using the recalled headbands immediately and contact Dresbe for information on how to properly dispose of the product. Consumers will need to email a photograph of disposal to dresberecall@shineprom.com to receive the refund.Note: Button cell batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.&nbsp;&nbsp;","Sold At","Amazon.com from March 2024 through June 2025 for about $13.",,,,China,Retailer:,"Wenxi Xuefeng Technology Co., Ltd, dba Dresbe, of China"
26246,,"February 05, 2026",,"Kitosun Submersible LED Lights Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates Mandatory Standard for Consumer Products with Coin Batteries","Kitosun Submersible LED Lights","This recall involves Kitosun Submersible LED Lights. The LED lights include 10 color-changing LED lights, two remote controls, 20 preinstalled CR2450 lithium batteries in the lights and four preinstalled CR2032 lithium batteries in the remote controls. Each light is about 3.5 cm in diameter.&nbsp;&nbsp;","The recalled LED lights violate the mandatory standard for consumer products containing button cell or coin batteries because they contain lithium coin batteries that can be accessed easily by children, posing an ingestion hazard. Additionally, the LED lights do not have the warnings as required by https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">Reese’s Law. When children swallow button cell or coin batteries, the ingested batteries can cause serious injuries, internal chemical burns, and death, posing an ingestion hazard to children.",,,Refund,"About 8,100","None reported","Consumers should immediately stop using the recalled LED lights and contact Kitosun by email with “Recall” in the subject line for disposal instructions. To receive a full refund, email a photo of the disposed product to sales@kitosun.com.&nbsp;Note: Button cell and coin batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.&nbsp;","Sold Online At","Amazon.com from March 2024 through November 2025 for about $23.",,,,China,Retailer:,"Kitosun Original Company Limited, dba Kitosun, of China&nbsp;"
26194,,"January 15, 2026",,"HEZI Brand Power Strips Recalled Due to Risk of Serious Injury or Death from Electrocution; Sold by HEZI HOME","HEZI Branded Power Strips","This recall involves HEZI brand power strips. The HEZI power strip has either a gray or yellow metal enclosure with eight receptacles made of black plastic. There are a power and a circuit breaker switch located at the end of the metal enclosure closest to the power cord.","The power strips have an ungrounded metal enclosure that poses an electrocution hazard if energized, resulting in serious injury or death.",,,Refund,"About 1,320","None reported","Consumers should stop using the recalled power strips immediately and contact HEZI HOME for a full refund.","Sold Online At","Amazon.com, Ebay.com, Kmart.com and Sears.com from May 2024 through October 2025 for about $35 to $56.","Shenzhenshihezijiajuyongpinyouxiangongsi dba HEZI HOME, of China","Dongguan Keben Electrical Appliance Co Ltd, of China",,China,,
26183,,"January 15, 2026",,"Energizer Recalls Rechargeable Lanterns Due to Overheating","Energizer® Large Power Indicator Lanterns","This recall involves the Energizer® Large Power Indicator Lantern. The lantern is a cone-shaped portable light with an opaque lens and “Energizer” displayed on the side. The top portion of the lantern is gray with a large power button on top and a red handle. The model number of the lantern is BGAAL9 and the SKU number is 039800143341 or 039800143334. The model is located on the bottom of the light, on the removable cover that provides access to the charging cord storage area. The SKU is located on the packaging. Only lanterns with a date code of June 2024 located on the base of the unit, are part of this recall.&nbsp; The date code is shown using two circles, one circle has an arrow pointing to the year (“24”), and the other has an arrow pointing to the month (“6”).","The lithium-ion batteries installed in the lanterns can overheat, posing a burn hazard to consumers.",,,Refund,"About 4,100","The firm reported one incident of the lithium-ion battery in a lantern overheating. No injuries have been reported.","Consumers should immediately stop using the recalled lanterns and contact Energizer for instructions on how to receive a full refund. Consumers will be asked to register for the recall by providing proof of the affected date code. Consumers will then be sent prepaid shipping materials to return their recalled lantern. Once the lantern is returned, consumers will be issued a refund.&nbsp;Note: Do not throw this recalled lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.”","Sold At","Meijer, Blain, and Fleet Wholesale stores nationwide and online at Amazon.com between January and November 2025 for between $35 to $45. In addition, approximately 100 lanterns were distributed to reviewers through the Bazaarvoice marketing program.","Energizer Holdings, Inc., of Clayton, Missouri",,,China,,
26179,,"January 08, 2026",,"Isla Rae Magnetic Wireless Chargers Recalled Due to Fire and Burn Hazards; Sold by TJX at T.J. Maxx and Marshalls Stores","Isla Rae Magnetic Wireless Chargers","This recall involves magnetic wireless chargers sold under the Isla Rae brand. The chargers are compatible with magnetic charging systems and attach magnetically to the back of a phone to charge the device. The chargers were sold in the following colors: white, pink, and purple. The model number “RM5PBM” can be found on the side of the magnetic wireless charger, below the markings “5000 mAh 3.7V.”&nbsp;Note:&nbsp;Do not throw this recalled lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.","The chargers can explode while in use, posing a fire and burn hazard.",,,Refund,"About 13,200 (In addition, about 7,000 units were sold in Canada)","None reported","Consumers should immediately stop using the recalled magnetic wireless chargers and go to&nbsp;https://www.recallrtr.com/powerbank to register for the recall and for instructions on how to receive a full refund. After registering, consumers should dispose of the power bank in accordance with local and state regulations and not discard it in the household trash.","Sold At","Marshalls and T.J. Maxx stores nationwide between June 2024 and November 2025 for $15.","Hello to Green dba Press Play Products of Bell, California",,,China,Retailer:,"The TJX Companies Inc., of Framingham, Massachusetts"
26161,,"December 18, 2025",,"ANNQUAN Brand Power Strips Recalled Due to Risk of Serious Injury or Death from Fire; Sold on Amazon by Hefei Juyuan Sporting Development","ANNQUAN Power Strips, Models EX-D112-05 and EX-D106-25","This recall involves&nbsp;ANNQUAN-branded power strips models EX-D112-05 and EX-D106-25. Power strip model EX-D112-05 has a black metal enclosure with 12 receptacles made of yellow plastic. There is one on/off switch located at the end of the housing closest to the power cord. Power strip model EX-D106-25 has a yellow metal enclosure with six receptacles made of black plastic and individual on/off switches for each receptacle. The model numbers are found on the order invoice.","The power strips do not contain supplementary overcurrent protection, which creates a risk of fire if the power strips are overloaded. The resulting fire can cause serious injury or death from smoke inhalation and burns.",,,Refund,"About 11,200","Hefei Juyuan Sporting Development has received seven reports of the power strips blowing a fuse. No fires or injuries have been reported.","Consumers should immediately stop using the ANNQUAN power strips and contact Hefei Juyuan Sporting Development to receive a full refund.","Sold Online At","Amazon.com from December 2023 through October 2025 for between $15 and $40.",,,,China,Retailer:,"Hefei Juyuan Sporting Development Co., Ltd., of China"
26135,,"December 05, 2025",,"INIU Recalls Power Banks Due to Fire and Burn Hazards; Sold on Amazon","INIU BI-B41 Power Banks","This recall involves INIU 10,000mAh portable power banks, model BI-B41. The recalled power banks have a black or blue case and the INIU logo and a paw-print LED light are on the front. The model and serial number are printed on the back of the power bank at the bottom. Only portable power banks with serial numbers 000G21, 000H21, 000I21 and 000L21 are included in this recall.Note: Do not throw this recalled lithium-ion battery or device in the trash, in the general recycling stream (e.g., street-level or curbside recycling bins), or in used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.","The lithium-ion battery in the recalled power banks can overheat and ignite, posing fire and burn hazards to consumers.",,,Refund,"About 210,000","INIU has received 15 reports of power banks overheating, including 11 reports of fires that resulted in three minor burn injuries and property damage totaling over $380,000.","Consumers should stop using the recalled power banks immediately and visit INIU’s recall page at&nbsp;https://iniushop.com/pages/recall-b41# to verify the product serial number and register for a full refund.","Sold Online At","Amazon.com from August 2021 and April 2022 for about $18.",,"Shenzhen Topstar Industry Co., Ltd., of China",,China,Retailer:,"INIU, of Seattle, Washington"
26131,,"December 04, 2025",,"KTEBO Writing Tablet Toys Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates Mandatory Standard for Toys; Sold on Amazon by KTEBO","KTEBO Writing Tablet Toy","This recall involves KTEBO-branded Writing Tablet Toys. The products were sold in sets of two and came in four color variations (pink/blue, green/yellow, orange/blue, purple/red) and two sizes (8.5 inches and 10 inches) with a matching-colored stylus.","The recalled toys violate the https://cpsc.gov/Business--Manufacturing/Business-Education/Toy-Safety""… lang=""EN-US"">mandatory standard for toys because the screw used to secure the battery compartment that contains a button cell battery does not remain attached as required. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns, and death.",,,Replace,"About 10,380","None reported","Consumers should immediately stop using the recalled writing tablet toys and contact KTEBO for a free replacement set of tablet toys. Consumers should write “RECALLED” on the back of both tablet toys that came in the set, take a photo of the marked tablet toys, and submit the photos to writing-tablet-recall@ktebo.com&nbsp; with “Recall Proof” and their name in the subject line.&nbsp;&nbsp;&nbsp;Note: Button cell batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.","Sold Online At","Amazon.com from September 2025 through October 2025 for between $8 and $30.",,,,China,Retailer:,"Banghe Guangzhou International Trade Co., Ltd., dba KTEBO, of China"
26092,,"November 13, 2025",,"Tesla Recalls Powerwall 2 AC Battery Power Systems Due to Fire and Burn Hazards; Risk of Serious Injury or Death","Certain Tesla Powerwall 2 AC Battery Power System","This recall involves certain Tesla Powerwall 2 units, fully-integrated AC battery systems used for energy storage for self-consumption, time-based control, and backup power. Model number “Powerwall 2” is printed on the nameplate label on the side of the unit.","The lithium-ion battery cells in certain Powerwall 2 systems can cause the unit to stop functioning during normal use, which can result in overheating and, in some cases, smoke or flame and can cause death or serious injury due to fire and burn hazards.&nbsp;",,,Replace,"About 10,500","The firm has received 22 reports of overheating, including six reports of smoking and five reports of fire, resulting in minor property damage. No injuries have been reported.","Consumers should ensure their Powerwall 2 system is online and check the Tesla App for a notification about whether their unit is included in the recall. Tesla has remotely discharged (or removed energy from the battery of) affected Powerwall 2 systems that are online, to prevent overheating, until the replacement is installed.&nbsp;","Sold Online At","Tesla.com/powerwall and through certified Tesla installers nationwide from November 2020 through December 2022 for about $8,000.",,"Tesla, Inc., of Reno, Nevada",,"United States",,
