"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26-329,,"March 19, 2026",,"Tainoki Fine Furniture Recalls Office Chairs Due to Risk of Serious Injury and Fall Hazard","Swivel Office Chairs","This recall involves height-adjustable, swivel office chairs designed for desk use. The chairs feature an upholstered padded seat, backrest headrest, and two padded armrests supported by chrome-finished metal bars. The following model names, model numbers, and colors are included in this recall: Noah Office Chair, model number M7016O in Cream, Jiffy, French Roast, and Black; the Owen Office Chair, model number M7004O in Cream, Black, Merlin, Jiffy and Wade; the Warren Office Chair, model number M7074O in Taupe and Justin's. The model numbers can be found on the label on the underside of the chair seat. The chairs sit on a five-star chrome metal base with five black rolling casters.","The recalled chairs’ base can bend, posing a fall hazard.",,,Refund,"About 2,200","None reported","Consumers should stop using the recalled chairs immediately and visit&nbsp;https://www.tainoki.com/recall for instructions on how to participate in the recall. Consumers will be asked to submit photos of the recalled chairs, the model number and proof of destruction for a full refund.","Sold At","HomeGoods stores nationwide from August 2025 through December 2025 for between $180 and $200.","Tainoki Fine Furniture, of Brea, California",,,China,,
26-323,,"March 12, 2026",,"17 Stories Furniture 14-Drawer Dressers Recalled Due to Risk of Serious Injury or Death from Tip-Over and Entrapment Hazards; Violates Mandatory Standard for Clothing Storage Units; Imported by Hong Kong Baojia International","17 Stories Furniture 14-Drawer Dressers","This recall involves 17 Stories Furniture 14-Drawer Dressers. The recalled dressers were sold in the following colors: black, white, and brown. They have 14 fabric drawers and are 11.8 inches long by 37.4 inches wide by 52.2 inches tall. They have a metal frame, wooden top and 14 collapsable fabric drawers. Model numbers 55SCDR14KDBRDL, 55SCDR14KDCHDL, 55SCDR14KDPDL, 55SCDR14KDWPVCDL, and 55SCDR14KDGDL can be found on the product’s packaging, or on the order information in your Wayfair account.","The recalled dressers are unstable if they are not anchored to the wall, posing tip-over and entrapment hazards that can result in risks of serious injuries or death to children. The dressers violate the mandatory standard as required by the&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… Act.",,,Refund,"About 3,000","None reported","Consumers should immediately stop using the recalled dressers if they are not anchored to the wall and place them in an area that children cannot access. Contact Hong Kong Baojia International for instructions on how to identify affected units and dispose of the dressers to receive a full refund. Consumers will be asked to submit a photo to&nbsp;Baojia_recall@outlook.com demonstrating disposal of the product.","Sold Online At","Wayfair.com from September 2023 through January 2026 for about $135.","Hong Kong Baojia International Limited, of China",,,China,,
26-321,,"March 12, 2026",,"LIVEHOM 11-Drawer Dressers Recalled Due to Risk of Serious Injury or Death from Tip-Over and Entrapment Hazards; Violates Mandatory Standard for Clothing Storage Units; Sold on Amazon by Simplehome","LIVEHOM 11-Drawer Dressers","This recall involves LIVEHOM-branded 11-Drawer Dressers. The recalled dressers are made of fabric and were sold in black, white, pink, rustic brown and charcoal black. They measure about 11.8 inches long, 39 inches wide and 46 inches tall and have 11 fabric drawers.&nbsp; The brand name can be found on the product sale receipt.","The recalled dressers are unstable if they are not anchored to the wall, posing tip-over and entrapment hazards that can result in risks of serious injuries or death to children. The dressers violate the mandatory safety standard as required by the&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… Act.",,,Refund,"About 370","None reported","Consumers should immediately stop using the recalled dressers if they are not anchored to the wall and place them in an area that children cannot access. Contact Simplehome for a full refund. Consumers will be asked to write “RECALL” with permanent marker on the dressers and send a photo of the marked dressers to livehomerecall@163.com. Consumers should then dispose of the recalled product.","Sold Online At","Amazon.com from December 2025 through January 2026 for about $110.",,,,China,Retailer:,"Shenzhen Lvmukeji Co., Ltd., dba Simplehome, of China"
26-261,,"February 12, 2026",,"SOOWERY 6-Drawer Dressers Recalled Due to Risk of Serious Injury or Death from Tip-Over and Entrapment Hazards; Violates Mandatory Standard for Clothing Storage Units","SOOWERY 6-Drawer Dressers","This recall involves SOOWERY 6-Drawer Dressers. The dressers were sold in black. They have a metal frame, wooden top, and six collapsable fabric drawers. The dressers are 47.2 inches long by 11.8 inches wide by 33.3 inches tall.","The recalled dressers are unstable if they are not anchored to the wall, posing tip-over and entrapment hazards that can result in risks of serious injuries or death to children. The dressers violate the mandatory standard as required by the https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">STURDY Act.",,,Refund,"About 166","None reported.","Consumers should immediately stop using the recalled dressers if they are not anchored to the wall and place them in an area that children cannot access. With a permanent marker, write the word ""recalled"" on the top and all sides of the dresser. Contact SOOWERY for instructions on how to dispose of the dressers to receive a full refund. Consumers must submit a photo to SOOWERYrecall@outlook.com showing disposal of the product.&nbsp;","Sold Online At","Amazon.com from December 2025 through January 2026 for about $130.&nbsp;",,,,China,Retailer:,"Shenzhen Zhongyuantong Technology Co., Ltd., dba SOOWERY of China&nbsp;"
26-255,,"February 05, 2026",,"EnHomee 10-Drawer Dressers Recalled Due to Risk of Serious Injury or Death from Tip-Over and Entrapment Hazards; Violates Mandatory Standard for Clothing Storage Units","EnHomee 10-Drawer Dressers","This recall involves EnHomee 10-Drawer Dressers. The recalled dressers were sold in the following colors: black, white, grey, and brown. They have a metal frame, wooden top, 10 collapsable fabric drawers, and two metal drawers. The dressers are 38 inches long by 11.8 inches wide by 48.1 inches tall. Model number “55SCWMSCXLBR” can be found on the order information within your Amazon account.","The recalled dressers are unstable if they are not anchored to the wall, posing tip-over and entrapment hazards that can result in risks of serious injuries or death to children. The dressers violate the mandatory standard required by the&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… Act.",,,Refund,"About 5,000","None reported","Consumers should immediately stop using the recalled dressers, if they are not anchored to the wall, and place them in an area that children cannot access. Contact EnHomee for instructions on how to identify affected units and dispose of the dressers to receive a full refund. Consumers must submit a photo to&nbsp;enhomeestore@gmail.com&nbsp;showing disposal of the product.","Sold Online At","Amazon.com from&nbsp;September 2023 through December 2025 for about $115.",,"Xuzhou Mingquanhe Home Furnishing Co., Ltd., of China",,China,Retailer:,"HunanSan Tang International Trading Co., Ltd.&nbsp;dba EnHomee Direct, of China"
26-253,,"February 05, 2026",,"Clark Associates Recalls Lancaster Table & Seating Powder-Coated Aluminum Outdoor Restaurant Chairs and Barstools Due to Fall Hazard","Lancaster Table & Seating Powder-Coated Aluminum Outdoor Chairs and Barstools","This recall involves three models of Lancaster Table &amp; Seating Powder-Coated Aluminum Outdoor Chairs and Barstools in arm chair, side chair (no arms) and barstool configurations sold under 180 item numbers. The chairs and barstools were sold in blue, brown, dark gray, light gray/silver, red, white, aqua, black, green, sangria/burgundy, yellow and orange. The chairs were sold with and without accompanying outdoor tables, which are not subject to the recall. The item numbers can be found on order confirmation emails, shipping confirmation emails and invoices. A full list of affected item numbers and examples of colors are available at www.webstaurantstore.com/uploads/Clark_Associates/2026/1/lts-recall-list-of-affected-products-1.pdf.","The legs of the chairs and barstools can bend or break while the chair is in use, posing a fall hazard.&nbsp;",,,Refund,"About 158,486","The firm has received 36 reports of broken or bent chair legs, resulting in four falls and three injuries.","Consumers should immediately stop using the recalled chairs and barstools and contact Clark Associates for a full refund to the original method of purchase or a store credit. Consumers should register their product online at www.lancastertableandseating.com/recalls/powder-coated-aluminum-chairs, mark the product with the word “Recalled” in paint or thick permanent marker in a visible location and dispose of the product in accordance with local and state laws.&nbsp;","Sold At","Clark Pro and Clark National Accounts nationwide and online at webstaurantstore.com, therestaurantstore.com and quicksupply.com from April 2020 through October 2025 for between $55 and $133.","Clark Core Services LLC, dba Clark Associates, of Lancaster, Pennsylvania",,,China,,
26-251,,"February 05, 2026",,"YITA Recalls Multiple Brands of Dressers Due to Risk of Serious Injury or Death from Tip-Over and Entrapment Hazards; Violates Mandatory Standard for Clothing Storage Units","Yitahome, Uforic, Dextrus, Yintatech and ModFusion-branded Dressers","This recall involves the five different brands of YITA dressers: Dextrus, ModFusion, Uforic, Yintatech and Yitahome. The 16-drawer dressers were sold in gray, black, white, pink and brown. They have a black or white metal frame, a wooden top and collapsable fabric drawers; and measure about 37.4 inches long, 11.8 inches wide and 57.1 inches tall. SKU numbers FTBFSD-0161, FTBFSD-0162, FTBFSD-0212, FTBFSD-0246 or SKU FTBFSD-0465 is printed on labels located on the dresser’s top panel and on the product packaging. The brand name can be found on the product online listing.&nbsp;","The recalled dressers are unstable if they are not anchored to the wall, posing tip-over and entrapment hazards that can result in risks of serious injuries or death to children. The dressers violate the mandatory standard as required by the https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">STURDY Act.",,,Refund,"About 6,800","None reported","Consumers should immediately stop using the recalled dressers, if they are not anchored to the wall, and place them in an area that children cannot access. Contact YITA for a full refund. Consumers should write “RECALL” on the dressers using a permanent marker, disassemble them and submit a photo of the disposed product to yitamotor@outlook.com.&nbsp;","Sold Online At","Amazon.com and Walmart.com from September 2023 through August 2025 for between $75 and $100.&nbsp;&nbsp;","Yita LLC, dba Yitahome, Uforic, Dextrus, Yintatech and ModFusion, of Kent, Washington",,,China,,
26-248,,"February 05, 2026",,"Fixwal 7-Drawer Dressers Recalled Due to Risk of Serious Injury or Death from Tip-Over and Entrapment Hazards; Violates Mandatory Standard for Clothing Storage Units","Fixwal 7-Drawer Dressers","This recall involves the Fixwal 7-Drawer Dressers. The recalled dressers were sold in black and white and have a metal frame, wooden top, and seven collapsable fabric drawers. The dressers are 55.1 inches long by 11.8 inches wide by 31.5 inches tall.&nbsp;","The recalled dressers are unstable if they are not anchored to the wall, posing tip-over and entrapment hazards that can result in risks of serious injuries or death to children. The dressers violate the mandatory standard as required by the https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">STURDY Act.",,,Refund,"About 2,900","None reported","Consumers should immediately stop using the recalled dressers if they are not anchored to the wall, place them in an area that children cannot access and contact Momok for a full refund. Consumers should write “RECALLED” on the front, side, and back of the dresser with a permanent marker, take photos and email them to fixwaldresserrecall@outlook.com.&nbsp;&nbsp;","Sold Online At","Amazon.com from September 2023 through December 2025 for about $100.&nbsp;&nbsp;",,,,China,Retailer:,"Changzhou Xunchuang Home Furnishing Co., Ltd., dba Momok of China&nbsp;"
26-247,,"February 05, 2026",,"Furnulem 5-Drawer Dressers Recalled Due to Risk of Serious Injury or Death from Tip-Over and Entrapment; Violates Mandatory Standard for Clothing Storage Units","Furnulem 5-Drawer Dressers","This recall involves Furnulem five-drawer dressers. The wooden, white dressers measure about 31.5 inches tall, 15.75 inches long and 50.2 inches wide. They have a top with recessed power outlets, and each drawer has two round pull knobs. Only dressers that did not come with feet extensions are included in this recall. Model “HK-DS-017-CL-5D-1-W” is printed on the packaging.&nbsp;","The recalled dressers are unstable if they are not anchored to the wall, posing tip-over and entrapment hazards that can result in risks of serious injuries or death to children. The dressers violate the mandatory standard as required by the https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">STURDY Act.",,,Refund,"About 50","None reported","Consumers should immediately stop using the recalled dressers if they are not anchored to the wall and place them in an area that children cannot access. Contact Furnulem for instructions on how to dispose of the dressers for a full refund. Consumers should send a photo demonstrating disposal of the product to support@furnulem.com.&nbsp;","Sold Online At","Amazon.com in July 2025 for about $140.&nbsp;",,,,China,Retailer:,"Shanghai Taiye Furniture Co., Ltd., dba Furnulem, of China"
26-238,,"February 05, 2026",,"Shintenchi 6-Drawer Dressers Recalled Due to Risk of Serious Injury or Death from Tip-Over and Entrapment Hazards; Violate Mandatory Standard for Clothing Storage Units","Shintenchi 6-Drawer Dressers","This recall involves Shintenchi-branded dressers. The recalled, white dressers have six wooden drawers and golden metal feet and measure about 15.7 inches deep by 47.2 inches wide by 30.5 inches high. “SHX12077-WH” is embossed on the underside of the dresser at the top of one metal foot and on the product packaging.","The recalled dressers are unstable if they are not anchored to the wall, posing tip-over and entrapment hazards that can result in risks of serious injuries or death to children. The dressers violate the mandatory standard as required by the&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… Act.",,,Refund,"About 600","None reported","Consumers should immediately stop using the recalled dressers, if they are not anchored to the wall, and place them in an area that children cannot access.&nbsp;Contact Shintenchi for instructions on how to dispose of the dressers to receive a full refund. Consumers must submit a photo to&nbsp;ShintenchiRecall@hotmail.com&nbsp;showing disposal of the product.","Sold At","Amazon.com from July 2025 through August 2025 for about $130.",,"Huizhou Sunhouse Home Furnishings Co., Ltd., of China",,China,Retailer:,"Shanghai Kase International Trade Co., Ltd., dba Shintenchi, of China"
