"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26166,,"January 08, 2026",,"DR Power Equipment Reannounces and Expands Recall of Leaf Vacuums Due to Laceration Hazard; New Remedy Available","Walk-Behind Leaf Vacuums and Tow-Behind Leaf Vacuums","This recall involves DR Power Equipment walk-behind leaf vacuums and tow-behind leaf vacuums with the following model numbers:&nbsp;Unit TypeModel Numbers&nbsp;Walk Behind Leaf Vacuum&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;WL33006DMNWL35008DENSD&nbsp;&nbsp;&nbsp;WL33006DMNRWL35008DMN&nbsp;&nbsp;&nbsp;WL35008DENWL35008DMNR&nbsp;&nbsp;&nbsp;WL35008DENRWL35008DMNSD&nbsp;&nbsp;&nbsp;WL33106DMNWL35108DEN&nbsp;&nbsp;&nbsp;WL33106DMNRWL35108DENR&nbsp;&nbsp;&nbsp;&nbsp;WL35108DENSD&nbsp;&nbsp;Tow Behind LL3&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;LL31027DMNLL33032DENLL33032DENR&nbsp;&nbsp;LL33032DENSDLL33032DMNLL35045DEN&nbsp;&nbsp;LL35045DMNLL35045DMNRLL37045DEN&nbsp;&nbsp;LL37045DMNLL37045DMNRLL37045DMNSD&nbsp;&nbsp;LL37060DENLL37060DENRLL37145DEN&nbsp;&nbsp;LL31127DMNLL33132DMNLL37160DEN&nbsp;&nbsp;LL31127DMNRLL33132DMNR&nbsp;&nbsp;&nbsp;LL33132DENLL35145DEN&nbsp;&nbsp;&nbsp;LL33132DENSDLL35145DMN&nbsp;&nbsp;Tow Behind LL2&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;LL21009DMNLL21009DMNRLL21009DMNSD&nbsp;&nbsp;LL23009DENLL23009DENRLL23009DENSD&nbsp;&nbsp;LL23009DMNLL23009DMNRLL23009DMNT&nbsp;&nbsp;LL25013DENLL25013DENRLL25013DENSD&nbsp;&nbsp;LL25013DMNLL25013DMNRLL25013DMNSD&nbsp;&nbsp;LL27016DENLL27016DENRLL27016DENSD&nbsp;&nbsp;LL27016DMNLL27016DMNRLL27016DMNSD&nbsp;Additional LL2 Models&nbsp;*Note:&nbsp; These model numbers may or may not have spaces as printed on the data tags.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;LLVX13EDTDV3BF1LLVX13EDTDVBBF1LLVX13ENTDV3BF3&nbsp;&nbsp;LLVX13ENTDVBBF3LLVX13MDTDV3BF0LLVX13MDTDV3BF1&nbsp;&nbsp;LLVX13MDTDVBBF1LLVX13MNTDV3BF3LLVX13MNTDVBBF3&nbsp;&nbsp;LLVX16ELLVX16EDTDV3BF1LLVX16EDTDVBBF1&nbsp;&nbsp;LLVX16ENTDV2BF3LLVX16ENTDV3BF3LLVX16ENTDVBBF3&nbsp;&nbsp;LLVX16MDTDV2BF1LLVX16MDTDV3BF1LLVX16MDTDVBBF1&nbsp;&nbsp;LLVX16MNTDV2BF3LLVX16MNTDV3BF3LLVX16MNTDVBBF3&nbsp;&nbsp;LLVX9AMDTDVBBF3LLVX9AMNTDVBBF3LLVX9GMNTDVBBF3&nbsp;&nbsp;LLVXX9EDTDV3BF1LLVXX9EDTDVBBF1LLVXX9ENTDV3BF3&nbsp;&nbsp;LLVXX9ENTDVBBF3LLVXX9MDTDV3BF1LLVXX9MDTDVBBF1&nbsp;&nbsp;LLVXX9MNTDV3BF3LLVXX9MNTDVBBF3LLVXX9MNTDVBTF3&nbsp;&nbsp;&nbsp;“DR” is printed on the motor housing. The model number on the walk-behind leaf vacuum is located on the front right side of the unit behind the wheel. The model number on the tow-behind leaf vacuum is on the impeller housing beside the engine.&nbsp;","Pieces from the recalled leaf vacuums can come loose inside the unit, or debris can pierce the chute, resulting in material ejecting and posing a laceration hazard to users and bystanders.",,,Repair,"About 60,250 (In addition, about 1,023 were sold in Canada) DR Power Equipment previously recalled 57,200 leaf blowers and vacuums in May 2024.  New models of leaf vacuums have been added to this recall.","The firm has received 46 reports of loose pieces being ejected from the units. No injuries have been reported.","Consumers should immediately stop using the recalled leaf vacuums and contact DR Power for a free repair kit that includes a metal outer shield to be bolted onto the existing chute of the recalled leaf vacuums and installation instructions.&nbsp; Consumers can contact DR Power for information and assistance on making the repair.&nbsp; Consumers who responded to the original recall should nevertheless contact DR Power for the new remedy.","Sold At","Independent power equipment stores nationwide and online at drpower.com from September 2014 through June 2025 for between $1,300 and $4,000.",,"Generac Power Systems Inc., of Waukesha, Wisconsin","DR Power Equipment, of South Burlington, Vermont","United States",,
25371,,"July 03, 2025",,"Positec Recalls Electric Corded Chainsaws and Pole Saws Due to Laceration Hazard","Hyper Tough, Worx and Portland Chainsaws and Pole Saws","This recall involves Hyper Tough 9 Amp Electric Corded 14” Chainsaws, Worx 8 Amp 14” Electric Chainsaws, Worx 8 Amp Electric Pole Saws, and Portland 9 Amp 14” Chainsaws.The Hyper Tough 9 Amp Electric Corded 14” Chainsaw is a black saw with red trim, marked Hyper Tough on the saw body and on the bar.&nbsp;The Worx 8 Amp 14"" Electric Chainsaw is an orange and black saw marked WORX on the saw body and on the bar.The Worx 8 Amp Electric Pole Saw is an orange and black saw marked WORX on the saw body and on the bar and is shipped with an 8-foot pole extension.&nbsp;The Portland 9 Amp 14"" Chainsaw is a green saw with a black bar, marked Portland on the bar.The following item numbers, SKUs, UPCs and serial number or manufacturing date ranges are included in the recall:Product NameItem/SKU/UPCSold AtSerial No. Range/Manufacture Date RangeHyper Tough 9 Amp Electric Corded 14” ChainsawsHT21-401-002-01Walmart storesWalmart.com10/10/2024 -12/01/2024Worx 8 Amp 14"" Electric ChainsawsWG305Worx.comAmazon.comSerial No. Starts With [First Six Digits]:Between 202408 and 202501Worx 8 Amp Electric Pole SawsWG309Worx.comAmazon.comSerial No. Starts With [First Six Digits]:Between 202408 and 202501Portland 9 Amp 14"" ChainsawsSKU 58949UPC 193175451774Harbor Freight storesHarborFreight.comBetween 37567 2442 and 37567 2451","The main switch on the recalled chainsaws and pole saws can fail, allowing the saws to continue to run even after the switch is released, posing a laceration hazard.",,,Replace,"About 49,000 (In addition, about 3,000 were sold in Canada)","None reported","Consumers should immediately stop using the recalled products and contact Positec for a pre-paid shipping label, and a new box as needed, to return the units free of charge. Positec will provide a free replacement chainsaw or pole saw upon receipt of the recalled product.&nbsp;","Sold At","Walmart (Hyper Tough brand only) and Harbor Freight (Portland brand only) stores nationwide and online at Worx.com, Amazon.com and HarborFreight.com from September 2024 through March 2025 for between $50 and $120.","Positec Tool Corporation, of Charlotte, North Carolina",,,China,,
25355,,"June 26, 2025",,"DR Power Recalls Lithium-Ion Battery Packs Due to Fire and Burn Hazards","DR Power LiPRO rechargeable lithium-ion battery packs (5.0 Ah)","This recall involves&nbsp;62-volt 5.0 Ah LiPRO rechargeable lithium-ion battery packs for use with DR Power brand battery-powered products, such as lawnmowers, trimmers and snow throwers. The products include stand-alone battery packs with model number 414240, and removeable battery packs included with DR Power outdoor yard equipment items with model numbers 524340, SB11022XEN, T4X3026XEN, T4X3062XENR, CE75021XEN0 and CE77021XEN0. Information containing the model number for the battery pack (“41424”) is located on the battery pack’s label. The LiPRO and DR Power logo are on the front and side panels of the battery pack.Note:&nbsp;Do not throw this recalled lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.","The recalled battery packs can short-circuit and ignite, posing fire and burn hazards to consumers.",,,Refund,"About 13,200","The firm has received two reports of incidents of fire and/or overheating. No injuries have been reported.","Consumers should immediately stop using the recalled battery packs and contact DR Power for a pro-rated refund, based on the battery’s age. Consumers will need to show proof of the battery pack’s destruction by uploading two photographs in accordance with the destruction instructions (provided on the firm’s recall website), and filling out the recall form online at&nbsp;https://www.drpower.com/5AHB-recall. If consumers choose to dispose of the recalled battery pack’s lithium-ion battery, it should be done in accordance with local and state regulations.&nbsp;","Sold At","Home improvement and hardware stores nationwide and online at DRPower.com and CountryHomeProducts.com from April 2018 through July 2024 for between $300 and $700 for outdoor equipment that includes battery packs, and for $250 for battery packs sold individually.&nbsp;","Generac Power Systems Inc., of Waukesha, Wisconsin","Ningbo New Team Import &amp; Export Co. Ltd. (“Lera”), of China",,China,,
25334,,"June 12, 2025",,"TTI Outdoor Power Equipment Recalls RYOBI 40-Volt 24-Inch Cordless Hedge Trimmers Due to Laceration Hazard","RYOBI 40V 24-Inch Cordless Hedge Trimmers","This recall involves RYOBI 40V 24-Inch Cordless Hedge Trimmers with model numbers RY40620VNM, RY40602VNM and RY40602BTLVNM, and with serial numbers within ranges LT21091D180001 - LT22365D060025 and RG23125N250001 - RG24252D101110. The model and serial numbers are on the data plate located on the bottom of the trimmer.&nbsp;","The hedge trimmer blade can unexpectedly activate after pressing just the safety or trigger control individually rather than engaging the safety and trigger controls simultaneously, posing a laceration hazard.",,,Replace,"About 113,000 (In addition, about 15,000 were sold in Canada)","The firm has received 27 reports of the blade activating after pressing just one of the controls, including 16 reports of injuries that resulted in minor and some severe lacerations.","Consumers should immediately stop using the recalled RYOBI 40V 24-Inch Cordless Hedge Trimmers and visit&nbsp;https://www.ryobitools.com/recall to determine if their trimmer is included in the recall. The recalled trimmer must be returned to TTI Outdoor Power Equipment (TTIOPE), in order to receive a free replacement trimmer (pre-paid label will be provided). Proof of purchase (receipt) is not required. TTIOPE is contacting all known purchasers.&nbsp;","Sold At","Home Depot and Direct Tools Factory Outlet stores nationwide and online at www.homedepot.com and www.directtoolsoutlet.com from March 2021 through January 2025 for between $90 and $160.","TTI Outdoor Power Equipment Inc., of Anderson, South Carolina",,,Vietnam,,
25323,,"June 05, 2025",,"DR Power Equipment Recalls Battery-Powered Chainsaws Due to Fire and Burn Hazards","Battery-Powered Chainsaws","This recall involves DR Power Equipment lithium-ion battery-powered chainsaws with the following model numbers: 414170, 414181, 41418 and 414170R.&nbsp; The chainsaws have a black handle and orange buttons, and a label printed with DR Pulse 62V. The model and serial number are printed on a white label located on the right side of the chainsaw handle.&nbsp;Note: If you choose to dispose of the recalled chainsaw’s lithium-ion battery, do not throw this lithium-ion battery in the trash, in the general recycling stream (e.g., street-level or curbside recycling bins), or in used battery recycling boxes found at various retail and home improvement stores. Lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this lithium-ion battery for disposal. Before taking your battery to a HHW collection center, contact that office ahead of time and ask whether it accepts lithium-ion batteries. If it does not, contact your municipality for further guidance.","The motor controller of the recalled chainsaw can overheat during operation of the unit, posing fire and burn hazards.",,,Refund,"About 7,180 (In addition, about 21 were sold in Canada)","The firm has received 20 reports of incidents of fire, sparks and/or smoke. No injuries have been reported.","Consumers should immediately stop using the recalled chainsaws and contact DR Power for a refund. Consumers will receive a pro-rated refund for the chainsaw tool based on the chainsaw’s age. Consumers will need to show proof of the chainsaw’s destruction by uploading a photograph in accordance with the destruction instructions and filling out the recall form online. For instructions on destroying the chainsaw, visit&nbsp; https://www.drpower.com/BPC-recall.&nbsp;If consumers choose to dispose of the recalled chainsaw’s lithium-ion battery, consumers should recycle the lithium-ion batteries in accordance with local and state regulations.","Sold At","Independent power equipment stores nationwide and online at https://drpower.com from June 2018 through July 2024 for between $200 and $350.","Generac Power Systems Inc., of Waukesha, Wisconsin",,,China,,
25141,,"February 20, 2025",,"Kubota Recalls Utility Tractors Due to Crash Hazard","Kubota Utility Tractors model MX5400DTC","This recall involves Kubota Utility Tractors, model MX5400DTC. The recalled tractors have an 8-speed gear drive transmission, a 55-horsepower Kubota 4-cylinder direct injection engine and a cab. They were sold in an orange color and have “KUBOTA” printed in white lettering on the chassis.&nbsp;","The clutch cable can break on the recalled MX5400DTC utility tractors, resulting in reduced braking power, posing a crash hazard.",,,Repair,"About 2,600 (In addition, about 180 were sold in Canada)","The firm has received 33 reports of the clutch breaking. No injuries have been reported.","Consumers should immediately stop using the recalled utility tractors and contact an authorized Kubota dealer to schedule a free inspection and a free repair at the dealer’s location. Kubota is contacting all known registered owners directly.","Sold At","Authorized Kubota dealers nationwide from February 2020 through December 2024 for between $43,000 and $63,000.",,,"Kubota Tractor Corporation, of Grapevine, Texas",Japan,,
25124,,"February 06, 2025",,"Ariens Recalls Snow Throwers Due to Laceration Hazard","Ariens® DELUXE-, PLATINUM- and PROFESSIONAL-series Snow Throwers","This recall involves certain Ariens DELUXE-, PLATINUM- and PROFESSIONAL-series Sno-Thro® models. The recalled snow throwers were sold in a bright orange color and are equipped with either rear wheels or tracks. The model and serial numbers are located on the white square ID tag on the frame. Some recalled snowblowers have already been inspected and repaired.Consumers are urged to visit&nbsp;https://www.ariensco.com/safetyrecall for a list of recalled units.","The recalled snow thrower impeller and auger assembly can continue rotating even after the operator control lever is released, posing a laceration hazard if a user makes contact with the rotating parts inside the housing enclosure at the front of the machine.",,,Repair,"About 6,260 (In addition, about 1,100 were sold in Canada) ","None reported","Consumers should immediately stop using the recalled snow throwers and contact Ariens Company or an authorized dealer for a free repair at their local dealership. The dealer locator is available at&nbsp;here.&nbsp;Ariens Company and its authorized dealers will confirm whether a unit has already been inspected and/or repaired and will perform all necessary repairs on affected units.&nbsp;","Sold At","Authorized Ariens dealers nationwide, Ace Hardware, Blain’s Farm &amp; Fleet, Do It Best, Family Farm &amp; Home, Mills Fleet Farm, Northern Tool and Equipment, Lowe’s and True Value and online at AceHardware.com, Farmandfleet.com, Doitbest.com, familyfarmandhome.com, Lowes.com, fleetfarm.com, northerntool.com and TrueValue.com from August 2024 through October 2024 for between $1,770 and $5,440.",,"Ariens Company, of Brillion, Wisconsin",,"United States",,
25071,,"December 19, 2024",,"Chervon North America Recalls SKIL 40V 5.0Ah Lithium-Ion Batteries for SKIL Lawnmowers and Outdoor Tools Due to Fire and Burn Hazard","SKIL 40V 5.0 Ah Lithium-Ion Batteries","This recall involves SKIL brand&nbsp;40V 5.0Ah&nbsp;Lithium-Ion Batteries that were manufactured before May 1, 2021. “SKIL” and “PWRCORE 40” are printed on the batteries. The recalled batteries were sold individually under the model number BY8708-00 for use with all SKIL 40V tools and were also sold in a combination kit with&nbsp;SKIL 40V Brushless 20-in Push Mowers (Model #PM 4910-10) or SKIL 40V Brushless 20-in Self-Propelled Mowers (Model #SM4910-10).&nbsp;Only the battery&nbsp;is recalled. The model number BY8708-00 and manufacturing date code, which is the first three digits of the 9-digit serial number, are located on a nameplate on the top of the battery pack near the battery terminals. The following manufacturing date codes are included:Date Code (in Serial Number)Manufacturing Date&nbsp;911XXXXXXNov-19912XXXXXXDec-19026XXXXXXJun-20027XXXXXXJul-20028XXXXXXAug-20029XXXXXXSep-20030XXXXXXOct-20031XXXXXXNov-20121XXXXXXJan-21122XXXXXXFeb-21123XXXXXXMar-21124XXXXXXApr-21","The lithium-ion batteries can overheat, posing fire and burn hazards.",,,"Refund, Replace","About 63,000 (In addition, about 359 in Canada)","The firm has received 100 reports of thermal incidents involving the batteries including overheating, melting, smoking and fire. These included eight reports of minor burns and/or smoke inhalation and 49 reports of related property damage.","Consumers should immediately stop using the recalled lithium-ion batteries and contact Chervon for a free replacement or refund for the price of the battery. Consumers should register for the recall online at&nbsp;www.skil.com/recalls.&nbsp;Chervon will provide a battery collection kit for the consumer to return the recalled battery and will provide the requested remedy upon return of the recalled battery.&nbsp;","Sold At","Lowe’s and other hardware and home improvement stores nationwide and online at Amazon.com, Walmart.com and Lowes.com from October 2019 through December 2024 for about $170 (for batteries sold individually) and about $400 (for combination kits with lawnmowers).","Chervon North America Inc., of Naperville, Illinois",,,China,,
25042,,"November 14, 2024",,"Outdoor Essentials Recalls Cultivar Planter Boxes Due to Injury Hazard; Sold Exclusively at Tractor Supply Company","Cultivar Planter Boxes","This recall involves Outdoor Essentials Cultivar planter boxes, intended to be used for gardening. The recalled 9.5 cu. ft. composite elevated planter boxes are black and measure about 6 feet long by 2.5 feet wide. The model name appears on the product packaging and “70INX27IN Comp Elevated Planter” on the purchase receipt. &nbsp;","The recalled planter box frame can break, posing an injury hazard.",,,Refund,"About 7,400","The firm has received 23 reports of the planter box frame breaking, including one injury involving a consumer who broke their toes.","Consumers should immediately stop using the recalled planter boxes and contact Outdoor Essentials for a full refund. Consumers can receive a refund in the form of a gift card or store credit. A consumer will receive the amount on the purchase receipt, or they will receive $275 for the model if no receipt is provided. Consumers will be asked to mark the recalled planter box with the word “Recalled” with permanent marker and upload a photo of it to www.outdooressentialproducts.com/recall. Consumers should then dispose of the recalled product.","Sold Exclusively At","Tractor Supply Company stores nationwide and online at www.tractorsupply.com from December 2023 through September 2024 for about $300.",,"UFP Saginaw LLC, dba Outdoor Essentials, of Saginaw, Texas",,"United States",,
24377,,"September 26, 2024",,"John Deere Recalls Compact Utility Tractors Due to Crash Hazard","John Deere 1023E, 1025R, and 2025R Compact Utility Tractors","This recall involves 1023E, 1025R and 2025R Compact Utility Tractors with the model number and “John Deere” printed on the hood. The recalled tractors are green and yellow, and were sold with both opened and closed operator stations. The serial numbers of tractors included in this recall can be found at&nbsp;www.deere.com. Click on “Parts &amp; Service” and scroll to “Recall” or go to&nbsp;www.deere.com/en/parts-and-service/recall-information/. The serial number is located on the frame, on the front right side of the tractor, near the engine.","The front bell crank in the brake linkage can fail causing the tractor to lose braking, resulting in a crash hazard.",,,Repair,"About 147,900 (In addition, about 16,800 were sold in Canada)","The firm has received four reports of the brake linkage failing, including one hospitalization and two impact injuries and minor property damage to the tractors.","Consumers should immediately stop using the recalled tractors and contact an authorized John Deere dealer to schedule an appointment to bring the tractor into the dealer for a free repair. If the consumer is not able to transport the tractor to a dealer’s location, then the dealer will make arrangements to repair the unit at the consumer’s residence. John Deere is contacting all known purchasers directly.","Sold At","Authorized John Deere dealers nationwide from November 2017 through July 2024 for between $12,700 and $21,000.",,"Deere &amp; Company, of Moline, Illinois",,"United States",,
