"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26319,,"March 12, 2026",,"Stoney Games Recalls Kluster Magnet Chess Games Due to Risk of Serious Injury or Death from Magnet Ingestion; Violates Mandatory Standard for Toys","Kluster Fun Tabletop Magnet Chess Games","This recall involves the Kluster Fun Tabletop Magnet Chess Games with small, loose magnets about .5 to one inch wide and .3 to .4 inches high. The games are sold in a black box with the word “Kluster” on the front of the box. The games include about 24 magnets, an orange string, an instruction manual and a black storage pouch with “Kluster” printed on the front. The games were also sold in a white pouch with gameplay instructions printed on the back.","The recalled magnet games violate the https://www.ecfr.gov/current/title-16/chapter-II/subchapter-B/part-1250… lang=""EN-US"">mandatory standard for toys because they contain loose high-powered magnets that fit within CPSC’s small parts cylinder, posing an ingestion hazard to children. When high-powered magnets are swallowed, the ingested magnets can attract each other, or other metal objects, and become lodged in the digestive system. This can result in perforations, twisting, and/or blockage of the intestines, blood poisoning and death.",,,Replace,"About 151,600","None reported","Consumers should immediately stop using the recalled magnet games, take them away from children and contact Stoney Games for instructions on how to dispose of the recalled magnets and receive replacement magnets that are not small parts.","Sold At","Independent game shops nationwide, and online at Klustermagnets.com, Amazon.com, and Etsy.com from October 2018 to September 2025 for between $15 and $20.","Stoney Games, LLC of Bexley, Ohio",,,China,,
26291,,"February 26, 2026",,"Grtard Magnetic Stick Figure Toy Sets Recalled Due to Risk of Serious Injury or Death from Magnet Ingestion; Violates Mandatory Standard for Toys","Grtard Magnet Stick Figure Men Toy Sets","This recall involves&nbsp;10 flexible stick figures in purple, black, red, orange, pink, yellow, bright blue, dark blue, white and green. The stick figures come in solid and transparent colors. Each stick figure has four small magnets, one in each hand and foot. The stick figures come in clear plastic packaging labeled “Grtard.”","The magnetic stick figure toy sets violate&nbsp;https://www.ecfr.gov/current/title-16/chapter-II/subchapter-B/part-1250… mandatory standard for toys because they contain loose magnets, posing an ingestion hazard to children. When high-powered magnets are swallowed, the ingested magnets can attract each other, or other metal objects, and become lodged in the digestive system. This can result in perforations, twisting, and/or blockage of the intestines, blood poisoning and death.",,,Refund,"About 130","None reported","Consumers should immediately stop using the recalled magnetic stick figures and take them away from children. Contact Grtard for information on how to receive a full refund. Consumers will be asked to email a photo of the disposed product to&nbsp;Grtardrecall@outlook.com.","Sold Online At","Walmart.com from&nbsp;May 2025 to November 2025 for about $12.",,,,China,Retailer:,"Shanghaijinlianwangluokejiyouxiangongsi (Shanghai Jinlian Network Technology Co., Ltd.), dba Grtard, of China"
26289,,"February 26, 2026",,"Magnetic Chess Games Recalled Due to Risk of Serious Injury or Death from Magnet Ingestion; Violates Mandatory Standard for Toys; Sold on Amazon by Kaiwenshangpin","Magnetic Chess Games","This recall involves magnetic chess games with magnets that are small, loose and separable with a strong magnetic flux. The games are sold in a blue box with the words “Magnetic”, “Magnetic Chess Piece” and “Intelligence Strategy Game” on the front of the box.&nbsp;The game includes 20 loose magnets, a yellow string, gameplay instructions and a plastic storage bag.","The recalled magnetic chess games violate the&nbsp;https://www.ecfr.gov/current/title-16/chapter-II/subchapter-B/part-1250… standard for toys because they contain loose magnets posing an ingestion hazard to children. When high-powered magnets are swallowed, the ingested magnets can attract each other, or other metal objects, and become lodged in the digestive system. This can result in perforations, twisting, and/or blockage of the intestines, blood poisoning and death.",,,Refund,"About 1,300","None reported","Consumers should stop using the recalled magnetic chess games immediately, take them away from children, and dispose of them. To receive a full refund, consumers will be asked to email a photo of the disposal to&nbsp;Kaiwenshangpinrecall@outlook.com.","Sold Online At","Amazon.com from August 2025 to November 2025 for about $13.","Yiwushixiuxiangfushiyouxiangongsi (“Yiwu Xiu Xiang Garment Co., Ltd.”) dba Kaiwenshangpin, of China ",,,China,,
26287,,"February 24, 2026",,"Magnetic Chess Games Recalled Due to Risk of Serious Injury or Death from Magnet Ingestion; Violate Mandatory Standard for Toys; Sold on Amazon by Yiruikeji2024","Christmas-themed Magnetic Chess Games","This recall involves magnetic chess games. The recalled Christmas-themed games consist of 20 magnets, a red string, instructions and a red drawstring storage bag. “Merry Christmas,” and holiday images, including a Santa Claus, snowmen and a Christmas tree, are printed on the front of the game’s box and “Magnetic” is printed on the back.","The recalled magnetic chess games violate the&nbsp;https://www.ecfr.gov/current/title-16/chapter-II/subchapter-B/part-1250… standard for toys because they contain loose magnets posing an ingestion hazard to children. When high-powered magnets are swallowed, the ingested magnets can attract each other, or other metal objects, and become lodged in the digestive system. This can result in perforations, twisting, and/or blockage of the intestines, blood poisoning and death.",,,Refund,"About 5,300","None reported","Consumers should immediately stop using the recalled magnetic chess games, take them away from children and contact Yiruikeji2024 for a full refund. Consumers will be asked to send a photo of the disposed product to&nbsp;yirui2024@yeah.net.","Sold Online At","Amazon.com from November 2024 through November 2025 for about $7.","Shenzhenshiyiruikejiyouxiangongsi (Shenzhenshi Yirui Technology Co., Ltd.), dba Yiruikeji2024, of China",,,China,,
26272,,"February 19, 2026",,"Huaker Magnetic Balls and Rods Sets Recalled Due to Risk of Serious Injury or Death from Choking; Violates the Small Ball Ban","Huaker Magnetic Balls and Rods Sets","This recall involves Huaker Magnetic Balls and Rods sets. The sets include 88 pieces and come in a plastic box with a handle. “Magnetic Sticks” and “Model:20A-13” are printed on the box. There are no identifying marks on the magnetic toys.","The recalled magnet toy building sets violate the mandatory standard for toys because they contain small balls and are intended for children under three years of age, posing a deadly choking hazard.",,,Refund,"About 782","None reported","Consumers should stop using the recalled magnetic balls and rods sets immediately, take them away from children and contact Huaker to receive a full refund. Consumers will be asked to throw the magnetic toy sets away and email a photo of the disposed product to&nbsp;Huaker-magnetic-balls@outlook.com.","Sold Online At","Amazon.com from September 2025 through November 2025 for about $23.",,,,China,Retailer:,"Shenzhen Huakechuang Technology Co. Ltd., dba Huaker, of China"
26208,26-009,"January 22, 2026","October 9, 2025","Vndueey Magnetic Men Toy Sets Recalled Due to Risk of Serious Injury or Death from Magnet Ingestion; Violates Mandatory Standard for Toys","Vndueey Magnetic Men Toy Sets","This recall involves&nbsp;Vndueey Magnetic&nbsp;Men toy sets.&nbsp;The toy sets consist of 10 flexible, stick figures in red, orange, pink, yellow, blue, bright red, bright green and transparent.&nbsp;Each stick figure has four small magnets, one in each hand and foot.","The recalled magnetic stick figure toy sets violate the mandatory standard for toys because the sets contain loose magnets, posing an ingestion hazard to children. When high-powered magnets are swallowed, they can attract each other, or other metal objects, and become lodged in the digestive system. This can result in perforations, twisting, and/or blockage of the intestines, blood poisoning and death.",,"WASHINGTON, D.C. –&nbsp;The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using&nbsp;Vndueey Magnet Men Toy Sets&nbsp;because the toy sets violate the magnet requirements of the mandatory standard for&nbsp;toys. The toy men contain multiple magnets that fit within CPSC’s small parts cylinder and are stronger than permitted, posing a risk of serious injury or death if ingested by children.CPSC issued a Notice of Violation to the seller,&nbsp;Shanghai Zhidi Network Technology Co., Ltd., doing business as online seller Vndueey, of China. Vndueey has not agreed to recall the&nbsp;Magnet Men Toy Sets&nbsp;or offer a remedy to consumers.&nbsp;When high-powered magnets are swallowed, the ingested magnets can attract to each other, or to another metal object, and become lodged in the digestive system. This can result in serious injuries such as intestinal perforations, twisting and/or blockage, infection, blood poisoning and death.&nbsp;The toy sets were sold online on Amazon from October 2023 through August 2025 for about $25. The products may have also been sold on other websites.&nbsp;The magnet men toys come in 10-piece sets of flexible, person-shaped figures in clear packaging. The magnet men pieces are red, orange, pink, yellow, blue, bright red, bright green and transparent.&nbsp;Each piece has small magnets in the hands and feet of the toys.&nbsp;These products were manufactured in China.CPSC urges consumers to stop using the&nbsp;Magnet Men Toy Set immediately, take them away from children, and dispose of them. Do not sell or give away these hazardous magnet men toy sets.&nbsp;",Refund,"About 1,600","None Reported","Consumers should immediately stop using the recalled magnetic toy sets, keep them away from children and contact Vndueey for a full refund. Consumers will be asked to cut all the magnetic stick figures in half and send a photo of the destroyed toy set to&nbsp;vndueeyrecall@outlook.com. Consumers should then dispose of the destroyed toy set.","Sold Online At","Amazon.com from June 2025 through August 2025 for about $10.",,,,China,Retailer:,"Shanghai Zhidi Network Technology Co., Ltd., dba Vndueey, of China"
26207,,"January 22, 2026",,"Based Online Fidget Magnet Ball Toys Recalled Due to Risk of Serious Injury or Death from Magnet Ingestion; Violate Mandatory Standard for Toys","Based Online Fidget Magnet Ball Toys","This recall involves Based Online Fidget Magnet Ball Toy Sets. Each set includes four textured, silicone-covered magnet balls in white, yellow, blue and purple. Each ball is about 1.24 inches in diameter. The magnet toys come in a black fabric zippered case. There are no identifying marks on the magnet toys.","The&nbsp;magnet ball toys violate the mandatory standard for toys because they are loose high-powered magnets, posing an ingestion hazard to children. When high-powered magnets are swallowed, they can attract each other, or other metal objects, and become lodged in the digestive system. This can result in perforations, twisting, and/or blockage of the intestines, blood poisoning and death.",,,Refund,"About 9,300","None reported","Consumers should stop using the recalled magnet ball toys immediately, take them away from children and contact Based Online to receive a full refund. Consumers should throw the magnet ball toys away and email photo of the disposal to Based Online at&nbsp;recall@mail.goclimber.cn.","Sold Online At","Amazon.com from February 2025 through October 2025 for about $6.",,,,China,Retailer:,"Xiaofei He, dba Based Online, of China"
26104,,"November 20, 2025",,"Magnet Fidget Spinner Sets Recalled Due to Risk of Serious Injury or Death from Magnet Ingestion; Violates Mandatory Standard for Toys; Sold on Amazon by Anzmtosn","Anzmtosn Magnet Fidget Spinner Sets","This recall involves Anzmtosn Magnet Fidget Spinner Sets. Each set contains 15 pieces and comes with four iridescent oval-shaped magnets, eight iridescent cuboidal-shaped magnetic stones, one red and yellow disk-shaped metal fidget spinner, one winged metal fidget spinner, and one multicolored infinity fidget cube. The set comes with a black fabric-lined storage case. The batch number, CCA06582, is printed on the back label of the packaging.","The recalled magnet spinner sets violate the mandatory standard for toys because the sets contain loose magnets, posing an ingestion hazard to children. When high-powered magnets are swallowed, they can attract each other, or other metal objects, and become lodged in the digestive system. This can result in perforations, twisting, and/or blockage of the intestines, blood poisoning and death.",,,Refund,"About 490","None reported","Consumers should stop using the recalled magnetic fidget spinner sets immediately, take them away from children and dispose of them. To receive a full refund, consumers should send a photo of the disposal to Anzmtosn via email at&nbsp;Anzmtosn53@163.com.&nbsp;","Sold At","Amazon from December 2024 through June 2025 for about $15.",,"Shenzhenshibangduoladianzikejimaoyi Co., Ltd. (Shenzhen Bangduola Electronic Technology Trade Co., Ltd.), of China",,China,Retailer:,"Anzmtosn, of China"
26012,,"October 09, 2025",,"Generic Magnetic Ball Sets Recalled Due to Risk of Serious Injury or Death from Magnet Ingestion; Violates Mandatory Standard for Toys; Sold on Amazon by Ritons","Generic Magnetic Balls 1000pcs","This recall involves Generic magnetic ball sets. This recall involves sets of 1,000 multi-colored 3 mm (0.1 inch) magnetic balls that are separable and have a strong magnetic flux. The magnets are encased in clear, plastic packaging and have “1000 Magnets” and “3MM” printed on the front of the packaging.","The recalled 3 mm magnetic ball sets violate the mandatory standard for toys because the magnet sets contain loose magnets posing an ingestion hazard to children. When high-powered magnets are swallowed, the ingested magnets can attract each other, or other metal objects, and become lodged in the digestive system. This can result in perforations, twisting, and/or blockage of the intestines, blood poisoning and death.",,,Refund,"About 5,800","None reported","Consumers should stop using the recalled magnetic ball sets immediately and take them away from children and contact Ritons for instructions on how to receive a refund. Ritons will provide a prepaid label for consumers to return the recalled products.","Sold At","Amazon from November 2024 through August 2025 for about $35.",,,,China,Retailer:,"Yiwuyichengmaoyiyouxiangongsi, of China, doing business as Amazon seller Ritons"
25413,,"July 31, 2025",,"Tegu Recalls Magnetic Floating Stackers Toys Due to Magnet Ingestion Hazard; Risk of Serious Injury or Death; Violates Mandatory Standard for Toy Magnets","Magnetic Floating Stackers toys","This recall involves Tegu Magnetic Floating Stackers with model numbers STA-BGY-801T (Rainbow) and STA-BTP-806T (Big Top). The wooden toys consist of a wooden base, six stacking pieces of various colors, two posts, and two figures on top, which all connect with magnets. There are no markings on the products.","The recalled magnetic floating stackers toys violate the mandatory standard for toy magnets because they contain magnets that can loosen and detach from the toy, posing an ingestion hazard to children. When high-powered magnets are swallowed, the ingested magnets can attract each other, or other metal objects, and become lodged in the digestive system. This can result in perforations, twisting, and/or blockage of the intestines, blood poisoning and death.",,,Replace,"22,850 (In addition, about 1,977 in Canada and about 190 in Mexico)","The firm has received 31 reports of magnets separating from the toy stacker. No injuries have been reported.","Consumers should take the product away from children immediately and contact Tegu for instructions on receiving a free replacement stacker toy.","Sold At","Toy, children’s and specialty stores nationwide and online at Tegu.com and Amazon.com from August 2018 through April 2025 for about $40.",,"Tegu Holdings Inc., of Naples, Florida",,Honduras,,
