"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26-349,,"March 26, 2026",,"DIY Cold Plunge Recalls Sauna Heater Kits Due to Risk of Serious Injury or Death from Fire Hazard","DIY Sauna Heater Kits","This recall involves the DIY Sauna Heater Kit. The product is a do-it-yourself kit for consumers to assemble a heating fixture with four heat-lamp bulbs (sold separately) and a metal enclosure intended for use in a separate do-it-yourself sauna enclosure, for which carpentry plans are sold separately. The Sauna Heater Kit includes a stainless steel cage (which weighs about 16 lbs., and measures 12”H x 12”W x 8”D when assembled), screws/bolts for assembly, four ceramic bulb sockets, three wire connectors, two ground pigtails, and a three-prong power cord. The recalled Sauna Heater Kit is intended to attach to a customer-built wood frame.&nbsp;&nbsp;","Electrical conductors within the sauna heater kits can overheat, posing a fire hazard and risk of serious injury or death.",,,Refund,"About 675 (In addition, about 14 were sold in Canada)","The firm has received 12 reports of units overheating. No fires or injuries have been reported.","Consumers should stop using the recalled Sauna Heater Kit immediately and register at www.diycoldplunge.com/pages/recall for a full refund. Consumers will be asked to submit written and photo proof that the product has been destroyed/disposed of or request a prepaid shipping label to return the product.&nbsp;","Sold Online At","www.diycoldplunge.com from March 2025 through February 2026 for between $400 and $500.",,"Plunge Buddy LLC, doing business as DIY Cold Plunge, of North Mankato, Minnesota",,"United States",,
26-343,,"March 26, 2026",,"DuraTrac Recalls Stainless Steel Gas Connectors Due to Fire Hazard","DuraTrac stainless steel gas connectors","This recall involves DuraTrac stainless steel gas connectors sold between May 2025 and November 2025. The recalled products have a yellow product label that includes the brand name “DuraTrac,” and “Made in Thailand,” and are marked CSA file number “259973” engraved on the flare nuts with one of the following codes indicating their date of manufacture: 24D, 25A, 25B, or 25C.","The recalled DuraTrac gas connectors contain a manufacturing defect that could cause a gas leak, posing a fire hazard to consumers.",,,Refund,"About 196,800","None reported","Consumers should stop using the recalled DuraTrac stainless steel gas connectors immediately and contact DuraTrac for a full refund.","Sold At","Ace Hardware, Blake’s Inc. and Merritt’s Hardware stores from May 2025 through November 2025 for about $20.","DuraTrac, of Anaheim, California",,,Thailand,,
26-328,,"March 19, 2026",,"Wagner Spray Tech Recalls 900 Series Power Steamers Due to Burn Hazard","Wagner 900 Series Power Steamers","This recall involves Wagner 900 Series power steamers. Models 905e Auto Steamer, 915e On-Demand Power Steamer, and 925e Steam Machine Elite Steamer are included in this recall. All steamer models contain the same base steamer but include different accessories. The steamers include a yellow and black pressurized boiler base with “Wagner” written on the sides of the product. The model number may also appear on the sides of the product. The base also contains a clear storage compartment for accessories, a handle, wheels, an eight-foot-long black steam hose, and a nozzle/gun with trigger to start and stop the steam.","The attached hose can get excessively hot and the nozzle/gun can expel hot water during use and after the trigger is engaged, posing a serious burn hazard to consumers.&nbsp;",,,Repair,"About 700,000 (In addition, about 8,000 in Canada) ","Wagner has received at least 156 incidents involving the hose getting too hot or the nozzle/gun expelling hot water. This includes over 50 reported burn injuries to consumers’ arms, hands, feet, and face, many of which resulted in first- or second-degree burns.","Consumers should stop using the recalled steamers immediately and contact Wagner for a free repair kit consisting of a hose sleeve, nozzle cover and funnel.&nbsp;","Sold At","The Home Depot, Lowe’s, Walmart, Target, HSN and QVC, and online at Amazon.com and www.wagnerspraytech.com from November 2018 to March 2026 for between $130 and $200.","Wagner Spray Tech Corp. of Plymouth, Minnesota",,,China,,
26-306,,"February 26, 2026",,"Andersen Windows Recalls Window Opening Control Devices Sold as Kits or Installed on 100 Series Casement Windows Due to Fall and Serious Injury Hazards","Window opening control devices sold as kits or installed on 100 Series casement windows","This recall involves window opening control devices sold individually as kits or as factory-installed accessories and applied to 100 Series casement windows that were manufactured prior to November 19, 2025. Consumers can contact Andersen Windows and share the Product ID number on the label on the upper right corner of the window to determine if the unit is included in the recall.&nbsp;&nbsp;","The window opening control devices can break or detach&nbsp;after accidental or other impact, allowing the window to be opened, posing fall and serious injury hazards.",,,Repair,"About 91,000 (In addition, about 180 were sold in Canada)","The firm has received eight reports of the devices breaking, detaching or malfunctioning. No injuries have been reported.","Consumers should leave the recalled windows with the opening control devices in the closed and locked position and immediately contact Andersen Windows to schedule a free in-home repair by an authorized technician. Consumers should submit a request for the repair to:&nbsp;www.andersenwindows.com/100seriescasementwocdrecall&nbsp;","Sold At","Independent window distributors and online at parts.andersenwindows.com from October 2015 through December 2025 for between $9 (individual kit) and $220 (factory installed on 100 series casement window).",,,"Andersen Windows, Inc., of Bayport, Minnesota","United States",,
26-283,,"February 26, 2026",,"Dupray USA Recalls Neat Steam Cleaners Due to Risk of Burn Hazards or Serious Injury","Dupray Neat Steam Cleaners","This recall involves&nbsp;the&nbsp;portable Dupray Neat Steam Cleaner.&nbsp; It is designed to clean, detail, sanitize, and deodorize household surfaces. The cleaner comes with a white base connected to a black flexible hose. The Model Number is DUP020WNA. Batch/Date Code 0118-01 through 0425-05 are on&nbsp;the&nbsp;rating label located on the bottom of the cleaner. The cleaner includes an accessory set that comes with various brushes, tools, a Velcro pad and dust cloths.","The steam cleaner’s boiler can rupture if it is overfilled, corroded and the pressure release valve malfunctions, posing risk of burn hazards or serious injury to users or bystanders.",,,Repair,"About 651,145 (In addition, about 96,530 were sold in Canada)","The firm has received 15 reports of boiler ruptures, including four reports of minor burns, bruises, lacerations, and a broken wrist, and at least seven reports of minor property damage.","Consumers should stop using the recalled steam cleaner immediately and go to dupray.com for instructions on receiving a free replacement safety boiler cap.&nbsp; Consumers will need their batch code, which is found on the bottom of the cleaner, to determine eligibility for the recall.&nbsp;The new safety cap is quick and easy to install with a simple screw-on design.","Sold At","Online at dupray.com and in stores and online at Home Depot, Lowe’s, Macy’s, Walmart, Amazon.com and other retailers nationwide from April 2018 through December 2025 for about $150.","Dupray USA LLC, of Newark, Delaware",,,China,,
26-260,,"February 12, 2026",,"LShome Photoelectric Smoke Detector Fire Alarms Recalled Due Failure to Warn During Fire Posing Serious Injury or Death Hazard; Sold Exclusively on Amazon.com by TIANJINSHIHAOWEIXINSHENGJIDIANANZHUANGGONGCHENG","3-Pack Smoke Detector Fire Alarms","This recall involves 3-Pack Smoke Detector Fire Alarms. The alarms are 9V battery operated and have a light sound warning and test button. The alarms are white and circular in shape. Model number “XG-7D04-KZ9Z"" and SKU number “CX-50YP-A5VN"" are printed on the bottom side of the alarm.&nbsp;","If the sensing threshold of security warnings is set too high, the alarm might not sound in a timely manner, posing a fire hazard.&nbsp;",,,Refund,"About 4,800","None reported.","Consumers should immediately stop using the smoke detector fire alarms and contact&nbsp;lmm15957491237@163.com for instructions on how to receive a full refund through Amazon.com. Smoke alarms can be discarded in the household trash.&nbsp;","Sold Online At","Amazon.com from February 2024 through December 2025 for about $30.",,,,China,Retailer:,"TIANJINSHIHAOWEIXINSHENGJIDIANANZHUANGGONGCHENG, of China"
26-244,,"February 09, 2026",,"Airova Recalls Aroeve Air Purifiers Due to Fire and Burn Hazards","Aroeve brand air purifiers","This recall involves Aroeve brand air purifiers, model MK04. The recalled air purifiers come in black or white. The model, date code, and serial number information are printed on the product label located on the bottom of the air purifiers. The air purifiers subject to this recall were manufactured prior to July 2025 and have a serial number starting with “BN”.","The air purifiers can overheat and ignite, posing fire and burn hazards to consumers.",,,Replace,"About 191,390","Airova received 37 reports of the air purifiers overheating, including one report of fire. No injuries or property damage have been reported.","Consumers should stop using the recalled Aroeve air purifiers immediately and contact Airova for a free replacement air purifier.","Sold Online At","Amazon.com, Shopify.com, TEMU.com, and TikTok.com from September 2024 through June 2025 for between $80 and $134.","Airova, Inc. of Newark, California",,,China,,
26-254,,"February 05, 2026",,"Cobelae Busy Books Recalled Due to Risk of Serious Injury or Death from Choking Hazard; Violates Small Parts Ban; Sold on Amazon by Flyindream","Cobelae Busy Book for Toddlers","This recall involves Cobelae Busy Book, model: 2025-Q3-0702. The Busy Book has a yellow and brown giraffe on the front cover. The apple on page eight of the books includes a string of beads. There are no markings on the book.","The toy books violate the small parts ban because the beads can loosen and detach from the product, posing a deadly choking hazard.&nbsp;&nbsp;",,,Replace,"About 3,500  ","None reported","Consumers should immediately stop using the recalled busy book and contact Flyindream to receive a free replacement book. Consumers should write “RECALLED” on the front of the book with permanent marker, throw the product away, and send a photo of the disposed product to cobelaeservice@outlook.com.&nbsp;","Sold Online At","Amazon.com from October 2025 through November 2025 for about $26.&nbsp;",,,,China,Retailer:,"Shenzhenmengzhongfeikejiyouxiangongsi doing business as Flyindream, of China&nbsp;"
26-250,,"February 05, 2026",,"Aterian Recalls PurSteam Elite Travel Steamers and Mighty Lil Steamers Due to Risk of Serious Burn Injury","PurSteam Mighty Lil Steamers and PurSteam Elite Travel Steamers","This recall involves PurSteam Elite Travel Steamers and PurSteam Mighty Lil Steamers purchased after December 2020 or with one of the following date codes: 2310, 2308, 2305, 2304, 2303, 2212, 2211, 2210, 2203, 2112, 2111, 2110, 0221, 1019, and 4619. The PurSteam Elite Travel Steamer is white with a triangular-shaped opening for the steam vents. The “PurSteam” logo is printed below a wave-shaped water reservoir window, and “Model: PS-510” is printed on a label on the bottom of the product. The PurSteam Mighty Lil Steamer is white with an oblong-shaped opening for the steam vents. The “PurSteam” logo is printed below the water reservoir window, and “Model: PS 550” is printed on a label on the bottom of the product. On both steamer models, the manufacture date (date code) is located on a label on the bottom of the product in YYMM format.&nbsp;&nbsp;","The steamers can expel hot water from the steam nozzle during use, posing a serious burn hazard to consumers.",,,Refund,"About 75,400 PurSteam Elite Travel Steamers and about 119,000 PurSteam Mighty Lil Steamers","Between December 2020 and 2024, there were 80 reports of hot water being expelled from the PurSteam Elite Travel Steamer model PS-510, including 14 reports of burn injuries. Between December 2020 and 2024, there were 392 reports of hot water being expelled from the PurSteam Mighty Lil Steamer model PS-550, including 40 reports of burn injuries, two of which were reported as second-degree burns. There are additional reports of hot water being expelled from both steamer models, including reports of burn injuries, from before Aterian’s acquisition of PurSteam in December 2020. ","Consumers should immediately stop using the recalled steamers and visit recall.pursteam.com to submit a Recall Request. As part of the request process, consumers will be required to provide their contact information and then cut the steamer’s cord and upload a photo of the steamer with its cut cord, in order to receive a full refund. Consumers should keep their steamer until receiving their refund, as some consumers may be asked to return their steamer to Aterian with a prepaid shipping mailer.&nbsp;&nbsp;","Sold Online At","Pursteam.com, Amazon.com and Walmart.com from December 2020 through April 2025 for between about $15 and $35 for the PurSteam Elite Travel Steamer model PS-510, and from December 2020 through January 2024 for between about $11 and $30 for the PurSteam Mighty Lil Steamer model PS-550.","Aterian, Inc., of Summit, New Jersey",,,China,,
26-224,,"January 29, 2026",,"Northern Tool + Equipment Recalls Hot Water Pressure Washers Due to Fire Hazard","NorthStar Hot Water Pressure Washers","This recall involves three models of NorthStar pressure washers: NorthStar Gas Wet Steam and Hot Water Pressure Washers with item number 157310, NorthStar Gas Hot Water Commercial Pressure Washers with item number 157594, and NorthStar Trailer-Mounted Hot Water Commercial Pressure Washers with item number 157595. The item number and the serial number are printed on a label located on the engine. Only pressure washers with a MONTHYEAR code in the product serial number between 0125 (January 2025) and 0825 (August 2025), and a WEEKYEAR burner date code between 0125 and 2625 (weeks 01 to 26 of 2025) are included in this recall. The burner date code is printed on a separate label. The location varies per product.Product NameItem Number&nbsp;Item Number and Serial Number location&nbsp;Burner Date Code locationNorthStar Gas Wet Steam and Hot Water Pressure Washer&nbsp;157310Label on engineLabel under battery boxNorthStar Gas Hot Water Commercial Pressure Washer&nbsp;157594Label on engineLabel under ball valve assemblyNorthStar Trailer-Mounted Hot Water Commercial Pressure Washer157595Label on engineLabel under NorthStar logo","The fan wheel on the recalled pressure washers can fail, causing abnormal burner operation that can produce smoke and/or bursts of flames during use, posing a fire hazard.",,,Repair,"About 1,416","None reported","Consumers should immediately stop using the recalled pressure washers and contact Northern Tool + Equipment to request a free repair by an authorized technician at a Northern Tool + Equipment service center or a Northern Tool + Equipment authorized third-party servicer. Consumers should visit https://www.northerntool.com/recall-details-pw to schedule the repair.","Sold At","Northern Tool + Equipment stores nationwide and online at NorthernTool.com, Amazon.com, Ebay.com, and GNEDI.com from January 2025 through August 2025 for between $5,000 and $10,000.",,"Northern Tool + Equipment Manufacturing, of Faribault, Minnesota",,"United States",,
