"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26-328,,"March 19, 2026",,"Wagner Spray Tech Recalls 900 Series Power Steamers Due to Burn Hazard","Wagner 900 Series Power Steamers","This recall involves Wagner 900 Series power steamers. Models 905e Auto Steamer, 915e On-Demand Power Steamer, and 925e Steam Machine Elite Steamer are included in this recall. All steamer models contain the same base steamer but include different accessories. The steamers include a yellow and black pressurized boiler base with “Wagner” written on the sides of the product. The model number may also appear on the sides of the product. The base also contains a clear storage compartment for accessories, a handle, wheels, an eight-foot-long black steam hose, and a nozzle/gun with trigger to start and stop the steam.","The attached hose can get excessively hot and the nozzle/gun can expel hot water during use and after the trigger is engaged, posing a serious burn hazard to consumers.&nbsp;",,,Repair,"About 700,000 (In addition, about 8,000 in Canada) ","Wagner has received at least 156 incidents involving the hose getting too hot or the nozzle/gun expelling hot water. This includes over 50 reported burn injuries to consumers’ arms, hands, feet, and face, many of which resulted in first- or second-degree burns.","Consumers should stop using the recalled steamers immediately and contact Wagner for a free repair kit consisting of a hose sleeve, nozzle cover and funnel.&nbsp;","Sold At","The Home Depot, Lowe’s, Walmart, Target, HSN and QVC, and online at Amazon.com and www.wagnerspraytech.com from November 2018 to March 2026 for between $130 and $200.","Wagner Spray Tech Corp. of Plymouth, Minnesota",,,China,,
26-283,,"February 26, 2026",,"Dupray USA Recalls Neat Steam Cleaners Due to Risk of Burn Hazards or Serious Injury","Dupray Neat Steam Cleaners","This recall involves&nbsp;the&nbsp;portable Dupray Neat Steam Cleaner.&nbsp; It is designed to clean, detail, sanitize, and deodorize household surfaces. The cleaner comes with a white base connected to a black flexible hose. The Model Number is DUP020WNA. Batch/Date Code 0118-01 through 0425-05 are on&nbsp;the&nbsp;rating label located on the bottom of the cleaner. The cleaner includes an accessory set that comes with various brushes, tools, a Velcro pad and dust cloths.","The steam cleaner’s boiler can rupture if it is overfilled, corroded and the pressure release valve malfunctions, posing risk of burn hazards or serious injury to users or bystanders.",,,Repair,"About 651,145 (In addition, about 96,530 were sold in Canada)","The firm has received 15 reports of boiler ruptures, including four reports of minor burns, bruises, lacerations, and a broken wrist, and at least seven reports of minor property damage.","Consumers should stop using the recalled steam cleaner immediately and go to dupray.com for instructions on receiving a free replacement safety boiler cap.&nbsp; Consumers will need their batch code, which is found on the bottom of the cleaner, to determine eligibility for the recall.&nbsp;The new safety cap is quick and easy to install with a simple screw-on design.","Sold At","Online at dupray.com and in stores and online at Home Depot, Lowe’s, Macy’s, Walmart, Amazon.com and other retailers nationwide from April 2018 through December 2025 for about $150.","Dupray USA LLC, of Newark, Delaware",,,China,,
26-250,,"February 05, 2026",,"Aterian Recalls PurSteam Elite Travel Steamers and Mighty Lil Steamers Due to Risk of Serious Burn Injury","PurSteam Mighty Lil Steamers and PurSteam Elite Travel Steamers","This recall involves PurSteam Elite Travel Steamers and PurSteam Mighty Lil Steamers purchased after December 2020 or with one of the following date codes: 2310, 2308, 2305, 2304, 2303, 2212, 2211, 2210, 2203, 2112, 2111, 2110, 0221, 1019, and 4619. The PurSteam Elite Travel Steamer is white with a triangular-shaped opening for the steam vents. The “PurSteam” logo is printed below a wave-shaped water reservoir window, and “Model: PS-510” is printed on a label on the bottom of the product. The PurSteam Mighty Lil Steamer is white with an oblong-shaped opening for the steam vents. The “PurSteam” logo is printed below the water reservoir window, and “Model: PS 550” is printed on a label on the bottom of the product. On both steamer models, the manufacture date (date code) is located on a label on the bottom of the product in YYMM format.&nbsp;&nbsp;","The steamers can expel hot water from the steam nozzle during use, posing a serious burn hazard to consumers.",,,Refund,"About 75,400 PurSteam Elite Travel Steamers and about 119,000 PurSteam Mighty Lil Steamers","Between December 2020 and 2024, there were 80 reports of hot water being expelled from the PurSteam Elite Travel Steamer model PS-510, including 14 reports of burn injuries. Between December 2020 and 2024, there were 392 reports of hot water being expelled from the PurSteam Mighty Lil Steamer model PS-550, including 40 reports of burn injuries, two of which were reported as second-degree burns. There are additional reports of hot water being expelled from both steamer models, including reports of burn injuries, from before Aterian’s acquisition of PurSteam in December 2020. ","Consumers should immediately stop using the recalled steamers and visit recall.pursteam.com to submit a Recall Request. As part of the request process, consumers will be required to provide their contact information and then cut the steamer’s cord and upload a photo of the steamer with its cut cord, in order to receive a full refund. Consumers should keep their steamer until receiving their refund, as some consumers may be asked to return their steamer to Aterian with a prepaid shipping mailer.&nbsp;&nbsp;","Sold Online At","Pursteam.com, Amazon.com and Walmart.com from December 2020 through April 2025 for between about $15 and $35 for the PurSteam Elite Travel Steamer model PS-510, and from December 2020 through January 2024 for between about $11 and $30 for the PurSteam Mighty Lil Steamer model PS-550.","Aterian, Inc., of Summit, New Jersey",,,China,,
26-224,,"January 29, 2026",,"Northern Tool + Equipment Recalls Hot Water Pressure Washers Due to Fire Hazard","NorthStar Hot Water Pressure Washers","This recall involves three models of NorthStar pressure washers: NorthStar Gas Wet Steam and Hot Water Pressure Washers with item number 157310, NorthStar Gas Hot Water Commercial Pressure Washers with item number 157594, and NorthStar Trailer-Mounted Hot Water Commercial Pressure Washers with item number 157595. The item number and the serial number are printed on a label located on the engine. Only pressure washers with a MONTHYEAR code in the product serial number between 0125 (January 2025) and 0825 (August 2025), and a WEEKYEAR burner date code between 0125 and 2625 (weeks 01 to 26 of 2025) are included in this recall. The burner date code is printed on a separate label. The location varies per product.Product NameItem Number&nbsp;Item Number and Serial Number location&nbsp;Burner Date Code locationNorthStar Gas Wet Steam and Hot Water Pressure Washer&nbsp;157310Label on engineLabel under battery boxNorthStar Gas Hot Water Commercial Pressure Washer&nbsp;157594Label on engineLabel under ball valve assemblyNorthStar Trailer-Mounted Hot Water Commercial Pressure Washer157595Label on engineLabel under NorthStar logo","The fan wheel on the recalled pressure washers can fail, causing abnormal burner operation that can produce smoke and/or bursts of flames during use, posing a fire hazard.",,,Repair,"About 1,416","None reported","Consumers should immediately stop using the recalled pressure washers and contact Northern Tool + Equipment to request a free repair by an authorized technician at a Northern Tool + Equipment service center or a Northern Tool + Equipment authorized third-party servicer. Consumers should visit https://www.northerntool.com/recall-details-pw to schedule the repair.","Sold At","Northern Tool + Equipment stores nationwide and online at NorthernTool.com, Amazon.com, Ebay.com, and GNEDI.com from January 2025 through August 2025 for between $5,000 and $10,000.",,"Northern Tool + Equipment Manufacturing, of Faribault, Minnesota",,"United States",,
25-452,,"August 28, 2025",,"TTI Outdoor Power Equipment Recalls RYOBI Pressure Washers Due to Projectile Hazard; Risk of Serious Injury","RYOBI Electric Pressure Washers","This recall involves Ryobi brushless electric pressure washers, models RY142300, RY142300VNM and RY142711VNM. The recalled pressure washers are green and have a spray nozzle, a detergent tank with a blue cap and storage for accessories. Ryobi is printed on the front of the unit. The model and following serial numbers can be found on the data plate located on the side of the motor housing:&nbsp;Model Number / NameSerial Number RangeRY142300 and RY142300VNM - Electric 2300 PSI Pressure WasherEU17121D010001 through EU20256N180999LT20211D140001 through LT22050D090960RG22062D150001 through RG23182N999999RY142711VNM - Electric 2700 PSI Pressure WasherLT21403D070001 through LT22046N090714RG21411D010001 through RG23182N999999","The pressure washer's capacitor can overheat and burst, causing parts to be forcefully ejected, posing a risk of serious injury from impact to the user or bystanders.",,,Repair,"About 764,000 (In addition, about 16,000 were sold in Canada)","TTI Outdoor Power Equipment has received 135 reports of capacitors overheating, including 41 reports of explosions, resulting in 32 injuries and/or fractures to the fingers, hands, face, and eyes.","Consumers should immediately stop using the recalled pressure washers and visit&nbsp;https://www.ryobitools.com/recall to determine if their pressure washer is included in the recall and to receive a free repair kit, including shipping and installation instructions. The repair kit consists of a replacement capacitor. Proof of purchase (receipt) is not required.&nbsp;","Sold At","Home Depot and Direct Tools Factory Outlet stores nationwide, and online at homedepot.com and directtoolsoutlet.com from July 2017 through June 2024 for between approximately $300 and $400.",,"TTI Outdoor Power Equipment, Inc. (TTIOPE), of Anderson, South Carolina",,"Vietnam and China",,
25-187,,"March 20, 2025",,"Aiper Seagull Pro Cordless Robotic Pool Vacuum Cleaners Recalled Due to Burn and Fire Hazards; Distributed by Shenzhen Aiper Intelligent Co.","Aiper Seagull Pro ZT6001 cordless robotic pool cleaners","This recall involves Aiper Seagull Pro cordless robotic pool cleaners&nbsp;with model number ZT6001. The recalled pool vacuum cleaner weighs approximately 24 pounds and measures about 19.5 x&nbsp;18.5&nbsp;x&nbsp;15 inches. The “Aiper” brand name is printed on the top/front of the dark gray pool vacuum cleaners.&nbsp;The model name and the serial number, which begins with S/N “61”, are printed on the label on the bottom side of the pool vacuum.","The recalled pool vacuum cleaner has a large current adapter that can overheat, posing burn and fire hazards.",,,Replace,"About 32,660 (In addition, about 2,530 were sold in Canada)","The firm has received 19 reports of the recalled pool vacuums melting, smoking or catching on fire while charging causing five incidents of property damage. No injuries have been reported.","Consumers should immediately stop using the recalled pool vacuums and contact Aiper to receive a free replacement Aiper Scuba S1 robotic pool cleaner. Aiper will provide a free return label for consumers to send the recalled product back to Aiper. Within&nbsp;15&nbsp;days of receiving the recalled Seagull Pro, Aiper will ship the replacement product. Aiper is contacting all known purchasers directly.&nbsp;","Sold At","Best Buy, Home Depot, Lowe's and Walmart stores nationwide, and online at www.aiper.com, Amazon.com, Bestbuy.com, HomeDepot.com, Lowes.com and Walmart.com from March 2023 through May 2024 for between $700 and $900.",,"Dongguan Yuanhong Intelligent Technology Co. Ltd., of China","Shenzhen Aiper Intelligent Co. Ltd., of China",China,,
24-285,,"June 27, 2024",,"Southern Telecom Recalls Brookstone TurboVac Handheld Rechargeable Vacuums Due to Fire Hazard; Sold Exclusively at Belk","Brookstone TurboVac Handheld Rechargeable Vacuums","This recall involves Brookstone TurboVac Handheld Rechargeable Vacuums (Model No. BSBVAC301). The model number is printed&nbsp;on the back of the unit. “Brookstone” is printed on the top front of the vacuum. The vacuums are black and come with a wall-plate for hanging on the wall, and they measure 2.89 x 12 inches in dimension.","The vacuums can short circuit during or after charging the battery, posing a fire hazard.",,,Refund,"About 10,600","The firm has received two reports of serious fires caused by the vacuums, resulting in property damage.","Consumers should immediately stop using the recalled Brookstone TurboVac Handheld Rechargeable Vacuums (Model No. BSBVAC301), and contact Southern Telecom to receive a full refund.","Sold Exclusively At","Belk stores nationwide and online at www.belk.com from September 2022 through February 2024 for about $90.","Southern Telecom Inc., of New York",,,China,,
24-107,,"February 01, 2024",,"BISSELL Recalls Multi Reach Hand and Floor Vacuum Cleaners Due to Fire Hazard","BISSELL® brand Multi Reach Hand and Floor Vacuum Cleaners","This recall involves BISSELL Multi Reach Hand and Floor Vacuum Cleaners models 1985, 19851 (also called Multi Auto), 19859, 1985T, 2151, 21512, 21513, 21517, 21518, 21519, 2151A, 2151T, 2151W, 2151V. “Multi Reach” is printed on the hand vacuum portion of the product. The vacuum cleaners were sold in a variety of colors. The model numbers are printed on the product rating label located behind the dirt tank.Note:&nbsp;Recalled lithium-ion batteries should be disposed of in accordance with any local and state ordinances, following the procedures established by your municipal recycling center for damaged/defective/recalled lithium batteries, because these potentially hazardous batteries must be handled differently than other batteries. Do not throw this recalled battery in the trash. Do not deposit this recalled battery in used battery recycling boxes found at various retail and home improvement stores.","The vacuum’s battery pack can overheat and smoke, posing a fire hazard.",,,Replace,"About 142,000 (In addition, about 14,600 were sold in Canada)","BISSELL has received 17 reports of the recalled vacuum cleaners smoking and emitting a burning odor. Six of the reports included the battery pack catching fire, three of which resulted in minor property damage and two resulting in minor burn injuries.","Consumers should immediately stop using the recalled vacuums and contact BISSELL for instructions on how to deplete the charge on the battery and receive a free replacement vacuum. Recalled lithium-ion batteries should be disposed of in accordance with any local and state laws and not in the trash.","Sold At","Lowe’s, Macy’s, Kohl’s, Target, Walmart, Best Buy and other stores nationwide and online at www.bissell.com, www.amazon.com, www.hsn.com and other online sellers from August 2016 through December 2022 for between $110 and $270.","BISSELL Homecare Inc., of Grand Rapids, Michigan",,,China,,
24-070,,"December 28, 2023",,"FNA Group Recalls Simpson Pressure Washers Due to Burn Hazard; Sold Exclusively at Lowe’s","Simpson Gas Pressure Washers with Electric Start","This recall involves Simpson Gas Pressure Washers with model number PS61264. The pressure washers are black in color.&nbsp; The Simpson logo, “Pro Series” and 4400 PSI are printed on the handle of the unit. The model number is printed on a silver label on the unit’s frame.","The lithium battery in the electric start system can overheat, posing a burn hazard.",,,Repair,"About 2,930","FNA has received two reports of batteries in the pressure washer’s electric start feature overheating and damaging the units. No injuries have been reported.","Consumers should immediately stop using the recalled gas pressure washer and contact FNA Group Inc. for instructions on how to have their unit repaired free of charge at an authorized repair facility. The repair will replace the lithium battery in the electric start system with a sealed lead acid battery.","Sold At","Lowe's stores nationwide and at lowes.com from March 2023 through July 2023 for about $1,100.",,"FNA Group Inc., of Pleasant Prairie, Wisconsin",,"United States",,
24-039,,"December 07, 2023",,"Oreck Discover Upright Vacuums Recalled by TTI Floor Care Due to Electrical Shock Hazard","Oreck Discover Upright Vacuums","This recall involves models UK30500 and UK30500PC of the Oreck Discover Upright Vacuum. Impacted vacuums also have serial numbers that begin with AJ2226, AJ2227, AJ2228, AJ2229, AJ2230, AJ2231, and AJ2232. The model and serial number are printed on a silver data label on the bottom of the vacuum. The vacuum is silver and black with “Oreck” and “Discover” printed on the front.","The vacuum's electric cord plug prong can detach and remain in an electrical outlet when the vacuum is unplugged. This poses an electrical shock hazard to consumers.",,,Repair,"About 6,200","The firm has received 41 reports of a prong detaching from its plug. No injuries have been reported.","Consumers should immediately stop using the recalled vacuums and contact Oreck or their local Oreck dealer for instructions on how to obtain a free repair. &nbsp;To locate the nearest authorized dealer, go to ""Find Your Local Store"" at www.oreck.com.","Sold At","Independent Oreck dealers nationwide and online at www.acmetools.com, www.amazon.com, www.homedepot.com, and www.oreck.com from September 2022 through September 2023 for about $600.","Royal Appliance Mfg. Co., d/b/a TTI Floor Care North America, of Charlotte, North Carolina",,,China,,
