"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26201,,"January 22, 2026",,"Thrasio Recalls Angry Orange Enzyme Stain Removers Due to Risk of Exposure to Bacteria","Angry Orange Enzyme Stain Removers","This recall involves Angry Orange Enzyme Stain Removers in Fresh Clean Scent and Orange Twist Scent sold in 24-oz, 32-oz and 1-gallon sizes. The bottles are orange and white and have “Angry Orange” and “Stain &amp; Odor Remover” written on the front. Some units were sold as a bundle with a UV light that attaches to the spray bottle.","The recalled products can contain bacteria, including Pseudomonas aeruginosa, an environmental organism found widely in soil and water. People with weakened immune systems, external medical devices, or underlying lung conditions who are exposed to Pseudomonas aeruginosa face a risk of serious infection that may require medical treatment. The bacteria can enter the body if inhaled, through the eyes, or through a break in the skin. People with healthy immune systems are usually not affected by bacteria.",,,Refund,"About 1,500,000 (In addition, about 43,700 were sold in Canada)","None reported","Consumers should immediately stop using the recalled Angry Orange Enzyme Stain Remover products and contact Thrasio for a full refund. To receive a refund, consumers should take a picture of the product with “recalled” and their initials written on it in marker and email the photo to&nbsp;productrecall@angryorange.com. Consumers should then dispose of the product in its container with household trash. Do not empty the product prior to disposal. Do not attempt to recycle the product bottle.","Sold At","Walmart, Target, The Home Depot, Meijer, Staples, TJ Maxx and other major retailers nationwide and online at Amazon.com, Walmart.com, Target.com, AngryOrange.com and Chewy.com from March 2019 through December 2025 for between $4 and $60.",,,"Thrasio, LLC, of Boston, Massachusetts","United States",,
25399,,"July 24, 2025",,"Creekwood Naturals Recalls 100% Natural Pure Gum Spirits of Turpentine Bottles Due to Risk of Serious Injury or Death from Child Poisoning; Violates Mandatory Standard for Child Resistant Packaging","100% Natural Pure Gum Spirits of Turpentine Bottles","This recall involves Creekwood Naturals Gum Spirits of Turpentine bottles. The Gum Spirits of Turpentine comes in a clear glass bottle that has a brown label with red, black and white lettering. The front panel of the label on the bottle features ""Turpentine"" in large lettering, along with ""Pure Gum Spirits"" or ""Quality Gum Spirits.""","The recalled bottles contain turpentine, which must be in child-resistant packaging, as required by the Poison Prevention Packaging Act. The turpentine bottles violate the mandatory standard for child-resistant packaging, posing a deadly poisoning hazard to young children.",,,Replace,"About 9,000","None reported","Consumers should immediately secure the recalled turpentine bottles out of the sight and reach of children. Consumers should contact Creekwood Naturals for a free replacement child-resistant closure. Consumers must complete a form online at&nbsp;https://creekwoodnaturals.com/pages/recall to receive the replacement.","Sold Online At","Amazon, Etsy, Ebay and Creekwood Naturals from June 2023 through May 2025 for between $20 and $40.",,"Creekwood Naturals, of Corona, California",,"United States",,
25397,,"July 24, 2025",,"Diamond G Forest Products Recalls Turpentine Bottles Due to Risk of Serious Injury or Death from Child Poisoning; Violates Mandatory Standard for Child Resistant Packaging","Georgia Pine Gum Spirits of Turpentine Bottles","This recall involves 100% pure gum spirits of turpentine bottles. The 4-ounce, clear glass bottles are round and have a label with “Georgia Pine Gum Spirits of Turpentine” and “Diamond G Forest Products” printed on it.","The bottles contain turpentine, which must be in child-resistant packaging as required by the Poison Prevention Packaging Act. The packaging is not child-resistant, posing a risk of serious injury or death from poisoning if the contents are ingested by young children.",,,Replace,"About 20,000","None reported","Consumers should immediately secure the recalled turpentine bottles out of the sight and reach of children and contact Diamond G Forest Products for information on how to obtain a free replacement child-resistant closure.&nbsp;","Sold At","Nature’s Corner Market stores in Marietta, Georgia; Cornerstone Retreat stores in Gap, Pennsylvania; Nickel Mine Health Foods stores in Paradise, Pennsylvania; Leaves of The Trees in Memphis, Tennessee; Country Boy’s Mini Mall in Bristol, Georgia and online at Amazon from January 2021 through April 2025 for about $17.",,"Diamond G Forest Products LLC, of Patterson, Georgia",,"United States",,
25189,,"March 20, 2025",,"Woolite Delicates Detergent Recalled by Reckitt Due to Risk of Exposure to Bacteria; Sold Exclusively on Amazon.com","Woolite Delicates detergent in 50-fluid-ounce bottles","This recall involves 50-fluid-ounce bottles of Woolite Delicates detergent (SKU 62338-72724) with lot codes S24364, S24365 and S24366, sold exclusively on Amazon.com. The lot code is printed at the top of the back of the bottle. The bottles are white with a light pink label and cap.&nbsp;","The recalled products can contain Pseudomonas species bacteria, including Pseudomonas oleovorans, an environmental organism found widely in soil and water. People with weakened immune systems or external medical devices who are exposed to the bacteria face a risk of serious infection that may require medical treatment. The bacteria can enter the body through the eyes or through a break in the skin. People with healthy immune systems are usually not affected by the bacteria.",,,Refund,"About 16,200","None reported","Consumers should immediately stop using the recalled Woolite Delicates detergent with lot codes S24364, S24365 and S24366 and contact Reckitt for a full refund. To receive a refund, consumers should write their name and “Recalled” in permanent marker on the back of the product, then take a photo with the UPC and lot code visible, and email the photo to&nbsp;ConsumerCare_USA@reckitt.com. Once consumers receive their refund, they should dispose of the product by closing the bottle tightly and placing it in household trash. Do not empty the product prior to disposal. Do not attempt to recycle the product bottle.","Sold At","Sold exclusively on Amazon.com in January 2025 for between $14 and $17.",,"Reckitt Benckiser LLC, of Parsippany, New Jersey",,"United States",,
25173,,"March 06, 2025",,"Taylor Water Technologies Recalls Phosphate Reagent Bottles Sold with Test Kits Due to Risk of Severe Chemical Burns; Violation of Federal Regulation for Child-Resistant Packaging","Phosphate Reagent #1 Bottles sold within the Taylor Phosphate Test Kits","This recall involves the replacement reagent #1 bottles sold with Taylor Phosphate Test Kits #K-1106 and also sold separately. The kits are used to test the level of phosphate in water for pools, spas and aquariums. The water testing kits are labeled with the brand name “Taylor,” the kit name “Phosphate Test” and part number “K-1106.” The bottle in the kit that contains sulfuric acid is labeled with the brand name “Taylor,” product name “Phosphate Reagent #1,” part number “R-0980” and “A Size: 22 mL (.75 oz).” The replacement reagent bottle that is sold separately has the same label. Phosphate Reagent #1 has a shelf-life of 24 months.&nbsp;&nbsp;","The recalled Taylor Water Technologies reagent bottles sold with test kits contain sulfuric acid, which must be in child-resistant packaging, as required by the Poison Prevention Packaging Act (PPPA). The packaging for the bottle with sulfuric acid is not child resistant, posing a risk of chemical burns to the skin or eyes and internal corrosive burns, if ingested.",,,Replace,"About 10,000","None reported","Consumers should stop using the recalled Phosphate Reagent #1 bottles immediately, place them in a safe and secure location away from the reach of children and contact Taylor Water Technologies for information on how to properly dispose of the recalled bottle and obtain a free replacement bottle. Only unexpired Phosphate Reagent #1 bottles are included in this recall and eligible for the free replacement. Taylor Water Technologies is contacting all known purchasers directly.","Sold At","Online at www.taylortechnologies.com and other websites and in pool and aquarium stores nationwide from August 2022 through August 2024 for about $13 for the reagent bottles and $56 for the kits that include the reagent bottles.",,"Taylor Water Technologies LLC, of Sparks, Maryland",,"United States",,
24322,,"July 25, 2024",,"Torquay eTrading Recalls Essential Values Golf Grip Solvent and Golf Grip Kits Due to Risk of Poisoning; Violation of the Federal Hazardous Substances Act","Essential Values Golf Grip Solvent and Golf Grip Kits","This recall involves Essential Values Golf Grip Solvent and Essential Values Grip &amp; Rip re-gripping solution sold as a kit with 14 strips of golf tape. The bottles are labeled on the front with “GOLF GRIP SOLVENT, RE-GRIPPING SOLUTION, UNIVERSAL APPLICATION, GAIN CONSISTENCY IN YOUR GAME, QUICK DRYING, SAFE &amp; NON-TOXIC, KEEP OUT OF REACH OF CHILDREN” and on the back with safety information and instructions. The products were sold in an 8-ounce white bottle with a blue label. In the past, the products were sold as 2-pack, 4-pack, 6-pack and with 28 golf strips bundle.","The recalled cleaning product violates the Federal Hazardous Substances Act because it is deceptively labeled as “Safe and Non-Toxic” and lacks the required cautionary statements for petroleum distillates, posing a risk of poisoning to consumers.",,,Label,"About 26,000 (In addition, about 3,400 were sold in Canada)","None reported.","Consumers should immediately stop using the recalled Golf Grip Solvent and/or Golf Grip Kits, and contact Torquay eTrading for information on how to obtain a free corrected label to put on the bottle. Torquay eTrading, Amazon, eBay and Walmart are contacting all known purchasers directly.","Sold Online At","Amazon.com, eBay.com, Walmart.com and www.essentialvalues.com from December 2017 through May 2024 for about $9, and the model sold with a golf grip tape for about $13.",,,"Torquay eTrading LLC (dba Essential Values), of New York (formerly sold by Mocer LLC and Bright Ventures LLC)","United States",,
24247,,"May 30, 2024",,"Compare Brands Recalls ADIOS! Super Vinegar All Natural Cleaner Due to Risk of Poisoning and Chemical Burns; Violation of Labeling Requirements under the Federal Hazardous Substances Act; Sold Exclusively on Amazon.com","ADIOS! Super Vinegar All Natural Cleaner, 30%","This recall involves the ADIOS! Super Vinegar All Natural Cleaner, 30%. The cleaner’s bottles are labeled on the front with: “ADIOS! SUPER VINEGAR ALL NATURAL CLEANER. 30% Concentrate Indoor &amp; Outdoor use”. There is a label on the back with: “Say ADIOS to industrial cleaners with the natural power of vinegar” along with safety information and instructions. The product was sold in a 16 oz. white bottle with a blue cap.","The recalled cleaning product violates the Federal Hazardous Substances Act because it is deceptively labeled as “Safe to Use” and lacks the required cautionary statements for a poison, posing a risk of poisoning and chemical burns to consumers.",,,Label,"About 2,420","None reported.","Consumers should stop using the recalled cleaner immediately and contact Compare Brands for information on how to obtain a free corrected label to put on the cleaner bottle. Compare Brands and Amazon are contacting all known purchasers directly.","Sold Exclusively Online","Amazon.com from March 2023 through May 2024 for about $13.",,"Compare Brands LLC, of Fort Wayne, Indiana",,"United States",,
24237,,"May 16, 2024",,"Kano Laboratories Recalls Super Lube® Products Due to Risk of Poisoning; Violation of the Poison Prevention Packaging Act","Super Lube Syncopen Synthetic Penetrant, Super Lube Fire Resistant Hydraulic Fluid, and Super Lube Metal Protectant and Corrosion Inhibitor (consumer sizes of five gallons or less)","The recall involves Super Lube products which include the following: Syncopen Synthetic Penetrant, Fire Resistant Hydraulic Fluid, and Metal Protectant and Corrosion Inhibitor. The products are used to prevent corrosion in various machinery.Super Lube Syncopen Synthetic Penetrant was sold in a four-ounce white spray bottle (item number 85004), a 32-ounce or one-quart trigger spray black plastic bottle (item number 85032), and a one-gallon (item number 85010)&nbsp;white plastic bottle with a handle. The container bears the brand Super Lube followed by a flag of green, blue, orange, and yellow stripes.Super Lube Fire Resistant Hydraulic Fluid was sold in a one-gallon white plastic bottle (item number 86010)&nbsp;with a handle.Super Lube Metal Protectant &amp; Corrosion Inhibitor was sold in a 32-ounce or one-quart trigger spray black plastic bottle with a handle (item numbers 83032 / 83032A). The Super Lube products have one of the following lot numbers located on the bottom or rear label:&nbsp;Super Lube Syncopen Synthetic PenetrantSize &nbsp;Item Number&nbsp;Lot Number1.0 Gallon Bottle&nbsp;85010&nbsp;17348 L24 – 23320 K261.0 Quart Trigger Sprayer &nbsp;85032&nbsp;17290 J35 – 23320 K264 ounce Bottle&nbsp;85004&nbsp;17348 L24 – 23320 K26Super Lube Fire Resistant Hydraulic Fluid&nbsp;Size &nbsp;Item Number&nbsp;Lot Number1 Gallon Bottle&nbsp;86010&nbsp;16120 D48 – 24040 B16Super Lube Metal Protectant &amp; Corrosion InhibitorSize &nbsp;Item Number&nbsp;Lot Number1 Quart Trigger Sprayer&nbsp;83032 / 83032A&nbsp;17348 L24&nbsp; - 23297 J49","The recalled products contain either ethylene glycol or low-viscosity petroleum distillates, which must be in child-resistant packaging, as required by the Poison Prevention Packaging Act (PPPA). The packaging for the products is not child resistant, posing a risk of poisoning if the contents are swallowed by young children. Additionally, petroleum distillates can get into the lungs, causing chemical pneumonia and/or pulmonary damage, which can be fatal.",,,Refund,"About 3,700","None reported.","Consumers should immediately secure the recalled Super Lube® products out of the sight and reach of children, and contact Kano Laboratories for a full refund. Consumers will need to provide proof of possession by emailing a photo of their product to info@super-lube.com to receive their full refund.","Sold At","Grainger Parts, E &amp; R Industrial Sales, Home Depot, and other stores nationwide, and online at Amazon.com and other websites from January 2018 through January 2024 for between $5.50 and $445.",,"Kano Laboratories LLC, of Bohemia, New York",,"United States",,
24176,,"March 28, 2024",,"Pure Brands of California Recalls Purefog Juice Liquid Due to Risk of Mold Exposure; Sold Exclusively on Amazon.com","Purefog High Density Natural Fog Juice Liquids","This recall involves Purefog High Density Natural Fog Juice Liquid, Long Lasting, Water Based for all Fog Machines 400-1500 Watts with model number B0BG4L3997 and Lot code #623-PFHD. The model number and lot code are located on the back label at the bottom. The fog juice liquid is used in machines that create a smoke or “fog” effect such as that seen during rock concerts on stage.","The recalled fog liquid can expire sooner than the expiration date listed on the product. This can pose a risk of respiratory or other infections in individuals with compromised immune systems, damaged lungs or an allergy to mold.",,,Refund,"About 3,300","None reported","Consumers should immediately stop using the recalled product, discard the unused product by pouring it down the drain, and contact the firm for a full refund. Consumers are being contacted directly by Amazon.com.","Sold Exclusively Online","Exclusively online at Amazon.com from October 2023 through December 2023 for about $15.",,"Pure Brands of California, of San Diego, California","Amazon.com LLC, of Seattle, Washington","United States",,
24043,,"December 07, 2023",,"Wet & Forget USA Recalls 2.7 Million Bottles of “Xtreme Reach” Outdoor Mold & Mildew Stain Remover with Hose End Nozzle Due to Risk of Skin and Eye Irritation","Wet & Forget “Xtreme Reach” Outdoor Rapid Application Moss, Mold, Mildew & Algae Stain Remover with Hose End Nozzle","This recall involves the nozzles on Wet &amp; Forget “Xtreme Reach” Outdoor Mold &amp; Mildew Stain Remover (48 oz. &amp; 68 oz.) bottles with hose end nozzles. The stain remover is sold in a blue plastic bottle and has UPCs 879288000077 (48 oz.) and 879288000084 (68 oz.) printed on the back of the bottle in the bottom right-hand corner of the label. &nbsp;“Wet &amp; Forget” is written on the hose end nozzle.","The hose end nozzle clip can dislodge and allow the cleaning solution to spray on users, posing a risk of skin and eye irritation and other injuries.",,,Repair,"About 2.7 million","The firm has received 3,188 reports of dislodgement of the nozzle insert, including 157 reports of exposure to the cleaning solution and 28 reports that include complaints of skin or eye irritation.","Consumers should immediately stop using the recalled Wet &amp; Forget “Xtreme Reach” Outdoor Mold &amp; Mildew Stain Remover with Hose End Nozzle and contact the firm for a free replacement nozzle. &nbsp;Consumers should not resume use of the stain remover until the replacement nozzle has been installed. Once replaced, the original nozzle should be discarded.","Sold At","Ace Hardware, Costco, Home Depot, Lowes, True Value, Walmart, and other home goods stores nationwide and online at www.amazon.com, www.SamsClubs.com, www.walmart.com, and other websites from February 2018 through November 2023 for between $30 and $35.","Wet & Forget (USA) Inc., of Elgin, Illinois",,,"New Zealand",,
