"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
25186,,"March 20, 2025",,"Kimpex Recalls Snowmobile Ski and Adaptor Kits Due to Crash Hazard and Risk of Serious Injury","Kimpex Ski and Adaptor Kits","This recall involves Kimpex Rush and Kimpex Arrow II Ski Kits and Kimpex Rush and Kimpex Arrow II adaptor kits. The recalled kits are used to replace the skis on snowmobiles and were sold in red, green, yellow, white, black and blue. “Kimpex” is stamped on both sides of the snowmobile’s ski handles.&nbsp;","The skis can detach from the snowmobile, posing a crash hazard and risk of serious injury.",,,Repair,"About 1,980 (In addition, 2,600 were sold in Canada)","The firm has received two reports of the skis falling off snowmobiles. No injuries have been reported.","Consumers should immediately stop using snowmobiles equipped with the recalled Kimpex ski kits and adaptor kits, and contact a Kimpex dealer for a free repair kit.","Sold At","Kimpex USA dealers nationwide and online at Kimpex.com and other websites from April 2022 through January 2025 for between $300 and $500 for the Kimpex Rush and Kimpex Arrow II Ski Kits, and about $23 for the Ski Adaptor Kits.",,"Kimpex Inc., of Drummondville, Canada","Kimpex (U.S.A.) Ltd., of Champlain, New York","Canada (ski kits)
China (adaptor kits)",,
25167,,"March 06, 2025",,"Black Diamond Equipment Recalls BD Recon LT Avalanche Transceivers Due to Risk of Loss of Emergency Communications; Risk of Serious Injury or Death","BD Recon LT Avalanche Transceivers","This recall involves Black Diamond Recon LT avalanche transceivers. The transceivers are plastic with an LCD screen. They have a gray exterior and a blue top. The Black Diamond logo and model name “RECON LT” are on the front of the transceivers. The recalled transceivers were sold as standalone units and as part of Black Diamond Alpine Avy Safety Sets and Black Diamond Recon LT Avy Safety Sets.&nbsp;","The metal contact in the switch mechanism of the Recon LT avalanche transceiver can corrode and cause the transceiver to malfunction. If this occurs, the device can turn off and make it impossible to locate a victim in an avalanche, which could result in serious injury or death.",,,"Refund, Replace, Repair","About 1,660 (In addition, about 206 were sold in Canada). The transceivers were recalled in 2023 for a different hazard. ","The firm has received six reports of the switch mechanism malfunctioning due to corrosion. No injuries have been reported.","Consumers should immediately stop using the recalled avalanche transceivers and contact Black Diamond for a full refund, a replacement transceiver, or a free repair. Consumers will not be asked for proof of purchase and will receive a pre-paid shipping label to return the recalled transceivers. Black Diamond is contacting all known purchasers. Consumers should go to&nbsp;https://warranty.bdel.com/beaconRecall2025/StepOne to participate in the recall.&nbsp;The repair involves replacing the original zinc coated steel insert with a corrosion resistant stainless-steel version.&nbsp;The replacement option allows the consumer to exchange their BD Recon LT avalanche transceiver for a BD Guide BT or BD Recon X avalanche transceiver. Both the BD Guide BT and BD Recon X transceivers utilize a different switch design.&nbsp;Consumers also have the option to return their device for a full refund (credit card reimbursement).&nbsp;","Sold At","Liberty Mountain, Recreational Equipment Inc. (REI) and other specialty outdoor stores nationwide and online at www.blackdiamondequipment.com, www.backcountry.com and www.evo.com from May 2021 through February 2025 for between $350 and $500.","Black Diamond Equipment Ltd., of Salt Lake City, Utah",,,"Austria and Bosnia",,
25077,,"December 26, 2024",,"Black Diamond Equipment Recalls PIEPS Pro IPS Avalanche Transceivers Due to Risk of Loss of Emergency Communications","PIEPS Pro IPS Avalanche Transceivers","This recall involves all Black Diamond Equipment PIEPS Pro IPS Avalanche Transceivers. The transceivers are black plastic with an LCD screen below a yellow mark button. They measure about 5 inches long by 3 inches wide. PIEPS appears in yellow lettering and PRO IPS in white lettering on the front of the unit. The first four numbers in the transceivers’ serial number range from 2326 through 2445 for recalled units and can be found on the label on the inside of the battery compartment door.&nbsp;","The battery compartment within the avalanche transceiver could not have enough contact force to supply power. In some cases, the transceiver will fail to power on or cease operating during use. It would make it impossible to locate a victim in an avalanche emergency situation, which could result in serious injury or death.",,,"Refund, Repair","About 770 (In addition, about 70 were sold in Canada) ","Black Diamond has received one report of the battery compartment not operating correctly. No injuries have been reported.","Consumers should immediately stop using the avalanche transceivers and contact Black Diamond for a full refund or free repair, including shipping. Consumers will not be asked for proof of purchase and will receive a pre-paid shipping label to return the recalled transceivers. Black Diamond is&nbsp;contacting all known purchasers.","Sold At","Alpenglow Sports, Cripple Creek Backcountry, EVO Gear, Liberty Mountain, Mountain Chalet, Mammoth Mountaineering and other specialty outdoor stores nationwide, and online at www.backcountry.com, www.polaris.com and www.blackdiamondequipment.com from February 2024 through November 2024 for between $530 and $620.&nbsp;","Black Diamond Equipment Ltd., of Salt Lake City, Utah",,,Austria,,
24317,,"July 25, 2024",,"Textron Specialized Vehicles Recalls 2024 Arctic Cat Mountain 600 Snowmobiles Due to Crash Hazard","2024 Arctic Cat Mountain 600 Snowmobiles","This recall involves 2024 Arctic Cat Mountain 600 Snowmobiles, sold in various colors. The model name is depicted as an “M” in the shape of a mountain and is printed on the side panels of the snowmobiles. The 10th digit of the VIN is “R”. The VIN number is stamped on the tunnel section or the decal on the top/rear of the tunnel.","The pin on the u-joint of the steering knuckle was not swagged correctly, which can allow the pin to come out of the u-joint and cause the rider to lose steering control, posing a crash hazard.",,,Repair,"About 600","The firm has received six reports of cross pins that have become loose or have fallen out. No injuries have been reported.","Consumers should immediately stop using the 2024 Arctic Cat Mountain 600 Snowmobile, and contact their local authorized Arctic Cat dealer for a free inspection of the steering column u-joint and free repair, if needed. The steering post joint on the Snowmobile will be inspected. If the pin is properly swagged, there is no repair needed. If the steering post joint pin was not properly swagged, the entire steering post assembly will be replaced.","Sold At","Arctic Cat dealers nationwide from September 2023 through June 2024 for between $14,500 and $16,100.",,"Textron Specialized Vehicles, of Augusta, Georgia",,"United States",,
24261,,"June 13, 2024",,"Black Diamond Equipment Recalls Neve Strap Crampons and Accessory Kits Due to Fall Hazard","Neve Strap Crampons and Accessory Kits","This recall involves Neve Strap Crampons and Accessory Kits, Style No. 400073, with date codes 01-2021, 05-2022, 07-2023, 01-2024 and SS1271. The date codes are located on the rubber heel strap pull-tab and on the underside of the toe piece under the anti-balling plate. The products are made of aluminum plates with spikes that attach to boots for ice climbing. The metal plates have a bright green color, and a black plastic toe and heel bail with a black webbing strap that fastens around the ankle. This recall also includes the Neve Strap Binding Accessory Kit, Style No. 400683, and Neve Strap Heel Cup Screw &amp; Nuts, Style No. 400687, which were sold separately as spare parts/accessories.","The screws that connect the plastic heel cup to the aluminum heel unit of the crampon can loosen and allow the heel cup to detach from the crampon, posing a fall hazard.",,,Refund,"About 350 (In addition, about 28 were sold in Canada)","The firm has received three reports of incidents of the crampons becoming loose or the heel cup becoming detached by hikers. No injuries have been reported.","Consumers should immediately stop using the recalled Neve Strap Crampons and accessory kits, and contact Black Diamond Equipment to receive a full refund. Consumers will receive a prepaid return label to mail them back to Black Diamond Equipment, after which they will be issued a refund. The firm is contacting all known purchasers.","Sold At","Black Diamond stores, REI and other stores nationwide, and online at blackdiamond.com, backcountry.com and REI.com from January 2024 through May 2024 for about $180.","Black Diamond Equipment, of Salt Lake City, Utah",,,Taiwan,,
24228,,"May 09, 2024",,"Textron Specialized Vehicles Recalls Arctic Cat Model Year 2024 Catalyst Snowmobiles Due to Crash Hazard","Arctic Cat Model Year 2024 Catalyst 600 snowmobiles","This recall involves Arctic Cat model year 2024 Catalyst 600 snowmobiles with model names ZR, Riot, and Mountain, sold in various colors. The model names are printed on the side panels of the snowmobiles. The 10th letter of the VIN will be an “R”. The VIN number is stamped on the tunnel section or the decal on the top/rear of the tunnel.","The steering caps, which are used to hold the handlebar in place, can crack and cause the handlebars to become unstable, posing a crash hazard.",,,Repair,"About 2,670 (In addition, about 891 were sold in Canada)","The firm has received 95 reports of incidents from dealers during initial snowmobile setups of steering caps cracking while being torqued. No injuries have been reported.","Consumers should immediately stop using the recalled Arctic Cat 2024 Catalyst 600 snowmobiles, and contact the local authorized Arctic Cat dealer to schedule a free repair of the steering caps.","Sold At","Arctic Cat Dealers nationwide from September 2023 through April 2024 for between $13,800 and $16,100.",,"Textron Specialized Vehicles, of Augusta, Georgia",,"United States",,
24223,,"May 02, 2024",,"Arctic Cat Recalls Snowmobiles Due to Laceration Hazard","Arctic Cat 8000 and 9000 Series Snowmobiles","This recall involves all model year 2017-2021 Arctic Cat 8000 and 9000 series snowmobiles, and certain model year 2022 Arctic Cat 8000 series snowmobiles with last 8 digits of the VIN between: NT808000 and NT808150 and between NT100101 and NT101060. The recalled snowmobiles were produced in a variety of color combinations. “Arctic Cat” is printed on the sides of the vehicle and on the back snow-flap area.","The recalled snowmobile’s drive clutch can break, allowing fragments to escape the snowmobile shielding, posing a laceration hazard.",,,Repair,"About 16,200","Arctic Cat has received more than 200 reports of clutch failures, including six where clutch fragments hit consumers. Four of those included reports of minor foot and toe injuries.","Consumers should immediately stop using the recalled snowmobiles, and contact Arctic Cat to schedule for a free installation of an additional clutch guard and inspection of the primary clutch. If the primary clutch is cracked, Arctic Cat will replace it free of charge.","Sold At","Arctic Cat dealerships nationwide from September 2016 through January 2024 for between $8,000 and $22,000.",,"Arctic Cat, of Thief River Falls, Minnesota",,"United States",,
24218,,"May 02, 2024",,"Polaris Recalls Prostar S4 Titan Adventure Snowmobiles Due to Fire Hazard","Model Year 2024 Prostar S4 Titan Adventure 155 ES Snowmobiles","This recall involves certain VINs of Polaris Model Year 2024 Prostar S4 Titan Adventure 155 ES Snowmobiles. The recalled snowmobiles were sold in black and custom color combinations. “POLARIS” is stamped on the front side panel of the vehicles. The VIN and model number are located on the right side of the vehicle’s frame.","The snowmobile can leak fuel at the pump flange assembly, posing a fire hazard and risk of serious injury to the rider or passenger.",,,Repair,"About 240 (In addition, about 290 were sold in Canada)","The firm has received three reports of fuel leaking from the recalled snowmobiles. No injuries have been reported.","Consumers should immediately stop using the recalled snowmobiles, and contact an authorized Polaris dealer to schedule a free repair to replace the pump flange assembly gasket. Polaris has issued a Stop Ride notice to consumers, and is contacting registered owners directly about the remedy.","Sold At","Polaris dealers nationwide from August 2023 through March 2024 for about $16,100.",,"Polaris Industries Inc., of Medina, Minnesota",,"United States",,
24191,,"April 11, 2024",,"Fischer Sports Recalls Junior Ski Boots Due to Fall Hazard","Fischer RC4 Junior Ski Boots","This recall involves RC4 50, RC4 60, and RC4 65 Junior Ski Boots in sizes 21.5 to 27.5. The RC4 50 and RC4 60 were sold in Rhino Grey and Snow colors. The RC4 65 was sold in yellow. “Fischer” is printed on the lower shell on each boot, and the specific model and name is printed on the outside of the upper cuff, between the two top buckles. The size of the boot is stamped on the sole.&nbsp;","The ski boot cuff can rotate, causing the lock mechanism to malfunction, posing a fall hazard and risk of injury to the consumer.",,,"Refund, Replace, Repair","About 1,460 (In addition, about 114 were sold in Canada)","The firm has received one report of an incident of the ski boot cuff rotated. No injuries have been reported.","Consumers should immediately stop using the recalled RC4 Junior Ski Boots and contact Fischer Sports for instructions on how to receive a refund, a free replacement, or a free repair.","Sold At","Ski gear stores nationwide and online at https://www.fischersports.com/us_en/ and other websites from October 2022 through February 2024 for between $200 and $275.","Fischer Sports US, of Auburn, New Hampshire","Fischer Sports US, of Auburn, New Hampshire",,Romania,,
24140,,"February 29, 2024",,"Bombardier Recreational Products (BRP) Recalls Ski-Doo Snowmobiles Due to Risk of Serious Injury and Crash Hazard","Ski-Doo® MXZ and Renegade Snowmobiles equipped with Pilot X Skis","This recall involves all model year 2024 Ski-Doo MXZ and Renegade snowmobiles models equipped with Pilot X skis. The vehicles were sold in a variety of colors. Ski-Doo and the model name are printed on the side panels of the vehicles. Pilot X is engraved at the back of the ski, on the upper side. The vehicle identification number (VIN) is on the decal located on the right-hand side of tunnel underneath the seat. Dealers can check for VINs included in this recall.","The snowmobile’s left ski can break, posing a risk of serious injury and crash hazard.&nbsp;",,,Repair,"About 8,100 (In addition, about 5,600 were sold in Canada)","The firm has received 27 reports in the United States of the snowmobile’s left ski breaking. There are no reports of injuries in the United States. The firm is aware of one incident in Canada resulting in an injury.","Consumers should immediately stop using the snowmobiles, and contact BRP to schedule a free inspection and repair at the dealership by replacing the left ski free of cost. BRP is contacting all purchasers directly.","Sold At","Ski-Doo authorized dealers nationwide from June 2023 through January 2024 for between $10,000 and $18,000.","BRP US Inc., of Sturtevant, Wisconsin","Bombardier Recreational Products Inc., of Canada",,Canada,,
