"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26344,,"March 26, 2026",,"Sunnyyes LED Mini Lights Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates Mandatory Standard for Consumer Products with Coin Batteries","Sunnyyes LED Mini Lights","This recall involves Sunnyyes branded LED mini lights. The recalled color changing lights have 13 colors. Each of the 10 multicolored lights includes two CR2032 lithium coin batteries. The lights include two remote controls that contain one CR2025 coin lithium battery each. The LED lights measure 1.18 inches in diameter.","The recalled LED lights violate the mandatory standard for consumer products containing button cell or coin batteries because the lights contain lithium coin batteries that can be accessed easily by children, posing an ingestion hazard. Additionally, the screw used on the remote controls to secure the battery compartments that contain a lithium coin battery does not remain attached. Also, the packaging does not have the warnings as required by&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines…’s Law. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns and death.",,,Refund,"About 26,000","None reported","Consumers should stop using the recalled LED lights immediately and place them in an area where children cannot access them. Consumers will be asked to disassemble and submerge all components in water. To receive a full refund, consumers will be asked to email a photo of the submerged product to&nbsp;usa@sunnyyes.com.Note:&nbsp;Button cell and coin batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.","Sold Online At","Amazon.com from March 2024 through March 2026 for about $20.",,,,China,Retailer:,"Huizhoushi Chuanglianxin Technology Co., Ltd, dba Sunnyyes, of China"
26305,,"February 26, 2026",,"SumDirect LED Mini Lights Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates Mandatory Standard for Consumer Products with Button Cell Batteries","SumDirect LED Mini Lights","This recall involves SumDirect-branded LED mini lights. The recalled blinking lights rotate and have a built-in loop for hanging. Each of the 24 multicolored lights includes three preinstalled LR41 button cell batteries.","The recalled LED lights violate the mandatory standard for consumer products containing button cell or coin batteries because they contain button cell batteries that can be accessed easily by children, posing an ingestion hazard. Additionally, the LED lights do not have the warnings as required by https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… lang=""EN-US"">Reese’s Law. When button cell and coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns and death.",,,Refund,"About 1,600","None reported","Consumers should immediately stop using the recalled LED lights, place them in an area that children cannot access and properly dispose of the batteries. Contact SumDirect for a full refund. Consumers will be asked to send a photo of the product in the trash to recall@dgfuxin.cn.Note: Button cell and coin batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.&nbsp;","Sold Online At","Amazon.com from January 2016 through November 2025 for about $23.",,,,China,Retailer:,"Dongguan Fuxin E-Commerce Co., Ltd., dba SumDirect, of China"
26278,,"February 26, 2026",,"PQL Recalls High Bay Linear LED Light Fixtures Due to Fire Hazard","High Bay Linear LED light fixtures","This recall involves&nbsp;High Bay Linear LED light fixtures. The fixtures are rectangular, white, metal, and are available in either 2-foot or 4-foot-wide configurations.&nbsp;2-foot-wide models:55202, 55203, 55208, 55209, 55209-WC, 55213, 55214, 55222, 55223, 55225, 55226, 55227, 55228, 55360, 55361, 55362, 55363, 55477, 55478, 55480, 55481, 55482, 55483, 55484, 55485, 55504, 55505, 55506, 55507, 55508, 55511, 55512, 55514, 55515, 55518, 55534, 55535, 55536, 55537, 55538, 55539, 55710, 55711, 55712, 55713, 55714, 55715.4-foot-wide models:55213, 55214, 55215, 55230, 55231, 55232, 55364, 55365, 55366, 55367, 55487, 55491, 55492, 55510, 55521, 55716, 55717, 55720, 55722.The model numbers can be found on the back of the fixture.&nbsp;","The retaining pins used to secure the LED board inside some units can degrade, allowing the LED board to come loose inside the fixture, posing a fire hazard.",,,Repair,"About 186,520","The firm has received one report of a LED light fixture catching fire. No injuries have been reported.","Consumers should immediately stop using the High Bay Linear LED light fixtures and contact PQL for free replacement retaining pins. Consumers should register their product at&nbsp;https://pqlighting.com/product-recall-notice.","Sold At","Stores Nationwide including LED Indy, Universal Lighting of America, Inc, and Independent Lighting, and online from January 2016 through June 2025 for between $50 to $350.","PQL, Inc., of Simi Valley, California","Jiangsu Ever-Tie Lighting Co., Ltd, of China",,"Hong Kong",,
26177,,"January 08, 2026",,"RH Recalls Natural Antler Chandeliers Due to Impact Hazard","48” and 60” Natural Antler Chandeliers","This recall involves RH 48” and 60” diameter Natural Antler Chandeliers manufactured between September 2021 and October 2024 per customer special order and hung at an angle on a vaulted ceiling or sloped beam. The chandeliers are made from naturally shed elk antlers and were sold in three finishes: natural, sun-bleached and black. The 48” diameter chandelier measures about 48” tall and weighs about 40 pounds and was sold with SKU numbers 10036671NAT, 10036671SUNB and 10036671BLK. The 60” diameter chandelier measures about 36” tall and weighs about 45 pounds and was sold with SKU numbers 10035099NAT, 10035099SUNB and 10035099BLK. The SKU number is located on the order confirmation and printed on the receipt.","If the chandelier is hung at an angle on a vaulted ceiling or a sloped beam, the chandelier canopy hardware can break, causing the chandelier to detach and fall from the ceiling, posing an impact hazard.",,,Repair,"About 320","The firm has received four reports of canopy hardware components breaking and chandeliers detaching, including one report in which the chandelier fell to the floor. No injuries have been reported.","Consumers should keep clear of the area directly beneath the chandelier hung on a vaulted ceiling or sloped beam and contact RH to schedule a free in-home repair.&nbsp;A technician will replace the canopy hardware of 48” and 60” chandeliers installed on a vaulted ceiling or sloped beam.","Sold At","RH galleries and online at https://rh.com/us/en/ from September 2021 through October 2024 and RH Outlets nationwide from September 2021 through September 2025 for between $1,700 and $7,700.&nbsp;",,,,"United States",Retailer:,"RH US, LLC, of Corte Madera, California&nbsp;&nbsp;"
26155,,"December 18, 2025",,"Currey & Company Recalls Electra Chandeliers Due to Impact Injury Hazard","Electra Chandelier and Electra Three Tier Chandelier light fixtures","This recall involves all Currey &amp; Company Electra Chandelier and Electra Three Tier Chandelier light fixtures. The fixtures are made of glass and iron with a brass metal frame. The Electra Chandelier, model number 9000-1234, measures 18 inches by 29 inches and weighs 51 pounds. The Electra Three Tier Chandelier, model number 9000-1235, measures 47 inches by 29 inches and weighs 131 pounds. “Currey &amp; Company” and the model number are printed on the fixture’s ceiling canopy.","The component that connects the recalled chandelier light fixture to the ceiling mount is not threaded properly and the fixture can fall unexpectedly, posing a risk of injury from impact.",,,Repair,"About 260","The firm has received two reports of the chandelier light fixtures falling from the ceiling, with one incident involving property damage. No injuries have been reported.","Consumers should immediately contact Currey &amp; Company to receive a free in-home repair kit to replace the connection component. Currey will pay the consumer’s professional installation costs directly or reimburse consumers for the full cost of the professional installation of the repair.","Sold At","Currey &amp; Company showrooms, lighting stores nationwide, and online at&nbsp;www.curreyandcompany.com and other e-commerce home retailers from May 2024 to September 2025 for between $3,000 and $10,000.","Currey & Company, Inc., of Atlanta, Georgia",,,India,,
25360,,"June 26, 2025",,"LED Fireplace Lanterns Recalled Due to Risk of Serious Injury or Death from Ingestion Hazard; Violations of Federal Standard for Consumer Products with Coin Batteries; Imported by Green Pastures Wholesale","LED Fireplace Lanterns","This recall involves&nbsp;LED Fireplace Lanterns with model numbers: SP-14, SP-55, SP-66 and SP-78. The battery-operated lanterns are made with a black metal frame around a LED fireplace. Some models have a metal fence, some are free standing and others have four&nbsp;legs. The product includes the lantern, USB power cable, a remote control and one preinstalled CR2025 lithium battery in the remote control. The model number is printed on top of the box.","The recalled lanterns violate the mandatory federal standard for consumer products containing button cell or coin batteries because the lithium coin battery in the remote control can be accessed easily by children, posing an ingestion hazard. In addition, the recalled products do not have the warning labels required under&nbsp;https://www.cpsc.gov/Newsroom/News-Releases/2023/Making-Families-Safer-…’s Law. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns and death.",,,Refund,"About 1,250","None reported","Consumers should immediately stop using and remove the battery from the lanterns’ remote control and place it in an area that children cannot access. Consumers can contact Green Pastures Wholesale for information on how to receive a free UPS shipping label to return the product and to receive a full refund. Green Pastures Wholesale is contacting all known purchasers directly.Note:&nbsp;Button cell and coin batteries are hazardous. Batteries should be disposed of or recycled by following local procedures for hazardous household waste, not in the trash.","Sold At","AmericasMart Atlanta Green Pastures Wholesale Showroom, Atlanta, Georgia; The Columbus Warehouse, Columbus, Ohio; The Warehouse at Paxton, Paxton, Illinois; and Clarksville Wholesale Warehouse, Clarksville, Tennessee and online at https://GreenPasturesWholesale.com from January 2025 through April 2025 for between $13 and $25, depending on the model.","Green Pastures Wholesale, of Baltimore, Maryland",,,China,,
25317,,"June 05, 2025",,"Lutron Recalls Power Interfaces for LED Tape Lights Due to Shock Hazard","Lutron-branded power interfaces for LED tape lights","This recall involves Lutron-branded power interfaces, model LU-PH3-B, intended for use with LED tape lights. The 96W hard-wired power interfaces were distributed alone and as part of Lumaris RGB+ tunable white LED tape light starter kits for RadioRA 3 systems (model RRL-MTK-RT-IN) and HomeWorks systems (model HWL-MTK-RT-IN).","The power interface can fail during a significant power surge (e.g., lightning strike), posing a shock hazard to consumers if they touch the LED tape lights.",,,Replace,"About 1,944","None reported","Consumers should immediately stop using the recalled power interfaces and any connected lighting and turn off the power at the circuit breaker. Consumers should contact Lutron for instructions on how to receive their free replacement power interface and how it will be installed at no charge. Consumers should go to&nbsp;https://residential.lutron.com/us/en/safety/safety-recall to determine if their unit is included in this recall and, if so, to register to receive installation of the replacement power interface. If a unit is included, Lutron will provide the free replacement power interface and a pre-paid mailing label that the consumer can use to return the unit to Lutron.","Sold At","Dealers and distributors of audiovisual (AV) equipment and electrical supplies nationwide from September 2024 through April 2025 for about $300 for the power interfaces, and between $1,250 and $1,400 for the Lumaris LEDtape light starter kits and the HomeWorks systems.",,,"Lutron Electronics Co. Inc., of Coopersburg, Pennsylvania",China,,
25301,,"May 29, 2025",,"Minka Lighting Recalls Vortic Flow Series Lights Due to Impact Injury Hazard","Minka Vortic Flow Series light fixtures","This recall involves all Minka Vortic Flow light fixtures that are made of steel with a finish of dark bronze and mosaic gold and with model numbers 3679, 4677 and 4679. Model number 3679 is a 10-light pendant, measuring 30 by 21 inches and weighing 25.7 pounds. Model number 4677 is an eight-light pendant measuring 11 by 30 inches and weighing 16 pounds. Model number 4679 is an 18-light chandelier measuring 37.5 by 27 inches and weighing 28.6 pounds. “Minka-Lavery” and model number are printed on the fixture’s packaging or purchase records.","The component that connects the recalled light to the ceiling mount can weaken, allowing the fixture to fall unexpectedly, posing a risk of injury from impact.",,,Replace,"About 2,350","The firm has received two reports of the light fixtures partially detaching. No fallen light fixtures or injuries have been reported.","Consumers should immediately contact Minka Lighting to schedule a free inspection and an on-site repair to replace the connection component.","Sold At","Lighting and home improvement stores nationwide and online at www.Ferguson.com, www.wayfair.com and www.lamps.com from August 2019 through October 2024 for between $850 and $1,500.","Minka Lighting LLC, of Corona, California",,,China,,
25232,,"April 24, 2025",,"AliExpress Recalls LED Strip Lights Due to Risk of Serious Injury or Death from Ingestion Hazard; Violations of Reese’s Law Federal Safety Regulations for Consumer Products with Coin Batteries; Sold on AliExpress.com","LED Strip Lights","This recall involves RGB-branded LED strip lights powered with button batteries. The color-changing, dimmable lights measure about 0.4 inches long and were sold in white, warm white, blue, ice blue, green, red, yellow, purple and pink.&nbsp;&nbsp;","The recalled lights violate the mandatory federal regulations for consumer products designed to use button cell or coin batteries because the strip lights allow easy access by children to the lithium coin batteries, posing an ingestion hazard. In addition, the recalled products do not have the required warnings. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns and death.",,,Refund,"About 390","None reported","Consumers should stop using the recalled LED strip lights immediately and contact AliExpress to receive a full refund. Consumers should destroy the lights by cutting them in half and disposing of them. Consumers must send a photo of the destroyed lights to us_product_recall@aliexpress.com or&nbsp;by replying to the recall email sent by AliExpress. AliExpress is contacting all known purchasers directly.Note:&nbsp;Button cell and coin batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.","Sold At","Aliexpress.com from March 2024 through November 2024 for about $3.",,,,China,"Recalling Firm:","AliExpress, of San Mateo, California"
25204,,"April 03, 2025",,"Five Below Recalls Room2Room LED Iridescent Bear Lights Due to Fire and Burn Hazards","Room2Room LED Iridescent Bear Lights","This recall involves the Room2Room LED iridescent bear lights. The lights measure about 7.5 inches tall by 9.3 inches wide and have a USB plug with an on/off switch. “Room 2 Room,” “LED Iridescent Bear Light” and model number “LD-0030” are on a sticker on the bottom of the bear. The UPC code “1922340368444” is printed on the bottom of the packaging.","The power switch on the USB cord can overheat and melt, posing fire and burn hazards.",,,Refund,"About 29,000","The firm has received 28 reports of the USB cord overheating and melting, including six reports of burns to fingers. There were also two reports of property damage, including burns to a wall and a headboard. ","Consumers should immediately stop using the recalled lights and either return them to any Five Below store or contact Five Below customer service for a full refund. Consumers can receive a refund to the original credit card used for purchase, cash, or store credit when they return the lights to the store where purchased, or a check or store credit from Five Below customer service when they submit a photo of the light with the cord cut. Consumers should then dispose of the light in their household trash. Proof of purchase (receipt) is not required to receive a full refund.","Sold Exclusively At","Five Below stores nationwide and online at fivebelow.com from September 2024 through February 2025 for about $12.",,,"1616 Holdings Inc., of Philadelphia, Pennsylvania",China,Retailer:,"Five Below Inc., of Philadelphia, Pennsylvania"
