"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26333,,"March 19, 2026",,"Electrolux Group Recalls Frigidaire Gas Ranges Due to Burn Hazard","Frigidaire Gas Ranges","This recall involves Frigidaire, Frigidaire Gallery, and Frigidaire Professional Gas Ranges Models FCFG3083AS, FCRG3083AD, FCRG3083AS, GCFG3060BD, GCFG3060BF, GCFG3070BF, GCRG3060BD, GCRG3060BF, PCFG3080AF, FCFG3062AB, FCFG3062AS, FCFG3062AW, FCRG3051BB, FCRG3051BS, FCRG3051BW, FCRG3052BB, FCRG3052BS, FCRG3052BW, FCRG3062AB, FCRG3062AS, FCRG3062AW, FCRG306LAF, and GCFG3059BF, within the serial number range of VF52200000 through VF54399999.The model and serial numbers are printed on a nameplate located in the drawer beneath the oven.","The ovens in the ranges can experience a delayed ignition of the oven's bake burner, posing a risk of burn hazards to users.",,,Repair,"About 174,800 (In addition, about 5,300 were sold in Canada)","Electrolux Group and the CPSC are aware of 62 reports of the oven’s bake burner delayed ignition, including 30 reports of burn injuries.","Consumers should stop using ovens in the recalled ranges immediately and contact Electrolux Group for a free repair. Electrolux Group will provide professional in-home installation of a new bake burner at no cost to consumers. Consumers can continue to use the cooktop burners on the range.","Sold At","Lowe’s, The Home Depot, and other retail stores nationwide and online at Frigidaire.com from June 2025 through January 2026 for between $630 and $2,700.",,"Electrolux Consumer Products, Inc., of Charlotte, North Carolina",,"United States",,
26331,,"March 19, 2026",,"Lifetime Brands Recalls BUILT LUUM Light Up Tumblers Due to Risk of Choking and Battery Ingestion Hazards","BUILT LUUM Tumblers","This recall involves the LUUM collection of BUILT-branded light up tumblers. The recalled plastic 16 oz. or 18 oz. drinking cups with a lid and a straw were sold in various winter holiday and Fourth of July themes. The tumblers have a bottom compartment containing a LED light that has a preinstalled button cell battery. “lumm,” the tumbler’s theme name and the following corresponding item numbers and UPC codes are printed on a label located on the tumblers’ underside or hangtag:LUUM Tumbler ThemeCapacityItem #UPCFESTIVE FOREST18 oz5323719843461115513MERRY GLOW18 oz5323721843461115551LET IT SNOW18 oz5323722843461115520WINTER BLOOM18 oz5323723843461115537MERRY MAGIC18 oz5323724843461115544JOLLY JOURNEY18 oz5323725843461115568HEART N STARS18 oz5331965843461121002USA18 oz5331966843461121019STARS18 oz5331967843461121026FLAG18 oz5331968843461121033WINDMILL18 oz5331969843461121040BLUE FIREWORKS18 oz5331974843461121057FESTIVE FOREST16 oz5324497843461116374MERRY GLOW16 oz5324498843461116381LET IT SNOW16 oz5324499843461116398","The recalled LED tumblers can break, making the button cell batteries accessible to children and posing choking and ingestion hazards. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns and death.",,,Refund,"About 75,700","Lifetime Brands has received one report of a child gaining access to the tumbler’s button cell battery and putting it in the mouth. No injuries have been reported.","Consumers should stop using the recalled tumblers immediately, place them in an area that children cannot access and properly dispose of the battery. Contact Lifetime Brands for a full refund. Consumers will be asked to throw the piece with the LED light away and upload a photo of the product in the trash when completing a Product Recall Refund Form at&nbsp;https://www.builtny.com/pages/recall.&nbsp;Note: Button cell batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.","Sold At","Kroger, Hy-Vee, Meijer, Nordstrom Rack and Winn-Dixie stores nationwide and online at Builtny.com from October 2024 through December 2025 for between $10 and $15.","Lifetime Brands, Inc., owner of the BUILT brand, of Garden City, New York",,,China,,
26199,,"January 15, 2026",,"Curtis International Expands Recall of Frigidaire-brand Minifridges Due to Fire and Burn Hazards","Frigidaire-brand Minifridges, model EFMIS121, with limited serial numbers.","This recall expansion involves Curtis International 6-can minifridge model EFMIS121. This is in addition to certain minifridges with model numbers EFMIS129, EFMIS137, EFMIS149 and EFMIS175 that were previously recalled. “Frigidaire” is printed on the front of the units. The model and serial numbers are on a label on the back of the minifridge. This recall includes only the serial numbers identified below. The minifridges were sold in red at Target stores.&nbsp;&nbsp;Model Number&nbsp;&nbsp;Serial Number&nbsp;&nbsp;EFMIS121&nbsp;Between A2001 and A2310&nbsp;","The minifridges’ internal electrical components can short circuit and ignite the surrounding plastic housing, posing fire and burn hazards.&nbsp;",,,Refund,"About 330,000, Curtis International previously recalled 634,000 minifridges in July 2024.","Curtis International has received at least six reports of the model EFMIS121 minifridges catching fire, with property damages.","Consumers should immediately stop using the recalled minifridges and follow the instructions to register for a refund at www.recallrtr.com/minifridge. Consumers should unplug and cut the power cord and write “Recall” using a permanent marker on the front door of the unit. Consumers should dispose of the recalled minifridges in accordance with local and state regulations.&nbsp;&nbsp;&nbsp;","Sold At","Exclusively at Target stores nationwide and online at Target.com from January 2020 through October 2023 for around $30.","Curtis International Ltd., of Canada  ","ShangYu North Electron Manufacture Co. Ltd., of China",,China,,
26147,,"December 11, 2025",,"Sanven Technology Recalls Vevor Ice Crushers Due to Fire Hazard","Vevor Ice Crushers","This recall involves Vevor’s ice crushing machines designed for consumer use. The ice crusher has a handle that consumers press down to feed ice into a shoot; the handle activates a cutter within the feed shoot. The products were advertised as Ice Shavers, Ice Crushers, and Snow Cone Makers. The ice crushing machines were all sold under model number BY-300 and BY-300 FS and came in yellow, red, silver and blue. “Vevor” and the model number are printed on a label on the top of the product.","The ice crusher can experience a thermal event and ignite, posing a fire hazard.",,,Refund,"About 11,650 (In addition, about 1,060 were sold in Canada)","Sanven has received two reports of thermal events, including one fire.","Consumers should immediately stop using the recalled ice crusher and contact Sanven for a full refund. Consumers should email a photograph of the ice crusher with the unplugged power cord cut in half to&nbsp;recalling@vevor.com.","Sold Online At","Vevor.com, Amazon.com, Walmart.com, Wayfair.com, HomeDepot.com and Lowes.com from July 2021 through July 2025 for between $40 and $86",,,"Sanven Technology Ltd., dba Vevor, of Rancho Cucamonga, California",China,,
26129,,"December 04, 2025",,"HydroJug Recalls 14-Ounce Children’s Sport Tumblers Due to Choking Hazard","14-ounce Children’s Sport Tumbler","This recall involves the 14-ounce sport tumbler with serial number 235010 or no serial number on the bottom of the tumbler under the rubber boot. The handle with the rivets is attached to the lid of the tumbler. The recalled tumbler was sold in five patterns: Cowgirl, Daisy Checkers, Dinosaur, Sport and Bows.","The rivets on the handle can come loose, causing the handle to detach, posing a choking hazard for children.",,,Replace,"About 17,000","The firm has received 656 reports of the rivets on the handle coming loose. No injuries have been reported.","Consumers should immediately stop using the recalled 14-ounce sport tumbler and contact HydroJug for a free replacement lid. Consumers should email HydroJug at&nbsp;service@thehydrojug.com and provide order details (if available), shipping address and photos of the bottom of the tumbler showing the serial number or that there is no serial number. Consumers will be asked to include photos of the recalled tumbler lid permanently marked with the word “Recalled” and to dispose of the recalled tumbler lid. HydroJug will confirm eligibility and send a replacement lid.","Sold At","Academy Sports, Scheels, Combined Sales Company, Gordons Ace Hardware, Bucks Ace, Kents Grocery, Basin Sports and online at Hydrojug.com, Amazon.com, Well.ca and iHerb.com from May 2025 through June 2025 for about $25.",,"HydroJug, Inc., of Ogden, Utah",,"United States",,
26007,,"October 09, 2025",,"Tempo USA Recalls Ambiano Electric Pressure Cookers Due to Serious Burn Hazard, Multiple Burn Injuries Reported; Sold at ALDI","Ambiano Electric Pressure Cookers","This recall involves all Ambiano electric pressure cookers with model numbers 93550 (KY-318B), 96775 (KY-318A), and 98527 (6L-PC). The electric pressure cookers and inner cooker pots are either six-quart or eight-quart capacity. The brand name Ambiano appears on the front of each unit and on its permanent on-product label. The model number of the recalled pressure cookers is also printed on the permanent product label on the bottom of the cooker.","The pressure-cooker lid can be opened before sufficient steam pressure has been released, causing hot contents to escape and posing a risk of burn injuries to consumers.",,,Refund,"About 46,660","The firm has received 11 reports of incidents, in which the contents were expelled under pressure, including eight reports of severe burn injuries.","Consumers should immediately stop using the recalled pressure cookers and contact Tempo or ALDI for a refund. Consumers can either return the fully intact pressure cooker to any ALDI retail location for a full refund or submit a photo of the pressure cooker with the unplugged power cord cut and a photo showing the model number and date code via email to Tempo at&nbsp;serviceusa@tempo.org.","Sold At","ALDI retail stores nationwide between January 2016 and December 2019 for about $40.","Tempo International (USA) Inc., of Aventura, Florida ",,,China,,
25475,,"September 25, 2025",,"Sunbeam Products Recalls More than One Million Oster French Door Countertop Ovens Due to Burn Hazard","Oster French Door Countertop Ovens","This recall involves Oster French Door Countertop Ovens with model numbers TSSTTVFDXL, TSSTTVFDDG, TSSTTVFDMAF and TSSTTVFDDAF. The recalled ovens have a spring-loaded bilateral door made of glass with metal handles. A label on the backside of the oven identifies the model number. In addition, the original packaging has information identifying the model number. The four models differ in cooking options (e.g., air fryer) and control types (analog dials or digital push-button controls). “Oster” is engraved on the front bottom right of the oven.","The oven’s doors can unexpectedly close, posing a burn hazard to consumers.",,,Repair,"About 1,290,000 (In addition, about 104,195 were sold in Canada)","Sunbeam Products Inc. has received 95 reports of the doors unexpectedly closing, resulting in burn injuries to consumers, including two reports of second-degree burns.","Consumers should immediately stop using the recalled countertop ovens and contact Sunbeam Products Inc. to receive a free repair kit. The repair kit will include a clip-on device that provides additional holding force to help keep the doors in the open position when reaching in the oven, along with repair instructions and a QR code link to an installation video. The repair kit does not require any tool to install.","Sold At","Bed Bath and Beyond, Costco, Walmart and other stores nationwide and online at Amazon.com and Overstock.com from August 2015 through July 2025 for between $140 and $250.","Sunbeam Products Inc., of Atlanta, Georgia",,,China,,
25469,,"September 18, 2025",,"Wuensche USA Recalls Ambiano Cotton Candy Makers Due to Fire Hazard; Sold at ALDI","Ambiano Cotton Candy Makers","This recall involves all Ambiano Cotton Candy makers with model number 836098. The Cotton Candy makers have a red or teal base with a clear plastic cover. “Ambiano” and the model number are printed on the cotton candy maker’s packaging and the bottom of the unit.","The heating element can cause sugar to ignite, if a consumer uses the product without the included sugar receptacle, posing a fire hazard.",,,Refund,"About 21,690","The firm has received 12 reports of sparking or fire. No injuries have been reported.","Consumers should immediately stop using the recalled cotton candy maker and contact Wuensche or ALDI for a refund. Consumers can either return the fully intact cotton candy maker to any ALDI retail location for a full refund or submit a photo of the cotton candy maker with the unplugged power cord cut and a photo showing the model number 836098 and date code 08/2024 via email to Wuensche at&nbsp;service@801service.net.","Sold At","ALDI retail stores nationwide between August 2024 and September 2024 for $15.","Wuensche USA, Chicago, Illinois",,,China,,
25435,,"August 14, 2025",,"Drinkmate Recalls 1-Liter Carbonation Bottles Due to Serious Impact and Laceration Hazards","Drinkmate 1L Carbonation Bottles","This recall involves certain 1L Carbonation Bottles with a clear polyethylene terephthalate (PET) body and caps and bases in red, blue, white and black plastic. The recalled bottles have expiration dates between 01/2026 and 10/2026, which are printed on the side of the bottle. Only bottles within these expiration dates are included in the recall. These bottles were sold both individually and as part of some Drinkmate OmniFizz starter kits.","The recalled Drinkmate 1L Carbonation Bottles can explode during use, posing serious impact, laceration and hearing damage hazards to users and bystanders.",,,Replace,"About 106,200 (In addition, about 5,000 were sold in Canada)","Drinkmate has received eight reports of the bottle exploding while in use, including four reports resulting in lacerations, impact injuries and hearing damage.","Consumers should immediately stop using the recalled bottles and contact Drinkmate to receive a free replacement bottle. Consumers will be asked to fill out a replacement form at&nbsp;https://idrinkproducts.com/pages/drinkmate-safety-recall-of-1l-pet-bottles, upload a photo of the bottle permanently marked with the word “Recall” and properly dispose of it. Consumers will receive a code to order the free replacement bottle through Drinkmate’s website, shipping included.&nbsp;","Sold Online At","iDrinkproducts.com, Walmart.com, Amazon.com, Target.com and HomeDepot.com from April 2023 through October 2024 for about $20 individually or $130 as a part of some Drinkmate OmniFizz starter kits.","IDrink Products Inc. dba Drinkmate, Inc., of Saline, Michigan",,,China,,
25432,,"August 14, 2025",,"Synergy Housewares Recalls Wolfgang Puck Petite Tea Kettles Due to Burn Hazard; Sold on HSN","Wolfgang Puck Stainless Steel Petite Tea Kettles","This recall involves Wolfgang Puck-branded petite tea kettles sold with a removable tea infuser basket. The recalled, 14 oz. capacity, stainless-steel kettle was sold in beige, black, pink and red. “Wolfgang Puck Petite Kettle” and a six-digit lot code (022020, 022021, 022022, 042022, 022023 or 032023) appears on the kettle’s underside.","The kettle’s infuser basket lid is loose and can fall off during use, posing a burn hazard to consumers.",,,Repair,"About 40,000","Synergy Housewares has received at least 10 reports of incidents involving the kettle lids, including 5 resulting in injuries such as burns or scalding from the lid falling off the kettle during use.","Consumers should stop using the tea kettle immediately and contact Synergy Housewares for a free new lid for the kettle.","Sold Online At","HSN.com and on the HSN television network from August 2020 through January 2025 for about $20.","Synergy Housewares LLC, of Coconut Creek, Florida",,,China,,
