"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26103,,"November 20, 2025",,"Spartan Mowers and UTVs Recalls Riding Mowers Due to Crash Hazard","Model Year 2025 Spartan SRT-XD and KGZ-XD riding lawn mowers","This recall involves certain Model Year 2025 Spartan SRT-XD and KGZ-XD zero radius turn (“ZRT”) riding lawn mowers (model numbers RSKXD161994VO, RSKXD172994VO, RSSXD161994VO, RSSXD161999KE, RSSXD172994VO and RSSXD172999KE) within a limited serial range. The mower is gray, black and orange, and has “Spartan” printed on the front of it. The model number and serial number are located on a metal serial&nbsp;plate affixed to the frame of the mower immediately in front of, and at the feet of, the seated operator.","The riding mower’s steering arm dampers can be installed incorrectly, which can result in an unexpected bouncing motion and loss of operator control, posing a crash hazard.",,,Repair,"About 650","The firm has received 15 reports of the mower bouncing unexpectedly while in use, including one report of a minor injury involving scrapes and bruises.","Consumers should immediately stop using the recalled Spartan riding mowers and contact an authorized Spartan dealer to schedule a free inspection and repair of the steering arm dampers at the dealer’s location. To verify whether your Spartan mower is affected by the recall, you will need your Spartan mower’s model and serial number. To confirm whether your mower is within the affected serial range, visit&nbsp;https://joinspartannation.com/recall-information/. To find a Spartan authorized service dealer near you, visit Spartan’s website at:&nbsp;https://joinspartannation.com/dealer-locator.&nbsp;","Sold At","Spartan dealers nationwide from February 2025 through October 2025 for about $16,400 to $19,700.&nbsp;",,"Intimidator LLC d/b/a/&nbsp;Spartan Mowers and UTVs, Batesville, Arkansas",,"United States",,
26072,,"November 06, 2025",,"STIHL Recalls BR 800 Backpack Blowers Due to Laceration Hazard","STIHL BR 800 Backpack Blower","This recall involves the fan wheel of the STIHL BR 800 Magnum, models X and C-E, a backpack blower powered by a combustion engine. The backpack blower is gray and orange.&nbsp;""STIHL,"" ""BR 800,"" and “X” or “C-E” are printed on the rear of the blower. The recalled blower's serial number is located on a label on the blower tube. Only backpack blowers with serial numbers ranging from 546515117 to 547916107 are included in the recall.","The fan wheel inside the backpack blower can break apart, posing a laceration hazard.",,,Repair,"About 47,800","None reported","Consumers should immediately stop using the recalled STIHL BR 800 backpack blower and bring it to an authorized STIHL servicing dealer for a free inspection and replacement of the fan wheel.&nbsp;","Sold At","Authorized STIHL independent dealers nationwide from May 2025 through September 2025 for about $600 for the STIHL BR 800 X Magnum model and about $700 for the STIHL BR 800 C-E Magnum model.",,"STIHL Incorporated, of Virginia Beach, Virginia",,"United States",,
25355,,"June 26, 2025",,"DR Power Recalls Lithium-Ion Battery Packs Due to Fire and Burn Hazards","DR Power LiPRO rechargeable lithium-ion battery packs (5.0 Ah)","This recall involves&nbsp;62-volt 5.0 Ah LiPRO rechargeable lithium-ion battery packs for use with DR Power brand battery-powered products, such as lawnmowers, trimmers and snow throwers. The products include stand-alone battery packs with model number 414240, and removeable battery packs included with DR Power outdoor yard equipment items with model numbers 524340, SB11022XEN, T4X3026XEN, T4X3062XENR, CE75021XEN0 and CE77021XEN0. Information containing the model number for the battery pack (“41424”) is located on the battery pack’s label. The LiPRO and DR Power logo are on the front and side panels of the battery pack.Note:&nbsp;Do not throw this recalled lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.","The recalled battery packs can short-circuit and ignite, posing fire and burn hazards to consumers.",,,Refund,"About 13,200","The firm has received two reports of incidents of fire and/or overheating. No injuries have been reported.","Consumers should immediately stop using the recalled battery packs and contact DR Power for a pro-rated refund, based on the battery’s age. Consumers will need to show proof of the battery pack’s destruction by uploading two photographs in accordance with the destruction instructions (provided on the firm’s recall website), and filling out the recall form online at&nbsp;https://www.drpower.com/5AHB-recall. If consumers choose to dispose of the recalled battery pack’s lithium-ion battery, it should be done in accordance with local and state regulations.&nbsp;","Sold At","Home improvement and hardware stores nationwide and online at DRPower.com and CountryHomeProducts.com from April 2018 through July 2024 for between $300 and $700 for outdoor equipment that includes battery packs, and for $250 for battery packs sold individually.&nbsp;","Generac Power Systems Inc., of Waukesha, Wisconsin","Ningbo New Team Import &amp; Export Co. Ltd. (“Lera”), of China",,China,,
25140,,"February 20, 2025",,"DR Power Equipment Recalls Tow Behind Field & Brush Mowers Due to Laceration Hazard","Tow Behind Field and Brush Mowers","This recall involves DR Power Tow Behind Field and Brush Mowers. The black and orange tow behind mowers have the following model and serial numbers, printed on a white label that is on the front frame of the mower. “DR” is printed on the front of the mowers. Only mowers manufactured between April 1, 2024, and August 20, 2024, are included in this recall. The manufacture date is on the serial number label affixed to the rear frame of the unit and is listed in YYYYMMDD format.ModelDescriptionSerial No. RangeTB21044BENDR BRUSH MOWER PREMIER 44T 10.5 HP BS ES3014835626 to 3015507481TB23244BENDR BRUSH MOWER PRO 44T 17.5 HP BS ES3014860338 to 3015403241TB25344BENDR BRUSH MOWER PRO XL44T 20 HP BS ES3014916847 to 3015451110TB27052BENDR BRUSH MOWER PRO MAX52T 22 HP BS ES3014839204 to 3015534243","The blade carrier spindle bolt can become loose, causing the blade assembly to detach while the mower is in operation, posing a laceration hazard to the user.",,,Repair,"About 890","The firm has received 10 reports of blade carrier detachments. No injuries have been reported.","Consumers should immediately stop using the tow behind field and brush mower and contact DR Power to arrange for a free repair of the blade carrier assembly at the dealer’s location.","Sold At","Independent power equipment stores nationwide and online at drpower.com from April 2024 through October 2024 for between $3,000 and $5,000.",,"DR Power Equipment, of South Burlington, Vermont, a subsidiary of Generac Power Systems Inc., of Waukesha, Wisconsin",,"United States",,
25121,,"February 06, 2025",,"Doosan Bobcat North America Recalls Bobcat & Steiner AirFX Finish Mower Deck Attachments Due to Crush Hazard","Bobcat & Steiner AirFX Finish Mower Deck attachments","This recall involves Bobcat &amp; Steiner AirFX Finish Mower Deck attachments. The mower decks are all black and labeled with “AirFX” and either “72” or “61” depending on the mower deck model. The following model numbers, located on the rear of the attachment on the right-side frame rail, are included in this recall.&nbsp;Model NumberDescription752657572"" AirFX752657961"" AirFX744922361"" AirFx Finish Mower744734172"" AirFx Finish Mower&nbsp;","The recalled mower decks cannot be secured in the upright or tilted position by the locking pins during maintenance or service, posing a crush hazard.",,,"Inspect, New Instructions, Repair","About 552 (In addition, about 27 were sold in Canada) ","The firm is aware of five incidents where the locking pins were unable to be installed to secure the deck in the upright or tilted position. No injuries have been reported.","Consumers should immediately inspect and determine whether locking pins can be inserted while the deck is in the upright or tilted position during maintenance or service. Contact Doosan Bobcat North America or a Bobcat dealer to obtain a free repair, which will be available in the near future. Until then, if the locking pins cannot be inserted, obtain two straps, each rated for 1,500 lbs., and wrap a strap around each front tractor axle, securing each strap to the mower deck when performing service or maintenance. Consumers should contact Doosan if they are unable to obtain straps, and straps will be provided at no cost to the consumer.&nbsp;Doosan Bobcat North America is contacting all known purchasers.&nbsp;","Sold At","Bobcat and Steiner dealers nationwide from April 2023 through September 2024 for between $5,200 and $5,500.&nbsp;",,"Doosan Bobcat North America, of West Fargo, North Dakota",,"United States",,
25127,,"February 06, 2025",,"TTI Outdoor Power Equipment Recalls RYOBI Battery-Powered Mowers Due to Fire Hazard","RYOBI 40-Volt Brushless 21” Cordless Walk-Behind Mowers","This recall involves certain RYOBI Brushless 21” Cordless Walk-Behind Self-Propelled Multi-Blade Push Mowers (40V HP). The mowers have a black cutting deck with gray top housing along with a black bag with “RYOBI” printed on it. The recall only includes model numbers RY401014BTLUS, RY401014US, RY401140US, RY401015BTLUS, RY401015US, RY401150US, RY401140US-Y, RY401150US-Y, RY401020, and RY401200 with the following serial numbers: KC21032D010001 - KC21327N999999. The model and serial numbers can be found on the mowers inside the green mower housing.","The recalled mowers have a push-on connector inside the powerhead that can overheat, posing a fire hazard.",,,Replace,"About 217,500 (In addition, about 28,400 were sold in Canada)","TTI has received 97 reports of overheating while the mower was in use, including five reports of fires. Two minor burn injuries have been reported.","Consumers should immediately stop using the recalled mower and contact TTI Outdoor Power Equipment Inc. (“TTI”) for instructions on how to disable the recalled mower and receive a free replacement 21” walk-behind mower.","Sold At","Home Depot and Direct Tools Factory Outlet stores nationwide, and online at www.homedepot.com and www.directtoolsoutlet.com from February 2021 through January 2025 for between $500 and $700.",,"TTI Outdoor Power Equipment Inc., of Anderson, South Carolina",,"United States",,
25083,,"January 02, 2025",,"Kawasaki Motors USA Recalls John Deere ZTrak Zero Turn Mowers with Kawasaki Engines Due to Fire and Burn Hazards","John Deere ZTrak™ Zero Turn Mowers with Kawasaki Engines","This recall involves John Deere ZTrak Zero Turn Mowers with model numbers Z720E, Z730M, Z740R and Z760R with Kawasaki engines. The recalled mowers are green and yellow and have the model number and “John Deere” printed on the front of the mower below the seat. The serial number is located on the right side of the machine near the rear tire. The following are the serial number ranges of the mowers included in this recall:&nbsp;ModelStart Serial NumberEnd Serial NumberZ720E1TC720E****0100011TC720E****080657Z730M1TC730M****0100011TC730M****080574Z740R1TC740R****0100011TC740R****080462Z760R1TC760R****0800011TC760R****080339","The voltage regulator in the mower’s engine can fail during use or while the product is being stored, causing the engine to overheat, posing fire and burn hazards.",,,Repair,"About 39,000 (In addition, about 2,600 in Canada)","Kawasaki has received five reports of fires and 26 reports of melting and/or smoking. No injuries have been reported.","Consumers should immediately stop using the recalled mowers and contact an authorized John Deere dealer for a free repair. Kawasaki and John Deere are contacting all known purchasers directly.","Sold At","Authorized John Deere dealers nationwide from October 2018 through September 2024 for between $8,000 and $11,500.",,"Kawasaki Motors Manufacturing Corp. U.S.A. (engine manufacturer), of Maryville, Missouri",,"United States",Retailer:,"Deere &amp; Company, of Moline, Illinois"
25071,,"December 19, 2024",,"Chervon North America Recalls SKIL 40V 5.0Ah Lithium-Ion Batteries for SKIL Lawnmowers and Outdoor Tools Due to Fire and Burn Hazard","SKIL 40V 5.0 Ah Lithium-Ion Batteries","This recall involves SKIL brand&nbsp;40V 5.0Ah&nbsp;Lithium-Ion Batteries that were manufactured before May 1, 2021. “SKIL” and “PWRCORE 40” are printed on the batteries. The recalled batteries were sold individually under the model number BY8708-00 for use with all SKIL 40V tools and were also sold in a combination kit with&nbsp;SKIL 40V Brushless 20-in Push Mowers (Model #PM 4910-10) or SKIL 40V Brushless 20-in Self-Propelled Mowers (Model #SM4910-10).&nbsp;Only the battery&nbsp;is recalled. The model number BY8708-00 and manufacturing date code, which is the first three digits of the 9-digit serial number, are located on a nameplate on the top of the battery pack near the battery terminals. The following manufacturing date codes are included:Date Code (in Serial Number)Manufacturing Date&nbsp;911XXXXXXNov-19912XXXXXXDec-19026XXXXXXJun-20027XXXXXXJul-20028XXXXXXAug-20029XXXXXXSep-20030XXXXXXOct-20031XXXXXXNov-20121XXXXXXJan-21122XXXXXXFeb-21123XXXXXXMar-21124XXXXXXApr-21","The lithium-ion batteries can overheat, posing fire and burn hazards.",,,"Refund, Replace","About 63,000 (In addition, about 359 in Canada)","The firm has received 100 reports of thermal incidents involving the batteries including overheating, melting, smoking and fire. These included eight reports of minor burns and/or smoke inhalation and 49 reports of related property damage.","Consumers should immediately stop using the recalled lithium-ion batteries and contact Chervon for a free replacement or refund for the price of the battery. Consumers should register for the recall online at&nbsp;www.skil.com/recalls.&nbsp;Chervon will provide a battery collection kit for the consumer to return the recalled battery and will provide the requested remedy upon return of the recalled battery.&nbsp;","Sold At","Lowe’s and other hardware and home improvement stores nationwide and online at Amazon.com, Walmart.com and Lowes.com from October 2019 through December 2024 for about $170 (for batteries sold individually) and about $400 (for combination kits with lawnmowers).","Chervon North America Inc., of Naperville, Illinois",,,China,,
24345,,"August 15, 2024",,"Stanley Black & Decker Recalls DeWALT Battery Walk-Behind Mowers Due to Laceration Hazard","DeWALT Battery Push walk-behind mowers and DeWALT Battery Self-Propelled walk-behind mowers","This recall involves 2024 model year DeWALT Battery 21” Push walk-behind mowers, model numbers DCMWP234U2 and DCMWP600X2, and DeWALT Battery 21” Self-Propelled walk-behind mowers, model numbers DCMWSP256U2 and DCMWSP650Y2. The mowers are black, gray and yellow and have DeWALT printed in yellow on the front or side of the mower. The model number is printed on the rear door of the mower. A date code formatted as 20XX&nbsp;YY-58, with 20XX for year, YY for week, and 58 as the factory code, is laser-printed in yellow on the left side of the mower, just above the left rear wheel. Only date codes 2023 32-58 through 2024 13-58 are affected. Mowers manufactured after March 2024 (2024 14-58) are not affected.","If water gets into the mower’s handle support while the battery is installed, the mower can fail to shut off when the bail handle is released or start without a key, posing a laceration hazard to the user.",,,Repair,"About 46,200 (In addition, about 9,600 were sold in Canada)","The firm has received 10 reports of mowers failing to shut off when the bail handle is released and one report of a mower starting without a key inserted. The incident in which a mower started without a key inserted resulted in a finger laceration for which no medical attention was required.","Consumers should immediately stop using the recalled mowers if the mower has gotten wet and contact DeWALT to receive a free repair at an authorized service center nearby.","Sold At","The Home Depot, Tractor Supply, Ace Hardware and various stores nationwide and online at www.homedepot.com, www.tractorsupply.com and www.acehardware.com from January 2024 through July 2024 for between $530 and $750.",,"Stanley Black and Decker Inc., of New Britain, Connecticut",,China,,
24329,,"August 01, 2024",,"ECHO Recalls Gas-Powered Backpack Blowers Due to Fire Hazard","ECHO gas-powered backpack blowers","This recall involves two ECHO 59.7cc gas-powered backpack blowers with the model numbers PB-5810H and PB-5810T. These blowers are designed for residential and commercial use. The blowers are orange and black in color, and ""ECHO"" is printed on the starter recoil housing. Model and serial numbers are located on a label near the right side of the black blower fan housing. This recall includes the following serial numbers:Model NumberSerial Number RangePB-5810H&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;P61312001001 to P61312002590PB-5810TP61212001001 to P61212004155","The fuel supply line can leak gas, posing a fire hazard.",,,Repair,"About 3,900","None reported","Consumers should immediately stop using the recalled blowers, and contact an authorized ECHO dealer (www.echo-usa.com/store-locator) to schedule an appointment to bring the ECHO gas-powered backpack blower in for free installation of a new replacement fuel line. ECHO is contacting all known purchasers directly.","Sold At","Golden Eagle Distributing Company, of Rocklin, California, and independent dealers nationwide from May 2024 through June 2024 for about $430.",,"ECHO Inc., of Lake Zurich, Illinois",,"United States",,
