"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26347,,"March 26, 2026",,"Petzl America Recalls Nomic and Ergonomic Ice Climbing Axes Due to Fall Hazard; Risk of Serious Injury or Death","Nomic and Ergonomic Ice Climbing Axes","This recall involves the Petzl Nomic ice climbing axes (model U021AA00, serial numbers 17L 0000000 000 to 20F 9999999 999) and Ergonomic ice climbing axes (model U022AA00, serial numbers 18F 0000000 000 to 21L 9999999 999). The axes are made from an aluminum shaft, steel pick and reinforced plastic grip. Nomic axes are black and Ergonomic axes are orange.&nbsp;The serial number for both models is printed on a label on the upper portion of the shaft.","The ice axe shaft can break at the handle during use, posing a fall hazard, which can result in serious injury or death.",,,Repair,"About 4,200 (In addition, about 1,160 were sold in Canada)","The firm has received 26 reports of the ice axe shafts breaking at the handle. No injuries have been reported.","Consumers should immediately stop using the recalled ice axes and contact Petzl America for a free repair kit. Consumers should register at https://www.petzl.com/US/en/Sport/Contact?request=product-recall to request a pre-paid shipping label to return the shaft. Petzl America will send a repair kit with a new shaft, hardware for the grip rest and assembly instructions.&nbsp;","Sold At","REI, Moosejaw Mountaineering and other specialty stores nationwide and online at petzl.com, REI.com and Backcountry.com from December 2017 through March 2022 for between $380 and $440.","Petzl America, Inc., of Salt Lake City, Utah",,,France,,
25444,,"August 28, 2025",,"C.A.M.P. Recalls Nimbus Lock Carabiners Due to Risk of Serious Injury or Death from Fall","Nimbus Lock Carabiners","This recall involves Nimbus Lock Carabiners sold in Gun Metal/Green, Gun Metal/Fuchsia and Gun Metal/Blue. The affected carabiners were sold individually or as part of the Nimbus Lock 3 Pack, the Locker Draw KS, the Energy CR3 Pack and the Energy Nova Pack. Only the carabiners are included in this recall. The affected carabiners have the following batch numbers 10 23, 12 23, 02 24, 09 24, 10 24, 12 24, 01 25, 02 25 and 06 25. The batch number is found on the side of the bottom of the carabiner.&nbsp;","The carabiner’s automatic closing mechanism can break and prevent the gate from closing, posing a risk of serious injury or death due to falling.",,,Repair,"About 12,600 (In addition, about 2,100 were sold in Canada)","The firm has received 21 reports of the closing mechanism breaking. No injuries have been reported.","Consumers should immediately stop using the recalled Nimbus Lock Carabiners and contact C.A.M.P. Consumers will be asked to fill out the recall form at&nbsp;www.camp-usa.com/nimbus-lock-safety-recall-registration-form, print a prepaid return shipping label and return the recalled product. C.A.M.P will inspect returned units and ship them back to consumers, if they pass inspection. Any units that do not pass inspection will be replaced free of charge.&nbsp;","Sold At","REI, Portland Mountain Shop, How Not 2 and other stores nationwide and online at Camp-usa.com, Backcountry.com, Amazon.com, REI.com, Mountainshop.net, Hownot2.com and other websites from January 2024 through July 2025 for between $16 and $86.&nbsp;","C.A.M.P. USA Inc., of Golden, Colorado",,,China,,
25335,,"June 12, 2025",,"Mammut Sports Group Recalls Skywalker Pro Via Ferrata Sets Due to Risk of Serious Injury or Death from Fall Hazard","Skywalker Pro Via Ferrata Sets, Skywalker Pro Turn Via Ferrata Sets and Skywalker Pro Via Ferrata Packages","This recall involves Skywalker Pro Via Ferrata Sets used to assist during mountain and rock climbing. The product has a blue cord with an orange and gray colored carabiner. Only model numbers 2040-02840, 2040-02850 and 2040-02870 are included in this recall. The model numbers can be found on a tag inside the pouch.","The carabiner can be opened without engaging the safety latch, posing a risk of serious injury or death due to fall hazard.",,,Refund,"About 580 (In addition, about 42 were sold in Canada)","None reported","Consumers should immediately stop using the Via Ferrata Sets and contact Mammut Sports Group for a full refund. Mammut Sports Group will provide return labels for consumers to return their recalled products to receive their refund. Consumers should email&nbsp;warranty.usa@mammut.com to request the prepaid return labels.","Sold At","Jackson Hole Mountain Resort, Jackson Hole, Wyoming, Campsaver, Millville, Utah and other outdoor and recreation stores nationwide from February 2023 through March 2025 for between $150 and $280.","Mammut Sports Group Inc., of Williston, Vermont ",,,Switzerland,,
25181,,"March 13, 2025",,"Black Diamond Equipment Recalls BD Vision Climbing Harnesses Due to Fall Hazard; Risk of Serious Injury and Death","BD Vision Climbing Harness","This recall involves all BD Vision Harnesses. This lightweight harness is designed for technical alpine and ice climbs. All sizes are included in this recall. The harness has fixed leg loops and was sold in black and white colors. “Black Diamond” is printed on one of the leg loops. “Vision” is printed on the other leg loop.","The recalled BD Vision harnesses can degrade over time and fail to support the climber, posing a fall hazard resulting in serious injury or death.",,,Refund,"About 1,580 (In addition, about 130 were sold in Canada)","Black Diamond has received one report involving the harness waist belt failing. No injuries have been reported.","Consumers should immediately stop using the recalled BD Vision harnesses and contact Black Diamond for a full refund (in the form of a credit card reimbursement) or a one-time-use $200 credit, which can be used at a Black Diamond store or on the Black Diamond website. Contact Black Diamond for a pre-paid shipping label to return the recalled harness. Black Diamond is contacting all known purchasers.","Sold At","Liberty Mountain, Recreational Equipment Inc. (REI) and other specialty outdoor stores nationwide, and online at www.blackdiamondequipment.com, www.backcountry.com and www.evo.com from January 2018 through February 2025 for about $175.","Black Diamond Equipment Ltd., of Salt Lake City, Utah",,,Philippines,,
25165,,"February 27, 2025",,"Head Rush Technologies Recalls TRUBLUE iQ and TRUBLUE iQ+ Auto Belays Due to Fall Hazard","TRUBLUE iQ and TRUBLUE iQ+ Auto Belays","This recall involves TRUBLUE iQ Auto Belay Devices, which enable climbers to safely descend while climbing.&nbsp;The TRUBLUE iQ is gray with blue handles and a gray sash on the front cover. The TRUBLUE iQ+ has an added catch-and-hold brake on the front. The LT versions of the iQ and iQ+ have blue tags above the blue webbing hand grip; the XL versions have a purple tag. The recalled auto belay devices have a serial number within the following serial number ranges printed on the device’s handle, as well on the bottom of the device:ProductsModelsSerial Number RangeTRUBLUE iQ LTTBiQ LT (12.5m)iQ0041591 through iQ0044486TRUBLUE iQ+LTTBiQ+ LT (12.5m)iQP000401 through iQP000422TRUBLUE iQ XLTBiQ XL (20m)iQXL01283 through iQXL03425TRUBLUE iQ+XLTBiQ+ XL (20m)iQXLP0104 through iQXLP0215","The recalled auto belay device can fail to retract, posing a fall hazard and risk of serious injury or death.",,,Repair,"About 410","The firm has received 109 reports of incidents of slow retraction, including one injury involving the auto belay not retracting, resulting in a fractured leg.","Consumers should immediately stop using recalled auto belay devices and contact Head Rush Technologies for a free onsite inspection and repair.","Sold Online At","www.headrushtech.com from May 2023 through December 2024 for between $2,800 to $4,600.",,"Head Rush Technologies, of Louisville, Colorado",,"United States",,
25164,,"February 27, 2025",,"ARVA Recalls NEO BT PRO Avalanche Transceivers Due to Risk of Loss of Emergency Transmission; Risk of Serious Injury or Death","ARVA Neo BT Pro Avalanche Transceivers","This recall involves ARVA Neo BT Pro Avalanche Transceivers. The transceivers are black plastic with an LCD screen below a red mark button. NEO BT PRO is written on the left side of the device. The affected beacons have serial numbers NBP00052-1027 to NBP00287-1127 and NB00300-1127 to NB11675-0329. The serial number is located&nbsp;inside the battery compartment on the underside of the battery compartment lid.","A fuse within the avalanche transceiver can be defective and cause power to drain from the battery, posing a risk of loss of emergency communication which could result in serious injury or death.",,,Repair,"About 1,067","None reported","Consumers should immediately stop using the recalled device and contact NIC IMPEX ARVA CORP. for a free inspection and repair. The firm will give consumers a shipping label to return the recalled transceiver.","Sold At","Winter outdoor sporting goods and ski and snowboard stores nationwide and online at arva-equipment.com, backcountry.com and Evo.com from September 2022 through January 2025 for about $430.","Nic Impex ARVA Corp., of Orem, Utah",,,France,,
25130,,"February 13, 2025",,"Setsmart Recalls LoGest Climbing Ropes Due to Fall Hazard","LoGest Climbing Ropes with Carabiners and LoGest Climbing Ropes with Heavy-Duty Metal Hooks","The recalled climbing ropes are made of hemp and were sold in 10, 15, 20, 25, 30 and 50 feet lengths. The LoGest Climbing Rope with Carabiner has a silver “D” ring and a silver climbing carabiner attached. The LoGest Climbing Rope with Heavy-Duty Metal Hook has a blue stripe running through the brown hemp rope and has one end with a black metal hook attached with two silver bolts and nuts. Both ropes have “LoGest” written in large white text on the black plastic on the ends of the ropes.","The climbing ropes can weaken and break, posing a fall hazard to consumers.",,,Refund,"About 22,500 (In addition, about 350 were sold in Canada and about 25 were sold in Mexico)","LoGest has received 13 reports of the recalled ropes breaking, including one report of a fall that resulted in a severe spinal cord injury. ","Consumers should immediately stop using the climbing ropes, uninstall them, and register for a full refund at&nbsp;www.LoGestRopeRecall.com. Consumers will receive a form to sign as part of the disposal of the climbing ropes. Consumers must follow the disposal directions on the form and email a photo of the disposed rope to&nbsp;LoGestRecall@gmail.com to receive their refund. Full refunds will be issued via Amazon to the original form of payment associated with the order. Amazon is contacting all known purchasers directly.","Sold At","Online at Amazon.com from March 2021 through November 2024 for between $20 and $70.","Setsmart LLC, of Brooklyn, New York",,,China,,
25077,,"December 26, 2024",,"Black Diamond Equipment Recalls PIEPS Pro IPS Avalanche Transceivers Due to Risk of Loss of Emergency Communications","PIEPS Pro IPS Avalanche Transceivers","This recall involves all Black Diamond Equipment PIEPS Pro IPS Avalanche Transceivers. The transceivers are black plastic with an LCD screen below a yellow mark button. They measure about 5 inches long by 3 inches wide. PIEPS appears in yellow lettering and PRO IPS in white lettering on the front of the unit. The first four numbers in the transceivers’ serial number range from 2326 through 2445 for recalled units and can be found on the label on the inside of the battery compartment door.&nbsp;","The battery compartment within the avalanche transceiver could not have enough contact force to supply power. In some cases, the transceiver will fail to power on or cease operating during use. It would make it impossible to locate a victim in an avalanche emergency situation, which could result in serious injury or death.",,,"Refund, Repair","About 770 (In addition, about 70 were sold in Canada) ","Black Diamond has received one report of the battery compartment not operating correctly. No injuries have been reported.","Consumers should immediately stop using the avalanche transceivers and contact Black Diamond for a full refund or free repair, including shipping. Consumers will not be asked for proof of purchase and will receive a pre-paid shipping label to return the recalled transceivers. Black Diamond is&nbsp;contacting all known purchasers.","Sold At","Alpenglow Sports, Cripple Creek Backcountry, EVO Gear, Liberty Mountain, Mountain Chalet, Mammoth Mountaineering and other specialty outdoor stores nationwide, and online at www.backcountry.com, www.polaris.com and www.blackdiamondequipment.com from February 2024 through November 2024 for between $530 and $620.&nbsp;","Black Diamond Equipment Ltd., of Salt Lake City, Utah",,,Austria,,
24358,,"September 12, 2024",,"Petzl America Recalls GYM, PANDION and PANJI Climbing Harnesses Due to Fall Hazard","Petzl GYM, PANDION and PANJI climbing harnesses","This recall involves three Petzl climbing harnesses: the GYM harness (Model No. C032AA00), the PANDION harness (Model Nos. C029AA00 and C029AA01), and the PANJI harness (Model No. C028AA00). The recalled harnesses were used by operators of climbing gyms, adventure parks, guide companies, and consumers. Serial numbers are printed on a label inside the harnesses.Recalled HarnessesSerial NumbersGYM harness&nbsp;(Model C032AA00)18319xxxxxx through 19264xxxxxx, 19Jxxxxxxxxxx through 24AxxxxxxxxxxPANDION harness&nbsp;(Model C029AA00)18321xxxxxx through 19264xxxxxx 19Jxxxxxxxxxx through 24AxxxxxxxxxxPANDION harness&nbsp;(Model C029AA01)1827xxxxxx through 19262xxxxxx, 19Jxxxxxxxxxx through 23AxxxxxxxxxxPANJI harness&nbsp;(Model C028AA00)18326xxxxxx through 19253xxxxxx, 19Jxxxxxxxxxx and 23Jxxxxxxxxxx","The recalled harness can be put on backwards and the rope or carabiner can be attached to a non-weight-bearing leg loop elastic band, placing the user at risk of falling from height and sustaining serious injury, including paraplegia or death.",,,Repair,"About 22,000 (In addition, about 5,800 were sold in Canada)","There has been one report of a user in the United States suffering serious injuries from a fall.","Consumers and operators of climbing gyms, adventure parks, search and rescue operations, and adventure guide companies should immediately stop using the recalled harnesses and contact Petzl America for a free repair.","Sold At","Online and in stores at KarstSports, PeakTrading, Backcountry, OmniProGear, Moosejaw and other outdoor equipment stores from January 2019 through May 2024 for between $59.95 and $69.95.","Petzl America, Inc., of Salt Lake City, Utah",,,Malaysia,,
24347,,"August 22, 2024",,"Head Rush Technologies Recalls TRUBLUE Speed Auto Belay Devices Due to Fall Hazard","TRUBLUE Speed Auto Belay Devices","This recall involves Head Rush Technologies TRUBLUE Speed Auto Belay Devices, 12.5m and 16m versions. The device enables climbers to safely descend after a speed climbing event. The device is gray with blue handles, the 12.5m version has black webbing handgrip above the carabiner, and the 16m version has blue webbing handgrip. The model TRUBLUE Speed TBSD150-20 and serial number are on a label located on the handle. The auto belay devices have a serial number within the serial number range: TBSD00098 through TBSD01180.","The auto belay device backup brake can fail to activate, posing a fall hazard and risk of serious injury or death.",,,Repair,"About 220","The firm has received one incident report involving brake failure, causing the user to fall, resulting in a broken ankle.","Consumers should immediately stop using the recalled auto belay devices and contact Head Rush Technologies for a free inspection and repair. Head Rush Technologies is contacting all known purchasers directly.","Sold At","Online at www.headrushtech.com from May 2017 through July 2021 for between $2,800 and $2,900.",,"Head Rush Technologies, of Louisville, Colorado",,"United States",,
24277,,"June 20, 2024",,"Head Rush Technologies Recalls TRUBLUE iQ Auto Belay Devices Due to Fall Hazard","TRUBLUE iQ Auto Belay Devices","This recall involves TRUBLUE iQ Auto Belay Devices, which enable climbers to safely descend while climbing.&nbsp;The TRUBLUE iQ is gray with blue handles and a gray sash on the front cover. The TRUBLUE IQ+ has an added catch-and-hold brake on the front. The LT versions of the iQ and iQ+ have blue tags above the blue webbing hand grip; the XL versions have a purple tag. The recalled auto belay devices have a serial number within the following serial number ranges printed on the device’s handle, as well on the bottom of the device:ModelSerial Number RangeMounting HeightTRUBLUE iQ LT (12.5m)iQ0014492 through iQ0036407&lt;9m (29.5ft)TRUBLUE iQ XL (20m)iQXL01283 through iQXL02678&lt;17.5m (57.4ft)TRUBLUE iQ+ LT (12.5m)iQP00110 through iQP00161&lt;9m (29.5ft)TRUBLUE iQ+ LT (12.5m)iQP000164 through iQP000356&lt;9m (29.5ft)TRUBLUE iQ+ XL (20m)iQXLP0104 through iQXLP0182&lt;17.5m (57.4ft)","The recalled auto belay device can fail to retract, posing a fall hazard and risk of serious injury or death.",,,Repair,"About 2,200 (In addition, about 254 were sold in Canada)","The firm has received 31 reports of incidents involving impaired retraction, including one consumer fall. No injuries have been reported.","Consumers should immediately stop using recalled auto belay devices, and contact Head Rush Technologies for a free inspection and repair.","Sold At","Online at www.headrushtech.com from November 2022 through February 2024 for between $2,800 and $4,600.",,"Head Rush Technologies, of Louisville, Colorado",,"United States",,
24261,,"June 13, 2024",,"Black Diamond Equipment Recalls Neve Strap Crampons and Accessory Kits Due to Fall Hazard","Neve Strap Crampons and Accessory Kits","This recall involves Neve Strap Crampons and Accessory Kits, Style No. 400073, with date codes 01-2021, 05-2022, 07-2023, 01-2024 and SS1271. The date codes are located on the rubber heel strap pull-tab and on the underside of the toe piece under the anti-balling plate. The products are made of aluminum plates with spikes that attach to boots for ice climbing. The metal plates have a bright green color, and a black plastic toe and heel bail with a black webbing strap that fastens around the ankle. This recall also includes the Neve Strap Binding Accessory Kit, Style No. 400683, and Neve Strap Heel Cup Screw &amp; Nuts, Style No. 400687, which were sold separately as spare parts/accessories.","The screws that connect the plastic heel cup to the aluminum heel unit of the crampon can loosen and allow the heel cup to detach from the crampon, posing a fall hazard.",,,Refund,"About 350 (In addition, about 28 were sold in Canada)","The firm has received three reports of incidents of the crampons becoming loose or the heel cup becoming detached by hikers. No injuries have been reported.","Consumers should immediately stop using the recalled Neve Strap Crampons and accessory kits, and contact Black Diamond Equipment to receive a full refund. Consumers will receive a prepaid return label to mail them back to Black Diamond Equipment, after which they will be issued a refund. The firm is contacting all known purchasers.","Sold At","Black Diamond stores, REI and other stores nationwide, and online at blackdiamond.com, backcountry.com and REI.com from January 2024 through May 2024 for about $180.","Black Diamond Equipment, of Salt Lake City, Utah",,,Taiwan,,
24259,,"June 06, 2024",,"Salewa USA Recalls Wild Country Ropeman 1 Ascenders Due to a Failure to Ascend","Wild Country Ropeman 1 ascenders","This recall involves orange colored Wild Country “Ropeman 1” ascenders used in mountaineering and rock climbing. The recalled ascenders were manufactured in July 2022 and are marked with batch 05A0722. &nbsp;“ROPE MAN 1” and the batch number are printed in white on the side of the product. &nbsp;","The teeth of the recalled ascenders can fail to engage, making it difficult or impossible for the user to ascend.",,,Replace,"About 7,700 (In addition, about 297 were sold in Canada)","None reported.","Consumers should immediately stop using the recalled Ropeman 1 ascenders, and contact Wild Country to coordinate return of the recalled product and shipment of a free replacement ascender. Consumers can also return the recalled Ropeman 1 ascenders to Wild Country directly or at any authorized Wild Country Dealer for a free replacement.","Sold At","REI and other specialty outdoor stores nationwide and online at www.wildcountry.com, www.backcountry.com, and www.campsaver.com from December 2022 through April 2024 for about $55.","Salewa USA LLC, of Boulder, Colorado",,,Taiwan,,
