"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26218,,"January 29, 2026",,"Sefudun 5% Minoxidil Hair Growth Serum Kits Recalled Due to Risk of Serious Injury or Death from Child Poisoning; Violates Mandatory Standard for Child-Resistant Packaging; Sold on Amazon by Nengmiaokeji","Sefudun Hair Growth Serum Kits","This recall involves Sefudun 5% Minoxidil Hair Growth Serum Kit . The hair serum comes in a black glass bottle with a black and golden dropper cap and a black and white label. The kit included a black plastic applicator. The hair serum has “SEFUDUN HAIR GROWTH SERUM” and “BIOTIN 5% MINOXIDIL” printed on labels located on the front of the bottle.","The hair growth serum contains minoxidil, which must be in child-resistant packaging, as required by the https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… Prevention Packaging Act. The serum bottle is not child-resistant, posing a risk of serious injury or death from poisoning if the contents are swallowed by young children.",,,Replace,"About 7,000","None reported","Consumers should immediately secure the recalled serum bottles out of sight and reach of children and contact Nengmiaokeji for a free replacement bottle of serum. Consumers will be asked to pour the contents of the bottle into the trash, take a photo of the empty bottle in the trash and email it to&nbsp;sesuall@outlook.com.","Sold Online At","Amazon.com from December 2023 through August 2025 for about $15.",,,"Ganzhounengmiaokejiyouxiangongsi dba Nengmiaokeji, of China",China,,
26125,,"November 26, 2025",,"McLee Creations Recalls MyOnlyStyler Root Booster Hair Dryers Due to Risk of Serious Injury or Death from Electrocution and Shock Hazards","MyOnlyStyler Root Booster Hair Dryers","This recall involves MyOnlyStyler Root Booster Hair Dryers. The hair dryer&nbsp;was sold in white with black bristles and has “MY ONLY STYLER” printed on the handle.&nbsp;Model number “MOS-22” is printed on the back of the handle. The hair dryer measures 12 inches long by 1.75 inches wide.&nbsp;","The handheld hair dryers lack an immersion protection device, which presents a substantial product hazard to consumers, posing the risk of death or serious injury from electrocution or shock if the hair dryers fall into water while plugged in.",,,Refund,"About 740","None reported","Consumers should immediately unplug and stop using the recalled hair dryers and contact McLee Creations to receive a full refund. Consumers must submit a photo of the hair dryer with its power cord cut in half to the recall registration portal at&nbsp;https://www.myonlystyler.com/product-recall-registration/&nbsp; and follow the disposal instructions provided on the website&nbsp;https://www.myonlystyler.com/product-recalls.","Sold Online At","Amazon.com from November 2022 through October 2025 for between $50 and $60.","McLee Creations LLC, of Valencia, California",,,China,,
26046,,"October 23, 2025",,"J & D Brush Recalls Bio Ionic Hair Curling Irons Due to Burn Hazard","Bio Ionic One-Inch-Long Barrel Curling Iron","This recall involves the Bio Ionic One-Inch-Long Barrel Curling Iron model number LXT-CL-1.0 with a date code between 0722 and 1223. The curling iron has a black handle and black barrel. The product measures about 15.8 inches long by 2.87 inches high by 1.65 inches wide and weighs about 15 ounces. The curling iron handle has a blue BIOIONIC logo and a black label that provides operating instructions. The model number can be found on the rating label located on the handle of the curling iron. The date code is engraved on the prongs of the plug in the format MMYY representing the month and year.","The barrel of the curling iron can snap and detach, posing a burn hazard to consumers.",,,Replace,"About 357,000 (In addition, about 3,000 were sold in Canada)","The firm has received 258 reports of the curling iron barrel detaching, including six minor burn injuries.","Consumers should immediately stop using the recalled curling iron, unplug it, and contact Bio Ionic to register for a free replacement curling iron. Consumers will be asked to cut off the plug and return the plug to the recalling firm using a prepaid shipping label.&nbsp;","Sold At","Amazon and Bioionic.com. In-store and online at Salon Centric, Ulta, Sephora, and Nordstrom and in salons and beauty supply stores nationwide from August 2022 through July 2024 for about $165.","J & D Brush Co., LLC of Commack, New York",,,China,,
26040,,"October 23, 2025",,"Sauna360 Recalls Tylö Halmstad and Kiruna Hybrid Saunas Due to Fall Hazard","Tylö Halmstad and Kiruna Hybrid Saunas","This recall involves bench seating in Sauna360’s Tylö branded Halmstad and Kiruna Hybrid sauna rooms.&nbsp;The serial number for each room can be found on both the packaging and the sauna rooms. The Halmstad 2, 3, and 4 sauna rooms have the serial number label located beneath the upper bench on the left side, directly above the electrical contactor box.&nbsp;The Kiruna Hybrid 2 and 3 rooms have the serial number label applied to the right wall, located beneath the right side of the upper bench. The model number is printed in the manual. The following models and serial numbers are included in this recall:Recalled Model NumbersRange of Recalled Serial NumbersTRAD, Tylö Halmstad™ 2, W/BLISS, 15A, 120V, CB21-1, V1CSFxxABTRxx-V1-4933 through CSFxxABTRxx-V1-6970&nbsp;TRAD, Tylö Halmstad™ 2, W/BLISS, 20A, 120V, CB21-1, V1TRAD, Tylö Halmstad™ 3, W/BLISS, 240V, CB23-1, V1&nbsp;TRAD, Tylö Halmstad™ 4, W/BLISS, 240V, CB23-1, V1IS, Tylö Kiruna Hybrid™ 2, W/BLISS, 15A, 120V, LOW EMR, CB20-1, V1CSFxxABISxxTL-V1-4964 through CSFxxABISxxTL-V1-7224&nbsp;IS, Tylö Kiruna Hybrid™ 2, W/BLISS, 20A, 120V, LOW EMR, CB20-1, V1IS, Tylö Kiruna Hybrid™ 3, W/BLISS, 240V, LOW EMR, CB22-1, V1","The saunas contain a bench that can collapse, posing a fall hazard to consumers.",,,Repair,"About 1,000","Sauna360 has received seven reports of the benches breaking, including one consumer with head and neck injuries.","Consumers should stop using the Tylö Halmstad and Kiruna Hybrid Sauna benches immediately and contact Sauna360 for a free repair. Sauna360 will provide a professional installer to retrofit the benches with additional hardware. Consumers will also receive a revised product manual from Sauna360 that includes the weight limit.","Sold At","Various distributors nationwide from July 2024 through December 2024 for between $6,000 and $12,000.","Sauna360, Inc., of Cokato, Minnesota",,,China,,
26008,,"October 09, 2025",,"Living Glow Portable Waist Fans Recalled Due to Fire Hazard; Manufactured by Guangzhou Jiguang Lighting; Sold by HSN","Living Glow portable waist fan","The recall includes the Living Glow five-in-one portable waist fan (model number CP-WFLED01). The model number is found on the label on the back of the fan. The recalled waist fan features five fan speeds, a three-mode flashlight and could be used as a power bank. The recalled fans were sold in gray, white, aqua, coral, red, and sage green. They feature a metal clip for attaching to a belt and a strap for wearing around the neck. The fans measure about 3.6 inches wide by 4 inches tall.Note: Do not throw this recalled lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.","The lithium-ion batteries can overheat while charging, posing a fire hazard.",,,Refund,"About 48,000","The firm has received four reports of the portable waist fan melting or catching fire. No injuries or property damage have been reported.","Consumers should immediately stop using the recalled waist fan and register at https://www.waistfanrecall.info to receive a full refund. After registering for the recall, consumers should disable the portable fan per the firm’s instructions, then dispose of it in accordance with local and state regulations and not discard it in the household trash.","Sold At","HSN.com and on the HSN television network from May 2025 through July 2025 for between $20 and $25.",,"Guangzhou Jiguang Lighting Co. Ltd., of Guangzhou, China",,China,,
25477,25-386,"September 25, 2025","July 17, 2025","Mad Rabbit Recalls “RELIEVE” Lidocaine Numbing Cream Due to Risk of Serious Injury or Death from Poisoning to Young Children; Violates Mandatory Standard for Child-Resistant Packaging","“RELIEVE” Numbing Cream","This recall involves “RELIEVE” numbing cream. The cream comes in a short wide-mouthed&nbsp;white container. A label is located on the front with black lettering and “RELIEVE” in large type and the company’s logo and “Mad Rabbit”, “Numbing Cream” and “Menthol” in smaller type.","The numbing cream contains lidocaine, which must be in child-resistant packaging, as required by the Poison Prevention Packaging Act. The numbing cream’s packaging is not child-resistant, posing a risk of serious injury or death from poisoning, if the contents are swallowed by young children.","CPSC Warns Consumers to Immediately Stop Using Mad Rabbit “RELIEVE” Lidocaine Numbing Cream Due to Risk of Serious Injury or Death to Young Children from Poisoning; Violates the Mandatory Standard for Child-Resistant Packaging","WASHINGTON, D.C. – The U.S. Consumer Product Safety Commission (CPSC) is warning consumers to immediately stop using Mad Rabbit’s “RELIEVE” Lidocaine Numbing Cream. The numbing creams&nbsp;contain more than 5 milligrams of lidocaine and do not come in child-resistant packaging,&nbsp;in violation of the Poison Prevention Packaging Act, posing a deadly risk of poisoning to young children.CPSC issued a Notice of Violation to the seller, Mad Rabbit, of Chagrin Falls, Ohio. Mad Rabbit has not agreed to recall these numbing creams or offer a remedy to consumers.&nbsp;The numbing creams are sold online at madrabbit.com for about $26. The numbing cream comes in a short wide-mouthed white container with black lettering and “RELIEVE” in large type and the company’s logo and “Mad Rabbit”, “Numbing Cream” and “Menthol” in smaller type.CPSC is aware the firm may have also sold the “RELIEVE” numbing cream as part of its “Everything Tattoo Kit” for a total cost of $125.&nbsp;These products were manufactured in the United States.CPSC urges consumers to immediately secure the numbing creams out of sight and reach of children&nbsp;and dispose of them.&nbsp;",Repair,"About 28,000","None reported","Consumers should immediately secure the recalled numbing cream out of the sight and reach of children and contact Mad Rabbit via email or online for a free child-resistant lid to store the products. Once the product is secured, consumers can use the product, as directed.","Sold At","Trade shows, tattoo shops, and other retailers nationwide and online at MadRabbit.com from October 2024 through August 2025 for about $26.",,,"Mad Rabbit Inc., of Los Angeles, California","United States",,
25468,,"September 18, 2025",,"IcyBreeze Cooling Recalls Portable Misting Fans Due to Fire Hazard","IcyBreeze Buddy Portable Misting Fans","This recall involves the IcyBreeze Buddy, a portable, battery-operated misting fan. The portable fan is equipped with a 1.5-liter water tank for continuous misting and allows consumers to choose between AC power or the 10,000 mAh rechargeable lithium-ion battery for up to 7 hours of outdoor use. The misting fan displays “ICYBREEZE” on both the fan and the base of the product and comes in slate blue, gray, and seafoam.&nbsp;Note: Do not throw this recalled lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.","The misting fan can overheat while charging and ignite, posing a fire hazard.",,,Refund,"About 22,600","The firm has received seven reports of the misting fan overheating while charging, with two of those reports resulting in fire. No injuries have been reported.  ","Consumers should immediately stop using the recalled IcyBreeze Buddy portable misting fan and visit https://www.icybreeze.com/buddy-recall-information for instructions on how to participate in the recall and obtain a $150 credit for use at one of the Solo Brands (for a listing of participating brands visit&nbsp;www.solobrands.com). Consumers will be asked to submit a form online that includes a photograph showing that the power cord has been cut. Consumers should immediately dispose of the misting fan in accordance with local and state regulations following submission of the online form. Proof of purchase is not required.","Sold At","Online at www.icybreeze.com and Amazon.com from November 2023 through August 2024 for about $150.","IcyBreeze Cooling LLC, of Grapevine, Texas",,,China,,
25430,,"August 14, 2025",,"Empower Brands Recalls Remington Hair Dryers Due to Risk of Serious Injury or Death from Electrocution and Shock Hazards","Hair Dryers sold under the “Remington” brand, model number D3190DCDN","This recall involves Empower Brands’ Hair Dryers sold under the “Remington” brand, model number D3190DCDN. The hairdryers were sold in purple with black accents.&nbsp;There are three black-colored operating buttons on the hair dryer handles. “Remington” is written in white text on the side of the hair dryer. The product is about 8.5 inches long by 11.6 inches high by 3.6 inches wide and weighs approximately 1.5 pounds.&nbsp;","The handheld hair dryers lack an immersion protection device, which presents a substantial product hazard to consumers, posing the risk of death or serious injury from electrocution or shock if the hair dryers fall into water while plugged in.",,,Refund,"About 56,300","None reported","Consumers should immediately unplug and stop using the recalled hair dryers and contact Empower Brands to receive a full refund.&nbsp;Consumers must submit a photo of the hair dryer with its power cord cut in half to the recall registration portal at&nbsp;https://www.remingtonproducts.com/product-recalls and follow the disposal instructions provided on the website.","Sold Exclusively Online","Walmart Marketplace, Target Marketplace, and Amazon from March 2024 through June 2025 for between $25 and $32.","Spectrum Brands Inc. for the benefit of Empower Brands, LLC, both of Middleton, Wisconsin",,,China,,
25426,,"August 07, 2025",,"Séfralls Minoxidil Hair Generation Serum Recalled Due to Risk of Serious Injury or Death from Child Poisoning; Violates Mandatory Standard for Child Resistant Packaging; Manufactured by Guangzhou Ariel Biotech","Séfralls Minoxidil Hair Generation Serum","This recall involves&nbsp;Séfralls Hair Generation Serum. The hair serum comes in an amber dropper bottle with a white and gold dropper and a white, black and gold label. “Séfralls” and “Minoxidil” are printed on the label located on the front of the bottle.","The hair serum contains minoxidil, which must be in child-resistant packaging as required by the Poison Prevention Packaging Act. The hair serum’s packaging is not child-resistant, posing a risk of serious injury or death from poisoning if the contents are swallowed by young children.",,,Replace,"About 21,300","None reported","Consumers should immediately secure the recalled serum bottles out of sight and reach of children, and contact&nbsp;Guangzhou Ariel Biotech for instructions on destroying the recalled bottles and receiving a replacement.&nbsp;Consumers will be asked to pour the contents of the bottle into the trash and take a photo of the bottle in the trash and email it to&nbsp;sefralls@outlook.com.","Sold At","Amazon from June 2024 through June 2025 for about $10.&nbsp;","Guangzhou Ariel Biotech Co. Ltd, dba Ariel Biotech of China","Guangzhou Ariel Biotech Co. Ltd., of China",,China,,
25408,,"July 24, 2025",,"Pura Scents Recalls Detachable Covers of Smart Home Fragrance Diffusers Due to Magnet Ingestion Hazard","Pura 4 Smart Home Fragrance Diffusers with detachable covers","This recall involves the Pura 4 Smart Home Fragrance Diffusers’ detachable cover. The diffuser’s detachable cover contains five magnets (not three): three small magnets and two larger magnets. The diffusers measure about 4 inches wide and 4 inches long. The serial number is located on the rear label above the metal prongs. The affected diffusers have the following serial number ranges: JX230000001 to JX230801425 and JX240000001 to JX240049959.","The magnets on the inside cover can detach, posing an ingestion hazard to children. When high-powered magnets are swallowed, the ingested magnets can attract each other, or other metal objects, and become lodged in the digestive system. This can result in perforations, twisting and/or blockage of the intestines, infection, blood poisoning and death.",,,Repair,"About 851,400 (In addition, 1,100 were sold in Canada)","The firm has received three reports of the magnets detaching from the cover. No injuries have been reported.","Consumers should immediately dispose of the existing detachable cover while waiting for the replacement cover, keep the diffusers out of the reach of children and pets, and contact Pura Scents to receive a free replacement front cover. Pura Scents is contacting all known purchasers directly.","Sold At","Pura.com, Amazon.com, Target.com and Scheels.com and at Target, Scheels and other stores nationwide from August 2023 through May 2025 for about $50.","Pura Scents Inc., of Pleasant Grove, Utah",,,China,,
