"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26308,,"February 26, 2026",,"Evajoy Above-Ground Pools 48 Inches and Taller Recalled Due to Drowning Hazard; Manufactured by Shenzhen Danya Tech","Evajoy 48-inch and taller above-ground pools","This recall involves all Evajoy above-ground pools 48 inches and taller. Models EJ-HF032, EJ-HF044, and EJ-HF045 are included in this recall. Model EJ-HF032 measures 16 feet in diameter by 48 inches in height. Model EJ-HF044 measures 18 feet in diameter by 52 inches in height. Model EJ-HF045 measures 24 feet in diameter by 52 inches in height. Model information and the Evajoy logo are printed on the liner on the outside of the pool.The recalled above-ground pools contain a compression strap (also referred to as a reinforcing belt) that wraps around the pool on the outside of the vertical support poles, and may create a foothold, allowing a child to access the pool and drown.Children can still gain access to the pools using these footholds even if the ladder is removed.CPSC’s website&nbsp;www.PoolSafely.gov has free, downloadable educational materials available to the public on pool safety including information on barriers, covers, alarms and other safety information.","The compression strap that surrounds the outside of the pool legs may create a foothold, allowing a child access to the pool, posing a drowning risk.",,,Repair,"About 4,000","None reported","Consumers should contact Evajoy to request a free repair kit that removes the compression strap from the pool, while maintaining the structural integrity of the pool. In the interim, consumers should ensure that children cannot access the pool unattended or, alternatively, drain the pool until the repair can be installed.","Sold Online At","Amazon.com from March 2023 through June 2024 for between $550 and $1,050 depending on the size and model of the pool and accessories purchased.",,"Shenzhen Danya Tech Co., Ltd. d/b/a Evajoy, of China",,China,,
26268,,"February 12, 2026",,"Watkins Manufacturing Recalls Hydromassage Rotary Jets in Highlife Collection Spas Due to Entanglement and Drowning Hazards","Hydromassage Rotary Jet (6 fin) in Highlife Collection spas","This recall involves Hydromassage rotary jets (6 fin) in Highlife Collection spas and also sold as replacement parts.&nbsp;There are eight models included in this collection: Grandee, Envoy, Vanguard, Aria, Prodigy, Sovereign, Jetsetter and Jetsetter LX. The recalled jets are found in model year 2023, 2024 and 2025 Highlife Collection spas.","The hydromassage rotary jets can create a suction force that allows the user’s hair to be entangled, submerging their head underwater, posing entanglement and drowning hazards to the user.",,,Repair,"About 32,900 units (In addition, about 853 were sold in Canada)","The firm has received one report of a consumer whose hair was entangled in the jets. No injuries have been reported.","Consumers should immediately stop using the recalled jets and go to the firm’s website&nbsp;http://www.hotspring.com/recalls to determine if their spa has them. If it is determined that the spa has the recalled parts, contact the firm to obtain instructions and a video that demonstrates how to turn the recalled jets off and how to install free replacement jet inserts in your spa. Consumers will need the serial number located on the front of the spa to make the determination.","Sold At","Independent pool and spa dealers nationwide from October 2022 through September 2025 for between $16,000 and $24,000 (spas) and between $18 and $35 (replacement parts).","Jet Importer: Watkins Manufacturing Corporation, of Vista, California",,,China,,
26227,,"January 29, 2026",,"Sunneday and Blue Bay Above-Ground Pools 48 Inches and Taller Recalled Due to Drowning Hazard; Manufactured by Starmatrix Group","Sunneday and Blue Bay brand 48-inch and taller above-ground pools","This recall involves all Sunneday and Blue Bay brand above-ground pools 48 inches and taller. Model information and the Sunneday or Blue Bay logo are printed on the liner on the outside of the pool. Pool models subject to this recall include:ModelDescriptionUPC Code70018Sunneday Oasis Cottage 18’x52”85002285852970024Sunneday Oasis Cottage 24’x52”850022858536358015WBlue Bay Softsided Pool 15’x48”191127003583359015GBlue Bay Softsided Pool 15’x48”191127003590360018WBlue Bay Softsided Pool 18’x52”191127003606361018GBlue Bay Softsided Pool 18’x52”191127003613380018TBlue Bay Softsided Pool 18’x52”191127003804The recalled above-ground pools contain a compression strap (also referred to as a reinforcing belt) that wraps around the pool on the outside of the vertical support poles, and may create a foothold, allowing a child to access the pool and drown.Children can still gain access to the pools using these footholds even if the ladder is removed.CPSC’s website&nbsp;www.PoolSafely.gov has free, downloadable educational materials available to the public on pool safety including information on barriers, covers, alarms and other safety information.","The compression strap that surrounds the outside of the pool legs may create a foothold, allowing a child access to the pool, posing a drowning risk.",,,Repair,"About 2,390","None reported","Consumers should contact Starmatrix to request a free repair kit. In the interim, consumers should ensure that children cannot access the pool unattended or, alternatively, drain the pool until the repair can be installed.","Sold Online At","Amazon.com and www.sunneday.com from January 2024 through October 2025 for between $500 and $1,210 depending on the size and model of the pool and accessories purchased.",,"Starmatrix Group Inc., of China",,China,,
26163,,"December 18, 2025",,"Blue Wave Recalls Above-Ground Pools 48 Inches and Taller Due to Drowning Hazard","Blue Wave brand 48-inch and taller above-ground pools","This recall involves all Blue Wave brand above-ground pools 48 inches and taller. Model information is printed on the original box and on the instruction manual and the Blue Wave logo is printed on the liner on the outside of the pool. Blue Wave pool models subject to this recall include:ModelDescriptionUPC CodeNB19790Blue Wave 15-Ft Rd 48-In Active Frame Pool672875005895NB19791Blue Wave 18-Ft Rd 52-In Active Frame Pool672875005925NB19797Blue Wave 18-Ft Rd 52-In Dark Cocoa Wicker Frame Pool672875006106NB19798Blue Wave 24-Ft Rd 52-In Dark Cocoa Wicker Frame Pool672875006137NB19890Blue Wave Rustic Cedar 15-Ft Round 48-In Deep Frame Swimming Pool Package W/Cover672875004874NB19891Blue Wave Rustic Cedar 18-Ft Round 52-In Deep Frame Swimming Pool Package W/Cover672875004881NB19900Blue Wave 18-Ft Round 52-In Gray Rattan Swimming Pool Package W/Cover672875009565NB19902Blue Wave 18-Ft Round 52-In Espresso Wicker Swimming Pool Package W/Cover672875009589NB19904Blue Wave 15-Ft Round 48-In Navy Blue Frame Swimming Pool Package W/Cover672875009916NB19905Blue Wave 18-Ft Round 52-In Navy Blue Frame Swimming Pool Package W/Cover672875009923NB19906Blue Wave 15-Ft Round 48-In Aspen Swimming Pool Package W/Cover672875009930NB19907Blue Wave Mocha Wicker 18-Ft Round 52-In Deep Swimming Pool Package With Cover672875009954NB19908Blue Wave Mocha Wicker 24-Ft Round 52-In Deep Swimming Pool Package With Cover672875009961NB19909Blue Wave Laguna 15-Ft Round 48-In Deep Swimming Pool Package With Cover672875009978NB19910Blue Wave Laguna 18-Ft Round 52-In Deep Swimming Pool Package With Cover672875009985The recalled above-ground pools contain a compression strap (also referred to as a reinforcing belt) that wraps around the pool on the outside of the vertical support poles, and may create a foothold, allowing a child to access the pool and drown.Children can still gain access to the pools using these footholds even if the ladder is removed.CPSC’s website&nbsp;www.PoolSafely.gov&nbsp;has free, downloadable educational materials available to the public on pool safety including information on barriers, covers, alarms and other safety information.Statement of Acting Chairman Peter A. Feldman","The compression strap that surrounds the outside of the pool legs may create a foothold, allowing a child access to the pool, posing a drowning risk.",,,Repair,"About 13,400","None reported","Consumers should contact Blue Wave to request a free repair kit. In the interim, consumers should ensure that children cannot access the pool unattended or, alternatively, drain the pool until the repair can be installed.","Sold At","The Home Depot, Lowe’s, and Dunham’s Sports retail stores nationwide and online at Amazon.com, Walmart.com, Wayfair.com from January 2021 through July 2025 for between $600 and $2,000 depending on the size and model of the pool and accessories purchased.","Blue Wave Products Inc., of Batavia, Illinois",,,China,,
26162,,"December 18, 2025",,"SereneLife Home Recalls Above-Ground Pools 48 Inches and Taller Due to Drowning Hazard","SereneLife brand 48-inch and taller above-ground pools","This recall involves all SereneLife brand above-ground pools 48 inches and taller. Models SLPORND15 and&nbsp;SLPORND18 are included in this recall. Model information and the SereneLife logo are printed on the liner on the outside of the pool.The recalled above-ground pools contain a compression strap (also referred to as a reinforcing belt) that wraps around the pool on the outside of the vertical support poles, and may create a foothold, allowing a child to access the pool and drown.Children can still gain access to the pools using these footholds even if the ladder is removed.CPSC’s website&nbsp;www.PoolSafely.gov&nbsp;has free, downloadable educational materials available to the public on pool safety including information on barriers, covers, alarms and other safety information.Statement of Acting Chairman Peter A. Feldman","The compression strap that surrounds the outside of the pool legs may create a foothold, allowing a child access to the pool, posing a drowning hazard.",,,Refund,"About 80","None reported","Consumers should stop using the recalled above-ground pools immediately and contact SereneLife Home for a full refund. Consumers will need to provide photographic evidence of destruction or disposal of the product to receive a full refund from SereneLife Home.","Sold Online At","Amazon.com, Walmart.com, Wayfair.com, Target.com and the SereneLife website (serenelifehome.com) from December 2021 through May 2025 for between $300 and $500 depending on the size and model of the pool and accessories purchased.","Sound Around Inc. dba SereneLife Home",,,China,,
26154,,"December 18, 2025",,"TopHomer Pool Drain Covers Recalled Due to Risk of Serious Injury or Death from Entrapment and Drowning Hazards; Violation of the Virginia Graeme Baker Pool and Spa Safety Act; Sold on Amazon by TopHomerUS","TopHomer Pool Drain Covers","This recall involves TopHomer-branded 8-inch pool drain covers that are sold for use in swimming pools. The top grate is 7.2 inches in diameter, and the bottom mounting plate is 8 inches in diameter. They are white and made of ABS plastic. “Listed suction fitting,” “SP-1053-B,” and “88D9 148 GPM” are printed on the center of the grate. “Use screws to keep grate secured to dram (drain) at all times” is printed on the outer ring of the grate.","The recalled drain covers violate the entrapment protection standards of the&nbsp;https://cpsc.gov/Business--Manufacturing/Business-Education/FAQ?p=3053&… Graeme Baker Pool and Spa Safety Act (VGBA), posing entrapment and drowning hazards to swimmers and bathers.",,,Refund,"About 1,040","None reported","Pool owners, pool operators and consumers should immediately stop using pools with the recalled pool drain covers. To receive a refund, consumers should remove the drain cover from the pool, take a photo of the removed cover, and send it to the recalling firm by email at&nbsp;Tophomer.recall@outlook.com. Ensure all pools and spas have VGBA-compliant drain covers and teach children to stay away from drains.&nbsp;","Sold At","Amazon.com from August 2024 through October 2025 for between $15 and $26.",,,,China,Retailer:,"Guangzhoushuoshenghaoyikejiyouxiangongsi, dba TopHomerUS, of China"
26058,,"October 30, 2025",,"Werner Paddles Recalls Kayak Paddles Due to Drowning Hazard","Stealth and Covert Kayak Paddles","This recall involves models Stealth and Covert kayak paddles.&nbsp; The brand name Werner appears on decals on both blades and the model name is printed on the right paddle blade. The paddles are made of black carbon fiber.","The recalled kayak paddles can break during use, posing a drowning hazard.",,,Refund,"About 700 (In addition, about 25 were sold in Canada)","The firm has received 80 reports of the paddles breaking during use. No injuries have been reported.","Consumers should immediately stop using the recalled kayak paddles and contact Werner Paddles for a full refund in the form of a check or store credit redeemable online. Consumers should fill out a recall form at&nbsp;https://wernerpaddles.com/pages/covert-stealth-recall-consumers.&nbsp;To collect the refund or obtain the store credit,&nbsp;consumers should follow the instructions on the Werner website and destroy the recalled kayak paddle by cutting the paddle into four equal pieces, halfway through each blade and halfway through the left and right side of the shaft and upload a photo of the destroyed paddle.","Sold At","4 Corners River Sports, Outdoor New England, The River Store, Alder Creek Kayak Supply and other stores nationwide and online at Wernerpaddles.com, Riversports.com, Aldercreek.com, Outdoornewengland.com, Theriverstore.com and other websites from October 2023 through August 2025 for between $470 and $560.",,"Werner Paddles, of Tennessee",,"United States",,
25393,,"July 21, 2025",,"Bestway, Intex, and Polygroup Recall Certain Above-Ground Pools 48 Inches and Taller Due to Drowning Hazard; Nine Deaths Reported; Five Million Pools Sold Since 2002","48 inches and taller above-ground pools with compression straps running on the outside and over the vertical support legs","Washington, D.C. -- The U.S. Consumer Product Safety Commission (CPSC) and Bestway (Hong Kong) International Ltd. (China) and Bestway (USA) Inc. (Chandler, Arizona) (Bestway), Intex Recreation Corp. (Long Beach, California) and Polygroup North America Inc. &nbsp;(El Paso, Texas) are announcing the recall of about 5 million 48-inch and taller above-ground pools that use compression straps. These straps wrap around the pool on the outside of the supporting poles, and may create a foothold, allowing a child to access the pool and drown.Children can still gain access to the pools using these footholds even if the ladder is removed.&nbsp;CPSC believes that nine children between the ages of 22 months and 3 years old have drowned after gaining access to the pools via the footholds. The incidents occurred in California, Texas, Florida, Michigan, Wisconsin and Missouri between 2007 and 2022.&nbsp;CPSC is also aware of three other incidents in 2011 and 2012 where children who gained access to the recalled pools were reported to have previously used the compression strap to gain entry to the pool.Consumers should immediately contact Bestway, Intex, and Polygroup to receive a free repair kit consisting of a rope that attaches to each of the vertical support poles at the ground level and wraps around the pool. The rope will maintain the structural integrity of the pool (a function previously served by the compression strap). Consumers should first secure the repair and then cut and remove the compression strap from the pool.&nbsp;The pool brand names and model numbers are printed on the pool liner on the outside of the pool. Pool models of 48 inches and taller that are included in this recall are listed below:Bestway and Coleman ModelsSold 2008 to 2024Intex ModelsSold 2002 to 2012Intex Models (Sold only at Intexcorp.com and Walmart, 2024 to 2025)(266 pools)Polygroup ModelsSold 2006 to 2025Power SteelMetal Frame PoolsPrism Frame Pool&nbsp;&nbsp;Summer Waves(2015-2025)Steel ProUltra Frame Pools&nbsp;Ultra XTR Frame PoolSummer Escapes&nbsp;(2006-2015)&nbsp;Coleman Power Steel&nbsp;&nbsp;&nbsp;Funsicle(2023-2025)&nbsp;Sand n Sun(2008-2011)Blue Wave(2014-2025)The recalled above-ground pools have been sold since 2002 at stores nationwide, including Walmart, Target, Sears, Lowe’s, Kmart, Toys “R” Us, Sam’s Club, The Home Depot, Big Lots, Costco and BJ’s (among others), as well as online at Amazon.com, Wayfair.com and Bestway USA, Intex, Funsicle and Summer Waves websites.The recalled above-ground pools were manufactured in China. The recalled pools range in price from approximately $400 to over $1,000, depending on the size and model of the pool and the additional accessories purchased.&nbsp;In addition, approximately 266,000 were sold in Canada.CPSC’s website&nbsp;www.PoolSafely.gov&nbsp;has free, downloadable educational materials available to the public on pool safety including information on barriers, covers, alarms and other safety information.","The compression strap that surrounds the outside of the pool legs may create a foothold, allowing a child access to the pool, posing a drowning risk.",,,Repair,,"CPSC believes that nine children between the ages of 22 months and 3 years old have drowned, after gaining access to the pools via the footholds. The incidents occurred in California, Texas, Florida, Michigan, Wisconsin and Missouri between 2007 and 2022. ","Consumers should contact Bestway, Intex or Polygroup to request a repair kit. In the interim consumers should ensure that children cannot access the pool unattended or, alternatively, drain the pool until the repair can be installed.","Sold At","The recalled above-ground pools have been sold since 2002 at stores nationwide, including Walmart, Target, Sears, Lowe’s, Kmart, Toys “R” Us, Sam’s Club, The Home Depot, Big Lots, Costco and BJ’s (among others), as well as online at Amazon.com, Wayfair.com and Bestway USA, Intex, Funsicle and Summer Waves websites.",,,,,,
25368,,"July 03, 2025",,"Jeriflyer Pool Drain Covers Recalled Due to Risk of Serious Injury or Death from Entrapment Hazard; Violation of the Virginia Graeme Baker Pool and Spa Safety Act; Sold on Amazon by Junjuanshop","Jeriflyer 8-inch pool drain covers","This recall involves&nbsp;Jeriflyer 8-inch pool drain covers that are sold for use in swimming pools.&nbsp;The drain covers are white and made of plastic. The drain measures 8.1 inches in diameter.","The recalled drain covers do not conform to the entrapment protection standards of the Virginia Graeme Baker Pool and Spa Safety Act (VGBA), posing an entrapment hazard to swimmers and bathers.",,,Refund,"About 500","None reported","Pool owners/operators and consumers should immediately stop using pools with the recalled pool drain covers. To receive a refund, consumers should remove the drain cover from the pool, take a photo of the removed cover, and send it to the recalling firm by email at&nbsp;Junjuanshop2025@outlook.com. Ensure all pools and spas have VGBA compliant drain covers and teach children to stay away from drains. Junjuanshop and Amazon are contacting all known purchasers directly.","Sold Online At","Amazon from April 2024 through May 2025 for between $10 and $15.",,,,China,Retailer:,"Junjuanshop, dba Jeriflyer, of China"
25339,,"June 12, 2025",,"Endless Pools Recalls Manual Retractable Pool Covers Due to Drowning and Entrapment Hazards; Risk of Serious Injury and Death","Manual Retractable Security Pool Covers","This recall involves Endless Pools Manual Retractable Security Pool Covers. The pool cover system includes a hand crank mechanism that allows the user to cover and uncover their custom Endless Pool. The covers were sold in various colors, including tan, black, gray, light blue and royal blue, and vary in sizes based on the customized size of the pools, from 8 feet to 16 feet wide.","The recalled pool covers can leave a gap of more than 4.5 inches between the cover roller and the pool surface, when installed incorrectly by the installer. An improper installation can result in the covers not conforming to the voluntary industry standard, ASTM F-1346, posing drowning and entrapment hazards to children that could result in serious injury or death.",,,Repair,"About 11,500 (In addition, about 480 were sold in Canada)","None reported","Pool owners and operators should immediately contact Endless Pools for a free inspection and a free repair by an Endless Pools support services representative. Endless Pools will inspect the pool covers and send out a service representative to remedy any entrapment and drowning risks posed by improper installation. Pool owners and operators should not allow children to use or access the pool or pool cover unsupervised. Until the repair for the pool cover is completed, keep children away from the pool cover when closed. To prevent serious injury or death due to entrapment under the pool cover, do not allow anyone — especially children — to sit, stand, or jump on the pool cover at any time. Endless Pools is contacting all known purchasers directly.","Sold At","Endless Pools and authorized dealers nationwide and online at www.endlesspools.com from January 1994 through December 2024 for between $1,000 and $2,200.",,"Endless Pools, of Aston, Pennsylvania",,"United States",,
