"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
25-374,,"July 03, 2025",,"509 Recalls Helmets Due to Risk of Head Injury","509 helmets and 509 for Polaris helmets","This recall involves 509 Tactical 3.0 (Youth, Mountain, and Trail) helmets and 509 for Polaris Tactical 3.0 (Youth and Mountain) helmets. This recall also involves small and medium size 509 Tactical 2.0 helmets, 509 Tactical 2.0 helmets with Fidlock®, and 509 for Polaris Tactical 2.0 helmets, which were all manufactured in 2023. This recall also involves 509 and 509 for Polaris helmets with Fidlock®, including Tactical 2.0, Altitude 2.0, Delta R3L, Delta R4, Delta V, Mach III, Mach IV and Mach V (manufactured from 2020 to present with a stainless-steel glide bar). The 509 logo and “FIVE O NINE” are printed on the 509 helmets. The 509 logo and “Polaris” are printed on the 509 for Polaris helmets.Brand/ModelSizesColorsYear(s) of ManufactureRemedy509 Tactical 3.0 Helmets (Youth, Mountain, and Trail)Youth small (YSM) to large (YLG)Adult XS to 4XLVarious&nbsp;All&nbsp;Replacement, refund or credit509 for Polaris Tactical 3.0 Helmets (Youth and Mountain)Youth small (YSM) to large (YLG)Adult XS to 4XLVarious&nbsp;All&nbsp;Replacement, refund or credit509 Tactical 2.0 HelmetsSmall/MediumVarious&nbsp;2023Replacement, refund or credit509 for Polaris Tactical 2.0 HelmetsSmall/MediumVarious2023Replacement, refund or credit509 Tactical 2.0 Helmets with Fidlock®Adult XS to 4XLVarious&nbsp;2020 to presentRepair509 for Polaris Tactical 2.0 Helmets with Fidlock®Adult XS to 4XLVarious&nbsp;2020 to presentRepair509 Altitude 2.0 Helmets with Fidlock®Adult XS to 4XLVarious&nbsp;2020 to presentRepair509 for Polaris Altitude 2.0 Helmets with Fidlock®Adult XS to 4XLVarious2020 to presentRepair509 Delta R3L Helmets with Fidlock®Adult XS to 2XLVarious2020 to presentRepair509 for Polaris Delta R3L Helmets with Fidlock®Adult XS to 4XLVarious2020 to presentRepair509 Delta R4 Helmets with Fidlock®Adult XS to 2XLVarious&nbsp;2020 to presentRepair509 for Polaris Delta R4 with Fidlock®Adult XS to 2XLVarious2020 to presentRepair509 Delta V Helmets with Fidlock®Adult S to 4XLVarious&nbsp;2020 to presentRepair509 for Polaris Delta V Helmets with Fidlock®Adult XS to 4XLVarious&nbsp;2020 to presentRepair509 Mach III Helmets with Fidlock®Adult XS to 2XLVarious&nbsp;2020 to presentRepair509 Mach IV Helmets with Fidlock®Adult XS to 2XLVarious&nbsp;2020 to presentRepair509 Mach V Helmets with Fidlock®Adult S to 3XLVarious2020 to presentRepair","The recalled helmets fail to provide sufficient protection in the event of a crash, posing a risk of head injury.",,,"Refund, Replace, Repair","About 201,200 (In addition, about 26, 800 in Canada) ","The firm received one incident where the rider’s helmet became detached during a crash, resulting in a concussion.","Consumers should immediately stop using the recalled helmets.&nbsp;Consumers with a recalled “509” branded Tactical 3.0 or Tactical 2.0 (small/medium manufactured in 2023) helmet should contact 509 for instructions on how to participate in the recall and to receive a choice of a refund (if purchased online), or a credit to be used on 509’s website or a replacement helmet.&nbsp;Consumers with a recalled “509 for Polaris” branded Tactical 3.0 or Tactical 2.0 (small/medium manufactured in 2023) helmet should contact Polaris for a choice of a refund, a credit to use at a Polaris dealership or on the Polaris website, or a replacement helmet. Proof of purchase is not required. All helmets should be discarded in the local household trash after consumers have confirmed their helmet is being recalled by 509 or Polaris and follow the destruction instructions located on the website.Polaris is also providing their customers who have the recalled 509 and 509 for Polaris helmets with Fidlock®, with instructions on how to inspect the webbing on the chin strap to make sure it is repaired, by routing it correctly. 509 and Polaris are contacting all known purchasers directly.","Sold At","Online at www.ride509.com and www.polaris.com and at 509 and Polaris dealers nationwide from January 2020 through May 2025 for between $140 and $900.","Teton Outfitters LLC, dba 509, a Polaris subsidiary, of Rigby, Idaho",,,China,,
25-343,,"June 18, 2025",,"Polaris Recalls Ranger XP Kinetic and Pro XD Kinetic Recreational Off-Highway Vehicles (ROVs) Due to Fire Hazard","Model Year 2023-2024 Ranger XP Kinetic and Model Year 2025 Pro XD Kinetic ROVs","This recall involves all VINs of Polaris Model Year 2023-2024 Ranger XP Kinetic and Model Year 2025 Pro XD Kinetic ROVs. The recalled Ranger XP Kinetic vehicles were sold in camouflage and white colors. The recalled Pro XD vehicles have gray plastic body panels with a black frame and accents. All vehicles were sold in three-seat configurations and have “POLARIS” stamped on the front grille. The VIN is printed on a portion of the left rear frame (on the driver’s side of the vehicle) under the cargo box.In addition, this recall involves accessory charger service parts/kits with part numbers 2417296, 2417297, 2889704 and 2889486.&nbsp;","Water can leak through a cracked filter into the ROV’s high-voltage charging harness components and cause a short circuit, posing a fire hazard.",,,Repair,"About 4,900 ROVs and 185 accessory charger service parts/kits (In addition, about 330 ROVs were sold in Canada)","The firm has received 47 reports of filter failures with the recalled ROVs, including six reports of melting/fire and four reports of sparking/smoke. No injuries have been reported.","Consumers should contact an authorized Polaris dealer to schedule a free repair at the dealer’s location. Polaris is contacting all registered owners directly and providing instructions on how to continue operating their vehicles until the repair can be completed. The instructions are available&nbsp;here.","Sold At","Polaris dealers nationwide from April 2023 through March 2025 for between $24,000 and $37,500.",,"Polaris Industries Inc., of Medina, Minnesota",,"United States",,
25-284,,"May 15, 2025",,"Polaris Industries Recalls Ranger XP 1000 NorthStar and Ranger XP 1000 NorthStar Crew Recreational Off-Road Vehicles Due to Injury Hazard","Model Year 2023-2025 Ranger XP 1000 NorthStar and Ranger XP 1000 NorthStar Crew Recreational Off-Road Vehicles (ROVs)","This recall involves certain VINs of Polaris Model Year 2023-2025 Ranger XP 1000 NorthStar and Ranger XP 1000 NorthStar Crew ROVs. The recalled vehicles were sold in black, blue, brown, camouflage, gray, orange, red, tan and white.&nbsp;The vehicles were sold in three and six-seat configurations and have “POLARIS” stamped on the front grille. The VIN is printed on the left rear frame (on the driver’s side of the vehicle) under the cargo box.","The lower seat belt anchor fasteners were not properly tightened, which can result in the seat belt separating from the vehicle frame, failing to protect riders. Without that protection, riders can be ejected from the vehicle in a crash, posing an injury hazard.",,,Repair,"About 640 (In addition, about 24 ROVs were sold in Canada)","The firm has identified two vehicles with loose seat belt fasteners. No injuries have been reported.","Consumers should immediately stop using the recalled ROVs and contact an authorized Polaris dealer to schedule a free inspection and repair at the dealer’s location. Polaris advises that consumers may continue to operate the recalled ROVs prior to inspection and repair at the dealer, only if they conduct an inspection by following the Seat Belt Fastener Verification Instructions located on the firm’s website. To continue operating the recalled ROVs prior to getting the repair, the fasteners must be secure where the seat belt anchor is attached to the vehicle frame. Polaris has contacted registered owners directly.","Sold At","Polaris dealers nationwide from August 2022 through March 2025 for between $28,000 and $38,000.",,"Polaris Industries Inc., of Medina, Minnesota",,"United States",,
25-208,,"April 03, 2025",,"Polaris Industries Recalls RZR Pro R and Pro R 4 Recreational Off-Road Vehicles (ROVs) Due to Injury Hazard","Model Year 2022-2025 RZR Pro R and RZR Pro R 4 Recreational Off-Road Vehicles (ROVs)","This recall involves certain VINs of Polaris 2022-2025 RZR Pro R and RZR Pro R 4 ROVs. The recalled vehicles were sold in black, blue, gray, green and orange. The recalled vehicles were sold in two- and four-seat configurations. “POLARIS” is stamped on the front grille and “POLARIS” and “RZR” are printed on the sides of the vehicle. The model name is also printed on the side of the chassis. The VIN is located on the vehicle’s frame in the left rear wheel well.","The fasteners on the vehicle’s rollover protective structure (ROPS) pillar joints can be missing or loose and fail to protect the occupants, if the vehicle rolls over or tips over. This poses an injury hazard.",,,Repair,"About 910 (In addition, about 10 ROVs were sold in Canada)","The firm has identified two vehicles with missing fasteners and one vehicle with a fastener that was not tightened. No injuries have been reported.","Consumers should immediately stop using the recalled ROVs and contact an authorized Polaris dealer to schedule a free inspection and repair at the dealer’s location. Polaris advises that consumers may continue to operate the recalled ROVs prior to inspection and repair at the dealer, but only if they conduct an inspection by following the ROPS Fastener Verification Instructions located on the firm’s website, and if the consumer finds the fasteners on the vehicle’s ROPS pillar joints are secure and in place while they are waiting for the repair to be completed at the dealer. Polaris is contacting registered owners directly.","Sold At","Polaris dealers nationwide from November 2021 through January 2025 for between $32,000 and $50,000.","Polaris Industries Inc., of Medina, Minnesota",,,Mexico,,
25-207,,"April 03, 2025",,"Honda Recalls Accessory Heaters for Side-by-Side Vehicles Due to Fire and Burn Hazards","Accessory Heaters for Model Years 2022-2024 Honda Pioneer 1000, 2023-2025 Pioneer 700, and 2022-2024 Honda Talon 1000 Side-by-Side vehicles","This recall involves accessory heaters that are compatible with model years 2023-2025 Honda Pioneer 700 (SXS700), 2022-2024 Pioneer 1000 (SXS1000), and 2022-2024 Talon 1000 (SXS1000S) vehicles. The accessory heaters were sold separately from the vehicles.&nbsp;Affected vehicles have been fitted with the Honda accessory heater system, which has a mounted control panel on the vehicle’s dash with controls for air speed, air flow direction and temperature. Customers can enter the vehicle’s VIN at&nbsp;https://powersports.honda.com/recalls to see if the vehicle is compatible with the recalled accessory heater. Refer to the Technical Information - Vehicle Identification section in the owner’s manual to locate the vehicle’s VIN.","The recalled accessory heaters can overheat and catch fire, posing fire and burn hazards to consumers.",,,Repair,"About 2,340 Accessory Heaters","Honda has received three reports of the recalled accessory heaters overheating, including two incidents resulting in fires and vehicle damage. No injuries have been reported. ","Consumers should stop using the recalled accessory heaters immediately and contact an authorized Honda Powersports dealer to schedule an appointment for a free repair. Honda is contacting all known purchasers directly.&nbsp;","Sold At","Authorized Honda Powersports dealers nationwide from January 2022 through September 2024 for between $900 and $1,040.",,,"American Honda Motor Co. Inc, of Torrance, California","United States",,
25-092,,"January 16, 2025",,"Polaris Industries Recalls Model Year 2024-2025 Ranger XD 1500 and Crew XD 1500 Recreational Off-Road Vehicles (ROVs) Due to Injury and Crash Hazards","Model Year 2024-2025 Ranger XD 1500 and Crew XD 1500 ROVs","This recall involves certain VINs of Polaris Model Year 2024-2025 RANGER XD 1500 and RANGER CREW XD 1500 ROVs. The recalled ROVs were sold in camouflage, red, silver and titanium colors. The vehicles were sold in three- and six-seat configurations and have “POLARIS” stamped on the front grille. The VIN is printed on a portion of the left rear frame (on the driver’s side of the vehicle) under the cargo box. In addition, this recall involves doors purchased as an accessory with part numbers 2212292, 2212291, 2638498, 2638499, 2638500, 2638501, 2889075 or 2889076. All accessory doors purchased for Polaris Model Year 2024-2025 RANGER XD 1500 and RANGER CREW XD 1500 ROVs prior to&nbsp;November 11, 2024 are affected by this recall.&nbsp;","The door handle can stick and cause the door to unexpectedly open while the vehicle is moving and cause an unrestrained rider to be ejected from the vehicle or increase the risk of a crash, posing serious injury and crash hazards.",,,Repair,"About 4,200 ROVs and 393 accessory doors (In addition, about 291 were sold in Canada) ","The firm has received 20 reports of the doors opening unexpectedly while the recalled ROVs were in use. No injuries or crashes have been reported.","Polaris is contacting registered owners directly and providing instructions on how to inspect their door handles to verify that the doors are properly closed. This will allow some consumers to continue to safely operate their vehicles until the repair can be completed. The instructions are available&nbsp;here.&nbsp;","Sold At","Polaris dealers nationwide from November 2023 through November 2024 for between $40,000 and $50,500.&nbsp;",,"Polaris Industries Inc., of Medina, Minnesota",,"United States",,
25-703,,"December 05, 2024",,"Polaris Recalls RZR XP 1000 and XP 4 1000 Recreational Off-Road Vehicles (ROVs) Due to Fire Hazard (Recall Alert)","Model Year 2024-2025 RZR XP 1000 and XP 4 1000 ROVs","This recall involves certain VINs of Polaris Model Year 2024-2025 RZR XP 1000 and XP 4 1000 ROVs. The recalled vehicles were sold in black, blue, gray, red and white colors. They were sold in two- and four-seat configurations. “POLARIS” is stamped on the front grille and “POLARIS” and “RZR” are printed on the sides of the vehicle. The model name is also printed on the side of the chassis. The VIN is located on the vehicle’s frame in the left rear wheel well.","The positive (+) battery terminal cover (red) can become damaged by the seat base, causing the positive (+) battery post to be exposed and contact nearby conductive components, resulting in an electrical short, posing a fire hazard.",,,,"About 21,000 (In addition, about 1,300 were sold in Canada)","The firm has received a total of three reports of incidents, including two reports of fires and one report of melted wires. No injuries have been reported.","Polaris is contacting all registered owners directly and providing a full-battery cover to them by mail that can be self-installed or installed for free by an authorized Polaris dealer. Consumers can continue to operate the recalled ROVs before installation of the battery cover only if the battery positive terminal cover (red) is undamaged. The consumer can confirm the cover is undamaged by completing the Battery Positive Terminal Cover (Red) Verification and Seat Installation Instructions provided by Polaris at https://prdservicemanagementstg.blob.core.windows.net/fieldcommunications/9942029r01.pdf. If the battery positive terminal cover (red) is damaged, the recalled ROV should not be operated until the repair is complete.","Sold At","Polaris dealers nationwide from April 2023 through July 2024 between $20,900 and $29,900.",,"Polaris Industries Inc., of Medina Minnesota",,Mexico,,
25-702,,"December 05, 2024",,"Polaris Recalls Ranger Recreational Off-Road Vehicles and ProXD and Bobcat Utility Task Vehicles Due to Injury Hazard (Recall Alert)","Model Year 2024 Ranger Recreational Off-Road Vehicles (ROVs) and ProXD and Bobcat Utility Task Vehicles (UTVs)","This recall involves certain VINs of Model Year 2024 Ranger 1000 / Crew 1000, Ranger XP 1000 / Crew XP 1000 and Ranger XP Kinetic ROVs; and ProXD Full Size/Full Size Crew and Bobcat UV34/UV34 XL UTVs. The Ranger vehicles were sold in blue, bronze, camouflage, gray, green, tan and white, and in three- and six-seat configurations. The ProXD vehicles have gray plastic body panels with black frame/accents.&nbsp;The Bobcat vehicles have black side panels with white and orange accents. All UTVs have two or four seats. The Ranger and ProXD vehicles have “POLARIS” stamped on the front grille and the Bobcat vehicles have the Bobcat logo on the front grille. The Vehicle Identification Number (VIN) for the Ranger, ProXD and Bobcat vehicles is located on a portion of the left rear frame on the driver’s side of the vehicle, under the cargo box.","The vehicles’ passenger side seat belt anchor point can separate from the frame due to a defective weld on the bracket, posing an injury hazard to passengers from impact with a loose bracket or failure of the seatbelt during a crash.",,,Repair,"About 2,500 (In addition, about 130 were sold in Canada)","The firm has identified three reports of improper welds. No injuries have been reported.","Consumers should immediately stop carrying passengers in the recalled vehicles and contact an authorized Polaris dealer to schedule a free inspection and, if needed, a free repair. Polaris is contacting all registered owners directly.","Sold At","Polaris and Bobcat dealers nationwide from November 2023 through August 2024 between $17,800 and $32,700.",,"Polaris Industries Inc., of Medina, Minnesota",,"United States",,
25-701,,"October 17, 2024",,"Textron Specialized Vehicles Expands Recall of Arctic Cat and Tracker Side by Side Recreational Off Highway Vehicles Due to Crash Hazard (Recall Alert)","Model Years 2022-2024 Arctic Cat Prowler Pro / Pro Crew and Tracker Off Road 800SX / 800SX Crew Side by Side Recreational Off Highway Vehicles (ROVs)","This recall involves all model years 2022, 2023 and 2024 Arctic Cat Prowler Pro and Pro Crew and all model year 2022, 2023 and 2024 Tracker Off Road 800SX and 800SX Crew Side by Side Recreational Off Highway Vehicles. The two-seat and four-seat vehicles were sold in various colors. The Arctic Cats have a “Prowler Pro” decal on the front hood and the Tracker Off Road vehicles have an “800SX” decal just outside the driver and passage doors.","The vehicle can move when on an incline and “park” is displayed on the digital dash. This can allow the vehicle to roll away, posing a crash hazard.",,,Repair,"About 7,000 (In addition, about 700 were sold in Canada) (Some of these ROVs were previously recalled on November 2023)","The firm has received 12 reports of vehicles moving while in the park position. No injuries have been reported.","Consumers should immediately stop using the recalled vehicles and contact Textron Specialized Vehicles to schedule a free repair. The repair kit will include a new shift cable bracket, shift sensor, and a decal to be placed at the dash display. The new shift sensor will allow the dash to display an ""E"" for shift error if “park” on the vehicle is not fully engaged. Customers will be directly notified to bring their vehicle to an authorized dealership to have the kit added at no cost. Textron is contacting all known purchasers directly.","Sold At","The Arctic Cat Prowler Pro and Pro Crew was sold at Arctic Cat dealers nationwide from May 2022 through August 2023 for between $14,400 and $21,000. The Tracker Off Road 800SX and 800SX Crew was sold at Bass Pro Shops, Cabela’s and Tracker dealers nationwide from March 2022 through August 2024 for between $14,400 and $21,000.",,"Textron Specialized Vehicles, of Augusta, Georgia",,"United States",,
24-374,,"September 19, 2024",,"Polaris Industries Recalls Ranger XD 1500 Recreational Off-Road Vehicles (ROVs) with Winches Due to Fire Hazard","Model Year 2024 RANGER XD 1500 and Crew XD 1500 Recreational Off-Road Vehicles (ROVs)","This recall involves certain VINs of Polaris Model Year 2024 RANGER XD 1500 and RANGER CREW XD 1500 ROVs. The recalled ROVs were sold in camouflage, red and silver colors. The vehicles were sold in three and six-seat configurations and have “POLARIS” stamped on the front grille. The VIN is printed on a portion of the left rear frame (on the driver’s side of the vehicle) under the cargo box. In addition, this recall involves 4,500 and 6,000 lb. winches purchased as an accessory (part numbers 2889275 or 2889276).","The winch wiring can overheat while in use, posing a fire hazard and risk of serious injury to the rider or passenger.",,,Repair,"About 10,500 ROVs and 1,336 winches (In addition, about 660 ROVs were sold in Canada)","The firm has received one report of fire. No injuries have been reported.","Consumers should immediately stop using the winch in the recalled ROVs and contact an authorized Polaris dealer to schedule a free repair to confirm a proper winch ground connection at the dealer’s location. Polaris is contacting registered owners directly.","Sold At","Polaris dealers nationwide from February 2023 through August 2024 for between $40,000 and $50,500.",,"Polaris Industries Inc., of Medina, Minnesota",,"United States",,
