"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26-348,,"March 26, 2026",,"FUNTOK Ride-On Trucks Recalled Due to Fire and Burn Hazards; Risk of Serious Injury or Death; Imported by Shenzhen Luobei Trading","FUNTOK 24V 2-Seater Ride-On Trucks","This recall involves FUNTOK 24V 2-Seater Ride-On Trucks, model number DLS-K03. The trucks were sold in red, black, white and pink. “4x4” is written in black on the tailgate and “TURBO DIESEL” is written in black on the side of the truck. The brand name “FUNTOK” and model number “DLS-K03” are printed on the User Manual cover and the exterior retail packaging.","The truck’s circuit board can overheat and ignite, posing fire and burn hazards.",,,Refund,"About 1,980","Shenzhen Luobei Trading Co. has received 11 reports of the ride-on trucks catching fire, sparking, burning, melting, overheating and smoking. No injuries have been reported.","Consumers should stop using the recalled ride-on truck immediately, unplug the truck if it is charging, and contact Shenzhen Luobei Trading Co. for instructions to receive a full refund. To obtain a refund, consumers will need to disable the ride-on truck by cutting the wires to the battery and submitting a photo of the cut wires with “VOID,” the consumer’s name and the date written on the hood of the truck in permanent marker. Consumers should dispose of the disabled ride-on truck once they receive their refund. Directions on how to disassemble and disable the ride-on truck can be found on&nbsp;https://funtok.net/pages/voluntary-product-safety-recall.&nbsp;Note:&nbsp;Do not throw the truck battery in the trash, or in the general recycling stream (e.g., street-level or curbside recycling bins). Lead-acid batteries must be disposed of differently than other batteries. Your municipal household hazardous waste (HHW) collection center or battery recycling boxes found at various retail and home improvement stores may accept this lead-acid battery for disposal. Before taking your battery to a HHW collection center, contact that office ahead of time and ask whether it accepts lead-acid batteries. If it does not, contact your municipality for further guidance.","Sold Online At","Amazon.com, Walmart.com, and TikTok.com from October 2025 through December 2025 for about $240.","Shenzhen Luobei Trading Co., Ltd., of China",,,China,,
26-345,,"March 26, 2026",,"GLMZZ Fidget Magnet Ball Toys Recalled Due to Risk of Serious Injury or Death from Magnet Ingestion; Violates Mandatory Standard for Toys","GLMZZ Fidget Magnet Ball Toys","This recall involves GLMZZ Fidget Magnet Ball Toy Sets. Each set contains eight round magnet balls (white, blue, green, pink, yellow, cream and two purple balls). Each ball is about 1.24 inches in diameter. The magnet toys come in a black zippered case.","The&nbsp;magnet ball toys violate the&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Toy-Saf… standard for toys because they are high-powered magnets, posing an ingestion hazard to children. When high-powered magnets are swallowed, they can attract each other, or other metal objects, and become lodged in the digestive system. This can result in perforations, twisting, and/or blockage of the intestines, blood poisoning and death.",,,Refund,"About 9,350","None reported","Consumers should stop using the recalled magnet ball toys immediately, take them away from children, and contact GLMZZ to receive a full refund. Consumers will be asked to throw the magnet ball toys away and email photo of the disposal to&nbsp;GLMZZrecall@outlook.com.","Sold Online At","Amazon.com from February 2025 to October 2025 for about $15.",,,,China,Retailer:,"Shenzhen Jiaying E-commerce Co., Ltd., dba GLMZZ, of China"
26-319,,"March 12, 2026",,"Stoney Games Recalls Kluster Magnet Chess Games Due to Risk of Serious Injury or Death from Magnet Ingestion; Violates Mandatory Standard for Toys","Kluster Fun Tabletop Magnet Chess Games","This recall involves the Kluster Fun Tabletop Magnet Chess Games with small, loose magnets about .5 to one inch wide and .3 to .4 inches high. The games are sold in a black box with the word “Kluster” on the front of the box. The games include about 24 magnets, an orange string, an instruction manual and a black storage pouch with “Kluster” printed on the front. The games were also sold in a white pouch with gameplay instructions printed on the back.","The recalled magnet games violate the https://www.ecfr.gov/current/title-16/chapter-II/subchapter-B/part-1250… lang=""EN-US"">mandatory standard for toys because they contain loose high-powered magnets that fit within CPSC’s small parts cylinder, posing an ingestion hazard to children. When high-powered magnets are swallowed, the ingested magnets can attract each other, or other metal objects, and become lodged in the digestive system. This can result in perforations, twisting, and/or blockage of the intestines, blood poisoning and death.",,,Replace,"About 151,600","None reported","Consumers should immediately stop using the recalled magnet games, take them away from children and contact Stoney Games for instructions on how to dispose of the recalled magnets and receive replacement magnets that are not small parts.","Sold At","Independent game shops nationwide, and online at Klustermagnets.com, Amazon.com, and Etsy.com from October 2018 to September 2025 for between $15 and $20.","Stoney Games, LLC of Bexley, Ohio",,,China,,
26-317,,"March 05, 2026",,"Cubimana Island Storm 3 In 1 Building Sets Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violates Mandatory Standard for Toys; Sold on Amazon by RBS Toys","Cubimana Island Storm 3 In 1 Building Sets with LED Lights","This recall involves Cubimana&nbsp;Island Storm 3 In 1 Building Sets. The sets contain 781 pieces of multi-colored building blocks and come in a black box with images of a pirate base and a pirate ship. Model number “HG1004” is printed on the front of the box.","The&nbsp;Island Storm Building Sets&nbsp;violate the mandatory safety standard for toys&nbsp;because the battery compartment within the LED light piece&nbsp;contains button cell batteries that can be easily accessed by children. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns and death.",,,Refund,"About 3,950","None reported","Consumers should take the&nbsp;Island Storm 3 In 1 Building Sets away&nbsp;from children immediately, stop using the&nbsp;recalled toys and remove and properly dispose of the batteries.&nbsp;Consumers will be asked to throw the&nbsp;product away and send a photo of the disposed product to&nbsp;productrecall@cubimanatoys.com&nbsp;to receive a full refund.Note:&nbsp;Button cell and coin batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.&nbsp;","Sold Online At","Amazon.com from October 2025 through January 2026 for about $30.",,,,China,Seller:,"Shenzhen Ruibosi Technology Co., Ltd., dba RBS Toys, of China"
26-303,,"February 26, 2026",,"Joyreal Busy Board Children’s Toys Recalled Due to Risk of Serious Injury or Death from Choking and Laceration Hazards; Violate Small Parts Ban and Mandatory Standard for Toys; Sold on Amazon by Indream Store","Joyreal Busy Board Toys","This recall involves Joyreal-branded busy board toys. The children’s toys consist of a wooden base that measures about 6.6 inches long by 6 inches wide and have 18 led lights, a power switch, a light brightness knob, a mirror, two keys, an electrical cable and a hand crank to generate power. The Joyreal logo and “POWER” are written on the front of the toy, and “SKU: MX049-3” and “Series no.20250730” are written on the underside of the toy.","The recalled children’s toys violate the&nbsp;https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fcpsc… parts ban because the small mirror can detach from the toy, posing a deadly choking hazard. In addition, the toys violate the mandatory&nbsp;https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fcpsc… for toys because the toy’s mirror has sharp edges, posing a laceration hazard.&nbsp;&nbsp;",,,Refund,About 210 ,"None reported","Consumers should stop using the recalled toys immediately, take them away from children and contact Indream Store for a full refund. Consumers will be asked to destroy the busy board by writing “RECALLED” with permanent marker on the front of the toy and send a photo of the destroyed toy to&nbsp;indreamrecall@outlook.com. Consumers should then dispose of the recalled product.&nbsp;","Sold Online At","Amazon.com from September 2025 through November 2025 for about $20.",,,,China,Retailer:,"Guangzhou Mengli Trading Co., Ltd., dba&nbsp;Indream Store, of China"
26-302,,"February 26, 2026",,"Zelbuck Children’s Chess Games Recalled Due to Risk of Serious Injury or Death from Magnet Ingestion; Violate Mandatory Standard for Toys; Sold on Amazon by n b plus","Zelbuck Magnetism Ball Game Toys","This recall involves Zelbuck-branded children’s chess games. The recalled, blue turtle-shaped games have a white playing board at the top and come with a multi-colored spinner and 32 black magnetic balls that can be stored under the playing board. “Magnetism Ball Game” is printed on the front of the game’s box and “Number 999-9” on the back.&nbsp;","The recalled children’s chess games violate the&nbsp;https://www.federalregister.gov/documents/2024/01/18/2024-00741/safety-… standard for toys because they contain loose magnets posing an ingestion hazard to children. When high-powered magnets are swallowed, they can attract each other, or other metal objects, and become lodged in the digestive system. This can result in perforations, twisting, and/or blockage of the intestines, blood poisoning and death.",,,Refund,"About 200","None reported","Consumers should stop using the recalled games immediately, take them away from children and contact n b plus for a full refund. Consumers will be asked to write “RECALLED” in permanent marker on the games and send a photo of the marked games to&nbsp;zelbuckrecall@sina.com. Consumers should then dispose of the recalled product.","Sold Online At","Amazon.com from October 2025 through November 2025 for about $14.",,,,China,Retailer:,"&nbsp;ShenZhenShiGuWangChuanShuoKeJiYouXianGongSi (Shenzhen Guwang Legend Technology Co., Ltd.), dba n b plus, of China"
26-300,,"February 26, 2026",,"TheKiddoSpace Recalls Children’s Christmas Tree Play Sets Due to Risk of Injury from Lead Exposure; Violates Federal Lead Content Ban and Mandatory Standard for Toys","Children’s Christmas Tree Toy Play Sets","This recall involves TheKiddoSpace-branded children’s Christmas tree toy play sets. The recalled felt play sets consist of a two-sided Christmas tree that measures about 40 inches high and 28 inches wide, holiday-themed felt ornaments, including one that reads “Merry Christmas”, and a storage box. TheKiddoSpace logo and “Christmas Tree” are printed on the front of the product packaging.","The zipper pull on the music box compartment of the recalled Christmas Tree Toys contain levels of lead that exceed the federal https://cpsc.gov/Business--Manufacturing/Business-Education/Lead/Total-… content ban. Lead is toxic if ingested by young children and can cause adverse health issues. Additionally, the Christmas tree component fails to comply with various https://cpsc.gov/Business--Manufacturing/Business-Education/Toy-Safety""… and electrical requirements for battery-operated toys.",,,Replace,"About 300","None reported.","Consumers should stop using the recalled play sets immediately, take them away from children, and contact TheKiddoSpace for a free replacement toy of at least equal value to the purchase price of the recalled play set, including free shipping. Consumers will be asked to write “RECALLED” on the tree and submit a photo of the marked product to info@thekiddospace.com. Consumers should then discard the tree and storage box in accordance with their local waste disposal requirements.","Sold Online At","TheKiddoSpaceStore.com from November 2023 through February 2025 for between $13 and $40.","SN Commerce LLC, dba TheKiddoSpaceStore, of Dover, Delaware",,,China,,
26-299,,"February 26, 2026",,"TheKiddoSpace Recalls Peg Doll Children’s Toys Due to Risk of Serious Injury or Death from Choking Hazard; Violate Small Parts Ban","TheKiddoSpace Peg Dolls in Cups Toys","This recall involves TheKiddoSpace-branded peg dolls in cups toys. The children’s toys consist of seven rainbow-colored wooden peg figures with a matching cup and a circular natural wood tray. TheKiddoSpace logo and “Peg Dolls in Cups” are printed on the toy’s blue box.","The recalled toys are intended for children under three years old and the toy’s peg dolls can block a child’s airway, which violate the https://cpsc.gov/Business--Manufacturing/Business-Education/Business-Gu… parts ban, posing a risk of choking and death to children.",,,Refund,"About 40","None reported","Consumers should stop using the recalled toys immediately, take them away from children and contact TheKiddoSpace for a full refund. Consumers will be asked to write “RECALLED” in permanent marker on the pieces and send a photo of the marked toys to&nbsp;info@thekiddospace.com. Consumers should then dispose of the toys.","Sold Online At","TheKiddoSpaceStore.com from July 2023 through February 2025 for about $30.","SN Commerce LLC, dba TheKiddoSpaceStore, of Dover, Delaware",,,China,,
26-298,,"February 26, 2026",,"TheKiddoSpace Recalls LED Soccer Hover Balls Due to Serious Risk of Injury from Burn Hazard; Violates Mandatory Standard for Toys","TheKiddoSpace LED Soccer Hover Balls","This recall involves TheKiddoSpace-branded LED soccer hover balls. The recalled plastic soccer balls are black and white and have foam bumpers. TheKiddoSpace logo, “HOVER LED SOCCER BALL” and “GLIDE INTO FUN!” are printed on the front of the product packaging. Only the small hover balls that measure about 5.5 inches in diameter are included in this recall.","The surface temperature of the recalled toys’ batteries exceeds the allowable limit, which violates the&nbsp;https://cpsc.gov/Business--Manufacturing/Business-Education/Toy-Safety""… for toys, posing a risk of burn injuries.",,,Replace,"About 650","TheKiddoSpace has received three reports of a burning smell coming from the hover ball when in use. No injuries have been reported.","Consumers should stop using the recalled balls immediately, take them away from children and contact The KiddoSpace to receive a free replacement LED soccer hover ball, including shipping. Consumers will be asked to write “RECALLED” in permanent marker on the ball and send a photo of the marked ball to&nbsp;info@thekiddospace.com. Consumers should then dispose of the ball in accordance with their local waste disposal requirements.","Sold At","Received by consumers as promotional giveaways from December 2024 through February 2025.","SN Commerce LLC, dba TheKiddoSpaceStore, of Dover, Delaware",,,China,,
26-297,,"February 26, 2026",,"TheKiddoSpace Recalls Children’s Montessori Egg Puzzle Toys Due to Risk of Serious Injury or Death from Choking Hazard","TheKiddoSpace Children’s Montessori Egg Toys","This recall involves TheKiddoSpace-branded Montessori children’s puzzle egg toys. The recalled toys consist of six or 12 white plastic eggs that split in two and come in a yellow storage case. Each egg half has a different colored geometric shape that only fits with its matching pair.","The recalled toys are intended for children under three years of age and the eggs can block a child’s airway, posing a risk of choking and death to children.",,,Refund,"About 200","None reported","Consumers should stop using the recalled toys immediately, take them away from children and contact TheKiddoSpace for a full refund. Consumers will be asked to write “RECALLED” in permanent marker on the toy and send a photo of the marked toy to&nbsp;info@thekiddospace.com. Consumers should then dispose of the toy.","Sold Online At","TheKiddoSpaceStore.com from June 2023 through February 2025 for between $20 and $30.","SN Commerce LLC, dba TheKiddoSpaceStore, of Dover, Delaware",,,China,,
