"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
25479,,"September 25, 2025",,"Persilux Brand Zebra Blinds Recalled Due to Strangulation and Entanglement Hazards and Risk of Serious Injury or Death; Violates Federal Rule for Window Coverings; Sold on Amazon","Persilux Zebra Blinds","This recall involves Persilux-branded zebra blinds. The recalled stock blinds were sold in beige, black, dark gray, light gray and white, with sizes ranging from 22 to 73 inches wide and&nbsp;64 to 72 inches high. “Persilux and “Zebra Blinds” is printed on the product packaging. “X003FFPT63” is printed on the barcode label.&nbsp;","The recalled blinds have long operating cords that can cause death or serious injury to children, due to strangulation and entanglement hazards. The blinds violate the federal rule for window coverings and present a substantial product hazard. In addition, the blinds also violate labeling requirements for window coverings.",,,Repair,"About 133,000","None reported","Consumers should immediately stop using the recalled blinds and contact Persilux for a free repair kit, including shipping. The repair kit consists of a replacement operating cord wand and installation instructions. Consumers should remove the blind, cut and remove the operating cord and send a photograph of the blinds, with the operating cord removed, to&nbsp;recall@persiluxhome.com.&nbsp;","Sold At","Amazon from June 2023 through June 2025 for between $40 and $124.","Zhejiang Xidamen New Material Co. Ltd., of China, doing business as Amazon seller Persilux",,,China,,
25478,,"September 25, 2025",,"Autoez Brand Bamboo Shades Recalled Due to Strangulation and Entanglement Hazards and Risk of Serious Injury or Death; Violates Federal Rule for Window Coverings; Sold on Walmart.com","Autoez Bamboo Shades","This recall involves Autoez-branded bamboo shades. The recalled bamboo shades were sold in brown, with sizes ranging from 24 to 72 inches wide and&nbsp;64 to 72 inches high. “Autoez” is printed on the sticker label on the top rail of the shades.","The recalled shades have long operating cords and accessible inner cords that can cause death or serious injury to children, due to strangulation and entanglement hazards. The shades violate the federal rule for window coverings and present a substantial product hazard. In addition, the shades also violate labeling requirements for window coverings.",,,Refund,"About 550","None reported","Consumers should immediately stop using the recalled shades and contact Autoez for a full refund. Consumers should remove the shades, cut the operating cord, write the word “Recalled” on the shades and dispose of the product in the garbage. Consumers should send a photograph of the destroyed window shades in the garbage to&nbsp;Autoez_recall@163.com.","Sold At","Walmart.com from September 2023 through May 2025 for between $21 and $50.","Sichuan Yunduan Renjia Trading Co. Ltd., of China, doing business as Walmart seller Autoez.",,,China,,
25233,,"April 24, 2025",,"Window Roll Up Shades Recalled Due to Strangulation and Entanglement Hazards and Risk of Serious Injury or Death; Violation of Federal Regulations for Window Coverings; Sold Exclusively on SHEIN.com by LuckupShein","LuckupShein Window Roll Up Shades","This recall involves&nbsp;LuckupShein window roll up&nbsp;shades. The&nbsp;shades were sold in white,&nbsp;gray and black, and in sizes ranging between 20 and 44 inches wide and&nbsp;72 inches high.&nbsp;“Desheng” is printed on the label on the&nbsp;top&nbsp;of valance cover.","The recalled window shades have long operating cords that can cause death or serious injury to children, due to strangulation and entanglement hazards. The window shades are in violation of the federal regulations for window coverings and present a substantial product hazard. The window shades also violate federal regulations for labeling of window coverings.&nbsp;",,,Repair,"About 545","None reported","Consumers should immediately stop using the recalled window shades, cut the operating cord and contact LuckupShein to receive a free repair, consisting of a replacement operating cord device. Consumers will be asked to send a photo of the recalled product with the operating cord cut&nbsp;to&nbsp;luckupshein@163.com.&nbsp;Once the firm receives the picture of the product with the original cord cut, consumers will be sent a replacement operating cord wand device with installation instructions.&nbsp;","Sold Exclusively Online","us.SHEIN.com from May 2023 through December 2024 for between $34 and $52.",,,,China,Retailer:,"LuckUpShein, of China"
25234,,"April 24, 2025",,"Roll Up Window Blinds Recalled Due to Risk of Serious Injury or Death from Strangulation and Entanglement Hazards; Violation of Federal Regulations for Window Coverings; Sold Exclusively on Amazon.com by BTAMREE","Roll Up Window Blinds","This recall involves corded BTAMREE roll up window blinds. The bamboo blinds were sold in brown and natural (tan) and in sizes ranging between&nbsp;24 and&nbsp;72 inches wide and&nbsp;72 inches high. “BTAMREE” is printed on the label sticker.","The recalled window blinds have long operating cords that can cause death or serious injury to children, due to strangulation and entanglement hazards.&nbsp;The window blinds are in violation of the federal regulations for window coverings and present a substantial product hazard.",,,Refund,"About 20,380","None reported","Consumers should immediately stop using the recalled window blinds and contact BTAMREE for a full refund. Consumers should remove the window blind, mark it with the word “Recalled” and dispose of the product in the garbage. Consumers should take a photograph of the window blinds destroyed in the garbage and upload the photo to&nbsp;sales@cy-bamboo.com to register their product and to receive a refund.&nbsp;BTAMREE is contacting all known purchasers directly.","Sold At","Amazon.com from May 2021 through December 2024 for between $30 and $100.","AnJi ChenYiZhuMuZhiPin YouXianGongSi, cy.curtain bright, d/b/a BTMAREE, of China",,,China,,
25230,,"April 17, 2025",,"Joydeco Roller Window Shades Recalled Due to Strangulation and Entanglement Hazards and Risk of Serious Injury or Death; Violation of Federal Regulations for Window Coverings; Sold on Amazon.com by Shanghai Chushuo Electronic Commerce Co.","Joydeco Roller Window Shades","This recall involves Joydeco Roller Window Shades sold exclusively on Amazon.com. The roller shades were sold in multiple colors, including beige, light gray and white&nbsp;with sizes ranging from a width of&nbsp;20-70 inches and&nbsp;height of&nbsp;75 inches. Joydeco is printed on the label sticker on the headrail.","The recalled roller shades have long operating cords that can cause death or serious injury to children, due to strangulation and entanglement hazards. The window coverings are in violation of the federal regulations for window coverings and present a substantial product hazard. The shades also violate labeling requirements for window coverings.",,,"Refund, Repair","About 73,000","None reported","Consumers should immediately put the window shade’s cords up and away from children and contact Shanghai Chushuo Electronic Commerce Co.&nbsp;Ltd to receive a full refund or free replacement operating cord wand. Consumers must send a photo of the recalled product with the operating cord cut to&nbsp;amazonservice@joydeco.com. Once the firm receives the photo, consumers will receive a repair kit with installation instructions through&nbsp;Shunfeng Express or UPS. The firm is contacting all known purchasers directly.","Sold Exclusively At","Amazon.com from September 2021 through September 2024 for between $26 and $80.","Shanghai Chushuo Electronic Commerce Co. Ltd., of China",,,China,,
25198,,"March 27, 2025",,"LINKCOO Blackout Roller Window Shades Recalled Due to Strangulation and Entanglement Hazards and Risk of Serious Injury or Death; Violation of Federal Regulations for Window Coverings; Sold Exclusively on Amazon.com by LINKCOO","LINKCOO Blackout Roller Window Shades","This recall involves LINKCOO corded window shades. The roller shades were sold in white, gray and black, and in sizes ranging between&nbsp;10 and&nbsp;75 inches wide and&nbsp;79 inches high. “LINKCOO” is printed on the label sticker on the shades’ lower pole.&nbsp;","The recalled window shades have long operating cords that can cause death or serious injury to children, due to strangulation and entanglement hazards. The window shades are in violation of the federal regulations for window coverings and present a substantial product hazard. The window shades also violate federal regulations for labeling of window coverings.",,,Repair,"About 16,300","None reported","Consumers should immediately stop using the recalled window coverings, cut their cord and contact LINKCOO to receive a free repair, consisting of a replacement operating cord device. Consumers will be asked to send a photo of the recalled product with the operating cord cut to&nbsp;recalllinkcoo@163.com. Once the firm receives the photo, consumers will be sent a replacement short operating cord with installation instructions. Amazon is contacting all known purchasers directly.","Sold Exclusively Online","Amazon.com from December 2022 through September 2024 for between $20 and $88.",,,,China,Retailer:,"Wenzhou Lingtuo Shangmao Youxiangongsi, dba LINKCOO, of China"
25163,,"February 27, 2025",,"Allesin Blackout Roller Window Shades Recalled Due to Strangulation and Entanglement Hazards and Risk of Serious Injury or Death; Violation of Federal Regulations for Window Coverings; Sold Exclusively on Amazon.com by Allesin","Allesin Blackout Roller Window Shades","This recall involves Allesin corded window shades. The roller shades were sold in white, gray and dark gray, and in sizes ranging between&nbsp;20 and&nbsp;58 inches wide and&nbsp;72 inches high. “Allesin” is printed on the label sticker on the shades’ headrail.","The recalled window shades have long operating cords that can cause death or serious injury to children due to strangulation and entanglement hazards. The window shades are in violation of the federal regulations for window coverings and present a substantial product hazard.&nbsp;The window shades also violate federal regulations for labeling of window coverings.",,,Refund,"About 3,800","None reported","Consumers should immediately stop using the recalled window coverings, cut their cord and contact Allesin to receive a full refund. Consumers will be asked to upload a photo of the recalled product with the operating cord cut to&nbsp;chinahert_fighting@outlook.com. Once the firm receives the photo, consumers will receive a refund through the original form of purchase payment. Amazon is contacting all known purchasers directly.","Sold Exclusively Online","Amazon.com from September 2023 through September 2024 for between $29 and $58.",,"Allesin US Store Ltd., of China",,China,,
25151,,"February 20, 2025",,"Shadeks Recalls ShadesU Roller Window Shades Due to Strangulation and Entanglement Hazards and Risk of Serious Injury or Death; Violation of Federal Regulations for Window Coverings; Sold Exclusively on Amazon.com","ShadesU Roller Window Shades","This recall involves ShadesU Roller Window Shades sold exclusively on Amazon.com. The roller blinds were sold in multiple colors with sizes ranging from a width of 20 to 90 inches and&nbsp;height of 72 inches. “ShadesU” is printed on the label sticker on the right side of the bottom rail of the blinds.","The recalled window blinds have long operating cords that can cause death or serious injury to children, due to strangulation and entanglement hazards. The window blinds are in violation of the federal regulations for window coverings and present a substantial product hazard. The window blinds also violate federal regulations for labeling of window coverings.",,,Repair,"About 15,500","None reported","Consumers should immediately put the window blind cords up and away from children and contact Shadeks for instructions to return the shades for a free repair. Shadeks will remove the long operating cord and update the shades to a cordless design. Consumers will need to provide their contact information and address to receive a free shipping label. Amazon is contacting all known purchasers directly.","Sold Exclusively At","Online at Amazon.com from June 2024 through September 2024 for between $34 and $170.","Shadeks LLC, of Bensalem, Pennsylvania",,,Turkey,,
25147,,"February 20, 2025",,"Homebox Blackout Roller Window Shades Recalled Due to Strangulation and Entanglement Hazards and Risk of Serious Injury or Death; Violation of Federal Regulations for Window Coverings; Sold Exclusively on Amazon.com by Zhejiang Mingjing Textile Co.","Homebox Blackout Roller Window Shades","This recall involves Homebox Blackout Roller Window Shades with metal cords hanging from the right side. The roller blinds were sold in multiple colors, including black, white and sage, with sizes ranging from a width of&nbsp;10-70 inches and&nbsp;height of&nbsp;64-72 inches. “Homebox” is printed on the label sticker on the headrail.","The recalled window blinds have long operating cords that can cause death or serious injury to children, due to strangulation and entanglement hazards. The window blinds are in violation of the federal regulations for window coverings and present a substantial product hazard. The window blinds also violate federal regulations for labeling of window coverings.",,,"Replace, Repair","About 4,900","None reported","Consumers should immediately put the window blind’s cords up and away from children and contact Zhejiang Mingjing Textile to receive a free repair, consisting of a replacement operating cord device or a free replacement cordless blind. Consumers must upload a photo of the recalled product with the operating cord and curtain fabric cut at http://www.hoteamtex.net/por.jsp?id=2&amp;_jcp=5_2. Once the firm receives a&nbsp;video or picture of the product with the original pull cord cut, consumers will be sent a replacement operating cord wand device with installation instructions or replacement cordless blinds through Amazon. Amazon is contacting all known purchasers directly.","Sold Exclusively At","Amazon.com from December 2022 through September 2024 for between $20 and $110.",,"Zhejiang Mingjing Textile Co. Ltd, of China",,China,,
25128,,"February 06, 2025",,"Thy Trading Company Recalls Roll Up Window Blinds Due to Strangulation and Entanglement Hazards; Violation of Federal Regulations for Window Coverings; Sold Exclusively at Wayfair.com","Roll Up Window Blinds","This recall involves Thy Trading’s bamboo roll up window blinds. The semi-sheer blinds measure about 24” wide by 84” high and 72” wide, and were sold in light brown, brown, camel, dark brown, blue, burgundy and white colors. The window blinds have one of the following SKU numbers located on the product packaging:SKU NumberName of ProductColorSKU TYCO1012Window Blind Semi-Sheer Brown Outdoor Roll Up ShadeBrown &amp; TanSKU TYCO1013Semi-Sheer Natural Outdoor Roll-Up ShadeLight brownSKU TYCO1014Semi-Sheer Tan/Black Roll-Up Shade&nbsp;BrownSKU TYCO1015Semi-Sheer Tan Outdoor Roll-Up Shade&nbsp;CamelSKU TYCO1017Semi-Sheer Roll-Up ShadeDark brownSKU TYCO1022Semi-Sheer Blue/White Roll-Up Shade&nbsp;BlueSKU TYCO1024Semi-Sheer Brown Roll-Up ShadeLight bambooSKU TYCO1025Semi-Sheer Roll-Up Shade&nbsp;BurgundySKU TYCO1026Semi-Sheer Red/Brown Roll-Up Shade&nbsp;BurgundySKU TYCO1027Bamboo Semi-Sheer Natural Outdoor Roll-Up ShadeBrownSKU TYCO1034Bamboo Semi-Sheer Red Roll-Up ShadeBurgundySKU TYCO1035Semi-Sheer Carbonized Brown Roll-Up ShadeBrownSKU TYCO1039Semi-Sheer White Roll-Up ShadeWhiteThe recalled window blinds present a substantial product hazard posing a risk of serious injury or death.","The recalled window blinds have long operating cords that can cause death or serious injury to children, due to strangulation and entanglement hazards. The window blinds are in violation of the federal regulations for window coverings and present a substantial product hazard.",,,Refund,"About 720","None reported","Consumers should immediately stop using the recalled window coverings and contact Thy Trading Company for a full refund. Consumers should remove the window blind, mark it with the word “Recalled”, and dispose of the product in the garbage. Consumers should take a photograph of the window blind destroyed in the garbage and upload the photo to thytradingllc@outlook.com to register their product to receive a refund. Thy Trading Company is contacting all known purchasers directly.","Sold Exclusively Online","Wayfair.com from June 2024 through September 2024 for between $11 and $194.","Thy Trading Company, of Phoenixville, Pennsylvania ",,,China,,
