"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26-231,,"January 29, 2026",,"Viofairy Hair Growth Serum Bottles Recalled Due to Risk of Serious Injury or Death from Child Poisoning; Violates Mandatory Standard for Child-Resistant Packaging; Sold on Amazon by FDAF","Viofairy Hair Growth Serum","This recall involves Viofairy Hair Growth Serum. The hair serum comes in black and gold packaging and a black bottle with gold and white label and a black cap. The hair serum has “VIOFAIRY HAIR GROWTH SERUM” and “5% MINOXIDIL With BIOTIN” printed on labels located the front of the bottle.","The serum bottles contain minoxidil, which must be in child-resistant packaging, as required by the&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… Prevention Packaging Act. The serum’s packaging is not child-resistant, posing a risk of serious injury or death from poisoning if the contents are swallowed by young children.",,,Replace,"About 8,600","None reported","Consumers should immediately secure the recalled serum bottles out of sight and reach of children and contact FDAF for instructions on how to destroy the recalled bottles and to receive a free replacement. Consumers will be asked to pour the contents of the bottle into the trash and email a photo of the bottle in the trash to&nbsp;sesuall@outlook.com.","Sold Online At","Amazon.com from January 2024 through September 2025 for about $15.",,"Guangzhou Runshu BioTech Co., Ltd. of China",,China,Retailer:,"Shen Zhen Shi Yi Jiu Si Mao Yi You Xian Gong Si &nbsp; dba FDAF, of China"
26-218,,"January 29, 2026",,"Sefudun 5% Minoxidil Hair Growth Serum Kits Recalled Due to Risk of Serious Injury or Death from Child Poisoning; Violates Mandatory Standard for Child-Resistant Packaging; Sold on Amazon by Nengmiaokeji","Sefudun Hair Growth Serum Kits","This recall involves Sefudun 5% Minoxidil Hair Growth Serum Kit . The hair serum comes in a black glass bottle with a black and golden dropper cap and a black and white label. The kit included a black plastic applicator. The hair serum has “SEFUDUN HAIR GROWTH SERUM” and “BIOTIN 5% MINOXIDIL” printed on labels located on the front of the bottle.","The hair growth serum contains minoxidil, which must be in child-resistant packaging, as required by the https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines… Prevention Packaging Act. The serum bottle is not child-resistant, posing a risk of serious injury or death from poisoning if the contents are swallowed by young children.",,,Replace,"About 7,000","None reported","Consumers should immediately secure the recalled serum bottles out of sight and reach of children and contact Nengmiaokeji for a free replacement bottle of serum. Consumers will be asked to pour the contents of the bottle into the trash, take a photo of the empty bottle in the trash and email it to&nbsp;sesuall@outlook.com.","Sold Online At","Amazon.com from December 2023 through August 2025 for about $15.",,,"Ganzhounengmiaokejiyouxiangongsi dba Nengmiaokeji, of China",China,,
26-125,,"November 26, 2025",,"McLee Creations Recalls MyOnlyStyler Root Booster Hair Dryers Due to Risk of Serious Injury or Death from Electrocution and Shock Hazards","MyOnlyStyler Root Booster Hair Dryers","This recall involves MyOnlyStyler Root Booster Hair Dryers. The hair dryer&nbsp;was sold in white with black bristles and has “MY ONLY STYLER” printed on the handle.&nbsp;Model number “MOS-22” is printed on the back of the handle. The hair dryer measures 12 inches long by 1.75 inches wide.&nbsp;","The handheld hair dryers lack an immersion protection device, which presents a substantial product hazard to consumers, posing the risk of death or serious injury from electrocution or shock if the hair dryers fall into water while plugged in.",,,Refund,"About 740","None reported","Consumers should immediately unplug and stop using the recalled hair dryers and contact McLee Creations to receive a full refund. Consumers must submit a photo of the hair dryer with its power cord cut in half to the recall registration portal at&nbsp;https://www.myonlystyler.com/product-recall-registration/&nbsp; and follow the disposal instructions provided on the website&nbsp;https://www.myonlystyler.com/product-recalls.","Sold Online At","Amazon.com from November 2022 through October 2025 for between $50 and $60.","McLee Creations LLC, of Valencia, California",,,China,,
26-046,,"October 23, 2025",,"J & D Brush Recalls Bio Ionic Hair Curling Irons Due to Burn Hazard","Bio Ionic One-Inch-Long Barrel Curling Iron","This recall involves the Bio Ionic One-Inch-Long Barrel Curling Iron model number LXT-CL-1.0 with a date code between 0722 and 1223. The curling iron has a black handle and black barrel. The product measures about 15.8 inches long by 2.87 inches high by 1.65 inches wide and weighs about 15 ounces. The curling iron handle has a blue BIOIONIC logo and a black label that provides operating instructions. The model number can be found on the rating label located on the handle of the curling iron. The date code is engraved on the prongs of the plug in the format MMYY representing the month and year.","The barrel of the curling iron can snap and detach, posing a burn hazard to consumers.",,,Replace,"About 357,000 (In addition, about 3,000 were sold in Canada)","The firm has received 258 reports of the curling iron barrel detaching, including six minor burn injuries.","Consumers should immediately stop using the recalled curling iron, unplug it, and contact Bio Ionic to register for a free replacement curling iron. Consumers will be asked to cut off the plug and return the plug to the recalling firm using a prepaid shipping label.&nbsp;","Sold At","Amazon and Bioionic.com. In-store and online at Salon Centric, Ulta, Sephora, and Nordstrom and in salons and beauty supply stores nationwide from August 2022 through July 2024 for about $165.","J & D Brush Co., LLC of Commack, New York",,,China,,
25-430,,"August 14, 2025",,"Empower Brands Recalls Remington Hair Dryers Due to Risk of Serious Injury or Death from Electrocution and Shock Hazards","Hair Dryers sold under the “Remington” brand, model number D3190DCDN","This recall involves Empower Brands’ Hair Dryers sold under the “Remington” brand, model number D3190DCDN. The hairdryers were sold in purple with black accents.&nbsp;There are three black-colored operating buttons on the hair dryer handles. “Remington” is written in white text on the side of the hair dryer. The product is about 8.5 inches long by 11.6 inches high by 3.6 inches wide and weighs approximately 1.5 pounds.&nbsp;","The handheld hair dryers lack an immersion protection device, which presents a substantial product hazard to consumers, posing the risk of death or serious injury from electrocution or shock if the hair dryers fall into water while plugged in.",,,Refund,"About 56,300","None reported","Consumers should immediately unplug and stop using the recalled hair dryers and contact Empower Brands to receive a full refund.&nbsp;Consumers must submit a photo of the hair dryer with its power cord cut in half to the recall registration portal at&nbsp;https://www.remingtonproducts.com/product-recalls and follow the disposal instructions provided on the website.","Sold Exclusively Online","Walmart Marketplace, Target Marketplace, and Amazon from March 2024 through June 2025 for between $25 and $32.","Spectrum Brands Inc. for the benefit of Empower Brands, LLC, both of Middleton, Wisconsin",,,China,,
25-426,,"August 07, 2025",,"Séfralls Minoxidil Hair Generation Serum Recalled Due to Risk of Serious Injury or Death from Child Poisoning; Violates Mandatory Standard for Child Resistant Packaging; Manufactured by Guangzhou Ariel Biotech","Séfralls Minoxidil Hair Generation Serum","This recall involves&nbsp;Séfralls Hair Generation Serum. The hair serum comes in an amber dropper bottle with a white and gold dropper and a white, black and gold label. “Séfralls” and “Minoxidil” are printed on the label located on the front of the bottle.","The hair serum contains minoxidil, which must be in child-resistant packaging as required by the Poison Prevention Packaging Act. The hair serum’s packaging is not child-resistant, posing a risk of serious injury or death from poisoning if the contents are swallowed by young children.",,,Replace,"About 21,300","None reported","Consumers should immediately secure the recalled serum bottles out of sight and reach of children, and contact&nbsp;Guangzhou Ariel Biotech for instructions on destroying the recalled bottles and receiving a replacement.&nbsp;Consumers will be asked to pour the contents of the bottle into the trash and take a photo of the bottle in the trash and email it to&nbsp;sefralls@outlook.com.","Sold At","Amazon from June 2024 through June 2025 for about $10.&nbsp;","Guangzhou Ariel Biotech Co. Ltd, dba Ariel Biotech of China","Guangzhou Ariel Biotech Co. Ltd., of China",,China,,
25-257,,"May 08, 2025",,"Legend Brands Recalls Bliss Hair Dryers Due to Risk of Serious Injury or Death from Electrocution and Shock Hazards; Sold Exclusively at Burlington Stores","Bliss Hair Dryers","This recall involves Legend Brands’ Bliss hair dryers. The foldable travel hairdryers were sold in teal and pink with silver accents. The three-speed hairdryers&nbsp;have a temperature regulation switch. The Bliss logo appears in white lettering on the side of the blow dryer.","The handheld hair dryers lack an immersion protection device and can cause death or serious injury due to electrocution or shock if the hair dryers fall into water when plugged in. The hair dryers are in violation of federal regulations for hair dryers and present a substantial product hazard.",,,Refund,"About 500","None reported","Consumers should immediately unplug and stop using the recalled hair dryers and contact Legend Brands to receive a full refund.&nbsp;Consumers will be asked to destroy the hair dryers by cutting the cord and disposing of the product. Consumers must send a photo of the destroyed hair dryers to&nbsp;support@shoptrakk.com.&nbsp;Legend Brands is contacting all known purchasers directly.","Sold Exclusively At","Burlington stores nationwide from January 2025 through March 2025 for about $20.","Legend Brands LLC, of New York",,,China,,
25-211,,"April 03, 2025",,"AliExpress Recalls LVOE Hair Dryers Due to Electrocution and Shock Hazards; Sold on AliExpress.com","LVOE Hair Dryers","This recall involves LVOE-branded negative ion hair dryers. The hair dryers were sold in purple, pink, light gray and gold and have multiple air settings, temperature control and a diffuser. They come with three or four nozzles. “Product name,” ""Hair Dryer” and “Product model: X13” are printed on a label located on the hair dryer’s packaging.","The handheld hair dryers lack an immersion protection device and can cause death or serious injury due to electrocution or shock if they fall into water when plugged in. The hair dryers are in violation of the federal regulations and present a substantial product hazard.",,,Refund,"About 30","None reported","Consumers should immediately unplug and stop using the recalled hair dryer and contact AliExpress to receive a full refund. Consumers will be asked to destroy the hair dryer by cutting the cord and disposing of it. Consumers must send a photo of the destroyed hair dryers to us_product_recall@aliexpress.com or by replying to the recall email sent by AliExpress. AliExpress is contacting all known purchasers directly.","Sold Online At","AliExpress.com from April 2023 through December 2024 for between $117 and $185.",,,,China,Retailer:,"Shenzhen&nbsp;Meili&nbsp;Technology&nbsp;Co., of China"
25-210,,"April 03, 2025",,"AliExpress Recalls Mini Travel Hair Dryers Due to Electrocution and Shock Hazards; Sold on AliExpress.com","Mini Travel Hair Dryers","This recall involves XZT Huizhou’s compact mini hair dryers. The foldable dryers were sold in blue, green, pink and white, and have a white switch with two gear settings and a thermostatic function. “Fashion Hair Dryer” and an image of two animal faces appear on the side of the hair dryer next to a white button with “OK” embossed on it.","The handheld hair dryers lack an immersion protection device and can cause death or serious injury due to electrocution or shock if the hair dryers fall into water when plugged in. The hair dryers are in violation of the federal regulations and present a substantial product hazard.",,,Refund,"About 50","None reported","Consumers should immediately unplug and stop using the recalled hair dryer and contact AliExpress to receive a full refund.&nbsp;Consumers will be asked to destroy the recalled hair dryer by cutting the cord and disposing of it. Consumers must send a photo of the destroyed hair dryer to&nbsp;us_product_recall@aliexpress.com, or by replying to the recall email sent by AliExpress. AliExpress is contacting all known purchasers directly.","Sold Online At","AliExpress.com from May 2023 through November 2024 for between $1 and $7.",,,,China,Retailer:,"Huizhou&nbsp;Bailitong&nbsp;Electronics&nbsp;Co.&nbsp;Ltd., dba XZT Huizhou, of China"
25-209,,"April 03, 2025",,"AliExpress Recalls Foldable Travel Hair Dryers Due to Electrocution and Shock Hazards; Sold on AliExpress.com","Foldable Travel Hair Dryers","This recall involves foldable travel hair dryers. The dryers were sold in blue, pink and purple, and have a red switch with three adjustable gears and an air-collecting nozzle. “Guangmei 3858 hair dryer” is printed on the side of the hair dryer.","The handheld hair dryers lack an immersion protection device that can cause death or serious injury due to electrocution or shock hazards if it falls into water when plugged in. The hair dryers are in violation of the federal regulations and present a substantial product hazard.",,,Refund,"About 80","None reported","Consumers should immediately unplug and stop using the recalled hair dryers and contact AliExpress to receive a full refund.&nbsp;Consumers will be asked to destroy the hair dryer by cutting the cord and disposing of it. Consumers must send a photo of the destroyed hair dryer to us_product_recall@aliexpress.com or&nbsp;by replying to the recall email sent by AliExpress. AliExpress is contacting all known purchasers directly.","Sold Online At","AliExpress.com from April 2022 through January 2025 for between $4 and $13.",,,,China,Retailers:,"Shenzhen Electronic Commerce Co. Ltd. and&nbsp;Yaoyi Electronic Commerce Co. Ltd., of China"
