"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26-256,,"February 05, 2026",,"DriBiz Recalls Ammo Tabs Desiccant Tiles Due to Injury Hazard","Ammo Tabs Fiber Desiccant Tiles used for Firearms and Ammunition","This recall involves Ammo Tabs, rectangular, off-white fiber desiccant tiles measuring about 2 inches by 4 inches with a thickness of 2.5mm. The tiles are used within ammunition cans and pistol cases to absorb and lock in humidity. Model number AMT-010 is printed on the packaging.","The Ammo Tab can fail to protect the firearms and ammunition from humidity, allowing excess moisture to cause corrosion or rust that can increase the risk of malfunction and pose an injury hazard.",,,Refund,"About 760","None reported","Consumers should immediately stop using the recalled Ammo tab and go to the firm’s website at&nbsp;https://www.norustzone.com to receive instructions on how to receive a full refund and to dispose of the tab.&nbsp;","Sold At","Amazon.com from July 2025 through December 2025 for between $10 and $13.","DriBiz LLC, Fairview Heights, Illinois",,,China,,
25-458,,"September 04, 2025",,"StopBox USA Recalls AR-15 Chamber Lock Pros Due to Risk of Serious Injury and Death","AR-15 Chamber Lock Pro Firearm Locks","This recall involves certain AR-15 Chamber Lock Pro firearm locks shipped between June 2 and July 15, 2025. Consumers can find their shipping date by contacting StopBox by phone, email, or online at&nbsp;https://stopboxusa.com/pages/stopbox-ar-15-chamber-lock-recall. This is a device designed to lock into the chamber of an AR-15 style rifle and prevent it from firing. The product is made of anodized aluminum machined parts, was sold in red and black, and has five buttons that correspond to each finger. It has the StopBox “S” logo and “CHAMBER LOCK PRO AR-15” laser etched on the back of the product.","A manufacturing defect allows the recalled chamber locks to be forcibly removed, allowing unauthorized or unintended access to the firearm, posing a risk of serious injury or death.",,,"Refund, Replace","About 300","None reported","Consumers should immediately stop using the recalled AR-15 Chamber Lock Pro and secure their firearm using other means. Consumers should contact StopBox USA to receive a prepaid return shipping label and instructions to return their recalled AR-15 Chamber Lock Pro for their choice of a full refund or replacement AR-15 Chamber Lock Pro.","Sold At","StopBox USA in store and online, and from dealers nationwide June 2025 through July 2025 for about $150.",,"StopBox USA, of Spokane Valley, Washington",,"United States",,
25-143,,"February 20, 2025",,"Holosun Technologies Recalls Two Firearm Dot Sights Due to Battery Ingestion Hazard; Violations of Reese’s Law Federal Safety Regulations for Consumer Products with Coin Batteries and Child Resistant Coin Battery Packaging","Holosun Firearm Dot Sights","This recall involves Holosun Firearm&nbsp;Dot Sights: Red Dot Sights (Model HS503G-ACSS) and Gold Dot Sight (Model HE512C-GD). The dot sight is an accessory that attaches to a firearm and produces an illuminated color dot for precision aiming. They are labeled with the product name and model on the packaging sleeve, box, manual and product display panel. The product includes the dot sight in matte black color, one packaged CR2032 lithium coin battery and the manual.","The recalled Holosun Red and Gold Firearm Dot Sights violate the mandatory federal regulations for consumer products containing button cell or coin batteries because the lithium coin battery can be easily accessed, posing an ingestion hazard. The products include a lithium coin battery which is not in child-resistant packaging, as required by Reese’s Law. In addition, the products do not bear the required warnings. When button cell or coin batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns, and death.",,,Replace,"About 9,400","None reported","Consumers should immediately stop using the&nbsp;recalled Firearm&nbsp;Dot Sights and place them in an area that children cannot access. Contact Holosun Technologies for instructions on receiving a free recall kit which includes a battery compartment enclosure with the required labeling and an updated instruction manual for HS503G-ACSS models. For HE512C-GD models, Holosun Technologies will provide free return shipping to install a compliant battery compartment tray and include a compliant instruction manual and new packaging. Holosun Technologies is contacting all known purchasers directly.Note: Button cell and coin batteries are hazardous. Batteries should be disposed of or recycled by following local procedures for hazardous household waste, not in the trash.","Sold At","Primary Arms, EuroOptic, GRITR Sports, Davidson’s, MidwayUSA, Carolina Sporting Arms, Palmetto State Armory and other stores nationwide, and online at opticsplanet.com from February 2023 through August 2024 for between $250 and $350, depending on the model.","Holosun Technologies Inc., of City of Industry, California",,,China,,
25-087,,"January 08, 2025",,"SIG SAUER Recalls ROMEO5 Red Dot Firearm Sights Due to Ingestion Hazard; Violations of Reese’s Law Federal Safety Regulations for Consumer Products with Button Cell Batteries and Child Resistant Button Cell Battery Packaging","SIG SAUER ROMEO5 Red Dot Sights","This recall involves&nbsp;SIG SAUER ROMEO5 Red Dot Sights, Models SOR52001 and 7400579, which is a part included with Model&nbsp;SORJ53101. They are labeled with the SIG SAUER logo and ROMEO5 name on one side of the product. The model number can be found on the product packaging. The recalled dot sights contain either the letter K or M as the last digit of the serial number printed on the bottom of the sight. Sig Sauer will provide instructions on how to access the serial number. The optic sights come in the color black and with one packaged CR2032 button cell battery.","The recalled firearm sights contain a button cell battery that violates the mandatory federal regulations for consumer products containing button cell batteries because the button cell batteries can be easily accessed, posing an ingestion hazard. The products include a button cell battery which is not in child-resistant packaging as required by Reese’s Law.&nbsp;In addition, the products do not bear the required warnings. When button cell batteries are swallowed, the ingested batteries can cause serious injuries, internal chemical burns and death, posing an ingestion hazard to children.",,,Replace,"About 230,000","None reported","Consumers should immediately stop using the recalled firearm sights and contact SIG SAUER for instructions on how to submit a picture of the serial number to receive a free recall kit, which includes a new cap with the required labeling and an updated instruction manual. Consumers will be provided with instructions on how to locate the serial number.&nbsp;Note:&nbsp;Button cell batteries are hazardous. Batteries should be disposed of or recycled by following local hazardous waste procedures.","Sold At","Bass Pro Shops, Cabela’s, Sportsman’s Warehouse, Academy Sports, Scheels and other stores and local independent firearms and equipment stores nationwide and online at Sigsauer.com, Amazon.com, Opticsplanet.com, EuroOptic.com, Palmettostatearmory.com, Midwayusa.com, Chattanoogashooting.com, Gritrsports.com, Bereli.com, Battlehawkarmory.com and other online optics websites from February 2023 through December 2024 for between $130 and $200.","Sig Sauer Inc., of Newington, New Hampshire",,,China,,
25-060,,"December 05, 2024",,"Academy Sports + Outdoors Recalls Redfield 12- and 18-Gun Fireproof Safes Due to Serious Injury Hazard and Risk of Death","Redfield 12- and 18-Gun Fireproof Safes","This recall involves Academy Sports + Outdoors Redfield 12-Gun and 18-Gun Fireproof Safes. The 12-Gun Fireproof Safe has the model number 179498 and the 18-Gun Fireproof Safe has the model number 179499. “Redfield” is printed on the front door above the number pad. The model name and serial number are located on a red label at the bottom right corner of the safe door. The dark gray steel safes are used to store firearms and valuables. The 12-gun safe measures 53 inches high by 15 inches wide by 16 inches deep, and the 18-gun safe measures 55 inches high by 18 inches wide by 18 inches deep.ModelAffected Serial NumbersRedfield 12-Gun Fireproof SafeG02BXXXXXXXXXXG03BXXXXXXXXXXRedfield 18-Gun Fireproof SafeG10AXXXXXXXXXXG11AXXXXXXXXXXG12AXXXXXXXXXXG01BXXXXXXXXXXG02BXXXXXXXXXXG03BXXXXXXXXXX &nbsp;&nbsp;","The mechanical internal locking plates can fail to align and allow unauthorized users to open the gun safes, posing a serious injury hazard and risk of death.",,,"Refund, Replace","About 6,100","None reported","Consumers should immediately stop using the Redfield 12- and 18-Gun Fireproof Safes and return them to any Academy Sports + Outdoors store for a free replacement or a refund. Consumers can also contact Academy’s Customer Care to arrange for a replacement or refund.","Sold At","Academy stores and online at academy.com from February 2024 through August 2024 for between $350 and $600.","Academy Ltd., d/b/a Academy Sports + Outdoors, of Katy, Texas",,,Vietnam,,
24-130,,"February 22, 2024",,"Bulldog Cases Recalls Biometric Gun Safes Due to Serious Injury Hazard and Risk of Death","Bulldog Biometric Firearm Safes","This recall involves Bulldog Magnum Biometric Pistol Vaults, Magnum Biometric Pistol Vaults with Shelf, and Magnum Biometric Top Load Pistol Vaults. The black steel safes are used to store firearms and valuables. The pistol vault (BD4030B) measures 11.5 inches by 8 inches by 5.5 inches, and the pistol vault with shelf (BD4040B) measures 11.5 inches by 10 inches by 8 inches. The top load pistol vault (BD4055B) measures 11.5 inches by 9.8 inches by 2.5 inches. The pistol vault with shelf has one shelf and can store approximately two firearms. The model number can be found on a label on a silver sticker on the back right corner of the safe, and the brand name “Bulldog” appears on the front of the safe.NameModel NumberMagnum Biometric Pistol VaultBD4030BMagnum Biometric Pistol Vault with ShelfBD4040BMagnum Biometric Top Load Pistol VaultBD4055B","The biometric lock on the gun safes can be opened by unauthorized users, posing a serious injury hazard and risk of death.",,,"Replace, Repair","About 33,500","The firm received four reports of the safe being opened by an unauthorized user. No injuries have been reported.","Consumers should immediately stop using the biometric feature of the recalled safe, remove the batteries from the safe, and only use the key when storing firearms. Contact Bulldog to receive a repair kit or free replacement safe for consumers with the Magnum Biometric Pistol Vaults, or a free replacement safe for consumers with the Magnum Biometric Top Load Pistol Vaults.","Sold At","Bass Pro Shops, Walmart and firearm stores nationwide and online at www.Amazon.com from July 2016 through January 2024 for between $194 and $216.","Bulldog Cases, of Danville, Virginia",,,China,,
24-129,,"February 22, 2024",,"Machir Recalls Biometric Personal Safes Due to Serious Injury Hazard and Risk of Death","Machir Biometric Personal Safes","This recall involves certain Machir biometric personal safes used to store personal items. They measure about 10 inches by 14 inches by 10 inches. The serial numbers are located on the lower righthand corner of the front door of the safe. The following serial number ranges are included in this recall:Serial Number RangesSW190035551 – SW190038050SW190070151 – SW190072650SW190175401 – SW190175857&nbsp;SW190262061 – SW190264301SVA2001200005001 – SVA2001200007000SVA2001200014632 – SVA2001200014995SVA2001200015001 – SVA2001200017577SVA2001200086685 – SVA2001200089624SVA2001200164001 – SVA2001200165000SVA2001200115471 – SVA2001200119880&nbsp;SVA2001200122399 – SVA2001200124758SVA2001200172611 – SVA2001200174080","The biometric lock on the safes can fail and be opened by unauthorized users, posing a serious injury hazard and risk of death if the safe is used to store firearms.",,,Replace,"About 24,820","The firm has received 15 reports of the recalled safes being opened by unauthorized users when the biometric lock failed to secure the safe. No injuries have been reported.","Consumers should immediately stop using the biometric lock feature, remove the batteries, and only use the key for the recalled safes to store their items until they get the free replacement. Contact Machir to receive instructions on disabling the biometric lock feature and on how to receive a free replacement safe. Consumers will be asked to disable the biometric reader and email a photo of the disabled biometric reader to&nbsp;Info@machir.com in order to receive a replacement safe. The instructions on how to safely destroy the biometric reader are also located at&nbsp;http://machir.com/biorecall/.","Sold At","Walmart stores nationwide and online at Walmart.com and Machir.com from July 2019 through at least September 2021 for about $98.","Machir LLC, of Springfield, Missouri",,,China,,
24-128,,"February 22, 2024",,"Biometric Gun Safes Recalled Due to Serious Injury Hazard and Risk of Death; Sold Exclusively on Amazon.com by BBRKIN","MouTec brand Biometric Firearm Safes","This recall involves BBRKIN Biometric Gun Safe model number QCJJ01. The gray steel safe is used to store firearms and valuables. It measures about 13 inches by 14 inches by 15 inches. It has one shelf and can store approximately 5 firearms. The serial number is on a label on the front of the safe in the lower right corner of the safe and the brand name “MouTec” appears on the front of the safe. The safes have the following serial range: SQC202121000 through SQC202247603.","The biometric lock on the gun safes can be opened by unauthorized users, posing a serious injury hazard and risk of death.",,,"Replace, Repair","About 2,200","The firm received one report of the safe opened by an unauthorized user, a 6-year-old boy. No injuries have been reported.","Consumers should immediately stop using the biometric feature of the recalled safe, remove the batteries from the safe, and only use the key when storing firearms. Contact BBRKIN to receive a repair kit or to receive a free replacement safe. Consumers will be asked to disable the biometric reader and email a photo of the disabled biometric reader to&nbsp;support@bbrkin.com in order to receive a replacement safe. The instructions on how to safely disable the biometric reader are also located at&nbsp;www.securitysafe.store/recallreplacement.","Sold At","Amazon.com from September 2021 through February 2023 for between $170 and $400.","Jomani International Inc., of Monterey Park, California",,"Ningbo Moyumaoyi Co. Ltd., dba BBRKIN, of China ",China,,
24-127,,"February 22, 2024",,"Biometric Gun Safes Recalled Due to Serious Injury Hazard and Risk of Death; Imported by Awesafe","Awesafe Biometric Gun Safes","This recall involves certain Awesafe biometric gun safes. The recalled gun safes are black, can fit two pistols, and have the brand name “Awesafe” on the front.","The biometric lock on the safes can fail and be opened by unauthorized users, posing a serious injury hazard and risk of death.",,,Replace,"About 60,000","The firm has received reports of 71 incidents of the recalled gun safes being opened by unauthorized users when the biometric lock failed to secure the safe. No injuries have been reported.","Consumers should immediately stop using the biometric feature, remove the batteries, and only use the key for the recalled safes to store firearms until they get the free replacement safe. Contact Awesafe to receive instructions on disabling the biometric feature and to receive a free replacement safe. Consumers will be asked to disable the biometric reader and email a photo of the disabled biometric reader to&nbsp;Recall@awesafeus.com in order to receive a replacement safe. The instructions on how to safely disable the biometric reader are also located at&nbsp;http://awesafeus.com/RECALL. Once they receive their replacement safe, consumers should discard the recalled safe in accordance with local laws.","Sold At","Walmart stores nationwide and online at Amazon.com and Walmart.com from August 2019 until December 7, 2022, for about $130.","Shenghaina Technology Co. Ltd., d/b/a Awesafe, of China",,,China,,
24-040,,"December 07, 2023",,"Security Equipment Recalls SABRE Aim & Fire Pepper Gel Spray Canisters Due to Failure to Operate in an Emergency","SABRE Aim & Fire Pepper Gel Spray with Training Canisters","This recall involves SABRE Aim &amp; Fire Pepper Gel with Training Canisters with model number SDP-G-03. The canisters look like a toy gun and have a black handle with an orange body. Only units with the expiration date of 9/2027 are included in the recall. The expiration date can be found on the white label on the side of the canisters.","The Sabre Aim &amp; Fire Pepper Gel Spray canisters do not contain the red nozzle on top of the valve stem that is needed to deploy the product and will not deploy pepper gel spray when it is triggered. Also, the canisters can fail to spray in the defense of the individual during an emergency.",,,Replace,"About 4,000","The firm has received two reports of the red nozzle missing. No injuries have been reported.","Consumers should immediately stop using the recalled SABRE Aim &amp; Fire Pepper Gel Spray with Training Canisters and contact Security Equipment Corporation for instructions on receiving a free replacement product. The firm will provide a free shipping label to return the product.","Sold At","Sporting goods stores nationwide and online at Amazon.com from July 2023 through August 2023 for about $50.",,"Security Equipment Corporation, of Fenton, Missouri",,"United States",,
