"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26-062,,"October 30, 2025",,"Avenco and Novilla Mattresses Recalled Due to Risk of Serious Injury or Death from Fire; Violates Mandatory Flammability Standard for Mattresses; Manufactured by PT Champion","Avenco and Novilla Mattresses","This recall involves mattresses marketed by the Avenco and Novilla brands. The recalled mattresses were sold in various thicknesses, including 6, 10, 12, and 14 inches, and were sold in various sizes, including twin, full, queen and king. The mattresses are white and have an accent color around the side of the mattress of light gray, dark gray, or navy, depending on the model. The name “PT Champion”, the manufacture date, the model, the prototype IDs, thickness and size of each mattress are printed in black letters on a sewn-in white label located on one side of the mattress. The manufacture date is in the format: YYYYMMDD-GJ and the models are: A-M02822-10-Q-2, A-M02822-12-K-2, B-M02901-14-Q-1, B-M02905-6-T, or N-M02043-12-F-2. Some of the Avenco mattresses have a navy tag sewn into the side of the mattress. Some of the Novilla mattresses have a green tag sewn into the side of the mattress.&nbsp;&nbsp;BrandAffected Model&nbsp;Thickness (in inches)WidthRecalled Manufacturing Dates&nbsp;AvencoA-M02822-10-Q-210Queen20241119-GJ20241121-GJ20241123-GJAvencoA-M02822-12-K-212King20241204-GJ20241216-GJAvenco/NovillaB-M02901-14-Q-114Queen20241207-GJ20241208-GJ20241217-GJ20241218-GJ20241220-GJAvenco/NovillaB-M02905-6-T6Twin20241217-GJ20241224-GJ20250108-GJ20250109-GJNovillaN-M02043-12-F-212Full20241203-GJ20241204-GJ20241207-GJ","The mattresses violate mandatory flammability standards for mattresses, posing a risk of serious injury or death from fire.",,,Repair,"About 5,340","None reported","Consumers should stop using the mattress immediately and contact PT Champion to receive a free fitted cover to put over their mattress, which will bring the mattress into compliance with mandatory flammability standards.","Sold Online At","Amazon.com, Avencohome.com, and Novilla.net from January 2025 through April 2025 for between $85 to $265.",,"PT Champion Mattress Indonesia Manufacturing, of Indonesia",,Indonesia,,
26-063,,"October 30, 2025",,"DINBooonLUX 12-Inch Full Size Mattresses Recalled Due to Risk of Serious Injury or Death from Fire; Violates Mandatory Standard for Mattress Flammability; Sold on Amazon by DINBooonLUX","DINBooonLUX 12-Inch Full Size Hybrid Mattresses","This recall involves DINBooonLUX 12-Inch Full Size Hybrid Mattresses. The mattresses are 12 inches thick and were sold in full size. They have a white top and blue sides. “DINBooonLUX” is printed on a blue label on one side of the mattress. “Factory#2023KZF”, Date of Manufacture in MMYYYY format, and “Model: ZC-A-12F” are printed on a white label on the mattress.","The mattresses violate the mandatory flammability standard, posing a risk of serious injury or death from fire.",,,Refund,"About 200","None Reported","Consumers should immediately stop using the recalled mattress and contact DINBooonLUX for a full refund. Consumers should write “Recalled” on the mattress with a permanent marker, email a photo of the marked mattress to&nbsp;Dingbangrecall2025@outlook.com and certify disposal. Upon receipt of the photo and certification of disposal, consumers will be issued a full refund.","Sold At","Amazon from February 2025 through September 2025 for about $160.",,,,China,Retailer:,"Huizhou Dingbang E-Commerce Co., Ltd. dba DINBooonLUX, of China"
25-417,,"July 31, 2025",,"Amazon Recalls Amazon Basics Premium Foam Eurotop Mattresses Due to Fire Hazard; Violates Federal Standard for Mattress Flammability; Sold on Amazon","Amazon Basics Premium Foam Eurotop Mattresses","This recall involves Amazon Basics Premium Foam Eurotop Mattresses. The mattresses are nine inches thick and were sold in twin, full, queen and king sizes. They have a white top panel and a gray side panel with an Amazon Basics tag on the foot panel. They were manufactured from December 22, 2022, through May 16, 2024. The manufacture date in MM/DD/YYYY format; SKU number ABFM0933, ABFM0946, ABFM0950 or ABFM0966; and prototype ID: 1131 40 00 1 appear on a white label located on the center seam of the foot panel.","The recalled mattresses violate a mandatory flammability standard for mattresses, posing a fire hazard and risk of serious injury or death to consumers.",,,Refund,"About 2,700","None reported","Consumers should stop using the recalled mattress immediately and follow Amazon’s instructions for a full refund. Consumers will be asked to write “Recalled” on the mattress with a permanent marker, submit a photo of the marked mattress to&nbsp;http://amazoneurotoprecall.expertinquiry.com and certify disposal. Upon receipt of the photo and certification of disposal, consumers will be issued a full refund to a valid payment method in the consumer’s Amazon wallet or in the form of an Amazon gift card. The recalled mattresses should be disposed of in accordance with local laws. Amazon is contacting all known purchasers directly.","Sold At","Amazon.com from January 2023 through June 2024 for between $82 and $278.",,"3Z Brands, of Glendale, Arizona",,"United States",Retailer:,"Amazon.com Services LLC, of Seattle, Washington"
25-344,,"June 18, 2025",,"Crayan Mattresses Recalled Due to Risk of Serious Injury or Death from Fire Hazard; Violation of Federal Standard for Mattress Flammability; Sold Exclusively on Amazon by Crayan","Crayan Mattresses","This recall involves 10-inch and 12-inch Crayan Mattresses&nbsp;sold in Twin, Full, Queen and King sizes. The single-sided mattresses have a white knit quilted top with the brand name “Crayan”&nbsp;printed on the gray side panel. They were sold compressed in a box. The fiber content, size and “WG/P Foundation” are on a white label sewn onto the mattress cover.","The recalled mattresses fail to meet open flame flammability requirements in violation of federal safety standard for mattresses, posing a deadly fire hazard.",,,Dispose,"About 100,000","None reported","The firm has been uncooperative in the implementation of the recall. Consumers are urged to dispose of the product.","Sold Exclusively At","Online on Amazon.com from July 2022 through June 2024 for between $100 and $220.",,,,Japan,Retailer:,"Foshanshi Liyue Jiaju Youxian Gongsi, dba Crayan Inc., of China"
25-337,,"June 12, 2025",,"Agro Superior Group Recalls Oliver & Smith Mattresses Due to Risk of Serious Injury or Death from Fire Hazard; Violation of Federal Standard for Mattress Flammability","Oliver & Smith 6-inch Mattresses","This recall involves Oliver &amp; Smith-branded 6-inch hybrid mattresses sold in Twin, Twin-XL, Full, Short Full, Queen, Short Queen, King and California King sizes. The top of the mattresses has white woven ticking with a wavy diamond pattern. The sides of the mattresses are white with a diamond pattern and the bottoms of the mattresses are black. A side-seam label located on one side of the mattress lists “Oliver &amp; Smith”, “PERFECT SLEEP” and “Organic”. A side-seam label located on the other side of the mattress lists “Made for: Superior Importers Company Trenton NJ 08638”, “Made in Colombia”, material contents, certification statement, date of manufacture, size dimensions and filling net weight.","The recalled mattresses violate mandatory flammability standards for mattresses, posing a fire hazard and risk of serious injury or death to consumers.",,,Repair,"About 16,530","None reported","Consumers should stop using the recalled mattresses immediately and contact Agro Superior Group to receive a free fitted cover to put over their mattress, which will bring it into compliance with federal standards for mattress flammability. The firm is contacting all known purchasers directly.","Sold At","Online at www.Amazon.com by “Aylas Furniture Store” and www.Walmart.com by “OLIVER &amp; SMITH SINCE 1921” from January 2024 through July 2024 for between $90 and $180.","Agro Superior Group LLC, of Princeton, New Jersey",,,Colombia,,
25-231,,"April 17, 2025",,"American Bolt and Screw Recalls Tip-Over Restraint Kits Distributed with Clothing Storage Units Manufactured by Canyon Furniture Due to Tip-Over and Entrapment Hazards and Risk of Serious Injury or Death; Sold Exclusively at Rooms To Go","Tip-over Restraint Kits","This recall involves tip-over restraint kits that were sold with chests and dressers. The kits were packaged in a red plastic bag containing a plastic zip tie, two white plastic brackets, four screws, two white plastic drywall anchors and an instruction sheet. “American Bolt &amp; Screw MFG CO. LTD, ADDRESS: American Bolt &amp; Screw, 600 S WANAMAKER AVE., ONTARIO, CA 91761,” and “MANUFACTURING DATE: JUNE 20, 2023” or “MANUFACTURING DATE: January 20, 2024” are printed on the bag and on the instruction sheet. The kits were distributed with certain clothing storage units manufactured by Canyon Furniture including chests and dressers in the Canyon Lake, Canyon River, Cottage Colors, Creekside 2.0, Ivy League 2.0, and Modern Colors furniture lines. Affected clothing storage units have a white label on the back of the unit that says “Canyon Furniture Co.” in black text, as well as a model number beginning with “CANY” and the manufacture date.","The plastic zip tie used with the recalled furniture tip kits can become brittle or break, which can allow a clothing storage unit that is anchored to the wall to detach during a furniture tip-over event, posing a tip-over and entrapment hazard that can result in death or serious injuries to children.",,,Replace,"About 12,890","None reported","Consumers should contact American Bolt and Screw to get a free replacement tip-over restraint kit. All known purchasers are being contacted directly by American Bolt and Screw. Consumers can contact Rooms to Go for assistance in determining whether their chest or dresser came with the affected tip-over restraint kit.&nbsp;Keep children away from the unit while waiting for a replacement tip kit. Consumers should dispose of the recalled tip-over restraint in their household trash once they have installed the replacement tip-over restraint.","Sold Exclusively At","Rooms To Go stores and online at www.RoomsToGo.com from July 2023 through May 2024.","American Bolt and Screw, of Ontario, California",,,China,,
24-330,,"August 01, 2024",,"Mattress Pads Recalled Due to Fire Hazard; Violation of Federal Mattress Pad Flammability Regulation; Manufactured by Avocado Mattress","Avocado Organic Cotton Mattress Pad Protectors","This recall involves Avocado-branded Organic Cotton Mattress Pad Protectors sold in sizes Twin, Twin XL, Full, Queen, King and California King. All sizes were sold in both a Standard Pocket and Deep Pocket version. The quilted, ivory-color mattress pads are made of cotton ticking and cotton fiber fill. Attached to the mattress pad is a law label listing “Model SFMPAVORG”, manufacturer name, date of delivery, date of manufacture, fiber content, and washing instructions.","The recalled mattress pads violate the mandatory federal flammability regulation for mattress pads, posing a fire hazard.",,,Replace,"About 55,480","None reported","Consumers should immediately stop using the recalled mattress pads and contact Avocado Green Mattress to obtain a free replacement mattress pad, including shipping, at no charge. Consumers should cut the mattress pad in two, and write the date and initial the law label attached to the mattress pad. Then, consumers should upload photos of the cut mattress pad and dated and initialed law label to www.avocadogreenmattress.com/pages/recall.","Sold At","Avocado stores nationwide and online at www.avocadogreenmattress.com from January 2019 through March 2024 for between $200 and $370.","Avocado Mattress LLC (d/b/a Avocado Green Mattress), of Fullerton, California","Avocado Mattress LLC, of Mexico",,Mexico,,
24-263,,"June 13, 2024",,"Adven Group Recalls Nap Queen Sleep Victoria Hybrid Mattresses Due to Fire Hazard; Violation of Federal Mattress Flammability Regulations","Nap Queen Sleep Victoria Hybrid Mattresses","This recall involves all sizes and thicknesses of the Nap Queen Sleep Victoria Cooling Gel and Pocket Coil Hybrid Mattresses manufactured prior to October 2023, models NQ691011, NQ691015, NQ691021, NQ691031, NQ691041, NQ691211, NQ691215, NQ691221, NQ691231, NQ691241, NQ69811, NQ69815, NQ69821, NQ69831 and NQ69841. The single-sided mattresses have a white knit top panel quilted in wavy diamonds, and a black woven quilted side panel. They were sold compressed in a box. The mattresses’ top and bottom edges are black with yellow stitching. “Nap Queen Sleep”, “Victoria Hybrid,” the model number, and manufacture date appear on a white label sewn onto the mattress cover.","The recalled mattresses violate mandatory federal flammability regulations for mattresses, posing a fire hazard to consumers.",,,Repair,"About 117,200","None reported.","Consumers should stop using the recalled mattresses immediately, and contact Nap Queen to receive a free fitted cover to put on their mattress to bring it into compliance with the federal standard. The firm is contacting all known purchasers directly.","Sold At","Stores nationwide and online at Amazon.com, Walmart, Home Depot, Wayfair, Target, Bed Bath and Beyond, and Napqueensleep.com from February 2020 through October 2023 for between $160 and $375.","Adven Group, dba Nap Queen Sleep, of Missouri City, Texas",,,"United States, Kosovo, and Greece",,
24-198,,"April 11, 2024",,"Innovative Bedding Solutions and SBL Recall GhostBed Natural Mattresses Due to Fire Hazard; Violation of Federal Mattress Flammability Regulation","GhostBed-branded Natural Mattresses","This recall involves GhostBed Natural mattresses, model number beginning with 13GBNAT or “Natural.” The mattresses measure approximately 12 inches thick, and have an ivory quilted top panel and an ivory knit quilted side panel with horizontal lines. They were sold in Twin, Twin XL, Full, Queen, King, Split King and California King sizes. The GhostBed Natural logo is embroidered in black and green on the mattress cover. The model number and date of manufacture in MM/YYY can be found on the white label sewn into the seam of the mattress. The recalled mattresses were manufactured from June 2021 through March 2023.","The mattresses violate the smoldering ignition requirements of the federal mattress flammability regulation, posing a fire hazard.",,,Repair,"About 1,250","None reported","Consumers should immediately stop using the mattress, and contact GhostBed to receive a free cover to put on the mattress to bring it into compliance with the federal regulation. GhostBed is contacting all known purchasers directly.","Sold Online At","GhostBed.com, GhostBedNatural.com and other websites from June 2021 through March 2023 for between about $1,200 and $2,500.",,"Innovative Bedding Solutions, of Buena Park, California and SBL of Cicero, Illinois",,"United States",,
24-150,,"March 07, 2024",,"Sleep Technologies Recalls Eco Terra Mattresses Due to Fire Hazard; Violation of Federal Mattress Flammability Regulation; Sold Exclusively on Ecoterrabeds.com","Eco Terra Hybrid Latex Mattresses","This recall involves&nbsp;model ECO TERRA Eco Terra Mattresses manufactured from Aug 5, 2022 to Aug 18, 2022. The mattresses are 10 inches&nbsp;thick with a top panel that is ivory and quilted. The side panel is brown knit quilted with horizontal lines, and the top and bottom tape edges are ivory.&nbsp;The manufacture dates and model name “ECO TERRA” are located on the mattress label, sewn into the cover.","The mattresses violate the smoldering ignition requirements of the federal mattress flammability regulation, posing a fire hazard.",,,Repair,"About 84","None reported","Consumers should immediately stop using the recalled mattress, and contact Sleep Technologies to receive a free cover to put on the mattress to bring it into compliance with the federal regulation. Sleep Technologies is contacting all purchasers directly.","Sold Exclusively At","Online at Ecoterrabeds.com in August 2022 for about $900.",,"Sleep Technologies Inc., d/b/a The Natural Latex Co. of Camarillo, California",,"United States",,
