"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
26-315,,"March 05, 2026",,"HALO Dream Recalls Magic Sleepsuits Due to Choking Hazard","HALO Magic Sleepsuits","This recall involves HALO Magic Sleepsuit with batch codes PO30592, PO30641 and PO30685. The recalled infant sleepsuit shell and lining are made from 100% cotton and the fill is made from 100% polyester. It has double zippers running down each side of the front of the garment. It was sold in a variety of colors in small and large sizes. “HALO Magic Sleepsuit” is printed on the front of the sleepsuit. The batch codes and “Made in India” are printed on the sewn-in label inside the garment and the hang tag affixed to the outside of the sleepsuit.","The zipper head can detach from certain sleepsuits, posing a choking hazard to infants.",,,"Refund, Replace","About 45,000","The firm has received 15 reports of the zipper head detaching from the garment. No injuries have been reported.","Consumers should stop using the recalled HALO Magic Sleepsuit immediately and go to the firm’s website at&nbsp;http://www.sleepsuitrecall.com to participate in the recall. After registering, consumers will receive a coupon code that can be applied towards a replacement sleepsuit or a $50 store credit to purchase another item on the firm’s website. Do not discard the recalled garment until you have received the coupon code.","Sold At","Halosleep.com, Amazon.com, Walmart.com and Target.com from September 2025 through February 2026 for about $50.","HALO Dream, Inc., of New York City",,,India,,
26-309,,"March 05, 2026",,"Unique Brands Com Recalls Forever 21 Pajama Pants Due to Risk of Serious Injury or Death from Burn Hazard; Violates Mandatory Flammability Standards for Children’s Sleepwear","Forever 21 Kids Disney Mickey Mouse Pajama Pants","This recall involves Forever 21 Kids Disney Mickey Mouse Pajama Pants with black stripes. The pajama pants were sold in children’s sizes 5/6, 7/8, 9/10, 11/12 and 13/14. The size and “Forever 21” are printed on the red and black label at the waist of the pants. The pajamas pants have the item number 01334347 located on a sewn-in, side-seam label below the bar code.","The recalled children’s pajama pants violate the mandatory standards for flammability of children’s sleepwear, posing a burn hazard and risk of serious injury or death to children.",,,Refund,"About 230","None Reported","Consumers should stop using the recalled pajama pants immediately and contact Unique Brands Com for a full refund. Consumers will be provided with a prepaid shipping label to return the recalled kids pajama pants.","Sold Online At","Forever21.com from September 2025 through November 2025 for about $25.",,,,China,Retailer:,"Unique Brands Com, Inc., of New York, New York"
26-275,,"February 19, 2026",,"Meijer Recalls Lullaby Lane and MCS Children’s Sleepwear Due to Burn Hazard; Violates Mandatory Standard for Children’s Sleepwear","Meijer one-piece footed 12-, 18-and 24-month children’s sleepwear","This recall involves 10 different styles in various colors and patterns of 12-, 18-and 24-month size MCS and Lullaby Lane branded one-piece footed sleepwear. The brand, size and “Made in Thailand” are printed on the neck of the garment. The sleepwear has the following style number located on a sewn-in, side-seam label:BrandStyle/Name&nbsp;MCS7903815 – HeartMCS7903816 – XOXOMCS7903824 - Lucky ShamrockMCS7903830 – BunnyLullaby Lane7904011 - Airplane; Animal Print; Animals; Apples; Camping; Daisies; Dinos; Duckies; Elephants; Forest; Highland Cow; Safari Lilac; Safari White; Sheep; Toile Floral; BeesLullaby Lane7904012 - Meadow; Sharks; Star and Moon; StrawberriesLullaby Lane7904013 – Chalk Blue; Green; Heather Grey; Pastel Lilac; Pink A Boo; Powder BlueMCS7904907 - Beige Heather HalloweenLullaby Lane7905217 - Dinos Blue; Dinos Pink; Fair Isle; Heart; Multi Check; Penguin Pink; Penguin Iced Aqua; Polar Bear; TreesLullaby Lane7905217 - Buffalo Check; Reindeer Heads; Gingerbread; TreesLullaby Lane7905218 - Arctic Scene; BowsMCS7905646 – Cupids Bows; Shamrocks","The recalled sleepwear violates the mandatory flammability standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines…’s sleepwear, posing a risk of burn injuries to children.",,,Refund,"About 211,520","None reported","Consumers should immediately stop using the recalled sleepwear and return the product to a Meijer store for a full refund.","Sold At","Meijer stores in Michigan, Ohio, Indiana, Illinois, Wisconsin and Kentucky from December 2024 through October 2025 for about $5 through $12.","Meijer Distribution, Inc., of Grand Rapids, Michigan",,,Thailand,,
26-257,,"February 05, 2026",,"Andy & Evan Recalls Children’s Pajama Sets Due to Risk of Serious Injury or Death from Burn Hazard; Violate Mandatory Standard for Children’s Sleepwear","Andy & Evan Children’s Pajama Sets","This recall involves Andy &amp; Evan-branded children’s pajama sets. The recalled woven pajamas consist of a long-sleeved shirt with buttons, a front pocket and matching flared pants. The pajamas were sold in pink with white stripes and purple and pink hearts with trim in children’s sizes 2T, 3T, 4T, 5, 6 and 6X. “Andy &amp; Evan” and the size are printed on the sewn-in neck label. “RN# 136762” and “YC05” are printed on the sewn-in side seam label.","The recalled children’s pajamas violate the mandatory flammability standard for&nbsp;https://www.cpsc.gov/Business--Manufacturing/Business-Education/Busines…’s sleepwear, posing a risk of serious burn injuries or death.",,,Refund,"About 500","None reported","Consumers should immediately stop using the pajama sets and contact Andy &amp; Evan for a full refund. Consumers should cut the pajamas in half, take a photo of the destroyed pajamas and email it to&nbsp;recall@andyandevan.com, then dispose of the destroyed pajamas.","Sold At","Bringing Up Baby Boutique in South Boston, Massachusetts; Paddy Bunks Boutique in Locust Valley, New York; Crib &amp; Kids, LLC Boutique in San Antonio, Texas; and online at andyandevan.com, marshalls.com, saksoff5th.com, nordstorm.com, tjmaxx.tjx.com, paddybunks.com, cribandkids.com and other online retailers from February 2024 through June 2025 for between $13 and $58.",,,"Andy & Evan Industries, Inc., of New York City, New York",China,,
26-193,,"January 15, 2026",,"Morgan Lane Recalls Children’s Pajama Sets Due to Risk of Serious Injury or Death from Burn Hazard; Violate Mandatory Flammability Standards for Children’s Sleepwear","Asher Pajama Sets","This recall involves Morgan Lane Asher Pajama Sets, Style 816TR in Petal. The recalled children’s pajama sets are printed with tiny roses and have blue cotton piping and imitation mother-of-pearl buttons. The pajamas were sold in sizes 2T to 14. “MORGAN LANE” and “PURE COTTON” are printed on labels located in the neck and waistband, and “100% Cotton Made in India” is printed on the side seam label.","The recalled children’s pajamas violate the mandatory standards for flammability of children’s sleepwear, posing a risk of serious injury and deadly burn hazards to children.",,,Refund,"About 95","None reported","Consumers should immediately stop using the recalled children’s pajamas and contact Morgan Lane for a full refund. Consumers should cut the pajamas in half, take a photo of the destroyed garments, dispose of them and email the photo of the destroyed garments toinfo@morgan-lane.com to receive the refund.","Sold Online At","Morgan-Lane.com from March 2024 through May 2025 for about $80.",,,,India,Retailer:,"Morgan Lane, LLC of New York, NY"
26-170,,"January 08, 2026",,"Marcus Adler Glove Recalls Julie and Judah Pajama Pants and Shorts Due to Burn Hazard; Violates Mandatory Flammability Standards for Children’s Sleepwear","Julie and Judah pajama pants and shorts","This recall involves Julie and Judah pajama and lounge pants and shorts sold separately in various prints, including Fuzzy Heart, Gummy Bear, Star, Star Multi, Teddy Bear, Candy, Graffiti, Sprinkle, Smiley Flower, Shooting Star, Ribbon, Cloud, Boys Varsity Sports (pants only) and Boys Gaming (pants only). The pants were sold in sizes “S”, “M” and “L”.&nbsp;The shorts were sold in sizes “S” and “M”. “Julie and Judah” appear on the main label sewn into the pants and shorts.","The pajama pants and shorts violate the mandatory standards for flammability of children’s sleepwear, posing a risk of burn injuries to children.",,,Refund,"About 18,700","None reported","Consumers should immediately stop using the pajama pants and shorts and contact Marcus Adler Glove for a full refund. Consumers will be asked to destroy the pajama pants and shorts by cutting them as directed and permanently marking them with the word “Recall” and a unique identifier. Consumers will be asked to email a photo of the destroyed garment to info@julieandjudahaccessories.com. Upon receipt of the refund, consumers should dispose of the recalled product in the trash.","Sold At","Groove, J &amp; S Kidswear, Just Between Friends, Mortons and Stella Mara stores nationwide and online at julieandjudahaccessories.com and marcusadlerny.com from March 2023 through May 2025 for between $16 and $36.","Marcus Adler Glove Co., of New York, New York",,,China,,
26-101,,"November 20, 2025",,"Mallimoda Children’s Pajama Sets Recalled Due to Risk of Serious Injury or Death from Burn Hazard; Violates Mandatory Standards for Children’s Sleepwear; Sold on Amazon by Mallimoda","Mallimoda Children’s Pajama Sets","This recall involves Mallimoda-branded children’s pajama sets. The recalled pajama sets consist of a long-sleeved, button-up shirt with a front pocket and matching pants. The pajamas are trimmed with black piping and have black buttons. The pajama sets were sold in gray/pink, blue, gray/purple, and light green in sizes 3/4T through 13/14 years. “Cotton 100%” and care instructions are printed on the sewn-in side-seam label.","The recalled pajama sets violate the mandatory standards for children’s sleepwear, posing a risk of serious injuries or deadly burn hazard to children.",,,Refund,"About 2,100","None reported","Consumers should immediately stop using the recalled pajama sets and contact Mallimoda for a full refund. Consumers should cut the pajama sets in half and email a photo of the destroyed garments to&nbsp;mallimodarecall@hotmail.com with the consumer’s name and “Recall Proof” in the subject line.","Sold At","Amazon from May 2021 through October 2025 for about $31.",,,,China,Retailer:,"Hangzhou Lingda Diannao Youxiangongsi, doing business as&nbsp;Mallimoda, of China"
26-091,,"November 13, 2025",,"Zigjoy Sleep Sacks with Feet Recalled Due to Risk of Serious Injury or Death from Burn Hazard; Violates Mandatory Standard for Children’s Sleepwear; Sold by Zigjoy-US","Zigjoy Toddler Sleep Sacks with Feet","This recall involves Zigjoy-branded children’s one-piece sleep sacks with feet, in blue with an excavator print or pink with a bunny print. The sleep sacks were sold in sizes S, M, and L. “100% cotton” and the garment size are printed on a sewn-in side seam label.","The recalled sleep sacks violate the mandatory flammability standard for children’s sleepwear, posing a burn hazard and risk of serious injury or death to children.",,,Refund,"About 700","None reported","Consumers should immediately stop using the sleep sacks and contact Zigjoy-US for a full refund. Consumers should cut the sleep sacks in half, take a photo of the destroyed garments and email it to&nbsp;zjoy-us@outlook.com to receive the refund.","Sold At","Amazon.com and zigjoy.com from November 2023 through October 2025 for about $25.",,,,China,Retailer:,"Changzhoulongzhiyuedianzishangwuyouxiangongsi dba Zigjoy-US, of China"
26-073,,"November 06, 2025",,"Umeyda Nightgowns Recalled Due to Risk of Serious Injury or Death from Burns; Violate Mandatory Standards for Children’s Sleepwear; Sold on Amazon by Umeyda Company","Umeyda Nightgowns","This recall involves Umeyda children’s 100% cotton short-sleeve nightgowns. The nightgowns were sold in black, purple, mint green, baby pink, red, baby pink stripe, hot pink, dark pink, dark green and blue grey in children’s sizes 4-5T, 5-6 years, 7-8 years, 9-10 years, 11-12 years, and 13-14 years. The recalled nightgowns have a pocket and buttons down the dress front. The batch number, “Distributor: StreamBytes LLC” and “Made in Xing Tai He Bei China” are printed on a sewn-in side-seam label.","The recalled nightgowns violate the mandatory flammability standards for children’s sleepwear, posing a risk of burn injuries to children.&nbsp;",,,Refund,"About 200","None reported","Consumers should stop using the nightgowns immediately and contact Umeyda Company for a full refund. Consumers should cut the nightgowns in half and email a photo of the destroyed garments to ameyda123@163.com to receive the refund. Consumers should dispose of the destroyed garments.&nbsp;","Sold At","Amazon from June 2025 through October 2025 for about $19.",,,,China,Retailer:,"Xindu District Miuwola Clothing Store dba Umeyda Company, of China"
26-013,,"October 09, 2025",,"Bellabu Bear Recalls Children’s Robes Due to Burn Hazard; Violates Mandatory Standards for Children’s Sleepwear","Bellabu Bear Children’s Robes","This recall involves Bellabu Bear’s collection of bamboo sherpa children’s robes. The recalled robes are long-sleeved and were sold in the following prints: PAW Patrol, Garfield, Minecraft, Minions, Batman, Justice League, Wonder Woman, Blaze and the Monster Machines, Trolls, Dora, Nutcracker, hearts, Santa, stripes, bows and dragons. The robes have sherpa lining, two front pockets and a matching belt and were sold in children’s sizes S/M and M/L. “Bellabu Bear,” “BB-NW12109” and the size are printed on the robe’s neck label.","The recalled children’s robes violate the mandatory flammability standards for children’s sleepwear, posing a risk of burn injuries to children.",,,Refund,"About 1,300","None reported","Consumers should immediately stop using the recalled children’s robes, take them away from children and contact Bellabu Bear for a full refund or store credit for the original purchase price. Consumers will be provided with a prepaid shipping label to return the recalled robes.","Sold At","Saks Fifth Avenue stores and boutiques nationwide and online at Bellabubear.com, Letthembelittleboutique.com, Saksfifthavenue.com and other online retailers from January 2024 through July 2025 for about $60.",,,"Bellabu Bear, of Costa Mesa, California",China,,
